codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0055,0605,0613
12,Capital,001,0001A,0001,317,30,4,77,26,77,40
12,Capital,001,0001A,0002,317,29,1,79,27,63,40
12,Capital,001,0001A,0003,317,0,1,72,32,55,40
12,Capital,001,0001A,0004,317,22,1,68,29,62,39
12,Capital,001,0001A,0005,317,0,0,85,13,51,41
12,Capital,001,0001A,0006,317,0,0,78,20,57,34
12,Capital,001,0001A,0007,317,28,0,80,22,65,38
12,Capital,001,0001A,0008,317,31,1,85,21,48,40
12,Capital,001,0001A,0009,317,33,1,69,29,54,39
12,Capital,001,0001A,0010,316,26,3,72,34,60,33
12,Capital,001,0001B,0011,299,30,4,60,19,92,32
12,Capital,001,0001B,0012,299,42,0,68,22,52,52
12,Capital,001,0001B,0013,299,25,2,60,24,60,49
12,Capital,001,0001B,0014,299,24,0,58,30,74,45
12,Capital,001,0001B,0015,299,37,0,49,23,59,44
12,Capital,001,0001B,0016,299,22,4,65,26,64,52
12,Capital,001,0001B,0017,298,24,2,80,30,48,49
12,Capital,001,0001B,0018,298,28,1,58,28,64,57
12,Capital,001,0001C,0019,314,19,3,50,20,69,90
12,Capital,001,0001C,0020,314,0,0,41,26,85,57
12,Capital,001,0001C,0021,314,31,5,65,11,71,65
12,Capital,001,0001C,0022,314,27,1,52,25,87,73
12,Capital,001,0001C,0023,314,15,2,69,22,77,60
12,Capital,001,0001C,0024,314,0,6,42,15,76,68
12,Capital,001,0001C,0025,314,30,4,52,16,94,55
12,Capital,001,0001C,0026,314,30,5,55,26,56,62
12,Capital,001,0001C,0027,314,38,1,61,19,66,82
12,Capital,001,0001C,0028,314,23,0,46,12,100,63
12,Capital,001,0001C,0029,313,33,0,60,16,70,64
12,Capital,001,0001C,0030,313,31,0,58,18,69,72
12,Capital,001,0001C,0031,313,26,6,40,23,79,69
12,Capital,001,0001C,0032,313,6,6,52,22,55,76
12,Capital,001,0001C,0033,313,13,2,50,28,71,90
12,Capital,001,0001D,0034,315,24,8,34,12,97,83
12,Capital,001,0001D,0035,315,25,5,35,18,93,73
12,Capital,001,0001D,0036,315,18,7,28,9,101,89
12,Capital,001,0001D,0037,315,25,13,41,18,96,51
12,Capital,001,0001D,0038,314,24,6,42,13,98,65
12,Capital,001,0001D,0039,314,30,0,33,12,101,89
12,Capital,001,0001D,0040,314,18,7,44,19,78,82
12,Capital,001,0001D,0041,314,0,0,51,10,106,73
12,Capital,001,0001D,0042,314,0,0,35,19,91,75
12,Capital,001,0001D,0043,314,31,9,35,14,97,74
12,Capital,001,0001D,0044,314,26,0,29,16,93,90
12,Capital,001,0001D,0045,314,17,7,41,15,86,84
12,Capital,001,0001D,0046,314,20,4,28,17,105,76
12,Capital,001,0001D,0047,314,26,0,27,13,111,82
