codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0159,0503,0514,0517,0549,0573
12,Capital,001,0001A,0001,330,6,2,0,9,4,159,37,NA
12,Capital,001,0001A,0002,330,7,3,0,6,9,175,35,NA
12,Capital,001,0001A,0003,328,7,5,0,6,7,143,47,NA
12,Capital,001,0001A,0004,330,9,2,0,4,11,133,53,NA
12,Capital,001,0001A,0005,329,11,0,0,4,9,172,28,NA
12,Capital,001,0001A,0006,333,7,3,0,8,3,133,46,NA
12,Capital,001,0001A,0007,331,15,6,0,5,11,149,42,NA
12,Capital,001,0001A,0008,329,9,3,0,5,9,149,40,NA
12,Capital,001,0001B,0009,300,15,0,0,3,8,128,61,NA
12,Capital,001,0001B,0010,300,12,3,0,6,16,143,43,NA
12,Capital,001,0001B,0011,302,13,5,0,5,7,129,48,NA
12,Capital,001,0001B,0012,302,8,3,0,8,15,147,47,NA
12,Capital,001,0001B,0013,306,11,3,0,6,15,135,56,NA
12,Capital,001,0001B,0014,302,0,4,0,8,14,128,60,NA
12,Capital,001,0001B,0015,300,5,4,0,2,6,134,48,NA
12,Capital,001,0001C,0016,337,7,7,0,4,13,119,79,NA
12,Capital,001,0001C,0017,337,1,3,0,6,9,127,81,NA
12,Capital,001,0001C,0018,337,6,3,0,9,7,145,76,NA
12,Capital,001,0001C,0019,337,4,5,0,6,8,143,87,NA
12,Capital,001,0001C,0020,339,0,15,0,7,5,151,72,NA
12,Capital,001,0001C,0021,337,7,2,0,10,14,121,78,NA
12,Capital,001,0001C,0022,337,13,4,0,7,13,143,68,NA
12,Capital,001,0001C,0023,336,16,7,0,3,7,128,71,NA
12,Capital,001,0001C,0024,336,4,6,0,11,6,132,73,NA
12,Capital,001,0001C,0025,342,12,1,0,3,12,114,82,NA
12,Capital,001,0001C,0026,338,7,4,0,9,3,142,66,NA
12,Capital,001,0001C,0027,338,6,2,0,8,7,131,76,NA
12,Capital,001,0001C,0028,340,14,5,0,5,5,112,76,NA
12,Capital,001,0001C,0029,340,6,2,0,6,8,121,84,NA
12,Capital,001,0001D,0030,324,6,5,0,5,4,127,88,NA
12,Capital,001,0001D,0031,332,5,5,0,5,10,128,83,NA
12,Capital,001,0001D,0032,328,9,3,0,5,8,112,101,NA
12,Capital,001,0001D,0033,324,6,6,0,4,5,116,89,NA
12,Capital,001,0001D,0034,324,4,8,0,3,2,124,88,NA
12,Capital,001,0001D,0035,328,9,0,0,5,10,120,102,NA
12,Capital,001,0001D,0036,326,11,3,0,6,11,126,84,NA
12,Capital,001,0001D,0037,328,20,0,0,8,7,105,94,NA
12,Capital,001,0001D,0038,324,9,3,0,2,2,106,105,NA
12,Capital,001,0001D,0039,326,3,2,0,12,4,109,96,NA
12,Capital,001,0001D,0040,324,11,4,0,2,7,110,103,NA
12,Capital,001,0001D,0041,331,15,1,0,9,5,120,81,NA
12,Capital,001,0001D,0042,325,8,7,0,9,6,94,102,NA
12,Capital,001,0001D,0043,325,4,0,0,7,7,99,112,NA
12,Capital,001,0001E,0044,291,10,2,0,9,8,141,31,NA
12,Capital,001,0001E,0045,291,0,4,0,9,8,128,47,NA
12,Capital,001,0001E,0046,290,10,3,0,10,9,124,41,NA
12,Capital,001,0001E,0047,290,7,3,0,7,4,139,35,NA
12,Capital,001,0001E,0048,290,7,4,0,8,11,135,42,NA
12,Capital,001,0001E,0049,292,2,10,0,9,6,148,35,NA
12,Capital,001,0001F,0050,289,8,0,0,12,8,138,30,NA
12,Capital,001,0001F,0051,295,5,1,0,6,7,140,36,NA
12,Capital,001,0001F,0052,288,11,2,0,6,7,144,29,NA
12,Capital,001,0001F,0053,290,10,1,0,10,6,140,28,NA
12,Capital,001,0001G,0054,316,10,3,0,9,7,133,36,NA
12,Capital,001,0001G,0055,312,8,2,0,5,6,128,42,NA
12,Capital,001,0001G,0056,314,6,0,0,10,5,139,59,NA
12,Capital,001,0001G,0057,311,7,5,0,2,7,151,40,NA
12,Capital,001,0001G,0058,313,5,1,0,4,10,154,38,NA
12,Capital,001,0001G,0059,313,7,5,0,5,8,142,49,NA
