codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0276,0277,0278,0279,0280,0281,0282,0283
16,Adolfo Alsina                           ,001,0001 ,0001,418,55,4,5,24,29,3,86,1,61,54
16,Adolfo Alsina                           ,001,0001 ,0002,413,58,7,8,25,38,2,71,4,63,51
16,Adolfo Alsina                           ,001,0001 ,0003,415,56,6,3,18,22,1,83,2,76,44
16,Adolfo Alsina                           ,001,0001 ,0004,416,50,8,0,23,38,1,79,1,55,61
16,Adolfo Alsina                           ,001,0001 ,0005,416,49,2,2,31,21,1,80,0,75,42
16,Adolfo Alsina                           ,001,0001 ,0006,415,42,3,5,39,31,0,66,3,77,59
16,Adolfo Alsina                           ,001,0001 ,0007,415,47,1,2,31,24,4,94,2,83,47
16,Adolfo Alsina                           ,001,0001 ,0008,416,65,9,2,15,28,3,83,6,77,38
16,Adolfo Alsina                           ,001,0001 ,0009,415,51,9,1,23,39,8,82,5,89,35
16,Adolfo Alsina                           ,001,0001 ,0010,415,47,0,3,30,31,5,96,1,63,50
16,Adolfo Alsina                           ,001,0001 ,0011,415,37,19,6,34,35,3,84,0,79,40
16,Adolfo Alsina                           ,001,0001 ,0012,413,52,0,3,32,17,2,67,4,95,43
16,Adolfo Alsina                           ,001,0001 ,0013,416,58,7,0,25,20,4,62,1,86,49
16,Adolfo Alsina                           ,001,0001 ,0014,416,48,4,2,37,35,8,68,4,50,43
16,Adolfo Alsina                           ,001,0001 ,0015,415,67,6,4,27,33,3,75,2,68,38
16,Adolfo Alsina                           ,001,0001 ,0016,415,60,3,6,22,23,3,66,0,73,56
16,Adolfo Alsina                           ,001,0001 ,0017,413,52,6,0,26,29,3,74,3,79,41
16,Adolfo Alsina                           ,001,0001 ,0018,415,39,4,3,40,33,4,79,2,72,52
16,Adolfo Alsina                           ,001,0001 ,0019,415,44,7,4,34,27,2,83,2,61,47
16,Adolfo Alsina                           ,001,0001 ,0020,414,3,11,2,33,27,7,87,1,72,46
16,Adolfo Alsina                           ,001,0001 ,0021,412,2,4,3,25,31,1,91,5,68,41
16,Adolfo Alsina                           ,001,0001 ,0022,414,35,5,3,38,31,2,108,3,73,38
16,Adolfo Alsina                           ,001,0001 ,0023,414,43,4,3,26,23,1,104,0,90,33
16,Adolfo Alsina                           ,001,0001 ,0024,417,2,15,4,28,28,3,75,2,82,5
16,Adolfo Alsina                           ,001,0001 ,0025,415,61,2,3,42,25,5,68,4,74,45
16,Adolfo Alsina                           ,001,0001 ,0026,414,35,8,3,31,20,0,91,1,94,43
16,Adolfo Alsina                           ,001,0001 ,0027,414,49,5,5,29,28,6,79,2,66,54
16,Adolfo Alsina                           ,001,0001 ,0028,415,45,10,5,44,9,1,88,2,67,41
16,Adolfo Alsina                           ,001,0001 ,0029,417,39,5,9,33,12,2,103,0,70,57
16,Adolfo Alsina                           ,001,0001 ,0030,415,39,7,2,47,17,2,67,2,81,39
16,Adolfo Alsina                           ,001,0001 ,0031,415,58,13,7,31,31,5,79,0,85,33
16,Adolfo Alsina                           ,001,0001 ,0032,415,45,10,7,21,15,5,97,1,81,51
16,Adolfo Alsina                           ,001,0001 ,0033,415,55,4,0,25,22,2,104,1,59,57
16,Adolfo Alsina                           ,001,0001 ,0034,414,56,3,3,19,35,3,94,0,59,44
16,Adolfo Alsina                           ,001,0001 ,0035,415,33,9,3,39,26,2,81,3,86,45
16,Adolfo Alsina                           ,001,0001 ,0036,413,52,1,0,22,1,1,87,2,87,39
16,Adolfo Alsina                           ,001,0001 ,0037,414,56,5,3,27,28,4,74,1,84,34
16,Adolfo Alsina                           ,001,0001 ,0038,411,0,3,7,33,31,3,76,5,66,42
16,Adolfo Alsina                           ,001,0001 ,0039,415,0,0,2,38,17,1,79,3,73,49
16,Adolfo Alsina                           ,001,0001 ,0040,413,67,11,4,30,26,6,82,1,64,48
16,Adolfo Alsina                           ,001,0001 ,0041,413,58,7,1,34,28,3,75,3,61,46
16,Adolfo Alsina                           ,001,0001 ,0042,415,52,2,2,31,17,2,85,1,87,45
16,Adolfo Alsina                           ,001,0001 ,0043,413,64,13,0,36,30,4,90,1,62,52
16,Adolfo Alsina                           ,001,0001 ,0044,418,56,7,2,22,26,5,82,1,64,49
16,Adolfo Alsina                           ,001,0001 ,0045,412,0,0,5,49,27,3,70,4,64,51
16,Adolfo Alsina                           ,001,0001 ,0046,414,47,7,4,41,27,5,77,0,62,58
16,Adolfo Alsina                           ,001,0001 ,0047,415,44,3,5,32,28,2,82,2,61,55
16,Adolfo Alsina                           ,001,0001 ,0048,415,38,13,4,29,32,3,79,4,64,48
16,Adolfo Alsina                           ,001,0001 ,0049,414,37,13,6,33,22,3,89,0,59,54
16,Adolfo Alsina                           ,001,0001 ,0050,413,49,7,1,35,22,3,64,2,68,46
16,Adolfo Alsina                           ,001,0001 ,0538,417,57,2,5,32,15,0,70,2,74,38
16,Adolfo Alsina                           ,001,0001 ,0539,417,57,5,3,20,18,3,69,3,71,48
16,Adolfo Alsina                           ,001,0001 ,0540,418,44,8,4,31,25,3,78,2,77,34
16,Adolfo Alsina                           ,001,0001 ,0541,421,60,4,4,17,21,2,75,3,65,64
16,Adolfo Alsina                           ,001,0001 ,0542,418,59,3,3,22,22,6,73,3,66,44
16,Adolfo Alsina                           ,001,0001 ,0543,419,59,3,1,37,10,5,83,0,61,56
16,Adolfo Alsina                           ,001,0001 ,0544,418,43,1,8,27,16,4,42,3,107,29
16,Adolfo Alsina                           ,001,0001 ,0545,418,3,9,2,13,19,1,81,0,83,45
16,Adolfo Alsina                           ,001,0001 ,0546,417,60,0,3,12,37,3,76,5,80,43
16,Adolfo Alsina                           ,001,0001 ,0547,418,0,6,0,21,19,3,89,2,79,48
16,Adolfo Alsina                           ,001,0001 ,0548,421,0,13,6,19,10,4,67,0,80,56
16,Adolfo Alsina                           ,001,0001 ,0549,419,53,0,5,29,20,2,78,1,82,37
16,Adolfo Alsina                           ,001,0001 ,0550,420,60,1,4,23,29,4,70,2,76,34
16,Adolfo Alsina                           ,001,0001 ,0551,418,43,4,4,28,30,5,78,0,74,53
16,Adolfo Alsina                           ,001,0001 ,0552,419,51,4,0,29,23,3,53,2,84,47
16,Adolfo Alsina                           ,001,0001 ,0553,417,46,5,6,25,24,1,92,1,69,48
16,Adolfo Alsina                           ,001,0001 ,0554,418,45,2,3,21,27,6,74,2,66,58
16,Adolfo Alsina                           ,001,0001 ,0555,417,56,4,7,29,22,1,63,6,75,49
16,Adolfo Alsina                           ,001,0001 ,0556,420,9,4,6,22,14,3,92,2,75,38
16,Adolfo Alsina                           ,001,0001 ,0557,419,1,2,7,25,21,4,79,0,101,32
16,Adolfo Alsina                           ,001,0001 ,0558,416,6,8,1,19,11,4,81,1,106,32
16,Adolfo Alsina                           ,001,0001 ,0559,420,46,4,3,34,24,1,84,1,84,56
16,Adolfo Alsina                           ,001,0001 ,0560,418,59,3,2,28,15,1,80,3,73,56
16,Adolfo Alsina                           ,001,0001 ,0561,420,75,12,3,36,17,2,80,4,59,44
16,Adolfo Alsina                           ,001,0001 ,0562,422,70,7,3,34,20,3,73,2,70,38
16,Adolfo Alsina                           ,001,0001 ,0563,419,38,7,2,29,17,4,70,2,83,49
16,Adolfo Alsina                           ,001,0001 ,0564,421,59,5,6,27,12,2,91,4,74,38
16,Adolfo Alsina                           ,001,0001 ,0565,419,2,7,4,26,26,2,71,1,79,34
16,Adolfo Alsina                           ,001,0001 ,0566,420,0,0,5,19,19,2,82,0,85,43
16,Adolfo Alsina                           ,001,0001 ,0567,418,44,7,5,30,5,5,109,0,68,43
16,Adolfo Alsina                           ,001,0001 ,0568,420,52,9,3,29,12,1,86,2,87,41
16,Adolfo Alsina                           ,001,0001 ,0569,417,53,9,3,20,16,9,73,5,91,32
16,Adolfo Alsina                           ,001,0001 ,0570,419,50,2,2,23,20,4,85,3,72,45
16,Adolfo Alsina                           ,001,0001 ,0571,418,67,11,2,19,19,14,70,1,75,41
16,Adolfo Alsina                           ,001,0001 ,0572,420,56,1,3,27,23,5,62,6,79,44
16,Adolfo Alsina                           ,001,0001 ,0573,417,93,6,0,38,15,6,25,3,91,49
16,Adolfo Alsina                           ,001,0001 ,0574,416,62,0,4,30,13,4,98,1,58,55
16,Adolfo Alsina                           ,001,0001 ,0575,417,58,3,2,18,15,5,70,1,90,46
16,Adolfo Alsina                           ,001,0001 ,0576,419,48,11,5,19,23,2,91,1,63,49
16,Adolfo Alsina                           ,001,0001 ,0577,414,52,2,5,20,31,3,61,2,73,40
16,Adolfo Alsina                           ,001,0001 ,0578,421,55,4,0,33,37,2,78,0,60,48
16,Adolfo Alsina                           ,001,0001 ,0579,416,50,0,4,21,25,0,78,3,67,48
16,Adolfo Alsina                           ,001,0001 ,0580,417,49,1,1,28,20,4,81,4,74,49
16,Adolfo Alsina                           ,001,0001 ,0581,417,40,4,5,23,22,2,76,4,79,55
16,Adolfo Alsina                           ,001,0001 ,0582,419,54,2,2,27,20,1,90,0,86,56
16,Adolfo Alsina                           ,001,0001 ,0583,420,51,11,0,34,19,3,73,2,75,46
16,Adolfo Alsina                           ,001,0002 ,0051,231,35,0,2,15,11,4,49,0,36,12
16,Adolfo Alsina                           ,001,0002 ,0052,231,27,1,0,6,5,3,56,3,55,20
16,Adolfo Alsina                           ,001,0002 ,0584,329,39,2,1,15,6,8,58,4,71,28
16,Adolfo Alsina                           ,001,0002 ,0585,328,32,0,2,8,17,7,69,1,81,25
16,Adolfo Alsina                           ,001,0003 ,0586,17,1,0,0,1,0,0,8,0,3,0
16,Adolfo Alsina                           ,001,0004 ,0054,304,37,1,3,18,16,2,46,0,77,15
16,Adolfo Alsina                           ,001,0004 ,0587,422,48,3,4,23,17,3,59,2,87,26
16,Conesa                                  ,002,0007 ,0056,376,43,3,3,28,31,0,82,0,66,32
16,Conesa                                  ,002,0007 ,0057,377,21,5,3,23,27,3,73,3,105,17
16,Conesa                                  ,002,0007 ,0058,377,35,3,2,23,13,7,85,2,75,33
16,Conesa                                  ,002,0007 ,0059,377,28,1,0,13,29,8,101,0,63,31
16,Conesa                                  ,002,0007 ,0060,375,39,13,0,19,10,3,78,0,89,35
16,Conesa                                  ,002,0007 ,0061,395,37,1,2,8,25,3,87,1,96,39
16,Conesa                                  ,002,0007 ,0589,373,28,3,5,18,15,7,84,1,60,37
16,Conesa                                  ,002,0007 ,0590,372,33,5,3,25,21,1,86,1,65,24
16,Conesa                                  ,002,0007 ,0591,373,28,6,3,20,15,1,90,1,83,32
16,Conesa                                  ,002,0007 ,0592,371,37,6,0,16,10,4,75,1,98,26
16,Conesa                                  ,002,0007 ,0593,372,30,8,3,14,15,0,93,0,63,17
16,Conesa                                  ,002,0007 ,0594,420,32,4,1,20,17,1,100,1,88,30
16,Conesa                                  ,002,0008 ,0596,42,1,3,1,4,0,0,7,0,11,7
16,San Antonio Oeste                       ,003,0009 ,0064,403,62,1,3,25,4,2,110,1,92,22
16,San Antonio Oeste                       ,003,0009 ,0065,402,56,0,0,25,12,2,101,1,83,23
16,San Antonio Oeste                       ,003,0009 ,0066,405,54,5,5,20,9,1,98,2,105,15
16,San Antonio Oeste                       ,003,0009 ,0067,402,0,0,0,32,16,2,86,2,87,17
16,San Antonio Oeste                       ,003,0009 ,0068,402,0,0,3,18,14,2,86,2,91,14
16,San Antonio Oeste                       ,003,0009 ,0069,402,54,5,2,20,19,0,86,2,103,13
16,San Antonio Oeste                       ,003,0009 ,0070,404,57,0,0,18,27,2,104,0,102,17
16,San Antonio Oeste                       ,003,0009 ,0071,403,63,2,1,25,13,2,82,0,103,11
16,San Antonio Oeste                       ,003,0009 ,0072,403,0,0,2,32,18,1,98,0,84,19
16,San Antonio Oeste                       ,003,0009 ,0073,401,0,0,0,25,1,0,100,2,103,20
16,San Antonio Oeste                       ,003,0009 ,0074,404,0,0,2,0,1,0,108,2,120,6
16,San Antonio Oeste                       ,003,0009 ,0075,402,0,0,0,32,18,1,79,0,108,15
16,San Antonio Oeste                       ,003,0009 ,0076,403,1,10,1,29,13,1,93,0,81,13
16,San Antonio Oeste                       ,003,0009 ,0077,405,0,0,0,14,15,4,72,1,108,16
16,San Antonio Oeste                       ,003,0009 ,0597,417,72,0,2,13,6,6,78,2,99,21
16,San Antonio Oeste                       ,003,0009 ,0598,420,2,9,1,21,6,7,100,0,77,17
16,San Antonio Oeste                       ,003,0009 ,0599,419,51,5,0,27,8,3,92,1,86,21
16,San Antonio Oeste                       ,003,0009 ,0600,418,0,0,3,30,11,0,96,1,76,28
16,San Antonio Oeste                       ,003,0009 ,0601,418,0,0,0,24,0,6,76,2,105,19
16,San Antonio Oeste                       ,003,0009 ,0602,416,98,4,1,5,3,3,81,1,105,0
16,San Antonio Oeste                       ,003,0009 ,0603,418,0,0,1,16,9,6,108,1,107,26
16,San Antonio Oeste                       ,003,0009 ,0604,419,52,6,0,18,19,4,71,1,82,13
16,San Antonio Oeste                       ,003,0009 ,0605,418,0,0,2,19,11,4,86,0,80,17
16,San Antonio Oeste                       ,003,0009 ,0606,417,3,8,0,33,2,0,77,0,104,16
16,San Antonio Oeste                       ,003,0009 ,0607,418,50,8,8,16,5,3,103,0,111,15
16,San Antonio Oeste                       ,003,0009 ,0608,417,51,0,1,42,0,2,87,1,91,16
