codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0002,0012,0014,0022,0047,0050,0502
16,Adolfo Alsina,001,0001 ,0001,374,1,9,43,3,6,9,61,31,111
16,Adolfo Alsina,001,0001 ,0002,374,2,8,59,3,3,8,77,27,86
16,Adolfo Alsina,001,0001 ,0003,374,4,3,60,2,4,11,71,23,95
16,Adolfo Alsina,001,0001 ,0004,374,6,4,61,6,4,8,75,42,87
16,Adolfo Alsina,001,0001 ,0005,374,1,8,33,4,2,5,87,32,82
16,Adolfo Alsina,001,0001 ,0006,374,3,9,44,3,11,2,64,38,83
16,Adolfo Alsina,001,0001 ,0007,374,7,8,44,5,4,7,82,45,79
16,Adolfo Alsina,001,0001 ,0008,374,4,6,62,3,8,15,62,37,92
16,Adolfo Alsina,001,0001 ,0009,374,4,16,62,5,8,4,56,39,96
16,Adolfo Alsina,001,0001 ,0010,374,7,9,46,2,3,8,56,34,102
16,Adolfo Alsina,001,0001 ,0011,374,0,11,55,3,10,6,66,29,84
16,Adolfo Alsina,001,0001 ,0012,374,7,15,71,2,3,10,55,24,96
16,Adolfo Alsina,001,0001 ,0013,374,5,16,70,5,6,9,80,26,73
16,Adolfo Alsina,001,0001 ,0014,374,11,10,68,4,6,8,67,28,82
16,Adolfo Alsina,001,0001 ,0015,374,2,14,70,1,8,9,59,30,72
16,Adolfo Alsina,001,0001 ,0016,374,3,11,41,5,4,6,71,45,76
16,Adolfo Alsina,001,0001 ,0017,374,0,11,64,4,8,9,78,27,75
16,Adolfo Alsina,001,0001 ,0018,374,7,12,62,1,8,2,69,28,93
16,Adolfo Alsina,001,0001 ,0019,374,2,13,42,1,7,8,72,38,90
16,Adolfo Alsina,001,0001 ,0020,374,3,8,46,3,4,9,71,38,87
16,Adolfo Alsina,001,0001 ,0021,374,5,9,47,1,9,5,96,29,86
16,Adolfo Alsina,001,0001 ,0022,374,4,14,42,0,7,6,74,26,86
16,Adolfo Alsina,001,0001 ,0023,374,3,9,47,1,7,8,77,51,79
16,Adolfo Alsina,001,0001 ,0024,374,5,12,36,2,2,8,66,27,107
16,Adolfo Alsina,001,0001 ,0025,374,9,15,56,5,6,5,63,33,86
16,Adolfo Alsina,001,0001 ,0026,374,3,5,60,2,8,6,69,35,106
16,Adolfo Alsina,001,0001 ,0027,374,0,0,0,0,0,0,0,0,0
16,Adolfo Alsina,001,0001 ,0028,374,1,13,52,3,4,6,69,29,84
16,Adolfo Alsina,001,0001 ,0029,374,4,6,62,2,5,79,68,45,88
16,Adolfo Alsina,001,0001 ,0030,374,3,0,39,6,8,7,72,38,102
16,Adolfo Alsina,001,0001 ,0031,374,9,11,50,2,10,5,64,31,88
16,Adolfo Alsina,001,0001 ,0032,374,1,6,65,3,5,4,67,32,84
16,Adolfo Alsina,001,0001 ,0033,374,3,18,56,0,8,6,71,18,109
16,Adolfo Alsina,001,0001 ,0034,374,5,12,47,1,3,5,85,31,76
16,Adolfo Alsina,001,0001 ,0035,374,4,13,57,0,4,22,73,24,89
16,Adolfo Alsina,001,0001 ,0036,374,2,11,62,5,5,6,72,31,93
16,Adolfo Alsina,001,0001 ,0037,374,7,11,42,3,9,2,81,35,82
16,Adolfo Alsina,001,0001 ,0038,374,3,12,52,2,1,5,63,27,112
16,Adolfo Alsina,001,0001 ,0039,374,4,11,36,5,5,4,60,32,99
16,Adolfo Alsina,001,0001 ,0040,373,4,4,52,8,2,7,73,33,101
16,Adolfo Alsina,001,0001 ,0041,373,11,6,70,5,6,6,88,23,83
16,Adolfo Alsina,001,0001 ,0042,373,3,9,49,3,7,14,74,36,69
16,Adolfo Alsina,001,0001 ,0043,373,3,12,55,1,8,9,80,42,72
16,Adolfo Alsina,001,0001 ,0044,373,3,9,53,4,4,7,82,40,81
16,Adolfo Alsina,001,0001 ,0045,373,0,14,48,4,4,10,60,33,124
16,Adolfo Alsina,001,0001 ,0046,373,7,13,39,2,5,1,94,27,74
16,Adolfo Alsina,001,0001 ,0047,373,0,6,43,4,2,7,83,32,96
16,Adolfo Alsina,001,0001 ,0048,373,7,15,59,3,3,5,82,29,86
16,Adolfo Alsina,001,0001 ,0049,373,3,17,54,3,2,5,77,24,93
16,Adolfo Alsina,001,0001 ,0050,373,6,6,40,0,6,7,63,48,105
16,Adolfo Alsina,001,0001 ,0051,373,6,6,50,3,5,7,88,39,80
16,Adolfo Alsina,001,0001 ,0052,373,4,13,45,2,2,9,79,40,77
16,Adolfo Alsina,001,0001 ,0053,373,5,5,46,3,5,3,91,39,91
16,Adolfo Alsina,001,0001 ,0054,373,5,10,54,6,4,3,54,32,96
16,Adolfo Alsina,001,0001 ,0055,373,5,10,60,4,4,9,72,23,81
16,Adolfo Alsina,001,0001 ,0056,373,7,11,52,2,4,3,74,24,84
16,Adolfo Alsina,001,0001 ,0057,373,2,8,48,2,3,4,72,53,75
16,Adolfo Alsina,001,0001 ,0612,378,3,9,62,3,7,5,65,31,72
16,Adolfo Alsina,001,0001 ,0613,378,3,6,44,2,3,7,61,38,83
16,Adolfo Alsina,001,0001 ,0614,378,7,14,58,8,10,4,71,25,91
16,Adolfo Alsina,001,0001 ,0615,378,7,11,53,9,7,2,56,48,75
16,Adolfo Alsina,001,0001 ,0616,378,4,4,49,5,6,2,68,36,73
16,Adolfo Alsina,001,0001 ,0617,378,0,6,53,5,12,4,67,28,83
16,Adolfo Alsina,001,0001 ,0618,377,2,11,51,4,8,10,59,39,85
16,Adolfo Alsina,001,0001 ,0619,377,0,0,88,2,14,4,45,39,74
16,Adolfo Alsina,001,0001 ,0620,377,1,17,58,2,5,6,53,33,84
16,Adolfo Alsina,001,0001 ,0621,377,3,9,73,3,11,5,63,33,86
