codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0014,0501,0534
16,Adolfo Alsina,001,0001 ,0001,351,20,5,53,14,109,75
16,Adolfo Alsina,001,0001 ,0002,352,18,7,52,15,103,68
16,Adolfo Alsina,001,0001 ,0003,349,27,9,35,15,103,83
16,Adolfo Alsina,001,0001 ,0004,351,12,5,42,12,113,80
16,Adolfo Alsina,001,0001 ,0005,350,12,7,47,19,103,74
16,Adolfo Alsina,001,0001 ,0006,347,26,9,59,13,76,84
16,Adolfo Alsina,001,0001 ,0007,347,31,1,54,8,111,62
16,Adolfo Alsina,001,0001 ,0008,350,17,2,35,23,107,71
16,Adolfo Alsina,001,0001 ,0009,349,24,7,41,13,110,69
16,Adolfo Alsina,001,0001 ,0010,352,25,8,48,14,99,75
16,Adolfo Alsina,001,0001 ,0011,349,31,4,56,11,91,74
16,Adolfo Alsina,001,0001 ,0012,348,16,2,57,5,91,99
16,Adolfo Alsina,001,0001 ,0013,352,21,8,61,9,86,70
16,Adolfo Alsina,001,0001 ,0014,348,14,4,54,26,112,68
16,Adolfo Alsina,001,0001 ,0015,350,11,6,62,10,96,76
16,Adolfo Alsina,001,0001 ,0016,350,20,2,60,13,79,92
16,Adolfo Alsina,001,0001 ,0017,347,2,5,57,18,85,94
16,Adolfo Alsina,001,0001 ,0018,352,14,2,54,16,108,78
16,Adolfo Alsina,001,0001 ,0019,350,16,3,42,22,113,73
16,Adolfo Alsina,001,0001 ,0020,349,13,8,54,17,124,58
16,Adolfo Alsina,001,0001 ,0021,352,10,6,66,19,104,59
16,Adolfo Alsina,001,0001 ,0022,351,16,7,52,10,103,71
16,Adolfo Alsina,001,0001 ,0023,349,14,3,43,11,124,58
16,Adolfo Alsina,001,0001 ,0024,351,17,6,62,14,110,67
16,Adolfo Alsina,001,0001 ,0025,350,13,7,51,17,92,67
16,Adolfo Alsina,001,0001 ,0026,351,29,1,47,18,96,80
16,Adolfo Alsina,001,0001 ,0027,351,28,6,53,10,114,76
16,Adolfo Alsina,001,0001 ,0028,347,34,11,41,9,141,52
16,Adolfo Alsina,001,0001 ,0029,353,20,3,66,12,94,81
16,Adolfo Alsina,001,0001 ,0030,352,29,8,52,12,113,64
16,Adolfo Alsina,001,0001 ,0031,350,30,5,49,9,109,70
16,Adolfo Alsina,001,0001 ,0032,351,5,7,48,18,70,120
16,Adolfo Alsina,001,0001 ,0033,350,13,2,46,16,134,78
16,Adolfo Alsina,001,0001 ,0034,350,14,7,48,17,98,70
16,Adolfo Alsina,001,0001 ,0035,351,22,2,45,14,109,74
16,Adolfo Alsina,001,0001 ,0036,349,25,3,51,13,107,70
16,Adolfo Alsina,001,0001 ,0037,349,20,4,47,6,88,93
16,Adolfo Alsina,001,0001 ,0038,348,22,6,49,19,96,77
16,Adolfo Alsina,001,0001 ,0039,350,21,4,44,25,98,73
16,Adolfo Alsina,001,0001 ,0040,346,26,7,47,16,84,81
16,Adolfo Alsina,001,0001 ,0041,351,9,4,61,15,104,83
16,Adolfo Alsina,001,0001 ,0042,350,18,0,63,13,107,72
16,Adolfo Alsina,001,0001 ,0043,348,14,2,59,15,88,80
16,Adolfo Alsina,001,0001 ,0044,350,22,5,60,13,104,68
16,Adolfo Alsina,001,0001 ,0045,351,16,4,44,18,95,78
16,Adolfo Alsina,001,0001 ,0046,352,18,5,78,11,108,50
16,Adolfo Alsina,001,0001 ,0047,348,22,4,69,20,93,70
16,Adolfo Alsina,001,0001 ,0048,349,27,12,62,16,80,86
16,Adolfo Alsina,001,0001 ,0049,352,16,2,55,13,112,74
16,Adolfo Alsina,001,0001 ,0050,351,18,8,53,18,88,85
16,Adolfo Alsina,001,0001 ,0051,349,12,19,45,13,95,68
16,Adolfo Alsina,001,0001 ,0052,346,12,2,45,19,87,87
16,Adolfo Alsina,001,0001 ,0053,351,11,9,53,16,124,77
16,Adolfo Alsina,001,0001 ,0054,351,23,4,52,14,89,73
16,Adolfo Alsina,001,0001 ,0055,351,17,5,55,19,115,57
16,Adolfo Alsina,001,0001 ,0056,351,0,0,46,20,97,84
16,Adolfo Alsina,001,0001 ,0057,349,22,2,49,18,144,38
16,Adolfo Alsina,001,0001 ,0058,351,13,3,43,16,106,80
16,Adolfo Alsina,001,0001 ,0059,349,39,1,55,15,79,78
16,Adolfo Alsina,001,0001 ,0060,350,20,5,35,18,109,69
16,Adolfo Alsina,001,0001 ,0061,350,22,5,43,10,136,57
16,Adolfo Alsina,001,0001 ,0062,350,17,9,34,17,142,63
16,Adolfo Alsina,001,0001 ,0063,353,33,6,55,19,87,61
16,Adolfo Alsina,001,0001 ,0064,350,20,6,54,16,99,79
16,Adolfo Alsina,001,0001 ,0065,349,1,5,45,23,106,72
