codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0047,0050,0501,0503,0523,0567
16,Adolfo Alsina,001,0002 ,0161,325,4,6,29,4,82,5,79,1
16,Adolfo Alsina,001,0002 ,0162,325,3,4,28,4,116,2,55,1
16,Adolfo Alsina,001,0002 ,0163,325,0,4,20,1,101,5,61,5
16,Adolfo Alsina,001,0002 ,0164,324,2,4,27,4,94,2,50,1
16,Adolfo Alsina,001,0002 ,0165,324,2,8,26,0,89,6,66,2
16,Adolfo Alsina,001,0002 ,0166,324,2,3,27,6,103,2,65,6
16,Adolfo Alsina,001,0003 ,0167,20,0,0,0,0,3,0,5,0
16,Adolfo Alsina,001,0004 ,0168,271,0,1,14,0,61,3,83,2
16,Adolfo Alsina,001,0004 ,0169,271,0,4,14,1,60,4,88,2
16,Adolfo Alsina,001,0004 ,0170,270,4,6,12,0,72,1,88,3
16,Adolfo Alsina,001,0101 ,0001,328,1,3,38,10,61,2,123,4
16,Adolfo Alsina,001,0101 ,0002,328,1,2,37,12,60,12,107,3
16,Adolfo Alsina,001,0101 ,0003,328,2,3,29,8,63,5,126,6
16,Adolfo Alsina,001,0101 ,0004,327,4,6,28,11,52,12,132,3
16,Adolfo Alsina,001,0101 ,0005,327,0,3,30,6,62,11,123,6
16,Adolfo Alsina,001,0101 ,0006,327,1,2,42,8,67,6,103,6
16,Adolfo Alsina,001,0101 ,0007,327,1,5,33,3,49,8,135,2
16,Adolfo Alsina,001,0101 ,0008,327,4,3,33,4,71,6,129,3
16,Adolfo Alsina,001,0101 ,0009,327,0,0,24,12,53,2,148,4
16,Adolfo Alsina,001,0101 ,0010,327,5,6,31,1,45,4,142,2
16,Adolfo Alsina,001,0101 ,0011,327,0,4,27,8,58,10,116,3
16,Adolfo Alsina,001,0102 ,0012,326,3,9,41,6,98,11,50,3
16,Adolfo Alsina,001,0102 ,0013,326,2,14,41,5,114,1,61,4
16,Adolfo Alsina,001,0102 ,0014,326,4,16,47,3,115,6,46,7
16,Adolfo Alsina,001,0102 ,0015,326,2,7,50,3,103,9,52,2
16,Adolfo Alsina,001,0102 ,0016,326,1,17,49,9,104,14,39,7
16,Adolfo Alsina,001,0102 ,0017,326,2,14,51,5,116,7,57,3
16,Adolfo Alsina,001,0102 ,0018,325,4,6,44,7,97,6,57,4
16,Adolfo Alsina,001,0102 ,0019,325,4,9,42,9,114,5,51,3
16,Adolfo Alsina,001,0102 ,0020,325,4,12,54,6,109,5,60,4
16,Adolfo Alsina,001,0102 ,0021,325,3,7,51,14,115,6,43,1
16,Adolfo Alsina,001,0102 ,0022,325,5,7,56,4,106,6,61,2
16,Adolfo Alsina,001,0103 ,0023,295,0,6,28,6,67,12,103,8
16,Adolfo Alsina,001,0103 ,0024,295,0,8,50,7,76,8,82,4
16,Adolfo Alsina,001,0103 ,0025,295,2,7,40,12,62,8,92,5
16,Adolfo Alsina,001,0103 ,0026,294,2,9,55,5,81,12,77,5
16,Adolfo Alsina,001,0103 ,0027,294,1,7,43,14,59,7,100,4
16,Adolfo Alsina,001,0103 ,0028,294,1,1,58,6,68,12,91,1
16,Adolfo Alsina,001,0104 ,0029,329,5,12,39,10,81,11,74,2
16,Adolfo Alsina,001,0104 ,0030,328,4,6,35,4,113,13,74,5
16,Adolfo Alsina,001,0104 ,0031,328,2,12,48,8,101,4,72,4
16,Adolfo Alsina,001,0104 ,0032,328,1,8,49,4,76,8,78,6
16,Adolfo Alsina,001,0104 ,0033,328,3,12,36,7,103,4,74,5
16,Adolfo Alsina,001,0104 ,0034,328,2,6,40,6,95,9,91,7
16,Adolfo Alsina,001,0104 ,0035,328,3,7,41,5,105,11,59,7
16,Adolfo Alsina,001,0104 ,0036,328,2,7,39,4,97,13,72,9
16,Adolfo Alsina,001,0104 ,0037,328,3,12,48,5,93,8,84,7
16,Adolfo Alsina,001,0104 ,0038,328,1,4,38,10,100,11,77,4
16,Adolfo Alsina,001,0104 ,0039,328,2,12,42,6,99,10,77,2
16,Adolfo Alsina,001,0105 ,0040,318,0,8,34,5,136,6,37,5
16,Adolfo Alsina,001,0105 ,0041,318,2,9,40,7,109,6,45,3
16,Adolfo Alsina,001,0105 ,0042,318,2,9,33,3,126,11,41,6
16,Adolfo Alsina,001,0105 ,0043,318,1,15,27,3,132,8,42,3
16,Adolfo Alsina,001,0105 ,0044,318,3,7,31,2,132,7,46,5
16,Adolfo Alsina,001,0105 ,0045,318,3,12,38,8,117,5,47,5
16,Adolfo Alsina,001,0105 ,0046,318,3,10,29,5,120,5,45,4
16,Adolfo Alsina,001,0105 ,0047,318,6,6,42,4,137,6,30,9
16,Adolfo Alsina,001,0105 ,0048,318,2,16,36,4,134,9,34,7
16,Adolfo Alsina,001,0105 ,0049,317,3,16,45,3,109,4,46,2
