codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0013,0038,0050,0161,0501,0523
16,Adolfo Alsina,001,0002 ,0151,328,70,0,0,1,2,1,80,32
16,Adolfo Alsina,001,0002 ,0152,332,56,0,7,0,4,7,79,43
16,Adolfo Alsina,001,0002 ,0153,325,60,0,1,0,0,0,103,34
16,Adolfo Alsina,001,0002 ,0154,328,64,2,1,2,1,0,76,31
16,Adolfo Alsina,001,0002 ,0155,337,63,1,0,0,1,1,97,48
16,Adolfo Alsina,001,0003 ,0156,18,0,0,0,0,0,0,0,1
16,Adolfo Alsina,001,0004 ,0157,268,28,1,0,0,5,1,61,58
16,Adolfo Alsina,001,0004 ,0158,273,50,0,0,2,4,2,67,53
16,Adolfo Alsina,001,0004 ,0159,270,39,0,1,0,2,2,75,47
16,Adolfo Alsina,001,0101 ,0001,351,31,2,0,0,15,0,44,100
16,Adolfo Alsina,001,0101 ,0002,352,82,1,2,1,16,4,83,80
16,Adolfo Alsina,001,0101 ,0003,349,64,1,1,3,15,6,66,102
16,Adolfo Alsina,001,0101 ,0004,350,77,1,2,0,15,5,61,104
16,Adolfo Alsina,001,0101 ,0005,347,77,4,0,2,9,5,68,88
16,Adolfo Alsina,001,0101 ,0006,348,91,0,0,3,0,4,68,90
16,Adolfo Alsina,001,0101 ,0007,346,80,2,1,1,14,2,68,95
16,Adolfo Alsina,001,0101 ,0008,348,65,4,2,1,8,1,75,105
16,Adolfo Alsina,001,0101 ,0009,347,74,0,1,2,22,7,57,93
16,Adolfo Alsina,001,0101 ,0010,350,77,0,1,0,1,4,73,98
16,Adolfo Alsina,001,0102 ,0011,325,83,5,0,0,5,0,100,37
16,Adolfo Alsina,001,0102 ,0012,325,83,4,0,0,1,2,107,34
16,Adolfo Alsina,001,0102 ,0013,325,79,9,0,0,8,1,118,27
16,Adolfo Alsina,001,0102 ,0014,323,71,7,3,0,5,5,100,28
16,Adolfo Alsina,001,0102 ,0015,322,96,5,0,0,4,1,109,0
16,Adolfo Alsina,001,0102 ,0016,324,91,6,1,0,3,4,97,32
16,Adolfo Alsina,001,0102 ,0017,323,81,3,2,1,4,4,83,33
16,Adolfo Alsina,001,0102 ,0018,323,99,1,1,2,2,0,98,26
16,Adolfo Alsina,001,0102 ,0019,322,111,4,1,0,5,1,86,41
16,Adolfo Alsina,001,0102 ,0020,324,93,0,2,1,4,1,107,32
16,Adolfo Alsina,001,0102 ,0021,323,93,5,1,0,1,4,107,35
16,Adolfo Alsina,001,0103 ,0022,329,74,5,4,3,13,4,73,69
16,Adolfo Alsina,001,0103 ,0023,328,113,4,1,1,10,0,69,58
16,Adolfo Alsina,001,0103 ,0024,328,86,2,3,0,11,0,84,72
16,Adolfo Alsina,001,0103 ,0025,330,81,4,4,1,14,4,75,73
