codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00008,00005,00009,00086,00002
16,001,ADOLFO ALSINA,03749,077092,0,0,41,1,67,41,49,0
16,001,ADOLFO ALSINA,03749,077093,0,0,40,6,92,31,38,5
16,001,ADOLFO ALSINA,03749,077094,0,0,29,0,95,32,52,1
16,001,ADOLFO ALSINA,03749,077095,0,0,46,4,99,27,32,1
16,001,ADOLFO ALSINA,03749,077096,0,0,44,2,96,35,45,0
16,001,ADOLFO ALSINA,03749,077097,0,0,36,3,97,28,53,2
16,001,ADOLFO ALSINA,03750,077098,0,0,0,0,1,4,3,0
16,001,ADOLFO ALSINA,03751,077099,0,0,16,4,44,53,31,1
16,001,ADOLFO ALSINA,03751,077100,0,0,14,6,51,43,50,1
16,001,ADOLFO ALSINA,03751,077101,0,0,42,3,43,37,53,0
16,001,ADOLFO ALSINA,03752,077102,0,0,28,15,60,53,81,4
16,001,ADOLFO ALSINA,03752,077103,0,0,7,17,68,37,75,4
16,001,ADOLFO ALSINA,03752,077104,0,0,37,11,56,67,71,4
16,001,ADOLFO ALSINA,03752,077105,0,0,24,14,44,62,80,3
16,001,ADOLFO ALSINA,03752,077106,0,0,16,16,66,49,80,4
16,001,ADOLFO ALSINA,03752,077107,0,0,1,9,72,50,78,0
16,001,ADOLFO ALSINA,03752,077108,0,0,21,8,58,59,65,5
16,001,ADOLFO ALSINA,03752,077109,0,0,33,9,66,50,76,3
16,001,ADOLFO ALSINA,03752,077110,0,0,27,7,60,68,62,7
16,001,ADOLFO ALSINA,03752,077111,0,0,34,4,49,53,0,1
16,001,ADOLFO ALSINA,03752,077112,0,0,65,10,62,52,77,1
16,001,ADOLFO ALSINA,03753,077113,0,0,0,5,97,23,56,0
16,001,ADOLFO ALSINA,03753,077114,0,0,0,5,113,0,55,1
16,001,ADOLFO ALSINA,03753,077115,0,0,0,3,118,14,57,1
16,001,ADOLFO ALSINA,03753,077116,0,0,0,8,93,19,38,0
16,001,ADOLFO ALSINA,03753,077117,0,0,0,10,117,17,52,2
16,001,ADOLFO ALSINA,03753,077118,0,0,0,0,0,0,0,0
16,001,ADOLFO ALSINA,03753,077119,0,0,38,9,85,17,65,3
16,001,ADOLFO ALSINA,03753,077120,0,0,0,6,103,18,67,3
16,001,ADOLFO ALSINA,03753,077121,0,0,47,8,111,20,47,3
16,001,ADOLFO ALSINA,03753,077122,0,0,0,3,101,21,51,0
16,001,ADOLFO ALSINA,03753,077123,0,0,0,10,90,25,59,3
16,001,ADOLFO ALSINA,03754,077124,0,0,62,10,71,18,85,5
16,001,ADOLFO ALSINA,03754,077125,0,0,0,9,67,35,77,3
16,001,ADOLFO ALSINA,03754,077126,0,0,40,7,63,38,87,7
16,001,ADOLFO ALSINA,03754,077127,0,0,34,11,64,33,81,3
16,001,ADOLFO ALSINA,03754,077128,0,0,36,9,74,38,89,5
16,001,ADOLFO ALSINA,03754,077129,0,0,53,6,62,30,76,1
16,001,ADOLFO ALSINA,03755,077130,0,0,0,11,68,26,78,4
16,001,ADOLFO ALSINA,03755,077131,0,0,12,9,95,37,64,3
16,001,ADOLFO ALSINA,03755,077132,0,0,0,3,79,36,78,1
16,001,ADOLFO ALSINA,03755,077133,0,0,38,10,70,44,98,2
16,001,ADOLFO ALSINA,03755,077134,0,0,58,8,88,33,69,2
16,001,ADOLFO ALSINA,03755,077135,0,0,26,7,91,33,80,5
16,001,ADOLFO ALSINA,03755,077136,0,0,0,6,110,37,50,1
16,001,ADOLFO ALSINA,03755,077137,0,0,44,3,91,28,64,2
16,001,ADOLFO ALSINA,03755,077138,0,0,36,15,96,30,58,1
16,001,ADOLFO ALSINA,03755,077139,0,0,44,9,84,37,65,1
16,001,ADOLFO ALSINA,03755,077140,0,0,52,13,80,38,47,8
16,001,ADOLFO ALSINA,03756,077141,0,0,32,4,110,14,53,2
16,001,ADOLFO ALSINA,03756,077142,0,0,44,2,105,6,74,3
16,001,ADOLFO ALSINA,03756,077143,0,0,65,5,101,14,55,0
16,001,ADOLFO ALSINA,03756,077144,0,0,60,4,99,12,51,2
16,001,ADOLFO ALSINA,03756,077145,0,0,54,6,91,16,54,1
16,001,ADOLFO ALSINA,03756,077146,0,0,41,2,103,10,51,0
16,001,ADOLFO ALSINA,03756,077147,0,0,34,3,114,14,62,0
16,001,ADOLFO ALSINA,03756,077148,0,0,55,1,114,12,42,2
16,001,ADOLFO ALSINA,03756,077149,0,0,40,4,109,3,51,3
16,001,ADOLFO ALSINA,03756,077150,0,0,0,5,99,13,60,3
16,001,ADOLFO ALSINA,03757,077151,0,0,48,3,133,14,43,4
16,001,ADOLFO ALSINA,03757,077152,0,0,34,2,149,4,40,5
16,001,ADOLFO ALSINA,03757,077153,0,0,48,7,138,3,50,2
16,001,ADOLFO ALSINA,03757,077154,0,0,50,2,127,5,41,4
16,001,ADOLFO ALSINA,03757,077155,0,0,47,7,130,7,51,0
16,001,ADOLFO ALSINA,03758,077156,0,0,0,16,80,30,78,3
16,001,ADOLFO ALSINA,03758,077157,0,0,45,16,86,29,70,1
16,001,ADOLFO ALSINA,03758,077158,0,0,41,7,85,35,75,5
16,001,ADOLFO ALSINA,03758,077159,0,0,46,9,91,23,64,8
16,001,ADOLFO ALSINA,03758,077160,0,0,0,11,103,28,71,2
16,001,ADOLFO ALSINA,03758,077161,0,0,33,2,95,23,74,4
16,001,ADOLFO ALSINA,03758,077162,0,0,34,9,108,20,63,5
16,001,ADOLFO ALSINA,03758,077163,0,0,36,11,89,28,64,4
16,001,ADOLFO ALSINA,03758,077164,0,0,29,10,97,0,88,3
16,001,ADOLFO ALSINA,03759,077165,0,0,41,11,65,57,55,2
16,001,ADOLFO ALSINA,03759,077166,0,0,44,9,70,43,69,1
16,001,ADOLFO ALSINA,03759,077167,0,0,35,9,59,60,64,6
16,001,ADOLFO ALSINA,03759,077168,0,0,1,11,67,41,71,2
16,001,ADOLFO ALSINA,03759,077169,0,0,46,15,58,43,66,3
16,001,ADOLFO ALSINA,03759,077170,0,0,2,7,60,46,82,2
16,001,ADOLFO ALSINA,03759,077171,0,0,32,5,71,43,65,5
16,001,ADOLFO ALSINA,03760,077172,0,0,48,12,87,17,59,6
16,001,ADOLFO ALSINA,03760,077173,0,0,42,8,98,21,73,3
16,001,ADOLFO ALSINA,03760,077174,0,0,39,9,89,30,69,5
16,001,ADOLFO ALSINA,03760,077175,0,0,38,8,88,24,0,4
16,001,ADOLFO ALSINA,03760,077176,0,0,0,4,94,29,64,0
16,001,ADOLFO ALSINA,03760,077177,0,0,63,7,78,13,71,3
16,001,ADOLFO ALSINA,03760,077178,0,0,56,0,0,0,0,2
16,001,ADOLFO ALSINA,03760,077179,0,0,42,6,83,21,71,2
16,001,ADOLFO ALSINA,03761,077180,0,0,26,7,52,65,59,3
16,001,ADOLFO ALSINA,03761,077181,0,0,25,8,60,68,67,2
16,001,ADOLFO ALSINA,03761,077182,0,0,26,6,58,64,62,1
16,001,ADOLFO ALSINA,03761,077183,0,0,22,7,46,51,77,5
16,001,ADOLFO ALSINA,03761,077184,0,0,24,10,43,57,71,2
16,001,ADOLFO ALSINA,03761,077185,0,0,36,10,43,72,60,2
16,001,ADOLFO ALSINA,03761,077186,0,0,30,7,46,66,65,5
16,001,ADOLFO ALSINA,03762,077187,0,0,46,8,87,26,56,3
16,001,ADOLFO ALSINA,03762,077188,0,0,35,4,77,22,88,4
16,001,ADOLFO ALSINA,03762,077189,0,0,62,8,73,25,65,3
16,001,ADOLFO ALSINA,03762,077190,0,0,36,6,100,18,65,4
16,001,ADOLFO ALSINA,03762,077191,0,0,34,9,91,18,59,2
16,001,ADOLFO ALSINA,03762,077192,0,0,43,6,82,20,67,4
16,001,ADOLFO ALSINA,03762,077193,0,0,14,7,78,22,52,2
16,001,ADOLFO ALSINA,03762,077194,0,0,37,5,79,22,56,2
16,001,ADOLFO ALSINA,03762,077195,0,0,48,11,83,28,58,4
16,001,ADOLFO ALSINA,03763,077196,0,0,67,2,92,20,56,1
16,001,ADOLFO ALSINA,03763,077197,0,0,60,7,86,0,61,1
16,001,ADOLFO ALSINA,03763,077198,0,0,47,4,112,0,52,1
16,001,ADOLFO ALSINA,03763,077199,0,0,35,3,112,21,62,3
16,001,ADOLFO ALSINA,03763,077200,0,0,47,4,104,22,50,4
16,001,ADOLFO ALSINA,03763,077201,0,0,40,3,102,30,56,1
16,001,ADOLFO ALSINA,03763,077202,0,0,34,7,95,22,69,0
16,001,ADOLFO ALSINA,03763,077203,0,0,45,5,102,22,49,1
16,001,ADOLFO ALSINA,03763,077204,0,0,0,7,85,23,62,2
16,001,ADOLFO ALSINA,03764,077205,0,0,0,8,52,42,63,0
16,001,ADOLFO ALSINA,03764,077206,0,0,3,4,82,33,61,1
16,001,ADOLFO ALSINA,03764,077207,0,0,32,9,76,42,66,6
16,001,ADOLFO ALSINA,03764,077208,0,0,24,6,74,28,81,3
16,001,ADOLFO ALSINA,03764,077209,0,0,36,6,52,32,78,0
16,001,ADOLFO ALSINA,03764,077210,0,0,35,8,67,37,54,5
16,001,ADOLFO ALSINA,03764,077211,0,0,33,7,77,39,68,1
16,001,ADOLFO ALSINA,03765,077212,0,0,50,9,69,33,73,5
16,001,ADOLFO ALSINA,03765,077213,0,0,54,6,98,22,63,2
16,001,ADOLFO ALSINA,03765,077214,0,0,55,10,102,32,49,2
16,001,ADOLFO ALSINA,03765,077215,0,0,49,11,73,34,77,6
16,001,ADOLFO ALSINA,03765,077216,0,0,50,6,94,37,59,5
16,001,ADOLFO ALSINA,03765,077217,0,0,46,9,92,30,64,0
16,001,ADOLFO ALSINA,03765,077218,0,0,40,7,100,24,64,2
16,001,ADOLFO ALSINA,03765,077219,0,0,56,4,99,29,57,3
16,001,ADOLFO ALSINA,03765,077220,0,0,0,4,93,20,67,0
16,001,ADOLFO ALSINA,03765,077221,0,0,52,7,97,33,61,1
16,001,ADOLFO ALSINA,03765,077222,0,0,62,10,85,20,75,6
16,001,ADOLFO ALSINA,03765,077223,0,0,39,4,86,41,76,2
