codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00002,00086,00005,00008
16,001,Adolfo Alsina,00002,000161,336,61,4,0,67,70,1
16,001,Adolfo Alsina,00002,000162,337,50,2,5,59,93,5
16,001,Adolfo Alsina,00002,000163,332,52,3,1,60,96,0
16,001,Adolfo Alsina,00002,000164,331,47,2,1,58,99,4
16,001,Adolfo Alsina,00002,000165,332,69,2,2,52,97,2
16,001,Adolfo Alsina,00002,000166,331,54,2,2,53,102,3
16,001,Adolfo Alsina,00003,000167,22,4,0,0,4,1,0
16,001,Adolfo Alsina,00004,000168,284,67,3,1,36,44,4
16,001,Adolfo Alsina,00004,000169,278,53,9,1,64,51,6
16,001,Adolfo Alsina,00004,000170,280,65,0,0,67,43,3
16,001,Adolfo Alsina,00101,000001,339,65,4,4,105,60,13
16,001,Adolfo Alsina,00101,000010,337,57,1,0,122,56,4
16,001,Adolfo Alsina,00101,000011,383,58,3,0,111,61,9
16,001,Adolfo Alsina,00101,000002,337,41,14,4,105,69,14
16,001,Adolfo Alsina,00101,000003,339,79,4,3,103,59,9
16,001,Adolfo Alsina,00101,000004,336,67,5,4,114,49,10
16,001,Adolfo Alsina,00101,000005,335,52,3,4,112,63,13
16,001,Adolfo Alsina,00101,000006,334,58,3,0,116,71,9
16,001,Adolfo Alsina,00101,000007,337,61,10,3,104,59,9
16,001,Adolfo Alsina,00101,000008,336,58,3,2,113,67,11
16,001,Adolfo Alsina,00101,000009,336,72,4,8,105,60,6
16,001,Adolfo Alsina,00102,000012,317,65,5,0,68,100,4
16,001,Adolfo Alsina,00102,000013,317,24,29,1,75,117,5
16,001,Adolfo Alsina,00102,000014,321,27,34,1,63,120,3
16,001,Adolfo Alsina,00102,000015,320,13,25,0,55,117,8
16,001,Adolfo Alsina,00102,000016,320,37,31,2,57,120,9
16,001,Adolfo Alsina,00102,000017,319,51,23,1,73,105,6
16,001,Adolfo Alsina,00102,000018,321,48,12,3,72,88,7
16,001,Adolfo Alsina,00102,000019,316,58,0,3,72,109,5
16,001,Adolfo Alsina,00102,000020,320,59,12,3,53,113,7
16,001,Adolfo Alsina,00102,000021,321,46,16,0,68,102,4
16,001,Adolfo Alsina,00102,000022,324,50,6,3,78,106,9
16,001,Adolfo Alsina,00103,000023,312,53,0,5,104,78,10
16,001,Adolfo Alsina,00103,000024,315,54,5,2,109,71,8
16,001,Adolfo Alsina,00103,000025,314,65,14,6,109,66,7
16,001,Adolfo Alsina,00103,000026,311,57,10,4,103,62,9
16,001,Adolfo Alsina,00103,000027,312,60,5,5,112,75,7
16,001,Adolfo Alsina,00103,000028,317,55,5,2,99,66,4
16,001,Adolfo Alsina,00104,000029,335,60,0,3,100,69,10
16,001,Adolfo Alsina,00104,000030,337,76,0,1,78,104,7
16,001,Adolfo Alsina,00104,000031,336,65,0,1,96,89,3
16,001,Adolfo Alsina,00104,000032,334,47,6,2,117,78,10
16,001,Adolfo Alsina,00104,000033,334,69,6,2,85,94,8
16,001,Adolfo Alsina,00104,000034,339,39,20,5,98,93,7
16,001,Adolfo Alsina,00104,000035,333,59,0,1,74,109,6
16,001,Adolfo Alsina,00104,000036,340,51,5,1,90,96,3
16,001,Adolfo Alsina,00104,000037,337,51,11,1,84,96,14
16,001,Adolfo Alsina,00104,000038,335,60,10,1,95,84,9
16,001,Adolfo Alsina,00104,000039,339,74,11,7,74,80,11
16,001,Adolfo Alsina,00105,000040,318,39,11,2,60,110,3
16,001,Adolfo Alsina,00105,000041,313,39,13,3,83,107,2
16,001,Adolfo Alsina,00105,000042,315,62,3,0,68,105,5
16,001,Adolfo Alsina,00105,000043,316,57,1,2,63,101,4
16,001,Adolfo Alsina,00105,000044,313,50,20,1,71,89,6
16,001,Adolfo Alsina,00105,000045,318,42,15,0,60,104,2
16,001,Adolfo Alsina,00105,000046,319,47,2,0,67,119,4
16,001,Adolfo Alsina,00105,000047,317,54,15,2,47,119,2
16,001,Adolfo Alsina,00105,000048,317,37,25,2,61,108,4
16,001,Adolfo Alsina,00105,000049,318,50,3,3,74,98,6
16,001,Adolfo Alsina,00106,000050,350,43,21,4,53,139,2
16,001,Adolfo Alsina,00106,000051,351,55,0,5,47,151,2
16,001,Adolfo Alsina,00106,000052,347,38,12,2,63,138,7
16,001,Adolfo Alsina,00106,000053,349,46,9,4,45,131,2
16,001,Adolfo Alsina,00106,000054,347,43,18,0,57,136,7
16,001,Adolfo Alsina,00107,000055,333,34,28,5,93,82,15
16,001,Adolfo Alsina,00107,000056,331,61,5,1,84,87,14
16,001,Adolfo Alsina,00107,000057,333,56,12,5,98,91,4
16,001,Adolfo Alsina,00107,000058,333,55,7,8,83,92,9
16,001,Adolfo Alsina,00107,000059,331,36,18,2,89,103,11
16,001,Adolfo Alsina,00107,000060,327,42,13,5,102,91,2
16,001,Adolfo Alsina,00107,000061,333,36,4,5,79,120,9
16,001,Adolfo Alsina,00107,000062,334,52,18,3,83,93,8
16,001,Adolfo Alsina,00107,000063,334,40,8,3,103,104,9
16,001,Adolfo Alsina,00108,000064,327,73,5,0,90,70,11
16,001,Adolfo Alsina,00108,000065,328,69,2,2,89,69,7
16,001,Adolfo Alsina,00108,000066,327,78,4,6,89,60,8
16,001,Adolfo Alsina,00108,000067,328,1,66,3,93,67,10
16,001,Adolfo Alsina,00108,000068,329,67,0,3,91,60,10
16,001,Adolfo Alsina,00108,000069,328,2,57,1,102,64,6
16,001,Adolfo Alsina,00108,000070,328,54,5,5,91,73,5
16,001,Adolfo Alsina,00109,000071,313,49,7,6,84,89,10
16,001,Adolfo Alsina,00109,000072,310,45,1,3,88,101,8
16,001,Adolfo Alsina,00109,000073,310,57,0,5,83,87,9
16,001,Adolfo Alsina,00109,000074,311,52,15,4,62,87,8
16,001,Adolfo Alsina,00109,000075,313,65,24,2,71,93,3
16,001,Adolfo Alsina,00109,000076,311,53,7,2,87,79,7
