codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0003,0005,0022,0041,0054,0058,0071,0072,0160,0162,0163,0164
17,Capital                                 ,001,0001A,1001,365,6,9,10,8,3,6,4,23,6,0,2,43,57,51,8
17,Capital                                 ,001,0001A,1002,365,4,4,9,6,2,4,6,0,3,0,2,42,54,56,4
17,Capital                                 ,001,0001A,1003,365,6,2,11,14,4,3,2,19,2,0,1,39,64,50,4
17,Capital                                 ,001,0001A,1004,364,3,2,11,11,5,3,7,16,4,0,0,48,49,49,3
17,Capital                                 ,001,0001A,1005,364,1,7,13,14,2,1,3,9,5,1,1,44,58,55,2
17,Capital                                 ,001,0001A,3001,406,8,3,13,15,4,6,3,22,7,0,5,45,69,48,3
17,Capital                                 ,001,0001A,3002,406,6,7,12,16,4,3,5,17,1,0,2,40,63,68,5
17,Capital                                 ,001,0001A,3003,405,6,7,6,17,6,4,8,20,3,0,2,39,73,68,3
17,Capital                                 ,001,0001A,3004,405,0,0,11,9,6,4,4,15,2,0,4,37,77,66,7
17,Capital                                 ,001,0001A,3005,405,3,4,14,8,4,8,4,22,4,0,2,41,73,60,5
17,Capital                                 ,001,0001A,3006,405,0,7,17,8,2,5,7,0,4,0,2,31,74,85,20
17,Capital                                 ,001,0001A,5000,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Capital                                 ,001,0001A,5001,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Capital                                 ,001,0001A,5002,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Capital                                 ,001,0001A,5003,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Capital                                 ,001,0001A,5004,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Capital                                 ,001,0001B,1006,359,7,4,2,3,4,5,4,13,0,0,5,33,62,64,3
17,Capital                                 ,001,0001B,1007,359,5,2,8,14,5,1,2,14,3,0,1,21,50,66,3
17,Capital                                 ,001,0001B,1008,359,6,2,7,9,4,5,8,9,1,0,2,27,50,63,2
