codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0047,0060,0131,0137,0606,0608
17,Capital,001,0001A,1001,351,9,3,43,10,10,57,69,35,32
17,Capital,001,0001A,1002,353,2,5,41,7,11,53,62,38,32
17,Capital,001,0001A,1003,351,0,1,32,16,0,49,58,50,32
17,Capital,001,0001A,1004,350,0,0,37,10,10,62,78,32,29
17,Capital,001,0001A,1005,351,0,0,38,17,0,76,64,0,0
17,Capital,001,0001A,1006,350,10,0,45,13,8,49,71,22,30
17,Capital,001,0001A,1007,351,8,2,45,5,11,40,83,30,36
17,Capital,001,0001A,1008,351,4,3,42,4,7,88,79,24,23
17,Capital,001,0001A,1009,352,0,0,39,13,12,56,61,38,36
17,Capital,001,0001A,1010,350,2,1,38,8,10,49,81,29,31
17,Capital,001,0001A,1011,351,13,1,33,12,11,62,76,36,15
17,Capital,001,0001A,1012,351,13,1,42,7,8,63,64,33,23
17,Capital,001,0001A,1013,349,2,3,39,15,7,46,102,28,24
17,Capital,001,0001A,1014,193,1,1,19,8,6,33,47,19,18
17,Capital,001,0001A,1015,192,0,0,20,13,2,34,52,26,17
17,Capital,001,0001B,1016,350,8,1,31,19,9,51,75,26,30
17,Capital,001,0001B,1017,351,13,2,27,6,8,39,82,40,30
17,Capital,001,0001B,1018,350,1,0,37,21,8,50,88,27,23
17,Capital,001,0001B,1019,351,13,2,24,21,5,56,78,27,24
17,Capital,001,0001B,1020,350,4,2,25,22,6,50,77,38,21
17,Capital,001,0001B,1021,350,0,0,0,14,0,42,84,37,27
17,Capital,001,0001B,1022,351,1,0,33,21,6,44,79,21,23
17,Capital,001,0001B,1023,351,1,1,29,15,12,63,78,25,23
17,Capital,001,0001B,1024,350,12,3,23,23,12,32,74,27,34
17,Capital,001,0001B,1025,183,2,0,14,7,5,26,38,16,12
17,Capital,001,0001C,1026,351,10,4,48,6,9,49,71,35,21
17,Capital,001,0001C,1027,351,0,1,33,15,8,51,95,27,34
17,Capital,001,0001C,1028,350,10,0,17,10,9,40,79,42,42
17,Capital,001,0001C,1029,351,0,0,25,25,15,35,85,32,30
17,Capital,001,0001C,1030,348,9,3,24,21,7,45,87,29,35
17,Capital,001,0001C,1031,354,0,0,23,7,6,45,89,32,33
17,Capital,001,0001C,1032,353,10,0,30,21,0,43,85,28,23
17,Capital,001,0001C,1033,351,9,2,25,21,3,45,85,32,37
17,Capital,001,0001C,1034,350,10,0,28,14,18,38,81,44,21
17,Capital,001,0001C,1035,350,0,0,27,8,6,49,83,33,28
17,Capital,001,0001C,1036,352,0,0,26,19,5,36,75,43,36
17,Capital,001,0001C,1037,348,0,0,25,15,10,50,74,32,24
17,Capital,001,0001D,1038,351,3,6,32,28,6,42,80,29,29
17,Capital,001,0001D,1039,351,0,2,30,13,17,44,46,29,37
17,Capital,001,0001D,1040,352,12,3,35,9,0,70,59,35,31
17,Capital,001,0001D,1041,351,10,2,30,21,4,44,86,32,25
17,Capital,001,0001D,1042,352,9,0,38,14,7,54,88,32,24
17,Capital,001,0001D,1043,350,12,2,38,19,7,41,87,29,17
17,Capital,001,0001D,1044,352,18,1,31,12,6,44,66,37,34
17,Capital,001,0001D,1045,354,9,1,36,18,11,40,65,40,31
17,Capital,001,0001D,1046,350,5,3,31,9,10,41,76,36,26
17,Capital,001,0001D,1047,353,6,2,36,18,12,63,85,26,22
17,Capital,001,0001D,1048,350,0,0,29,15,6,53,67,32,32
17,Capital,001,0001D,1049,351,4,6,33,12,9,51,76,36,25
17,Capital,001,0001D,1050,353,8,1,33,24,10,43,70,25,20
17,Capital,001,0001D,1051,291,6,2,18,21,7,45,56,22,20
17,Capital,001,0001E,1052,350,5,1,0,8,11,83,56,21,17
17,Capital,001,0001E,1053,350,11,1,38,9,12,67,83,28,28
17,Capital,001,0001E,1054,349,9,0,34,5,0,83,66,0,0
17,Capital,001,0001E,1055,349,13,1,0,9,0,59,67,28,30
17,Capital,001,0001E,1056,350,2,6,46,11,14,78,61,16,25
17,Capital,001,0001E,1057,350,0,0,41,10,10,94,54,25,18
17,Capital,001,0001E,1058,351,11,4,31,15,9,70,78,28,23
17,Capital,001,0001E,1059,351,8,4,32,8,6,73,78,25,20
17,Capital,001,0001E,1060,351,2,2,43,11,8,93,56,29,26
17,Capital,001,0001E,1061,350,11,3,38,7,3,86,58,35,19
17,Capital,001,0001E,1062,350,11,2,34,6,7,77,60,26,22
17,Capital,001,0001E,1063,350,8,4,34,14,9,78,61,20,24
17,Capital,001,0001E,1064,349,8,2,30,9,3,76,67,26,26
17,Capital,001,0001E,1065,110,1,3,9,1,2,21,22,10,8
17,Capital,001,0001F,1066,350,0,7,43,8,9,72,60,40,31
17,Capital,001,0001F,1067,352,0,0,41,19,4,57,69,28,38
17,Capital,001,0001F,1068,350,8,1,33,17,13,69,63,46,16
17,Capital,001,0001F,1069,351,8,3,36,16,2,51,66,37,37
17,Capital,001,0001F,1070,352,3,1,35,11,6,65,66,47,36
17,Capital,001,0001F,1071,350,12,5,33,0,8,56,84,33,27
17,Capital,001,0001F,1072,356,5,0,40,17,8,61,80,44,24
17,Capital,001,0001F,1073,351,6,3,28,16,9,48,82,33,34
17,Capital,001,0001F,1074,349,0,0,42,13,11,64,79,34,27
17,Capital,001,0001F,1075,352,1,1,37,20,12,54,65,45,33
17,Capital,001,0001F,1076,352,9,3,40,16,11,56,81,32,37
17,Capital,001,0001F,1077,351,10,4,34,8,7,78,80,27,33
17,Capital,001,0001F,1078,352,0,0,37,13,8,68,84,37,25
17,Capital,001,0001F,1079,354,0,4,39,23,8,51,74,29,26
17,Capital,001,0001F,1080,350,0,0,43,12,2,59,89,36,27
17,Capital,001,0001F,1081,352,9,5,33,21,5,58,69,32,36
17,Capital,001,0001F,1082,351,8,1,36,21,7,65,75,29,32
17,Capital,001,0001F,1083,352,3,0,29,23,7,59,68,39,37
17,Capital,001,0001F,1084,353,0,0,17,10,8,66,72,35,36
17,Capital,001,0001F,1085,353,3,6,31,15,11,48,85,23,36
17,Capital,001,0001F,1086,352,1,6,46,11,29,77,65,33,29
17,Capital,001,0001F,1087,355,0,1,51,6,9,59,64,48,30
17,Capital,001,0001F,1088,352,8,1,33,6,6,74,66,29,21
17,Capital,001,0001F,1089,352,0,5,42,24,9,47,58,31,36
17,Capital,001,0001F,1090,351,0,1,50,8,4,54,80,38,27
17,Capital,001,0001F,1091,351,10,5,35,7,9,64,77,29,21
17,Capital,001,0001F,1092,344,1,3,34,11,6,64,82,28,34
17,Capital,001,0001G,1093,348,11,6,33,4,12,73,71,28,28
17,Capital,001,0001G,1094,350,5,0,31,7,8,101,56,35,26
17,Capital,001,0001G,1095,350,14,4,28,17,10,72,68,25,33
17,Capital,001,0001G,1096,355,12,2,30,10,10,79,0,31,30
17,Capital,001,0001G,1097,351,1,2,37,5,4,88,53,36,28
17,Capital,001,0001G,1098,350,0,3,27,12,12,80,90,23,23
17,Capital,001,0001G,1099,353,11,8,39,13,8,64,64,27,22
17,Capital,001,0001G,1100,350,3,0,45,12,11,67,66,29,26
17,Capital,001,0001G,1101,350,9,1,31,6,7,83,67,20,25
17,Capital,001,0001G,1102,351,2,9,41,8,14,74,68,30,20
17,Capital,001,0001G,1103,352,19,1,35,7,5,73,54,36,37
17,Capital,001,0001G,1104,353,0,0,33,8,9,60,90,29,27
17,Capital,001,0001G,1105,352,7,2,29,12,11,98,68,18,27
17,Capital,001,0001G,1106,351,13,4,28,10,10,75,79,27,28
17,Capital,001,0001G,1107,351,0,2,30,1,17,85,73,19,18
17,Capital,001,0001G,1108,352,8,4,39,8,7,34,70,34,30
17,Capital,001,0001G,1109,350,0,3,43,5,7,74,73,34,24
17,Capital,001,0001G,1110,351,0,2,45,9,4,75,78,19,18
17,Capital,001,0001G,1111,350,8,2,43,14,7,65,86,28,20
17,Capital,001,0001G,1112,350,1,7,41,6,10,0,67,34,25
17,Capital,001,0001G,1113,349,16,4,36,10,15,65,69,24,22
17,Capital,001,0001G,1114,323,11,1,30,6,11,79,64,22,15
17,Capital,001,0002A,1115,354,2,2,35,7,15,90,56,33,21
17,Capital,001,0002A,1116,349,0,0,34,1,60,95,73,25,14
17,Capital,001,0002A,1117,351,1,8,43,0,21,84,54,37,21
17,Capital,001,0002A,1118,353,7,7,44,4,10,93,61,33,15
17,Capital,001,0002A,1119,349,10,2,39,8,10,89,69,25,19
17,Capital,001,0002A,1120,350,4,0,41,12,8,89,61,24,17
17,Capital,001,0002A,1121,351,1,5,27,6,14,86,58,23,24
17,Capital,001,0002A,1122,350,15,2,48,3,9,81,70,30,28
17,Capital,001,0002A,1123,349,12,2,30,6,12,89,70,19,30
17,Capital,001,0002A,1124,349,11,7,37,8,12,88,62,39,24
17,Capital,001,0002A,1125,350,0,3,35,10,14,86,63,32,36
17,Capital,001,0002A,1126,351,1,7,41,3,10,82,77,25,12
17,Capital,001,0002A,1127,349,1,2,36,7,7,87,77,22,15
17,Capital,001,0002A,1128,350,15,3,50,4,7,88,69,25,15
17,Capital,001,0002A,1129,350,1,4,34,5,10,86,70,31,17
17,Capital,001,0002A,1130,351,2,3,47,5,7,94,63,22,24
17,Capital,001,0002A,1131,351,13,4,50,3,7,85,60,29,20
17,Capital,001,0002A,1132,350,10,7,41,5,6,92,64,25,17
17,Capital,001,0002A,1133,350,10,2,35,10,11,105,56,27,15
17,Capital,001,0002A,1134,350,2,2,50,4,12,96,55,24,26
17,Capital,001,0002A,1135,350,15,2,39,4,12,98,68,26,40
17,Capital,001,0002A,1136,185,4,4,21,0,7,58,31,13,6
17,Capital,001,0002A,1137,185,1,4,21,4,4,48,41,8,7
17,Capital,001,0002B,1138,349,8,4,35,6,6,66,0,34,16
17,Capital,001,0002B,1139,352,7,3,31,7,8,78,62,20,29
17,Capital,001,0002B,1140,352,7,6,36,2,13,85,71,18,20
17,Capital,001,0002B,1141,355,9,1,38,11,10,74,57,22,38
17,Capital,001,0002B,1142,352,0,0,40,18,9,78,69,19,24
17,Capital,001,0002B,1143,351,11,1,35,13,8,77,81,25,13
17,Capital,001,0002B,1144,351,3,2,37,3,9,72,68,22,30
17,Capital,001,0002B,1145,350,1,0,35,7,0,85,65,20,28
17,Capital,001,0002B,1146,352,0,1,39,3,8,71,79,30,21
17,Capital,001,0002B,1147,350,7,5,30,11,9,80,71,29,27
17,Capital,001,0002B,1148,351,7,8,38,8,11,86,69,19,22
17,Capital,001,0002B,1149,351,10,2,28,5,5,106,61,21,22
17,Capital,001,0002B,1150,348,7,4,25,10,7,71,74,19,18
17,Capital,001,0002B,1151,170,0,0,16,6,3,41,31,15,6
17,Capital,001,0002C,1152,349,12,0,38,6,7,59,76,29,20
17,Capital,001,0002C,1153,350,1,1,37,17,11,60,81,32,23
17,Capital,001,0002C,1154,350,5,2,33,10,5,62,83,26,26
17,Capital,001,0002C,1155,350,9,3,38,11,5,54,78,29,31
