codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0002,0014,0038,0054,0060,0155,0200,0203,0216,0535
17,Capital,001,0001A,1001,349,0,0,0,0,0,0,0,0,0,0,0,0
17,Capital,001,0001A,1002,351,3,3,23,67,6,6,7,17,2,19,6,97
17,Capital,001,0001A,1003,351,3,4,23,64,4,6,4,18,4,30,6,92
17,Capital,001,0001A,1004,351,14,5,13,61,3,7,10,14,7,18,6,84
17,Capital,001,0001A,1005,348,2,4,18,67,3,9,7,16,1,27,8,90
17,Capital,001,0001A,1006,349,0,0,19,63,2,9,4,11,2,27,9,98
17,Capital,001,0001A,1007,348,0,2,16,87,2,7,6,14,1,20,9,84
17,Capital,001,0001A,1008,349,2,0,24,67,5,11,9,19,1,26,12,86
17,Capital,001,0001A,1009,351,1,5,24,61,4,9,12,17,1,29,8,80
17,Capital,001,0001A,1010,352,6,4,18,59,5,3,7,8,1,23,7,103
17,Capital,001,0001A,1011,350,11,3,22,59,8,1,8,19,2,33,7,89
17,Capital,001,0001A,1012,352,4,4,25,61,1,7,8,11,3,23,6,106
17,Capital,001,0001A,1013,349,3,4,22,62,4,7,7,16,2,19,6,90
17,Capital,001,0001A,1014,347,8,2,20,64,4,3,9,10,2,14,2,101
17,Capital,001,0001A,1015,350,0,0,18,63,7,4,7,14,1,19,9,99
17,Capital,001,0001A,1016,116,0,0,7,17,1,2,4,6,0,6,3,37
17,Capital,001,0001B,1017,347,2,6,19,45,4,5,2,12,4,15,10,95
17,Capital,001,0001B,1018,349,4,6,14,41,4,2,4,16,5,24,4,88
17,Capital,001,0001B,1019,353,7,0,16,55,3,13,2,11,1,22,6,103
17,Capital,001,0001B,1020,351,8,7,17,52,1,7,9,9,3,18,6,103
17,Capital,001,0001B,1021,352,2,5,11,43,1,7,13,5,4,20,3,92
17,Capital,001,0001B,1022,351,14,0,16,49,6,1,6,15,2,17,9,88
17,Capital,001,0001B,1023,348,0,0,12,48,3,3,7,15,3,24,12,95
17,Capital,001,0001B,1024,189,9,1,7,27,1,0,2,11,1,10,6,42
17,Capital,001,0001B,1025,187,1,3,5,15,1,0,1,10,0,17,3,49
17,Capital,001,0001C,1026,350,0,0,17,69,4,4,14,10,1,19,10,83
