codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00036,00037,00050,00074,00101
17,001,Capital,03937,077323,0,0,13,18,35,148,10,19
17,001,Capital,03937,077324,0,0,12,14,42,169,4,21
17,001,Capital,03937,077325,0,0,20,6,36,159,7,21
17,001,Capital,03937,077326,0,0,12,9,43,153,12,23
17,001,Capital,03937,077327,0,0,13,14,55,155,6,17
17,001,Capital,03937,077328,0,0,18,9,50,151,8,22
17,001,Capital,03937,077329,0,0,11,14,38,147,7,30
17,001,Capital,03937,077330,0,0,17,11,41,159,5,23
17,001,Capital,03937,077331,0,0,19,9,46,144,6,25
17,001,Capital,03937,077332,0,0,12,15,38,153,7,22
17,001,Capital,03937,077333,0,0,16,12,30,155,17,26
17,001,Capital,03937,077334,0,0,16,16,41,147,5,27
17,001,Capital,03937,077335,0,0,12,10,50,139,16,18
17,001,Capital,03937,077336,0,0,21,8,46,149,13,21
17,001,Capital,03937,077337,0,0,56,10,36,155,11,27
17,001,Capital,03937,077338,0,0,18,10,40,151,9,27
17,001,Capital,03938,077339,0,0,10,8,30,148,15,10
17,001,Capital,03938,077340,0,0,8,7,24,165,12,16
17,001,Capital,03938,077341,0,0,0,6,30,164,10,18
17,001,Capital,03938,077342,0,0,20,10,29,140,6,11
17,001,Capital,03938,077343,0,0,12,12,35,162,6,10
17,001,Capital,03938,077344,0,0,12,13,22,155,7,21
17,001,Capital,03939,077345,0,0,0,8,23,152,4,29
17,001,Capital,03939,077346,0,0,7,4,23,157,14,22
17,001,Capital,03939,077347,0,0,0,6,29,174,9,0
17,001,Capital,03939,077348,0,0,7,8,32,177,7,14
17,001,Capital,03939,077349,0,0,15,11,29,164,9,12
17,001,Capital,03939,077350,0,0,0,14,30,160,9,20
17,001,Capital,03939,077351,0,0,12,10,30,153,10,18
17,001,Capital,03939,077352,0,0,11,5,26,165,8,14
17,001,Capital,03939,077353,0,0,16,12,31,135,6,17
17,001,Capital,03939,077354,0,0,16,8,31,174,8,16
17,001,Capital,03939,077355,0,0,14,10,30,155,7,20
17,001,Capital,03939,077356,0,0,0,14,31,182,9,19
17,001,Capital,03940,077357,0,0,11,9,49,163,7,21
17,001,Capital,03940,077358,0,0,12,17,28,173,10,20
17,001,Capital,03940,077359,0,0,0,7,34,163,10,20
17,001,Capital,03940,077360,0,0,13,9,33,185,12,19
17,001,Capital,03940,077361,0,0,0,9,39,166,8,19
17,001,Capital,03940,077362,0,0,16,11,15,193,5,18
17,001,Capital,03940,077363,0,0,20,9,38,161,12,16
17,001,Capital,03940,077364,0,0,0,10,33,163,14,28
17,001,Capital,03940,077365,0,0,13,13,53,159,5,19
17,001,Capital,03940,077366,0,0,21,5,35,149,15,16
17,001,Capital,03940,077367,0,0,0,8,53,159,9,19
17,001,Capital,03941,077368,0,0,15,16,47,137,13,33
17,001,Capital,03941,077369,0,0,1,10,63,120,2,33
17,001,Capital,03941,077370,0,0,0,18,50,144,10,33
17,001,Capital,03941,077371,0,0,9,14,58,135,2,22
17,001,Capital,03941,077372,0,0,0,18,46,118,9,83
17,001,Capital,03941,077373,0,0,24,16,62,116,5,24
17,001,Capital,03941,077374,0,0,0,14,53,131,5,26
17,001,Capital,03941,077375,0,0,0,19,57,138,5,21
17,001,Capital,03941,077376,0,0,0,7,42,142,5,21
17,001,Capital,03941,077377,0,0,0,15,49,129,13,29
17,001,Capital,03941,077378,0,0,17,12,47,133,8,20
17,001,Capital,03941,077379,0,0,17,31,45,120,9,24
17,001,Capital,03942,077380,0,0,9,11,44,162,14,27
17,001,Capital,03942,077381,0,0,25,11,35,149,17,24
17,001,Capital,03942,077382,0,0,22,15,44,137,13,38
17,001,Capital,03942,077383,0,0,3,8,29,191,3,0
17,001,Capital,03942,077384,0,0,20,9,31,179,11,29
17,001,Capital,03942,077385,0,0,19,13,39,167,13,30
17,001,Capital,03942,077386,0,0,17,11,48,165,8,22
17,001,Capital,03942,077387,0,0,15,19,41,192,6,15
17,001,Capital,03942,077388,0,0,14,15,48,173,7,19
17,001,Capital,03942,077389,0,0,11,12,40,185,3,27
17,001,Capital,03942,077390,0,0,0,17,56,165,9,30
17,001,Capital,03942,077391,0,0,12,18,35,156,11,31
17,001,Capital,03942,077392,0,0,18,9,38,178,9,32
17,001,Capital,03942,077393,0,0,8,12,45,169,7,24
17,001,Capital,03942,077394,0,0,12,17,32,176,16,21
17,001,Capital,03942,077395,0,0,1,10,36,181,13,25
17,001,Capital,03942,077396,0,0,21,13,34,162,12,21
17,001,Capital,03942,077397,0,0,0,15,24,185,8,27
17,001,Capital,03942,077398,0,0,7,11,38,162,11,19
17,001,Capital,03942,077399,0,0,16,10,50,50,2,26
17,001,Capital,03942,077400,0,0,15,19,38,180,8,24
17,001,Capital,03942,077401,0,0,2,10,41,155,8,20
17,001,Capital,03942,077402,0,0,0,16,36,173,13,22
17,001,Capital,03942,077403,0,0,0,13,50,171,4,32
17,001,Capital,03942,077404,0,0,12,8,53,161,11,25
17,001,Capital,03942,077405,0,0,16,13,41,170,9,16
17,001,Capital,03942,101085,0,0,0,0,0,0,0,0
17,001,Capital,03943,077406,0,0,0,14,51,144,13,29
17,001,Capital,03943,077407,0,0,1,15,45,140,12,25
17,001,Capital,03943,077408,0,0,0,12,52,160,8,30
17,001,Capital,03943,077409,0,0,0,8,61,138,8,27
17,001,Capital,03943,077410,0,0,0,10,59,139,10,24
17,001,Capital,03943,077411,0,0,1,19,56,158,12,20
17,001,Capital,03943,077412,0,0,21,7,40,173,12,27
17,001,Capital,03943,077413,0,0,10,12,47,161,7,28
