codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0038,0047,0060,0501,0504,0510,0516
17,Capital,001,0001A,1001,350,3,4,40,1,14,8,52,67,19,55
17,Capital,001,0001A,1002,350,3,6,32,3,13,14,54,53,28,53
17,Capital,001,0001A,1003,350,3,1,25,2,17,11,49,50,23,55
17,Capital,001,0001A,1004,350,5,6,29,5,15,10,63,61,22,42
17,Capital,001,0001A,1005,350,1,2,28,3,20,9,78,48,13,46
17,Capital,001,0001A,1006,350,0,4,30,3,18,8,52,49,28,47
17,Capital,001,0001A,1007,350,5,11,29,3,11,10,61,77,26,40
17,Capital,001,0001A,1008,350,2,3,25,6,13,7,77,72,22,35
17,Capital,001,0001A,1009,350,2,2,27,2,17,7,54,63,25,50
17,Capital,001,0001A,1010,350,1,3,28,1,13,13,61,60,17,46
17,Capital,001,0001A,1011,350,21,2,17,2,15,12,72,60,10,38
17,Capital,001,0001A,1012,350,0,0,27,3,14,12,64,51,28,50
17,Capital,001,0001A,1013,350,7,7,26,3,18,10,49,74,24,38
17,Capital,001,0001A,1014,192,2,0,12,3,9,7,33,44,6,23
17,Capital,001,0001A,1015,192,10,3,15,0,17,7,32,41,10,27
17,Capital,001,0001B,1016,350,1,0,20,1,21,13,53,53,26,38
17,Capital,001,0001B,1017,350,2,4,19,2,18,15,41,63,15,52
17,Capital,001,0001B,1018,350,7,0,22,1,22,11,47,74,17,47
17,Capital,001,0001B,1019,350,17,4,24,1,28,13,55,47,22,44
17,Capital,001,0001B,1020,350,9,2,16,0,25,7,46,62,29,46
17,Capital,001,0001B,1021,350,0,0,13,7,19,0,42,56,13,58
17,Capital,001,0001B,1022,350,2,1,24,4,28,11,44,65,24,33
17,Capital,001,0001B,1023,350,0,0,22,0,21,14,47,77,12,42
17,Capital,001,0001B,1024,350,13,2,18,0,32,8,38,73,18,30
17,Capital,001,0001B,1025,183,0,1,8,0,13,3,26,28,13,25
17,Capital,001,0001C,1026,350,8,5,32,2,13,14,41,53,16,42
17,Capital,001,0001C,1027,350,3,6,18,4,12,14,47,80,23,38
17,Capital,001,0001C,1028,350,2,0,14,1,15,0,51,62,17,49
17,Capital,001,0001C,1029,350,2,0,24,1,19,18,32,71,17,48
17,Capital,001,0001C,1030,350,12,3,17,0,29,0,40,70,28,48
17,Capital,001,0001C,1031,350,0,0,17,2,14,10,41,78,19,41
17,Capital,001,0001C,1032,350,13,2,28,2,21,14,43,70,15,40
17,Capital,001,0001C,1033,350,16,3,16,3,18,7,47,69,25,44
17,Capital,001,0001C,1034,350,12,6,23,2,16,15,35,69,22,43
17,Capital,001,0001C,1035,350,0,0,16,2,16,7,45,5,27,51
17,Capital,001,0001C,1036,350,1,0,17,0,14,9,40,65,23,55
17,Capital,001,0001C,1037,350,1,1,20,0,25,9,56,71,19,34
17,Capital,001,0001D,1038,350,15,4,31,3,21,5,44,70,19,41
17,Capital,001,0001D,1039,350,0,3,24,3,24,15,55,69,17,51
17,Capital,001,0001D,1040,350,0,0,31,4,16,8,61,58,19,50
17,Capital,001,0001D,1041,350,11,2,23,6,26,7,34,67,11,56
17,Capital,001,0001D,1042,350,0,2,32,3,17,11,49,71,15,39
17,Capital,001,0001D,1043,350,16,4,29,2,23,12,37,70,15,39
17,Capital,001,0001D,1044,350,4,4,22,2,20,9,38,61,19,60
17,Capital,001,0001D,1045,350,2,4,23,1,21,12,37,48,28,57
17,Capital,001,0001D,1046,350,10,4,20,3,13,11,35,77,20,46
17,Capital,001,0001D,1047,350,2,3,24,3,16,9,59,72,22,41
17,Capital,001,0001D,1048,350,6,4,18,1,17,0,58,70,21,30
17,Capital,001,0001D,1049,350,0,8,22,1,23,5,48,69,18,46
17,Capital,001,0001D,1050,350,10,1,33,3,23,10,42,59,18,39
17,Capital,001,0001D,1051,289,11,5,16,2,10,9,33,51,19,35
17,Capital,001,0001E,1052,350,0,1,30,4,9,5,82,51,13,23
17,Capital,001,0001E,1053,350,1,2,31,6,10,12,73,72,11,33
