codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0014,0038,0054,0060,0155,0200,0203,0216,0535,0536
17,Capital,001,0001A,1001,349,0,0,NA,52,3,6,4,11,2,33,2,85,34
17,Capital,001,0001A,1002,350,1,2,NA,42,7,3,4,8,4,20,4,88,39
17,Capital,001,0001A,1003,350,2,4,NA,35,10,2,9,9,2,31,6,89,38
17,Capital,001,0001A,1004,350,8,5,NA,38,7,7,4,16,9,22,8,90,21
17,Capital,001,0001A,1005,350,0,0,NA,42,7,5,7,13,1,14,11,97,33
17,Capital,001,0001A,1006,350,2,1,NA,31,0,8,6,17,0,21,4,98,27
17,Capital,001,0001A,1007,351,4,1,NA,55,4,6,2,9,2,23,10,84,32
17,Capital,001,0001A,1008,349,7,3,NA,45,5,5,6,14,4,19,7,80,38
17,Capital,001,0001A,1009,350,0,0,NA,31,3,10,8,18,3,34,10,59,30
17,Capital,001,0001A,1010,350,1,2,NA,33,2,1,9,8,2,18,9,104,31
17,Capital,001,0001A,1011,350,3,2,NA,45,8,6,12,6,2,18,9,84,41
17,Capital,001,0001A,1012,350,13,1,NA,30,4,3,8,11,4,3,0,106,31
17,Capital,001,0001A,1013,351,0,0,NA,46,3,7,6,12,3,15,8,86,33
17,Capital,001,0001A,1014,350,9,3,NA,41,4,4,10,11,2,19,7,83,36
17,Capital,001,0001A,1015,349,5,3,NA,43,2,1,10,12,9,28,9,84,40
17,Capital,001,0001A,1016,116,2,0,NA,7,2,2,4,5,0,3,3,44,11
17,Capital,001,0001B,1017,350,0,0,NA,23,4,8,0,17,2,18,7,74,41
17,Capital,001,0001B,1018,350,4,5,NA,24,2,4,9,17,3,20,6,84,21
17,Capital,001,0001B,1019,350,0,0,NA,0,0,0,0,0,0,0,0,0,0
17,Capital,001,0001B,1020,350,0,0,NA,26,4,4,7,8,4,17,15,83,38
17,Capital,001,0001B,1021,350,0,0,NA,19,4,5,8,6,3,19,9,87,28
17,Capital,001,0001B,1022,350,0,0,NA,28,8,1,7,13,1,16,7,80,37
17,Capital,001,0001B,1023,350,0,0,NA,19,2,5,9,12,3,12,7,84,48
17,Capital,001,0001B,1024,188,0,0,NA,20,4,3,1,7,0,11,6,40,15
17,Capital,001,0001B,1025,188,0,0,NA,12,1,0,0,6,0,16,4,43,16
17,Capital,001,0001C,1026,350,4,2,NA,38,5,4,6,17,0,18,5,87,32
17,Capital,001,0001C,1027,350,8,9,NA,36,3,5,9,11,4,19,7,94,48
17,Capital,001,0001C,1028,350,3,3,NA,28,2,2,9,18,3,15,11,107,32
17,Capital,001,0001C,1029,350,7,3,NA,24,1,3,4,13,3,16,9,101,31
17,Capital,001,0001C,1030,350,4,5,NA,24,3,7,8,13,3,20,8,98,45
17,Capital,001,0001C,1031,350,4,0,NA,26,5,1,7,17,4,21,13,82,46
17,Capital,001,0001C,1032,350,1,4,NA,29,7,5,3,16,0,23,9,86,35
17,Capital,001,0001C,1033,350,0,0,NA,24,7,5,12,11,2,19,7,84,40
17,Capital,001,0001C,1034,350,7,1,NA,30,5,4,8,14,4,18,2,93,39
17,Capital,001,0001C,1035,350,2,4,NA,21,3,5,9,15,4,21,9,92,29
17,Capital,001,0001C,1036,350,0,0,NA,23,3,3,11,16,1,18,4,80,36
17,Capital,001,0001C,1037,350,8,3,NA,32,6,6,8,15,6,20,13,65,40
17,Capital,001,0001C,1038,78,2,0,NA,2,0,0,3,6,0,5,0,23,10
17,Capital,001,0001D,1039,350,11,7,NA,39,3,8,4,19,2,21,6,81,39
17,Capital,001,0001D,1040,350,1,0,NA,35,9,6,5,18,2,20,11,78,37
17,Capital,001,0001D,1041,350,7,3,NA,37,8,7,6,15,3,16,11,82,32
17,Capital,001,0001D,1042,350,0,0,NA,26,6,4,11,15,1,22,13,87,34
17,Capital,001,0001D,1043,350,9,5,NA,37,4,2,11,11,12,20,10,93,38
17,Capital,001,0001D,1044,350,4,5,NA,42,6,7,7,23,4,23,8,80,34
17,Capital,001,0001D,1045,350,1,1,NA,35,1,0,17,18,2,19,7,85,38
17,Capital,001,0001D,1046,350,4,3,NA,31,1,3,6,8,3,21,11,85,39
17,Capital,001,0001D,1047,350,2,0,NA,25,1,4,4,13,4,23,13,101,27
17,Capital,001,0001D,1048,350,4,3,NA,34,5,5,6,24,4,15,10,93,33
17,Capital,001,0001D,1049,350,0,0,NA,38,2,2,6,7,6,18,11,67,41
17,Capital,001,0001D,1050,350,1,6,NA,29,4,2,6,17,4,18,11,80,44
17,Capital,001,0001D,1051,350,0,0,NA,29,5,4,7,16,4,23,7,78,28
17,Capital,001,0001D,1052,159,0,0,NA,15,2,2,5,3,3,10,6,40,15
17,Capital,001,0001E,1053,350,2,6,NA,58,3,4,5,15,0,22,5,74,18
17,Capital,001,0001E,1054,350,0,0,NA,34,7,9,10,13,2,31,16,77,27
17,Capital,001,0001E,1055,350,0,0,NA,65,6,3,2,11,2,26,12,84,27
17,Capital,001,0001E,1056,350,1,9,NA,42,11,5,5,10,0,38,6,70,23
17,Capital,001,0001E,1057,350,0,0,NA,37,4,7,11,20,8,28,5,69,28
17,Capital,001,0001E,1058,350,10,5,NA,43,4,6,6,12,5,28,8,67,25
17,Capital,001,0001E,1059,350,0,0,NA,41,4,6,10,10,4,34,13,72,21
17,Capital,001,0001E,1060,350,3,5,NA,37,4,4,6,18,3,17,5,79,36
17,Capital,001,0001E,1061,350,4,5,NA,42,8,11,5,17,6,25,14,63,30
