codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00088,00008,00005,00009,00087
17,001,CAPITAL,03895,078749,0,0,26,16,12,42,99,20
17,001,CAPITAL,03895,078750,0,0,27,16,16,50,104,31
17,001,CAPITAL,03895,078751,0,0,21,18,13,43,124,32
17,001,CAPITAL,03895,078752,0,0,0,18,5,56,105,31
17,001,CAPITAL,03895,078753,0,0,52,14,13,56,105,36
17,001,CAPITAL,03895,078754,0,0,60,15,12,54,109,4
17,001,CAPITAL,03895,078755,0,0,28,9,16,36,111,38
17,001,CAPITAL,03895,078756,0,0,30,9,12,35,120,32
17,001,CAPITAL,03895,078757,0,0,0,14,9,53,91,32
17,001,CAPITAL,03895,078758,0,0,0,14,10,47,99,32
17,001,CAPITAL,03895,078759,0,0,30,18,11,33,114,43
17,001,CAPITAL,03895,078760,0,0,21,10,12,41,102,39
17,001,CAPITAL,03895,078761,0,0,29,13,0,40,7,34
17,001,CAPITAL,03895,078762,0,0,24,14,10,47,106,36
17,001,CAPITAL,03895,078763,0,0,27,10,9,37,112,36
17,001,CAPITAL,03895,078764,0,0,26,10,8,52,100,33
17,001,CAPITAL,03896,078765,0,0,1,19,1,30,103,12
17,001,CAPITAL,03896,078766,0,0,118,30,6,19,25,27
17,001,CAPITAL,03896,078767,0,0,0,15,4,28,131,25
17,001,CAPITAL,03896,078768,0,0,4,12,11,33,106,17
17,001,CAPITAL,03896,078769,0,0,1,9,10,36,13,14
17,001,CAPITAL,03896,078770,0,0,0,21,12,25,118,15
17,001,CAPITAL,03897,078771,0,0,0,11,10,29,120,30
17,001,CAPITAL,03897,078772,0,0,23,19,6,30,125,20
17,001,CAPITAL,03897,078773,0,0,1,17,8,33,134,20
17,001,CAPITAL,03897,078774,0,0,15,12,4,36,125,18
17,001,CAPITAL,03897,078775,0,0,17,14,9,31,127,16
17,001,CAPITAL,03897,078776,0,0,15,13,12,28,127,20
17,001,CAPITAL,03897,078777,0,0,0,18,7,33,129,21
17,001,CAPITAL,03897,078778,0,0,16,18,4,23,131,10
17,001,CAPITAL,03897,078779,0,0,0,12,5,32,101,25
17,001,CAPITAL,03897,078780,0,0,16,15,8,31,129,27
17,001,CAPITAL,03897,078781,0,0,0,10,6,30,136,14
17,001,CAPITAL,03897,078782,0,0,0,26,11,38,133,22
17,001,CAPITAL,03898,078783,0,0,0,19,15,45,106,32
17,001,CAPITAL,03898,078784,0,0,0,12,10,31,122,34
17,001,CAPITAL,03898,078785,0,0,2,15,6,37,118,24
17,001,CAPITAL,03898,078786,0,0,27,15,8,38,135,27
17,001,CAPITAL,03898,078787,0,0,27,13,6,52,128,24
17,001,CAPITAL,03898,078788,0,0,0,19,6,24,142,33
17,001,CAPITAL,03898,078789,0,0,21,17,11,41,121,26
17,001,CAPITAL,03898,078790,0,0,0,24,6,34,119,35
17,001,CAPITAL,03898,078791,0,0,18,12,5,57,112,33
17,001,CAPITAL,03898,078792,0,0,0,27,5,43,2,23
17,001,CAPITAL,03898,078793,0,0,1,19,7,58,5,26
17,001,CAPITAL,03899,078794,0,0,0,17,21,52,102,39
17,001,CAPITAL,03899,078795,0,0,18,6,9,73,82,49
17,001,CAPITAL,03899,078796,0,0,0,0,0,0,0,0
17,001,CAPITAL,03899,078797,0,0,19,13,11,52,93,31
17,001,CAPITAL,03899,078798,0,0,1,7,14,51,94,35
17,001,CAPITAL,03899,078799,0,0,1,9,16,71,86,42
17,001,CAPITAL,03899,078800,0,0,0,13,7,68,73,41
17,001,CAPITAL,03899,078801,0,0,0,7,12,55,98,34
17,001,CAPITAL,03899,078802,0,0,0,14,14,50,88,26
17,001,CAPITAL,03899,078803,0,0,2,15,14,54,84,40
17,001,CAPITAL,03899,078804,0,0,22,10,10,54,89,29
17,001,CAPITAL,03899,078805,0,0,29,10,20,55,74,47
17,001,CAPITAL,03900,078806,0,0,3,16,7,39,104,50
17,001,CAPITAL,03900,078807,0,0,0,20,10,40,114,31
17,001,CAPITAL,03900,078808,0,0,35,20,11,25,105,36
17,001,CAPITAL,03900,078809,0,0,22,11,7,36,130,38
17,001,CAPITAL,03900,078810,0,0,2,20,12,28,122,44
17,001,CAPITAL,03900,078811,0,0,25,12,5,46,114,49
17,001,CAPITAL,03900,078812,0,0,0,13,9,46,122,33
17,001,CAPITAL,03900,078813,0,0,3,12,16,42,138,33
17,001,CAPITAL,03900,078814,0,0,1,15,9,54,127,33
17,001,CAPITAL,03900,078815,0,0,28,17,3,45,131,29
17,001,CAPITAL,03900,078816,0,0,1,24,11,55,127,31
17,001,CAPITAL,03900,078817,0,0,0,13,18,34,124,34
17,001,CAPITAL,03900,078818,0,0,21,19,15,38,132,36
17,001,CAPITAL,03900,078819,0,0,32,13,12,41,108,42
17,001,CAPITAL,03900,078820,0,0,27,27,17,35,117,39
17,001,CAPITAL,03900,078821,0,0,25,22,13,20,142,27
17,001,CAPITAL,03900,078822,0,0,24,17,7,45,105,39
17,001,CAPITAL,03900,078823,0,0,0,13,5,36,12,43
17,001,CAPITAL,03900,078824,0,0,19,17,9,43,117,32
17,001,CAPITAL,03900,078825,0,0,0,14,10,52,131,25
