codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00037,00101,00050,00036,00074
17,001,Capital,0001A,001001,332,21,2,37,18,144,13,10
17,001,Capital,0001A,001002,332,15,0,44,19,169,11,4
17,001,Capital,0001A,001003,330,12,2,33,15,169,9,7
17,001,Capital,0001A,001004,330,14,2,44,18,159,10,8
17,001,Capital,0001A,001005,331,15,0,60,12,158,8,7
17,001,Capital,0001A,001006,330,19,0,51,18,154,8,8
17,001,Capital,0001A,001007,331,9,2,43,24,155,12,5
17,001,Capital,0001A,001008,330,14,0,43,19,163,9,8
17,001,Capital,0001A,001009,332,17,1,43,26,147,9,7
17,001,Capital,0001A,001010,333,17,1,39,18,150,16,7
17,001,Capital,0001A,001011,331,19,3,28,22,162,10,15
17,001,Capital,0001A,001012,332,14,4,41,24,153,16,4
17,001,Capital,0001A,001013,332,14,1,50,12,143,11,16
17,001,Capital,0001A,001014,329,17,1,47,21,152,8,13
17,001,Capital,0001A,001015,330,17,1,36,24,159,7,12
17,001,Capital,0001A,001016,333,19,2,38,27,152,11,8
17,001,Capital,0001B,001017,336,12,2,32,10,152,3,14
17,001,Capital,0001B,001018,338,6,1,27,13,164,5,18
17,001,Capital,0001B,001019,336,10,0,30,13,175,8,8
17,001,Capital,0001B,001020,338,16,1,33,9,143,9,5
17,001,Capital,0001B,001021,336,13,1,36,8,156,14,11
17,001,Capital,0001B,001022,336,13,0,23,17,157,10,10
17,001,Capital,0001C,001023,327,14,0,26,21,152,10,6
17,001,Capital,0001C,001024,325,7,1,21,18,162,6,13
17,001,Capital,0001C,001025,324,14,0,29,9,181,7,9
17,001,Capital,0001C,001026,325,7,1,34,10,177,7,10
17,001,Capital,0001C,001027,325,14,0,29,11,167,8,12
17,001,Capital,0001C,001028,329,3,0,42,15,168,15,7
17,001,Capital,0001C,001029,327,13,2,32,17,151,10,10
17,001,Capital,0001C,001030,325,9,0,29,6,173,4,8
17,001,Capital,0001C,001031,325,16,2,31,16,139,9,6
17,001,Capital,0001C,001032,325,13,1,35,15,173,7,10
17,001,Capital,0001C,001033,325,13,2,31,17,162,5,9
17,001,Capital,0001C,001034,366,14,0,30,14,183,15,5
17,001,Capital,0001D,001035,346,6,2,48,19,170,8,8
17,001,Capital,0001D,001036,348,12,2,28,17,179,13,11
17,001,Capital,0001D,001037,349,14,1,31,18,166,7,12
17,001,Capital,0001D,001038,344,9,2,32,19,186,9,16
17,001,Capital,0001D,001039,348,12,2,36,20,170,7,9
17,001,Capital,0001D,001040,349,15,2,15,20,191,11,6
17,001,Capital,0001D,001041,347,19,0,39,13,167,8,10
17,001,Capital,0001D,001042,347,16,0,36,28,163,6,15
17,001,Capital,0001D,001043,345,13,1,51,16,165,12,5
17,001,Capital,0001D,001044,348,21,3,36,15,146,5,18
17,001,Capital,0001D,001045,349,14,3,53,14,169,4,9
17,001,Capital,0001E,001046,332,17,7,46,28,135,14,21
17,001,Capital,0001E,001047,329,16,7,65,28,128,7,4
17,001,Capital,0001E,001048,330,10,0,55,27,151,16,8
17,001,Capital,0001E,001049,329,16,1,56,22,133,11,2
17,001,Capital,0001E,001050,328,19,2,51,21,119,12,11
17,001,Capital,0001E,001051,329,29,1,62,23,117,13,3
17,001,Capital,0001E,001052,332,28,0,54,20,133,13,5
17,001,Capital,0001E,001053,329,13,0,58,23,138,14,7
17,001,Capital,0001E,001054,328,30,0,43,18,139,7,9
17,001,Capital,0001E,001055,330,21,0,51,24,130,16,13
17,001,Capital,0001E,001056,328,17,3,45,20,133,14,8
17,001,Capital,0001E,001057,330,16,3,51,21,121,26,11
17,001,Capital,0001F,001058,347,4,2,42,34,165,11,11
17,001,Capital,0001F,001059,351,20,2,34,28,151,8,18
