codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00005,00087,00009,00008,00088
17,001,Capital,0001A,001001,332,27,4,43,23,94,11,17
17,001,Capital,0001A,001002,332,27,0,49,34,99,18,17
17,001,Capital,0001A,001003,330,23,1,39,31,127,12,13
17,001,Capital,0001A,001004,330,21,0,56,30,110,4,19
17,001,Capital,0001A,001005,331,14,1,58,36,107,11,14
17,001,Capital,0001A,001006,330,22,2,53,41,113,11,14
17,001,Capital,0001A,001007,331,12,0,47,39,119,13,8
17,001,Capital,0001A,001008,330,30,0,33,33,121,11,10
17,001,Capital,0001A,001009,332,32,0,52,32,91,8,15
17,001,Capital,0001A,001010,333,23,5,48,28,99,10,13
17,001,Capital,0001A,001011,331,23,5,37,39,120,9,19
17,001,Capital,0001A,001012,332,20,4,41,37,106,11,8
17,001,Capital,0001A,001013,332,29,3,42,30,105,12,15
17,001,Capital,0001A,001014,329,21,3,50,34,112,7,16
17,001,Capital,0001A,001015,330,29,1,39,34,108,9,12
17,001,Capital,0001A,001016,333,26,7,51,32,103,9,11
17,001,Capital,0001B,001017,336,24,1,29,14,104,1,22
17,001,Capital,0001B,001018,338,20,1,22,27,123,6,22
17,001,Capital,0001B,001019,336,20,1,29,22,132,4,19
17,001,Capital,0001B,001020,338,26,3,34,18,106,10,14
17,001,Capital,0001B,001021,336,21,3,34,15,123,11,11
17,001,Capital,0001B,001022,336,21,0,24,18,113,12,23
17,001,Capital,0001C,001023,327,17,1,29,32,115,11,11
17,001,Capital,0001C,001024,325,22,1,30,22,121,6,21
17,001,Capital,0001C,001025,324,18,0,32,22,130,8,18
17,001,Capital,0001C,001026,325,9,4,38,20,128,3,12
17,001,Capital,0001C,001027,325,17,2,32,14,126,9,17
17,001,Capital,0001C,001028,329,24,4,29,20,125,10,14
17,001,Capital,0001C,001029,327,10,5,33,20,125,6,21
17,001,Capital,0001C,001030,325,18,4,24,11,131,4,19
17,001,Capital,0001C,001031,325,30,0,32,25,100,6,12
17,001,Capital,0001C,001032,325,22,4,31,24,124,6,18
17,001,Capital,0001C,001033,325,14,0,30,16,129,6,12
17,001,Capital,0001C,001034,366,23,0,38,20,139,10,26
17,001,Capital,0001D,001035,346,22,0,42,31,106,15,24
17,001,Capital,0001D,001036,348,20,0,31,35,122,10,14
17,001,Capital,0001D,001037,349,4,1,55,26,111,5,22
17,001,Capital,0001D,001038,344,23,0,38,27,138,8,16
17,001,Capital,0001D,001039,348,32,2,49,24,126,4,16
17,001,Capital,0001D,001040,349,30,0,24,33,135,5,16
17,001,Capital,0001D,001041,347,21,1,42,26,120,7,22
17,001,Capital,0001D,001042,347,18,4,34,39,111,5,27
17,001,Capital,0001D,001043,345,18,1,55,35,111,5,13
17,001,Capital,0001D,001044,348,33,0,43,25,107,6,31
17,001,Capital,0001D,001045,349,20,4,55,21,124,4,26
17,001,Capital,0001E,001046,332,27,0,58,33,97,19,21
17,001,Capital,0001E,001047,329,17,7,72,48,85,8,7
17,001,Capital,0001E,001048,330,19,1,55,48,106,8,12
17,001,Capital,0001E,001049,329,16,1,53,31,94,12,13
17,001,Capital,0001E,001050,328,12,1,51,37,94,14,6
17,001,Capital,0001E,001051,329,23,3,77,40,82,13,10
17,001,Capital,0001E,001052,332,31,0,67,39,77,6,11
17,001,Capital,0001E,001053,329,21,0,59,34,98,12,9
17,001,Capital,0001E,001054,328,27,7,52,25,86,13,16
17,001,Capital,0001E,001055,330,23,1,52,39,89,14,15
17,001,Capital,0001E,001056,328,24,1,54,29,87,9,12
17,001,Capital,0001E,001057,330,27,2,57,45,76,20,10
17,001,Capital,0001F,001058,347,19,7,45,50,101,5,18
17,001,Capital,0001F,001059,351,9,0,40,35,122,10,18
17,001,Capital,0001F,001060,350,33,3,49,34,111,11,19
17,001,Capital,0001F,001061,351,24,4,38,37,127,6,12
17,001,Capital,0001F,001062,348,32,4,30,40,128,11,20
17,001,Capital,0001F,001063,349,22,4,46,48,110,6,19
17,001,Capital,0001F,001064,347,29,9,49,33,120,10,15
17,001,Capital,0001F,001065,349,23,2,41,34,136,15,15
17,001,Capital,0001F,001066,351,15,2,57,30,131,7,14
17,001,Capital,0001F,001067,351,22,1,47,27,134,6,17
17,001,Capital,0001F,001068,349,16,0,55,34,128,13,23
17,001,Capital,0001F,001069,347,17,3,35,34,126,14,13
17,001,Capital,0001F,001070,350,23,0,39,40,127,13,19
17,001,Capital,0001F,001071,348,27,2,41,38,119,11,14
17,001,Capital,0001F,001072,347,22,1,37,39,120,15,28
