codprov,coddepto,depto,circuito,mesa,electores,blancos,00036,00050,00037,00047
19,001,Pueyrredon,00002,000439,343,9,4,148,99,21
19,001,Pueyrredon,00002,000440,343,26,16,145,82,23
19,001,Pueyrredon,00002,000441,342,23,7,161,78,16
19,001,Pueyrredon,00002,000442,341,12,14,153,76,19
19,001,Pueyrredon,00002,000443,343,13,8,152,81,21
19,001,Pueyrredon,00002,000444,341,20,11,149,87,17
19,001,Pueyrredon,00002,000445,342,14,7,141,93,19
19,001,Pueyrredon,00002,000446,342,23,8,139,87,20
19,001,Pueyrredon,00002,000447,341,14,12,162,52,15
19,001,Pueyrredon,00002,000448,337,14,8,159,71,17
19,001,Pueyrredon,00002,000449,344,16,11,125,111,12
19,001,Pueyrredon,00002,000450,342,25,4,147,82,28
19,001,Pueyrredon,00002,000451,342,26,3,158,90,19
19,001,Pueyrredon,00002,000452,345,20,8,144,92,16
19,001,Pueyrredon,00002,000453,336,25,8,138,91,19
19,001,Pueyrredon,00002,000454,339,20,9,126,112,13
19,001,Pueyrredon,00002,000455,342,21,5,139,92,22
19,001,Pueyrredon,00002,000456,342,17,5,139,88,17
19,001,Pueyrredon,00002,000457,340,16,16,146,87,20
19,001,Pueyrredon,00002,000458,341,22,8,138,96,14
19,001,Pueyrredon,00002,000459,339,22,8,121,94,19
19,001,Pueyrredon,00002,000460,342,19,10,132,92,15
19,001,Pueyrredon,00002,000461,344,18,13,151,70,15
19,001,Pueyrredon,00002,000462,341,11,10,145,82,16
19,001,Pueyrredon,00002,000463,339,14,12,143,93,9
19,001,Pueyrredon,00002,000464,340,28,16,120,97,12
19,001,Pueyrredon,00002,000465,340,25,8,129,104,16
19,001,Pueyrredon,00002,000466,342,14,8,165,62,16
19,001,Pueyrredon,00002,000467,340,20,11,139,105,14
19,001,Pueyrredon,00002,000468,340,17,13,147,83,15
19,001,Pueyrredon,00002,000469,346,19,9,168,68,15
19,001,Pueyrredon,00002,000470,341,26,9,150,88,13
19,001,Pueyrredon,00002,000471,345,19,9,146,81,18
19,001,Pueyrredon,00002,000472,355,26,13,133,91,13
19,001,Pueyrredon,00002,000473,355,20,6,158,87,12
19,001,Pueyrredon,00002,000474,352,19,10,149,98,10
19,001,Pueyrredon,00002,000475,340,19,8,163,76,11
19,001,Pueyrredon,00002,000476,343,17,6,144,107,13
19,001,Pueyrredon,00002,000477,343,16,10,149,87,14
19,001,Pueyrredon,00003,000478,349,28,15,121,94,24
19,001,Pueyrredon,00003,000479,349,22,12,129,98,17
19,001,Pueyrredon,00003,000480,347,16,12,139,105,20
19,001,Pueyrredon,00003,000481,345,28,13,126,95,24
19,001,Pueyrredon,00003,000482,348,32,11,137,101,8
19,001,Pueyrredon,00003,000483,350,20,6,155,85,14
19,001,Pueyrredon,00003,000484,350,15,7,122,119,29
19,001,Pueyrredon,00003,000485,349,27,17,134,95,19
19,001,Pueyrredon,00003,000486,348,39,8,109,94,31
19,001,Pueyrredon,00003,000487,347,25,11,144,87,26
19,001,Pueyrredon,00003,000488,347,32,10,143,100,8
19,001,Pueyrredon,00003,000489,348,32,9,131,91,15
19,001,Pueyrredon,00003,000490,346,20,14,144,86,27
19,001,Pueyrredon,00003,000491,348,16,9,125,112,20
19,001,Pueyrredon,00003,000492,344,22,13,134,95,21
19,001,Pueyrredon,00003,000493,348,24,8,132,85,35
19,001,Pueyrredon,00003,000494,348,24,16,129,107,23
19,001,Pueyrredon,00003,000495,346,30,4,122,104,20
19,001,Pueyrredon,00003,000496,345,28,11,125,89,23
19,001,Pueyrredon,00003,000497,345,20,11,137,86,20
19,001,Pueyrredon,00003,000498,349,58,8,129,104,0
19,001,Pueyrredon,00003,000499,348,15,10,143,85,23
19,001,Pueyrredon,00003,000500,348,16,9,135,96,27
19,001,Pueyrredon,00003,000501,344,30,11,141,79,20
19,001,Pueyrredon,00003,000502,350,21,8,145,94,22
19,001,Pueyrredon,00003,000503,348,37,11,134,99,22
19,001,Pueyrredon,00003,000504,346,26,14,108,110,25
19,001,Pueyrredon,00003,000505,346,27,8,136,79,30
19,001,Pueyrredon,00003,000506,346,17,6,148,87,20
19,001,Pueyrredon,00003,000507,348,11,11,128,119,17
19,001,Pueyrredon,00003,000508,348,18,7,137,100,26
19,001,Pueyrredon,00003,000509,360,25,15,114,112,16
19,001,Pueyrredon,00003,000510,365,38,12,154,87,22
19,001,Pueyrredon,00003,000511,363,28,13,135,88,19
19,001,Pueyrredon,00003,000512,364,20,12,116,114,29
19,001,Pueyrredon,00003,000513,349,29,5,122,97,30
19,001,Pueyrredon,00003,000514,347,19,7,121,95,21
19,001,Pueyrredon,00003,000515,346,31,10,114,115,18
19,001,Pueyrredon,00003,000516,351,36,4,143,84,19
19,001,Pueyrredon,00004,000517,343,17,11,111,114,12
19,001,Pueyrredon,00004,000518,343,27,8,105,115,12
19,001,Pueyrredon,00004,000519,341,19,2,106,124,14
19,001,Pueyrredon,00004,000520,342,14,8,106,122,13
19,001,Pueyrredon,00004,000521,342,14,5,102,129,19
19,001,Pueyrredon,00004,000522,346,22,7,124,113,7
19,001,Pueyrredon,00004,000523,352,20,4,109,139,18
19,001,Pueyrredon,0004A,000524,315,24,9,123,61,22
19,001,Pueyrredon,0004A,000525,315,12,13,133,67,21
19,001,Pueyrredon,0004A,000526,315,19,7,120,96,11
19,001,Pueyrredon,0004A,000527,314,13,13,109,93,27
19,001,Pueyrredon,0004A,000528,315,12,10,132,77,12
19,001,Pueyrredon,0004A,000529,313,16,7,115,73,29
19,001,Pueyrredon,0004A,000530,320,13,10,110,93,21
19,001,Pueyrredon,0004A,000531,319,19,10,120,83,17
19,001,Pueyrredon,0005A,000532,68,6,6,13,25,3
19,001,Pueyrredon,0005B,000533,30,0,0,8,13,0
19,001,Pueyrredon,00006,000534,281,14,5,65,138,4
19,001,Pueyrredon,00006,000535,287,13,2,73,142,5
19,001,Pueyrredon,00007,000536,81,0,0,24,43,5
19,001,Pueyrredon,0008A,000537,183,6,0,17,99,1
19,001,Pueyrredon,0008A,000538,185,7,0,29,97,3
19,001,Pueyrredon,0008B,000539,60,0,0,9,41,1
19,001,Pueyrredon,0009A,000540,235,7,0,46,127,5
19,001,Pueyrredon,0009B,000541,51,3,0,8,28,0
19,001,Pueyrredon,00010,000542,290,9,5,38,135,10
19,001,Pueyrredon,00010,000543,290,13,3,55,135,7
19,001,Pueyrredon,00010,000544,290,10,2,48,118,0
19,001,Pueyrredon,00010,000545,297,21,3,40,133,0
19,001,Pueyrredon,00011,000546,41,2,1,18,4,1
19,001,Pueyrredon,00012,000547,240,13,3,45,109,4
19,001,Pueyrredon,00012,000548,244,5,0,43,128,4
19,001,Pueyrredon,00013,000549,158,7,0,59,56,2
19,001,Pueyrredon,00014,000550,47,0,0,6,21,0
19,001,Pueyrredon,00015,000551,267,16,4,70,107,12
19,001,Pueyrredon,00015,000552,271,8,5,76,92,7
19,001,Pueyrredon,1001A,000001,345,27,7,85,149,15
19,001,Pueyrredon,1001A,000010,343,36,4,73,151,10
19,001,Pueyrredon,1001A,000011,344,35,10,55,148,14
19,001,Pueyrredon,1001A,000012,343,30,4,56,160,22
19,001,Pueyrredon,1001A,000013,344,36,4,54,170,21
19,001,Pueyrredon,1001A,000014,343,51,11,35,138,21
19,001,Pueyrredon,1001A,000015,343,13,9,56,173,26
19,001,Pueyrredon,1001A,000016,343,31,11,74,138,23
19,001,Pueyrredon,1001A,000017,343,25,4,73,140,28
19,001,Pueyrredon,1001A,000018,347,42,2,75,144,22
19,001,Pueyrredon,1001A,000019,359,46,5,81,150,19
19,001,Pueyrredon,1001A,000002,339,21,9,73,143,25
19,001,Pueyrredon,1001A,000020,358,31,5,67,141,18
19,001,Pueyrredon,1001A,000021,354,27,8,70,132,29
19,001,Pueyrredon,1001A,000022,342,30,5,58,162,20
19,001,Pueyrredon,1001A,000023,342,21,10,94,142,24
19,001,Pueyrredon,1001A,000024,344,36,7,70,154,21
19,001,Pueyrredon,1001A,000003,343,52,9,71,130,25
19,001,Pueyrredon,1001A,000004,343,37,10,68,152,16
19,001,Pueyrredon,1001A,000005,342,36,8,79,141,18
19,001,Pueyrredon,1001A,000006,345,43,12,83,135,0
19,001,Pueyrredon,1001A,000007,340,27,9,85,119,31
19,001,Pueyrredon,1001A,000008,344,27,8,64,155,24
19,001,Pueyrredon,1001A,000009,344,25,8,89,126,30
19,001,Pueyrredon,1001B,000025,330,19,2,160,73,21
19,001,Pueyrredon,1001B,000026,327,38,7,129,74,21
19,001,Pueyrredon,1001B,000027,328,22,10,139,83,17
19,001,Pueyrredon,1001B,000028,330,25,6,136,78,20
19,001,Pueyrredon,1001B,000029,330,24,10,128,95,19
19,001,Pueyrredon,1001B,000030,331,28,10,139,75,25
19,001,Pueyrredon,1001B,000031,328,27,9,142,86,19
19,001,Pueyrredon,1001B,000032,330,29,17,122,78,21
19,001,Pueyrredon,1001B,000033,332,17,11,136,89,26
19,001,Pueyrredon,1001B,000034,338,33,9,124,83,31
19,001,Pueyrredon,1001C,000035,328,43,9,108,97,29
19,001,Pueyrredon,1001C,000036,328,31,9,140,63,28
19,001,Pueyrredon,1001C,000037,327,22,11,147,81,16
19,001,Pueyrredon,1001C,000038,330,28,12,134,83,18
19,001,Pueyrredon,1001C,000039,332,16,9,132,87,24
19,001,Pueyrredon,1001C,000040,330,25,9,167,70,18
19,001,Pueyrredon,1001C,000041,333,22,7,144,81,21
19,001,Pueyrredon,01002,000042,335,24,13,84,132,15
19,001,Pueyrredon,01002,000043,336,28,7,90,104,13
