codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0002,0014,0049,0101,0230,0231,0232
22,Capital                                 ,001,0001 ,0001,900,21,31,30,24,46,22,24,290,42
22,Capital                                 ,001,0001 ,0002,900,21,29,40,12,30,18,22,296,44
22,Capital                                 ,001,0001 ,0003,900,17,29,40,6,24,12,14,322,28
22,Capital                                 ,001,0001 ,0004,786,19,17,30,10,26,20,24,284,32
22,Capital                                 ,001,0001 ,0005,299,5,7,12,3,6,5,8,100,6
22,Capital                                 ,001,0002 ,0005,450,2,13,35,5,13,6,6,170,15
22,Capital                                 ,001,0002 ,0006,900,24,25,78,24,30,18,24,312,36
22,Capital                                 ,001,0002 ,0007,900,19,11,56,10,30,30,28,296,24
22,Capital                                 ,001,0002 ,0008,900,9,7,58,6,16,14,12,300,16
22,Capital                                 ,001,0002 ,0009,796,15,17,70,6,40,6,8,278,24
22,Capital                                 ,001,0002 ,0010,450,6,6,23,3,18,4,9,161,17
22,Capital                                 ,001,0002 ,0011,270,5,5,20,4,6,5,5,76,12
22,Capital                                 ,001,0002A,0010,450,11,8,32,4,15,2,11,142,7
22,Capital                                 ,001,0002A,0011,450,6,5,27,2,15,4,15,147,8
22,Capital                                 ,001,0002A,0012,900,7,12,62,6,26,18,32,354,14
22,Capital                                 ,001,0002A,0013,900,11,7,28,4,32,24,32,400,24
22,Capital                                 ,001,0002A,0014,900,7,6,42,10,28,12,30,370,18
22,Capital                                 ,001,0002A,0015,900,16,14,62,6,34,16,20,358,12
22,Capital                                 ,001,0002A,0016,900,11,24,52,8,50,28,26,350,14
22,Capital                                 ,001,0002A,0017,900,21,7,42,10,32,16,30,342,10
22,Capital                                 ,001,0002A,0018,900,13,22,62,2,24,18,30,330,20
22,Capital                                 ,001,0002A,0019,900,14,21,50,14,24,28,28,366,18
22,Capital                                 ,001,0002A,0020,900,3,7,54,14,38,16,16,326,14
22,Capital                                 ,001,0002A,0021,760,19,5,52,10,16,22,28,354,12
22,Capital                                 ,001,0002A,0022,450,7,0,26,6,8,5,10,168,5
22,Capital                                 ,001,0002A,0023,450,7,9,22,3,8,5,9,194,5
22,Capital                                 ,001,0002A,0024,450,10,2,23,6,18,7,22,183,7
22,Capital                                 ,001,0002A,0025,232,2,6,14,3,7,3,6,85,3
22,Capital                                 ,001,0003 ,0022,450,4,7,20,4,19,12,3,145,8
22,Capital                                 ,001,0003 ,0023,450,11,0,18,6,17,7,8,122,11
22,Capital                                 ,001,0003 ,0024,450,15,12,29,4,16,2,11,121,9
22,Capital                                 ,001,0003 ,0025,450,4,6,19,0,10,6,19,153,8
22,Capital                                 ,001,0003 ,0026,900,14,21,58,6,34,14,22,358,20
22,Capital                                 ,001,0003 ,0027,900,15,13,38,8,38,16,20,328,14
22,Capital                                 ,001,0003 ,0028,900,15,19,32,2,40,16,22,314,14
22,Capital                                 ,001,0003 ,0029,900,20,11,52,8,50,18,30,308,20
22,Capital                                 ,001,0003 ,0030,900,20,19,46,8,38,8,20,322,14
22,Capital                                 ,001,0003 ,0031,530,12,18,38,0,18,16,36,320,14
22,Capital                                 ,001,0003 ,0032,450,3,8,15,4,9,9,9,151,14
22,Capital                                 ,001,0003 ,0033,450,7,10,14,4,10,7,16,137,10
22,Capital                                 ,001,0003 ,0034,450,6,15,20,3,17,4,15,161,5
22,Capital                                 ,001,0003 ,0035,450,5,16,15,5,12,2,11,147,12
22,Capital                                 ,001,0003 ,0036,296,2,4,15,3,15,1,6,109,5
22,Capital                                 ,001,0003A,0032,450,10,12,20,4,17,12,7,136,11
22,Capital                                 ,001,0003A,0033,450,3,4,26,3,20,5,8,150,11
22,Capital                                 ,001,0003A,0034,450,11,6,8,4,21,3,5,161,16
22,Capital                                 ,001,0003A,0035,450,10,0,24,2,15,14,10,140,5
22,Capital                                 ,001,0003A,0036,450,7,8,12,5,17,9,6,141,8
22,Capital                                 ,001,0003A,0037,900,19,16,44,16,58,8,20,352,22
22,Capital                                 ,001,0003A,0038,900,13,24,60,8,26,26,26,366,24
22,Capital                                 ,001,0003A,0039,559,12,10,36,4,50,16,10,340,6
22,Capital                                 ,001,0003A,0040,450,4,10,17,5,14,6,11,183,13
22,Capital                                 ,001,0003A,0041,450,10,2,14,3,1,11,8,189,12
22,Capital                                 ,001,0003A,0042,450,9,9,22,8,11,9,6,168,20
22,Capital                                 ,001,0003A,0043,450,8,12,14,5,12,6,10,189,8
22,Capital                                 ,001,0003A,0044,450,4,13,16,2,17,3,15,173,11
22,Capital                                 ,001,0003A,0045,369,11,6,13,5,9,4,11,133,8
22,Capital                                 ,001,0004 ,0040,450,5,4,17,2,13,8,6,174,2
22,Capital                                 ,001,0004 ,0041,450,11,10,21,3,17,7,7,153,2
22,Capital                                 ,001,0004 ,0042,450,6,10,19,2,17,9,9,134,2
22,Capital                                 ,001,0004 ,0043,450,4,10,17,3,19,4,10,164,4
22,Capital                                 ,001,0004 ,0044,450,3,6,18,2,21,7,15,153,4
22,Capital                                 ,001,0004 ,0045,450,4,4,29,5,18,1,9,157,7
22,Capital                                 ,001,0004 ,0046,900,8,13,36,10,38,16,30,364,8
22,Capital                                 ,001,0004 ,0047,900,8,13,52,4,58,16,24,374,2
22,Capital                                 ,001,0004 ,0048,900,15,15,58,6,34,6,20,398,22
22,Capital                                 ,001,0004 ,0049,900,12,21,42,4,40,12,30,414,12
22,Capital                                 ,001,0004 ,0050,900,6,7,48,6,48,18,22,374,12
22,Capital                                 ,001,0004 ,0051,900,11,9,46,6,50,16,40,354,16
22,Capital                                 ,001,0004 ,0052,900,9,17,56,6,40,18,22,342,6
22,Capital                                 ,001,0004 ,0053,900,11,12,54,4,46,12,42,366,8
22,Capital                                 ,001,0004 ,0054,900,25,9,56,2,64,14,20,380,14
22,Capital                                 ,001,0004 ,0055,900,11,11,32,6,30,18,14,408,10
22,Capital                                 ,001,0004 ,0056,900,21,7,44,2,44,12,28,364,12
22,Capital                                 ,001,0004 ,0057,900,7,13,52,8,38,10,34,378,12
22,Capital                                 ,001,0004 ,0058,900,4,22,58,2,48,16,16,384,10
22,Capital                                 ,001,0004 ,0059,900,7,11,38,4,42,14,28,394,16
22,Capital                                 ,001,0004 ,0060,900,13,13,56,4,34,10,28,374,6
22,Capital                                 ,001,0004 ,0061,900,11,14,58,4,38,12,28,370,8
22,Capital                                 ,001,0004 ,0062,900,15,13,44,6,32,22,28,390,6
22,Capital                                 ,001,0004 ,0063,900,11,8,46,12,48,14,18,358,4
22,Capital                                 ,001,0004 ,0064,900,12,14,38,10,40,10,30,376,8
22,Capital                                 ,001,0004 ,0065,900,14,16,50,6,42,14,32,340,16
22,Capital                                 ,001,0004 ,0066,900,14,5,52,2,42,16,22,408,10
22,Capital                                 ,001,0004 ,0067,691,7,10,30,6,34,12,20,400,4
22,Capital                                 ,001,0004 ,0068,692,9,14,40,0,26,12,22,426,10
22,Capital                                 ,001,0004 ,0069,450,3,12,22,2,17,6,8,180,5
22,Capital                                 ,001,0004 ,0070,450,4,7,24,3,16,0,13,190,2
22,Capital                                 ,001,0004 ,0071,450,5,4,25,2,13,6,11,185,4
22,Capital                                 ,001,0004 ,0072,450,4,15,16,2,19,8,11,176,3
22,Capital                                 ,001,0004 ,0073,450,10,6,24,2,16,10,11,201,3
22,Capital                                 ,001,0004 ,0074,450,3,4,20,4,28,3,8,204,5
22,Capital                                 ,001,0004 ,0075,450,5,7,25,3,14,5,13,210,2
22,Capital                                 ,001,0004 ,0076,277,2,1,24,1,12,8,8,113,3
22,Capital                                 ,001,0005 ,0069,450,19,6,9,4,13,4,19,125,23
22,Capital                                 ,001,0005 ,0070,450,12,14,11,6,15,7,8,137,18
22,Capital                                 ,001,0005 ,0071,450,21,14,10,12,1,16,17,129,13
22,Capital                                 ,001,0005 ,0072,450,9,17,4,3,12,9,13,109,24
22,Capital                                 ,001,0005 ,0073,249,6,9,5,3,7,6,12,67,6
22,Capital                                 ,001,0005 ,0077,450,9,12,6,4,10,6,12,156,22
22,Capital                                 ,001,0005 ,0078,450,8,22,9,3,7,4,10,121,19
22,Capital                                 ,001,0005 ,0079,450,10,18,11,0,13,7,9,141,21
