codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0005,0012,0014,0017,0038,0050,0056,0057,0060,0175,0187,0209,0210,0211,0212,0213,0442
22,Capital                                 ,001,0001 ,0001,900,5,4,36,56,2,2,0,8,58,4,8,2,16,48,188,30,12,42,36,14
22,Capital                                 ,001,0001 ,0002,900,1,4,42,62,0,0,0,10,48,10,8,2,10,32,188,32,20,58,34,4
22,Capital                                 ,001,0001 ,0003,900,5,9,46,72,2,4,0,8,36,4,8,2,24,34,204,34,18,36,50,10
22,Capital                                 ,001,0001 ,0004,801,1,1,36,44,0,4,0,12,44,4,14,4,14,34,198,30,22,38,36,8
22,Capital                                 ,001,0001 ,0005,327,4,0,8,18,0,0,0,1,14,2,1,0,3,15,88,12,2,9,11,3
22,Capital                                 ,001,0002 ,0005,450,2,8,12,9,2,2,0,5,24,1,0,2,12,16,111,17,11,14,26,6
22,Capital                                 ,001,0002 ,0006,900,26,3,26,28,6,2,0,6,68,10,0,0,42,18,216,22,12,40,38,8
22,Capital                                 ,001,0002 ,0007,900,12,10,26,70,0,8,0,16,36,4,8,2,16,28,222,24,28,26,28,10
22,Capital                                 ,001,0002 ,0008,900,28,3,32,56,0,6,0,6,46,8,4,0,28,30,224,36,32,32,40,8
22,Capital                                 ,001,0002 ,0009,837,54,5,34,34,2,2,0,10,30,4,8,2,16,22,208,26,12,30,56,8
22,Capital                                 ,001,0002 ,0010,450,0,0,4,22,0,1,0,5,21,3,1,0,5,17,135,9,6,13,39,3
22,Capital                                 ,001,0002 ,0011,284,0,3,8,16,1,2,0,1,8,2,0,1,2,5,81,9,4,15,14,2
22,Capital                                 ,001,0002A,0010,450,0,0,9,4,0,2,0,8,8,1,2,2,15,11,118,8,9,21,37,5
22,Capital                                 ,001,0002A,0011,450,0,0,7,12,3,2,0,0,10,3,2,0,5,19,99,5,14,18,32,3
22,Capital                                 ,001,0002A,0012,900,27,4,26,22,2,4,0,14,28,6,10,6,22,26,346,8,38,48,72,8
22,Capital                                 ,001,0002A,0013,900,0,0,24,34,2,8,0,8,36,6,6,4,34,40,236,10,22,74,56,8
22,Capital                                 ,001,0002A,0014,900,27,8,22,34,2,2,0,12,18,10,2,2,28,36,290,18,24,52,56,10
22,Capital                                 ,001,0002A,0015,900,0,0,12,26,2,2,0,8,26,6,4,2,26,32,274,10,52,34,60,4
22,Capital                                 ,001,0002A,0016,900,0,0,14,34,10,4,0,18,28,6,6,6,40,52,256,14,30,36,56,6
22,Capital                                 ,001,0002A,0017,900,30,3,22,38,0,2,0,10,26,2,8,0,26,30,312,18,32,44,66,4
22,Capital                                 ,001,0002A,0018,900,7,10,14,10,0,6,0,8,0,6,0,2,24,30,268,18,30,42,62,10
22,Capital                                 ,001,0002A,0019,900,8,5,10,24,8,6,0,12,30,4,20,2,40,28,292,24,24,54,66,16
22,Capital                                 ,001,0002A,0020,900,2,3,36,22,2,4,0,14,44,4,6,2,32,34,214,28,30,40,62,10
22,Capital                                 ,001,0002A,0021,693,3,6,24,38,0,4,0,14,24,4,10,2,38,26,260,10,16,54,64,4
22,Capital                                 ,001,0002A,0022,693,14,0,14,12,2,4,0,14,36,6,4,0,26,16,290,14,18,40,46,4
22,Capital                                 ,001,0002A,0023,450,4,3,13,16,0,2,0,2,6,1,2,0,16,15,135,5,17,25,23,1
22,Capital                                 ,001,0002A,0024,450,2,1,6,5,2,2,0,6,21,5,2,0,4,12,137,4,6,27,32,4
22,Capital                                 ,001,0002A,0025,239,111,0,5,8,0,1,0,1,8,0,1,0,9,15,74,4,9,25,17,2
22,Capital                                 ,001,0002A,0026,240,4,1,0,4,0,0,0,1,7,0,4,0,4,7,68,4,8,15,19,1
22,Capital                                 ,001,0003 ,0023,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Capital                                 ,001,0003 ,0024,450,4,2,13,17,0,3,0,3,13,1,2,1,15,18,82,7,13,22,13,2
22,Capital                                 ,001,0003 ,0025,450,34,6,9,13,0,1,0,7,18,0,1,0,11,9,98,8,5,24,10,5
22,Capital                                 ,001,0003 ,0026,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Capital                                 ,001,0003 ,0027,900,22,2,28,52,2,4,0,6,28,2,4,4,14,36,256,12,22,84,34,10
22,Capital                                 ,001,0003 ,0028,900,4,5,32,56,0,2,0,16,20,8,2,0,10,18,252,20,16,72,40,8
22,Capital                                 ,001,0003 ,0029,900,31,5,28,52,0,2,0,6,42,6,8,0,20,50,224,40,24,50,30,8
22,Capital                                 ,001,0003 ,0030,900,0,0,26,62,2,4,0,6,30,4,0,2,16,36,224,22,18,72,46,6
22,Capital                                 ,001,0003 ,0031,900,0,0,20,46,0,4,0,18,34,4,2,2,32,20,260,14,24,56,40,6
22,Capital                                 ,001,0003 ,0032,734,8,6,12,38,0,2,0,8,20,6,6,2,14,30,284,12,12,54,34,4
22,Capital                                 ,001,0003 ,0033,450,1,0,7,11,2,0,0,3,23,2,2,0,5,7,124,10,12,33,18,2
22,Capital                                 ,001,0003 ,0034,450,0,0,17,12,1,2,0,3,15,2,0,0,5,12,114,9,6,34,17,3
22,Capital                                 ,001,0003 ,0035,450,0,0,14,13,0,5,0,4,25,2,2,0,6,8,134,5,15,25,13,5
22,Capital                                 ,001,0003 ,0036,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Capital                                 ,001,0003 ,0037,363,2,2,8,13,0,1,0,1,8,4,0,0,10,11,115,5,6,24,10,5
22,Capital                                 ,001,0003A,0033,450,3,5,11,18,1,2,0,1,10,4,2,0,8,14,113,6,7,19,19,7
22,Capital                                 ,001,0003A,0034,450,0,0,11,17,1,0,0,3,11,2,1,0,12,10,120,5,17,14,23,10
22,Capital                                 ,001,0003A,0035,450,0,0,8,21,1,2,0,6,0,0,0,0,10,14,122,4,6,11,12,1
22,Capital                                 ,001,0003A,0036,450,4,4,12,28,2,1,0,2,5,2,1,0,7,8,130,8,9,17,25,1
22,Capital                                 ,001,0003A,0037,450,0,0,10,13,0,2,0,5,13,2,1,0,14,9,115,4,17,13,24,1
22,Capital                                 ,001,0003A,0038,900,3,2,16,36,2,8,0,10,54,8,4,4,34,16,224,22,34,42,36,8
22,Capital                                 ,001,0003A,0039,900,6,3,20,34,4,6,0,10,26,6,2,2,14,22,276,14,34,46,30,16
22,Capital                                 ,001,0003A,0040,515,3,4,38,54,2,2,0,14,28,2,0,4,24,30,218,22,24,36,40,6
22,Capital                                 ,001,0003A,0041,450,0,5,8,26,0,1,0,7,11,3,1,0,13,16,124,7,12,19,27,3
22,Capital                                 ,001,0003A,0042,450,0,5,11,15,1,1,0,8,22,2,6,2,7,21,134,5,8,24,17,3
22,Capital                                 ,001,0003A,0043,450,9,4,8,29,0,1,1,0,13,2,3,0,13,19,122,6,10,31,15,5
22,Capital                                 ,001,0003A,0044,450,3,2,6,20,0,1,0,5,13,3,1,1,4,8,149,8,8,19,13,5
22,Capital                                 ,001,0003A,0045,450,27,6,8,38,3,1,0,6,1,1,1,0,5,14,142,7,0,29,32,3
22,Capital                                 ,001,0003A,0046,425,2,2,7,17,2,2,0,5,18,2,2,0,10,14,106,9,11,17,20,6
22,Capital                                 ,001,0004 ,0041,450,0,0,4,14,0,3,0,3,6,1,3,5,9,19,136,5,10,21,27,2
22,Capital                                 ,001,0004 ,0042,450,0,0,14,14,1,1,0,8,8,1,0,0,17,15,119,6,11,30,24,5
22,Capital                                 ,001,0004 ,0043,450,7,7,5,10,2,1,0,6,0,0,0,0,7,13,163,0,4,20,16,5
22,Capital                                 ,001,0004 ,0044,450,0,0,0,0,0,1,0,3,0,1,0,0,7,16,130,4,13,13,34,6
22,Capital                                 ,001,0004 ,0045,450,0,0,5,16,1,1,0,8,7,1,1,0,8,9,124,4,7,22,38,1
22,Capital                                 ,001,0004 ,0046,450,0,0,0,2,0,2,0,4,2,1,0,2,11,10,141,2,11,29,23,1
22,Capital                                 ,001,0004 ,0047,900,0,0,10,22,2,4,0,14,14,6,4,2,30,36,310,14,24,70,58,10
22,Capital                                 ,001,0004 ,0048,900,7,7,16,18,2,0,0,28,20,10,2,4,18,38,322,10,38,40,50,6
22,Capital                                 ,001,0004 ,0049,900,6,1,14,20,4,2,0,16,14,4,24,4,30,38,276,2,58,50,350,4
22,Capital                                 ,001,0004 ,0050,900,29,6,14,30,2,4,0,14,26,2,2,2,32,22,370,18,40,60,62,10
22,Capital                                 ,001,0004 ,0051,900,22,10,8,16,2,2,0,24,16,2,2,0,38,34,318,14,20,30,76,4
22,Capital                                 ,001,0004 ,0052,900,20,4,16,18,0,4,0,26,12,4,2,2,30,32,292,10,34,74,70,10
22,Capital                                 ,001,0004 ,0053,900,6,10,8,40,6,2,0,16,18,4,2,2,28,28,312,14,38,60,48,12
22,Capital                                 ,001,0004 ,0054,900,22,0,22,30,4,2,0,20,22,6,2,6,20,26,336,8,24,42,70,8
22,Capital                                 ,001,0004 ,0055,900,42,2,10,20,2,4,0,16,10,0,4,2,10,22,310,6,40,66,88,16
22,Capital                                 ,001,0004 ,0056,900,4,7,10,22,2,8,0,18,26,6,2,2,20,30,310,18,18,68,90,4
22,Capital                                 ,001,0004 ,0057,900,4,4,12,28,0,0,0,10,18,6,4,4,16,30,284,12,30,66,66,4
