codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0061,0324,0501,0514,0541
22,Capital,001,0001 ,0001,351,30,2,9,2,5,97,113
22,Capital,001,0001 ,0002,350,42,4,16,5,4,83,82
22,Capital,001,0001 ,0003,348,21,4,14,5,14,84,125
22,Capital,001,0001 ,0004,351,43,1,15,6,4,93,114
22,Capital,001,0001 ,0005,350,24,0,15,3,19,85,115
22,Capital,001,0001 ,0006,350,20,1,7,5,5,107,110
22,Capital,001,0001 ,0007,350,21,3,16,7,7,86,123
22,Capital,001,0001 ,0008,350,25,3,5,5,3,89,125
22,Capital,001,0001 ,0009,351,30,7,16,3,6,76,123
22,Capital,001,0001 ,0010,188,15,0,3,1,3,57,56
22,Capital,001,0001 ,0011,190,3,1,5,1,4,49,45
22,Capital,001,0002 ,0012,350,30,4,14,3,10,79,133
22,Capital,001,0002 ,0013,350,27,4,11,3,9,78,142
22,Capital,001,0002 ,0014,347,17,6,5,2,6,91,138
22,Capital,001,0002 ,0015,350,26,2,13,6,11,94,108
22,Capital,001,0002 ,0016,348,23,7,14,3,11,89,135
22,Capital,001,0002 ,0017,350,33,0,14,3,9,78,126
22,Capital,001,0002 ,0018,349,27,3,12,2,8,84,136
22,Capital,001,0002 ,0019,352,18,3,14,5,10,76,132
22,Capital,001,0002 ,0020,350,56,7,11,4,11,88,80
22,Capital,001,0002 ,0021,350,31,0,20,2,11,78,140
22,Capital,001,0002 ,0022,350,6,1,10,2,7,95,121
22,Capital,001,0002 ,0023,349,17,0,12,2,9,88,153
22,Capital,001,0002 ,0024,351,18,5,25,4,8,85,126
22,Capital,001,0002 ,0025,67,1,0,6,0,2,20,29
22,Capital,001,0002A,0026,350,5,2,16,2,7,28,158
22,Capital,001,0002A,0027,350,38,1,13,1,9,41,185
22,Capital,001,0002A,0028,352,15,6,15,7,5,38,193
22,Capital,001,0002A,0029,350,26,3,14,7,7,59,168
22,Capital,001,0002A,0030,350,37,1,12,2,9,61,172
22,Capital,001,0002A,0031,354,19,4,22,4,7,63,165
22,Capital,001,0002A,0032,350,23,7,16,0,9,53,177
22,Capital,001,0002A,0033,352,42,0,15,2,6,39,178
22,Capital,001,0002A,0034,352,26,0,15,3,12,65,182
22,Capital,001,0002A,0035,350,28,0,7,7,6,51,180
22,Capital,001,0002A,0036,349,22,2,17,7,10,73,156
22,Capital,001,0002A,0037,350,28,2,17,7,7,41,182
22,Capital,001,0002A,0038,348,31,2,19,4,4,60,172
22,Capital,001,0002A,0039,349,26,2,10,2,12,54,160
22,Capital,001,0002A,0040,351,23,2,9,4,8,56,162
22,Capital,001,0002A,0041,351,42,2,9,5,8,47,160
22,Capital,001,0002A,0042,350,27,0,20,4,5,43,181
22,Capital,001,0002A,0043,352,30,6,7,8,5,42,182
22,Capital,001,0002A,0044,353,15,4,8,1,6,48,205
22,Capital,001,0002A,0045,351,30,0,8,6,3,56,192
22,Capital,001,0002A,0046,354,32,3,9,4,11,53,173
22,Capital,001,0002A,0047,352,22,4,8,4,8,35,207
22,Capital,001,0002A,0048,348,11,0,16,3,9,51,165
22,Capital,001,0002A,0049,352,0,3,30,2,6,91,134
22,Capital,001,0002A,0050,351,25,7,9,9,14,60,157
22,Capital,001,0002A,0051,350,16,4,13,3,10,67,173
22,Capital,001,0002A,0052,350,24,1,13,6,9,47,193
22,Capital,001,0002A,0053,351,32,2,9,3,13,52,183
22,Capital,001,0002A,0054,353,0,0,0,0,0,0,0
22,Capital,001,0002A,0055,349,31,1,16,0,4,64,159
22,Capital,001,0002A,0056,350,21,6,13,2,7,49,184
22,Capital,001,0002A,0057,350,23,1,14,11,6,61,171
22,Capital,001,0002A,0058,353,51,0,11,2,8,60,179
22,Capital,001,0002A,0059,351,24,0,12,10,10,52,169
22,Capital,001,0002A,0060,348,27,2,14,6,10,49,170
22,Capital,001,0002A,0061,350,31,0,17,3,3,32,173
22,Capital,001,0002A,0062,350,40,2,8,6,17,39,173
22,Capital,001,0002A,0063,350,36,3,13,4,5,51,162
22,Capital,001,0002A,0064,77,6,0,3,0,2,10,37
22,Capital,001,0003 ,0065,352,8,8,9,3,10,56,134
22,Capital,001,0003 ,0066,353,21,1,19,2,9,62,151
22,Capital,001,0003 ,0067,349,33,1,10,2,7,73,121
22,Capital,001,0003 ,0068,350,28,1,13,4,13,71,124
22,Capital,001,0003 ,0069,351,20,6,22,6,4,78,132
22,Capital,001,0003 ,0070,349,21,3,19,4,8,73,136
22,Capital,001,0003 ,0071,352,19,6,10,6,5,65,153
22,Capital,001,0003 ,0072,349,26,4,18,1,6,75,138
22,Capital,001,0003 ,0073,351,26,1,15,3,7,71,143
22,Capital,001,0003 ,0074,350,27,3,16,3,12,67,133
22,Capital,001,0003 ,0075,348,4,4,14,2,8,52,148
22,Capital,001,0003 ,0076,351,0,0,17,10,13,52,145
22,Capital,001,0003 ,0077,351,26,10,10,2,8,73,119
22,Capital,001,0003 ,0078,350,19,4,12,5,13,77,144
22,Capital,001,0003 ,0079,352,0,0,16,3,2,73,119
22,Capital,001,0003 ,0080,348,8,2,12,4,9,80,80
22,Capital,001,0003 ,0081,350,27,0,5,7,5,75,142
22,Capital,001,0003 ,0082,350,23,1,11,7,8,56,134
22,Capital,001,0003 ,0083,349,17,0,16,3,3,75,148
22,Capital,001,0003 ,0084,349,10,2,6,7,2,62,157
22,Capital,001,0003 ,0085,349,19,3,13,1,3,73,147
22,Capital,001,0003 ,0086,352,27,4,13,6,9,69,120
22,Capital,001,0003 ,0087,348,31,3,16,4,8,72,146
22,Capital,001,0003 ,0088,349,46,5,11,3,7,66,105
22,Capital,001,0003 ,0089,349,37,0,13,1,13,66,119
22,Capital,001,0003 ,0090,113,6,1,10,0,1,25,47
22,Capital,001,0003A,0091,352,29,1,25,4,18,92,118
22,Capital,001,0003A,0092,351,0,0,16,4,9,88,134
22,Capital,001,0003A,0093,348,14,2,21,3,10,63,149
22,Capital,001,0003A,0094,352,8,2,14,3,10,64,160
22,Capital,001,0003A,0095,350,6,1,25,5,20,67,138
22,Capital,001,0003A,0096,351,19,1,15,5,12,86,132
22,Capital,001,0003A,0097,350,38,3,12,7,9,78,119
22,Capital,001,0003A,0098,351,22,4,12,3,9,79,138
22,Capital,001,0003A,0099,352,0,0,18,3,12,76,95
22,Capital,001,0003A,0100,352,23,8,14,7,8,67,149
22,Capital,001,0003A,0101,350,7,1,12,4,8,68,156
22,Capital,001,0003A,0102,350,4,1,12,4,10,66,149
22,Capital,001,0003A,0103,349,38,1,12,8,19,62,123
22,Capital,001,0003A,0104,350,29,0,11,6,5,83,132
22,Capital,001,0003A,0105,348,2,3,21,2,8,73,131
22,Capital,001,0003A,0106,351,13,0,14,3,7,65,157
22,Capital,001,0003A,0107,350,18,4,15,7,6,87,136
22,Capital,001,0003A,0108,352,0,0,18,5,13,75,144
22,Capital,001,0003A,0109,351,4,7,11,6,0,70,0
22,Capital,001,0003A,0110,348,26,1,17,8,11,68,136
22,Capital,001,0003A,0111,258,16,5,14,2,3,51,96
22,Capital,001,0004 ,0112,353,29,2,14,6,7,42,182
22,Capital,001,0004 ,0113,350,48,4,7,7,12,55,156
22,Capital,001,0004 ,0114,352,24,0,13,3,20,47,169
22,Capital,001,0004 ,0115,353,34,0,13,5,13,52,176
22,Capital,001,0004 ,0116,355,31,0,17,2,7,62,181
22,Capital,001,0004 ,0117,351,33,3,16,2,7,42,187
22,Capital,001,0004 ,0118,356,9,0,12,2,9,42,183
22,Capital,001,0004 ,0119,351,38,2,13,9,18,31,184
22,Capital,001,0004 ,0120,351,32,1,16,7,8,69,170
22,Capital,001,0004 ,0121,352,0,0,12,8,9,48,179
22,Capital,001,0004 ,0122,351,37,3,12,7,4,53,179
22,Capital,001,0004 ,0123,352,0,0,14,2,15,40,188
22,Capital,001,0004 ,0124,352,3,1,17,3,7,36,208
22,Capital,001,0004 ,0125,354,20,0,14,7,6,43,196
22,Capital,001,0004 ,0126,349,4,3,13,0,6,50,158
22,Capital,001,0004 ,0127,350,0,0,9,5,3,33,180
22,Capital,001,0004 ,0128,350,0,0,12,3,14,46,176
22,Capital,001,0004 ,0129,353,7,2,21,7,18,52,84
22,Capital,001,0004 ,0130,356,26,2,10,6,11,56,181
22,Capital,001,0004 ,0131,353,20,3,13,4,12,48,178
22,Capital,001,0004 ,0132,349,2,2,14,1,9,45,171
22,Capital,001,0004 ,0133,354,28,8,9,2,8,62,162
22,Capital,001,0004 ,0134,351,8,3,13,5,17,54,182
22,Capital,001,0004 ,0135,352,21,4,12,8,10,43,170
22,Capital,001,0004 ,0136,350,41,5,6,6,10,48,167
22,Capital,001,0004 ,0137,352,32,1,8,9,7,41,189
22,Capital,001,0004 ,0138,351,34,0,10,5,14,40,192
22,Capital,001,0004 ,0139,351,20,3,15,5,12,48,187
22,Capital,001,0004 ,0140,350,24,1,8,6,9,51,188
22,Capital,001,0004 ,0141,352,22,3,20,7,7,53,173
22,Capital,001,0004 ,0142,352,37,1,10,5,7,48,164
22,Capital,001,0004 ,0143,351,27,5,6,12,8,43,177
22,Capital,001,0004 ,0144,351,35,0,10,9,11,36,185
22,Capital,001,0004 ,0145,351,34,0,15,5,10,44,182
22,Capital,001,0004 ,0146,354,16,5,11,5,7,45,211
22,Capital,001,0004 ,0147,350,36,0,9,7,5,46,190
22,Capital,001,0004 ,0148,351,32,0,10,7,13,53,170
22,Capital,001,0004 ,0149,354,0,0,11,14,9,38,174
22,Capital,001,0004 ,0150,351,17,4,13,6,13,60,172
22,Capital,001,0004 ,0151,353,10,12,8,9,10,49,188
22,Capital,001,0004 ,0152,354,4,5,0,5,11,55,172
22,Capital,001,0004 ,0153,351,20,1,29,6,9,43,188
22,Capital,001,0004 ,0154,351,38,5,12,3,9,47,169
22,Capital,001,0004 ,0155,354,49,7,6,6,5,46,180
22,Capital,001,0004 ,0156,352,44,0,14,4,5,40,180
22,Capital,001,0004 ,0157,357,38,0,14,5,4,48,186
22,Capital,001,0004 ,0158,353,32,4,10,5,5,43,192
22,Capital,001,0004 ,0159,353,26,10,11,13,4,30,200
22,Capital,001,0004 ,0160,351,26,5,13,9,7,40,190
22,Capital,001,0004 ,0161,350,2,5,7,0,8,48,187
22,Capital,001,0004 ,0162,351,25,1,17,13,11,56,159
22,Capital,001,0004 ,0163,350,5,14,10,11,13,45,180
22,Capital,001,0004 ,0164,353,29,8,14,6,10,37,171
22,Capital,001,0004 ,0165,349,21,6,19,5,16,49,165
22,Capital,001,0004 ,0166,354,30,5,10,5,10,46,186
22,Capital,001,0004 ,0167,351,41,0,8,11,9,41,175
22,Capital,001,0004 ,0168,353,59,4,11,1,15,21,182
22,Capital,001,0004 ,0169,350,27,0,10,4,5,60,165
22,Capital,001,0004 ,0170,351,24,7,9,3,13,45,184
22,Capital,001,0004 ,0171,351,33,2,13,2,12,47,172
22,Capital,001,0004 ,0172,352,7,1,15,4,9,50,181
22,Capital,001,0004 ,0173,352,1,6,17,9,5,46,176
22,Capital,001,0004 ,0174,358,12,2,7,5,0,49,74
22,Capital,001,0004 ,0175,354,31,9,8,4,6,40,167
22,Capital,001,0004 ,0176,347,0,0,9,9,8,48,170
22,Capital,001,0004 ,0177,352,3,2,10,0,8,42,194
22,Capital,001,0004 ,0178,351,35,12,8,9,8,45,179
22,Capital,001,0004 ,0179,352,47,4,6,6,4,51,157
22,Capital,001,0004 ,0180,349,28,6,10,4,13,41,177
22,Capital,001,0004 ,0181,352,41,0,19,6,10,52,156
22,Capital,001,0004 ,0182,352,25,0,20,3,8,44,174
22,Capital,001,0004 ,0183,354,130,2,14,5,8,35,104
22,Capital,001,0004 ,0184,352,25,1,18,5,10,63,167
22,Capital,001,0004 ,0185,350,19,3,18,12,13,56,158
22,Capital,001,0004 ,0186,352,34,2,12,7,9,55,171
22,Capital,001,0004 ,0187,349,38,2,18,5,7,34,176
22,Capital,001,0004 ,0188,351,35,3,13,7,13,36,178
22,Capital,001,0004 ,0189,352,16,2,16,6,8,47,182
22,Capital,001,0004 ,0190,352,15,3,12,4,10,28,173
22,Capital,001,0004 ,0191,351,36,0,14,4,11,62,165
22,Capital,001,0004 ,0192,350,25,11,8,2,11,61,157
