codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00035,00037,00050,00063
22,001,Capital,05113,092114,0,0,19,81,22,112,13
22,001,Capital,05113,092115,0,0,23,53,31,126,12
22,001,Capital,05113,092116,0,0,21,78,19,122,0
22,001,Capital,05113,092117,0,0,17,63,42,110,19
22,001,Capital,05113,092118,0,0,17,61,35,110,8
22,001,Capital,05113,092119,0,0,0,62,43,110,9
22,001,Capital,05113,092120,0,0,18,70,28,118,13
22,001,Capital,05113,092121,0,0,19,52,35,119,12
22,001,Capital,05113,092122,0,0,20,66,48,105,17
22,001,Capital,05113,092123,0,0,21,47,41,110,14
22,001,Capital,05114,092124,0,0,17,83,34,120,14
22,001,Capital,05114,092125,0,0,15,85,53,87,15
22,001,Capital,05114,092126,0,0,16,91,57,94,16
22,001,Capital,05114,092127,0,0,21,78,33,133,19
22,001,Capital,05114,092128,0,0,21,89,33,102,27
22,001,Capital,05114,092129,0,0,19,82,47,106,12
22,001,Capital,05114,092130,0,0,17,96,35,112,7
22,001,Capital,05114,092131,0,0,2,77,38,124,14
22,001,Capital,05114,092132,0,0,21,87,50,111,11
22,001,Capital,05114,092133,0,0,9,88,39,110,14
22,001,Capital,05114,092134,0,0,13,95,38,113,11
22,001,Capital,05114,092135,0,0,16,72,35,133,15
22,001,Capital,05115,092136,0,0,15,86,23,99,7
22,001,Capital,05115,092137,0,0,0,112,30,87,15
22,001,Capital,05115,092138,0,0,16,92,43,112,12
22,001,Capital,05115,092139,0,0,14,103,27,124,13
22,001,Capital,05115,092140,0,0,15,104,34,103,15
22,001,Capital,05115,092141,0,0,20,106,39,94,15
22,001,Capital,05115,092142,0,0,24,103,28,100,14
22,001,Capital,05115,092143,0,0,19,85,30,102,23
22,001,Capital,05115,092144,0,0,3,84,40,99,0
22,001,Capital,05115,092145,0,0,12,115,38,90,18
22,001,Capital,05115,092146,0,0,17,95,42,90,12
22,001,Capital,05115,092147,0,0,17,86,31,104,14
22,001,Capital,05115,092148,0,0,27,94,30,96,20
22,001,Capital,05115,092149,0,0,10,87,21,114,12
22,001,Capital,05115,092150,0,0,17,94,31,99,18
22,001,Capital,05115,092151,0,0,16,92,24,101,11
22,001,Capital,05115,092152,0,0,23,89,36,101,13
22,001,Capital,05115,092153,0,0,19,88,39,87,20
22,001,Capital,05115,092154,0,0,15,99,31,102,15
22,001,Capital,05115,092155,0,0,19,88,38,93,20
22,001,Capital,05115,092156,0,0,18,112,26,99,10
22,001,Capital,05115,092157,0,0,24,94,31,90,10
22,001,Capital,05115,092158,0,0,0,87,33,86,12
22,001,Capital,05115,101316,0,0,0,0,0,0,0
22,001,Capital,05116,092159,0,0,20,176,44,37,11
22,001,Capital,05116,092160,0,0,18,159,59,0,15
22,001,Capital,05116,092161,0,0,19,181,52,36,16
22,001,Capital,05116,092162,0,0,25,169,51,24,18
22,001,Capital,05116,092163,0,0,12,25,46,182,13
22,001,Capital,05116,092164,0,0,19,164,67,26,15
22,001,Capital,05116,092165,0,0,7,194,40,31,13
22,001,Capital,05116,092166,0,0,26,176,39,24,14
22,001,Capital,05116,092167,0,0,30,173,48,30,0
22,001,Capital,05116,092168,0,0,12,186,39,29,21
22,001,Capital,05116,092169,0,0,20,169,51,32,12
22,001,Capital,05116,092170,0,0,33,182,37,34,16
22,001,Capital,05116,092171,0,0,19,231,0,21,19
22,001,Capital,05116,092172,0,0,14,170,49,27,10
