codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0061,0174,0502,0541,0558
22,Capital,001,0001 ,0001,350,3,2,15,3,121,95,20
22,Capital,001,0001 ,0002,350,1,4,15,3,125,84,24
22,Capital,001,0001 ,0003,350,6,4,23,10,109,79,25
22,Capital,001,0001 ,0004,350,6,2,14,6,93,100,32
22,Capital,001,0001 ,0005,353,2,2,9,8,114,99,21
22,Capital,001,0001 ,0006,350,4,4,14,7,121,82,23
22,Capital,001,0001 ,0007,350,3,2,18,7,103,92,13
22,Capital,001,0001 ,0008,350,2,3,17,2,75,126,17
22,Capital,001,0001 ,0009,195,1,2,4,1,61,53,14
22,Capital,001,0001 ,0010,199,2,0,6,4,61,55,14
22,Capital,001,0002 ,0011,350,1,1,12,3,103,117,23
22,Capital,001,0002 ,0012,350,4,1,7,9,82,105,43
22,Capital,001,0002 ,0013,350,3,2,13,9,80,106,45
22,Capital,001,0002 ,0014,350,1,7,8,3,111,92,33
22,Capital,001,0002 ,0015,350,2,3,17,4,87,107,41
22,Capital,001,0002 ,0016,354,3,0,12,4,79,106,45
22,Capital,001,0002 ,0017,350,0,2,16,11,90,101,28
22,Capital,001,0002 ,0018,350,3,3,17,10,107,99,27
22,Capital,001,0002 ,0019,350,4,8,16,10,81,115,30
22,Capital,001,0002 ,0020,350,1,3,9,2,97,111,20
22,Capital,001,0002 ,0021,350,1,0,8,6,101,100,38
22,Capital,001,0002 ,0022,314,4,2,11,0,86,88,27
22,Capital,001,0002A,0023,350,0,3,15,9,47,155,42
22,Capital,001,0002A,0024,350,6,1,10,7,50,156,38
22,Capital,001,0002A,0025,350,3,6,20,8,31,164,30
22,Capital,001,0002A,0026,350,5,6,15,6,41,165,37
22,Capital,001,0002A,0027,350,0,1,12,4,69,160,28
22,Capital,001,0002A,0028,350,4,2,19,5,58,160,32
22,Capital,001,0002A,0029,353,3,5,16,8,43,163,39
22,Capital,001,0002A,0030,350,6,6,13,5,63,139,45
22,Capital,001,0002A,0031,350,3,2,10,4,41,193,26
22,Capital,001,0002A,0032,350,2,2,14,3,60,153,32
22,Capital,001,0002A,0033,349,3,6,18,6,39,170,24
22,Capital,001,0002A,0034,353,0,2,22,6,59,152,24
22,Capital,001,0002A,0035,350,3,2,5,3,57,154,33
22,Capital,001,0002A,0036,350,2,2,12,7,48,149,40
22,Capital,001,0002A,0037,350,1,1,13,9,38,175,35
22,Capital,001,0002A,0038,351,2,1,17,5,57,160,27
22,Capital,001,0002A,0039,350,1,6,8,7,55,162,31
22,Capital,001,0002A,0040,349,4,5,11,6,45,179,36
22,Capital,001,0002A,0041,354,4,4,11,6,47,165,32
22,Capital,001,0002A,0042,350,6,5,11,10,48,165,32
22,Capital,001,0002A,0043,350,0,2,7,2,44,169,39
22,Capital,001,0002A,0044,350,1,5,12,7,68,145,33
22,Capital,001,0002A,0045,350,2,4,16,6,65,144,35
22,Capital,001,0002A,0046,350,2,4,11,4,68,150,39
22,Capital,001,0002A,0047,350,2,8,12,4,19,177,49
22,Capital,001,0002A,0048,354,9,3,10,5,55,170,28
22,Capital,001,0002A,0049,350,0,4,19,4,46,163,31
22,Capital,001,0002A,0050,350,0,4,14,12,66,153,30
22,Capital,001,0002A,0051,350,4,2,6,6,62,163,20
22,Capital,001,0002A,0052,350,1,3,9,6,73,160,29
22,Capital,001,0002A,0053,350,2,5,10,3,49,154,41
22,Capital,001,0002A,0054,355,4,6,18,3,61,148,42
22,Capital,001,0002A,0055,350,7,6,8,5,45,184,24
22,Capital,001,0002A,0056,350,3,2,11,8,56,171,16
22,Capital,001,0002A,0057,350,1,5,13,5,51,181,32
22,Capital,001,0002A,0058,160,2,4,5,6,26,56,16
22,Capital,001,0003 ,0059,351,2,1,1,4,81,103,30
22,Capital,001,0003 ,0060,350,0,10,8,5,74,116,42
22,Capital,001,0003 ,0061,350,2,2,13,6,73,115,40
22,Capital,001,0003 ,0062,350,4,2,18,7,85,122,33
22,Capital,001,0003 ,0063,350,1,1,15,6,91,119,33
22,Capital,001,0003 ,0064,350,3,0,11,5,88,122,30
22,Capital,001,0003 ,0065,350,4,2,16,3,75,124,29
22,Capital,001,0003 ,0066,353,4,2,20,8,69,90,48
22,Capital,001,0003 ,0067,350,1,2,12,7,72,127,41
22,Capital,001,0003 ,0068,350,3,5,16,11,43,120,39
22,Capital,001,0003 ,0069,350,0,1,17,5,69,129,43
22,Capital,001,0003 ,0070,350,4,3,20,6,74,100,37
22,Capital,001,0003 ,0071,350,3,9,13,6,85,99,30
22,Capital,001,0003 ,0072,350,3,3,13,3,83,110,38
22,Capital,001,0003 ,0073,350,2,3,12,5,82,119,24
22,Capital,001,0003 ,0074,354,4,1,14,9,86,100,33
22,Capital,001,0003 ,0075,350,6,2,9,9,80,104,29
22,Capital,001,0003 ,0076,350,1,3,13,4,66,133,35
22,Capital,001,0003 ,0077,350,0,2,11,8,88,100,27
22,Capital,001,0003 ,0078,350,0,6,16,5,88,103,26
22,Capital,001,0003 ,0079,350,8,2,6,5,83,131,31
22,Capital,001,0003 ,0080,350,1,3,17,3,70,107,35
22,Capital,001,0003 ,0081,350,4,2,13,2,75,108,30
22,Capital,001,0003 ,0082,119,0,3,2,2,27,37,8
22,Capital,001,0003A,0083,350,1,7,17,6,82,125,35
22,Capital,001,0003A,0084,350,3,3,11,5,85,134,28
22,Capital,001,0003A,0085,350,1,2,21,6,59,142,36
22,Capital,001,0003A,0086,350,1,5,17,8,57,150,32
22,Capital,001,0003A,0087,350,2,5,13,4,67,123,45
22,Capital,001,0003A,0088,353,3,4,17,7,64,129,38
22,Capital,001,0003A,0089,350,7,3,16,5,93,122,23
22,Capital,001,0003A,0090,350,2,0,7,10,62,134,43
22,Capital,001,0003A,0091,351,5,3,15,7,74,124,32
22,Capital,001,0003A,0092,350,7,2,9,8,68,144,35
22,Capital,001,0003A,0093,350,0,0,0,0,0,0,0
22,Capital,001,0003A,0094,350,3,5,20,7,58,105,49
22,Capital,001,0003A,0095,354,3,3,7,4,92,129,32
22,Capital,001,0003A,0096,351,4,5,21,9,73,119,34
22,Capital,001,0003A,0097,350,1,3,21,8,73,126,28
22,Capital,001,0003A,0098,350,5,5,16,8,71,118,40
22,Capital,001,0003A,0099,350,4,3,22,9,63,129,28
22,Capital,001,0003A,0100,350,7,0,14,5,61,147,18
22,Capital,001,0003A,0101,350,3,1,16,9,73,116,32
22,Capital,001,0003A,0102,234,3,2,8,7,55,89,11
22,Capital,001,0004 ,0103,350,3,0,11,7,25,188,39
22,Capital,001,0004 ,0104,350,5,1,8,7,24,191,43
22,Capital,001,0004 ,0105,350,1,2,9,10,27,187,37
22,Capital,001,0004 ,0106,350,12,0,13,9,28,186,34
22,Capital,001,0004 ,0107,350,5,3,8,7,31,207,30
22,Capital,001,0004 ,0108,350,2,4,7,5,19,208,32
22,Capital,001,0004 ,0109,350,5,4,9,8,16,213,23
