codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00095,00005,00009,00094,00079,00006,00061,00004
22,001,CAPITAL,05082,093677,0,0,21,69,21,97,15,6,1,3,6
22,001,CAPITAL,05082,093678,0,0,19,56,22,104,16,7,0,2,5
22,001,CAPITAL,05082,093679,0,0,20,67,18,101,18,2,0,4,11
22,001,CAPITAL,05082,093680,0,0,22,67,32,81,15,5,1,1,5
22,001,CAPITAL,05082,093681,0,0,16,61,30,87,12,1,2,4,2
22,001,CAPITAL,05082,093682,0,0,22,79,24,86,9,6,0,1,2
22,001,CAPITAL,05082,093683,0,0,36,65,23,77,17,2,1,3,8
22,001,CAPITAL,05082,093684,0,0,22,61,19,78,8,3,1,2,8
22,001,CAPITAL,05082,093685,0,0,28,68,40,75,10,0,1,0,1
22,001,CAPITAL,05082,093686,0,0,14,55,30,124,18,4,1,1,2
22,001,CAPITAL,05083,093687,0,0,19,85,25,95,8,2,0,1,6
22,001,CAPITAL,05083,093688,0,0,14,104,41,61,11,3,1,0,5
22,001,CAPITAL,05083,093689,0,0,20,108,28,77,11,4,1,5,5
22,001,CAPITAL,05083,093690,0,0,15,72,40,103,19,4,0,0,3
22,001,CAPITAL,05083,093691,0,0,34,94,21,85,23,5,0,3,4
22,001,CAPITAL,05083,093692,0,0,21,100,18,83,15,4,0,2,1
22,001,CAPITAL,05084,093693,0,0,14,96,20,80,3,6,0,3,5
22,001,CAPITAL,05084,093694,0,0,15,106,31,61,16,3,0,5,7
22,001,CAPITAL,05084,093695,0,0,18,104,27,76,16,6,1,5,4
22,001,CAPITAL,05084,093696,0,0,0,98,27,86,4,0,1,6,2
22,001,CAPITAL,05084,093697,0,0,24,100,27,75,15,4,0,2,4
22,001,CAPITAL,05084,093698,0,0,16,102,28,77,27,3,1,8,4
22,001,CAPITAL,05084,093699,0,0,0,0,0,0,0,0,0,0,0
22,001,CAPITAL,05084,093700,0,0,0,0,0,0,0,0,0,0,0
22,001,CAPITAL,05084,093701,0,0,0,86,41,83,9,3,1,1,8
22,001,CAPITAL,05084,093702,0,0,68,102,36,12,24,6,0,2,0
