codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0061,0324,0501,0514,0540,0541,0550
22,Capital,001,0001 ,0001,350,13,1,10,6,8,102,17,87,2
22,Capital,001,0001 ,0002,351,3,5,24,6,11,101,15,59,6
22,Capital,001,0001 ,0003,351,2,3,18,5,24,94,15,93,5
22,Capital,001,0001 ,0004,351,3,5,19,4,17,97,34,69,1
22,Capital,001,0001 ,0005,351,7,3,25,3,15,61,31,95,2
22,Capital,001,0001 ,0006,351,6,5,9,8,11,89,24,82,6
22,Capital,001,0001 ,0007,351,3,8,18,4,19,80,28,87,4
22,Capital,001,0001 ,0008,349,4,1,14,5,20,84,31,80,5
22,Capital,001,0001 ,0009,350,6,6,20,9,8,73,29,94,3
22,Capital,001,0001 ,0010,190,0,5,9,1,5,45,20,43,0
22,Capital,001,0001 ,0011,189,4,2,10,3,3,41,11,62,1
22,Capital,001,0002 ,0012,350,5,4,15,5,17,77,34,100,2
22,Capital,001,0002 ,0013,350,3,6,25,7,15,76,36,93,2
22,Capital,001,0002 ,0014,350,3,6,15,3,22,77,20,101,6
22,Capital,001,0002 ,0015,350,7,5,11,5,17,77,29,94,2
22,Capital,001,0002 ,0016,350,3,2,18,3,24,81,24,106,5
22,Capital,001,0002 ,0017,349,11,6,8,3,17,74,25,114,4
22,Capital,001,0002 ,0018,349,8,4,16,8,19,68,34,103,1
22,Capital,001,0002 ,0019,351,4,3,16,0,19,70,30,105,0
22,Capital,001,0002 ,0020,351,4,3,19,2,15,77,28,88,4
22,Capital,001,0002 ,0021,350,15,6,26,1,22,61,33,100,3
22,Capital,001,0002 ,0022,350,7,3,22,2,19,85,28,84,1
22,Capital,001,0002 ,0023,350,4,3,11,3,14,75,47,103,7
22,Capital,001,0002 ,0024,350,6,4,18,7,20,72,36,90,0
22,Capital,001,0002 ,0025,67,1,1,5,0,9,17,7,19,0
22,Capital,001,0002A,0026,350,10,0,19,4,14,39,48,144,5
22,Capital,001,0002A,0027,350,18,5,19,4,18,35,36,145,1
22,Capital,001,0002A,0028,350,6,6,17,7,14,35,38,159,0
22,Capital,001,0002A,0029,350,15,3,21,7,20,50,42,123,7
22,Capital,001,0002A,0030,350,10,4,20,1,20,45,44,137,1
22,Capital,001,0002A,0031,351,5,4,28,5,17,43,32,140,2
22,Capital,001,0002A,0032,350,6,0,22,5,18,48,42,137,2
22,Capital,001,0002A,0033,350,0,0,0,0,0,0,0,0,0
22,Capital,001,0002A,0034,350,5,9,22,5,16,57,36,139,4
22,Capital,001,0002A,0035,350,5,3,21,3,19,34,31,154,3
22,Capital,001,0002A,0036,350,9,3,8,3,25,63,36,126,2
22,Capital,001,0002A,0037,350,11,6,13,3,12,29,50,147,4
22,Capital,001,0002A,0038,349,9,5,30,3,19,44,36,117,3
22,Capital,001,0002A,0039,350,8,4,18,5,16,37,29,143,8
22,Capital,001,0002A,0040,350,7,2,11,4,21,35,42,135,3
22,Capital,001,0002A,0041,350,4,3,16,4,27,30,34,144,2
22,Capital,001,0002A,0042,350,5,1,23,5,10,36,40,136,8
22,Capital,001,0002A,0043,350,13,7,14,4,22,42,40,127,6
22,Capital,001,0002A,0044,350,5,5,14,4,7,44,36,163,5
22,Capital,001,0002A,0045,350,11,10,12,3,16,39,40,154,6
22,Capital,001,0002A,0046,351,10,4,12,4,17,41,35,147,5
22,Capital,001,0002A,0047,350,2,7,16,3,12,24,45,170,3
22,Capital,001,0002A,0048,349,5,3,18,2,15,46,27,145,4
22,Capital,001,0002A,0049,350,4,4,31,2,14,60,30,121,2
22,Capital,001,0002A,0050,352,8,5,13,4,8,43,43,132,4
22,Capital,001,0002A,0051,349,10,2,17,4,17,56,30,136,5
22,Capital,001,0002A,0052,350,6,6,16,1,15,31,53,150,6
22,Capital,001,0002A,0053,350,10,5,21,5,20,38,22,158,2
22,Capital,001,0002A,0054,351,12,5,16,3,15,43,41,150,5
22,Capital,001,0002A,0055,348,17,2,19,2,15,50,36,127,6
