codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00095,00005,00009,00094,00079,00006,00061,00004
22,001,CAPITAL,05082,093677,0,0,19,73,23,95,14,5,1,3,6
22,001,CAPITAL,05082,093678,0,0,18,56,22,101,17,7,0,2,6
22,001,CAPITAL,05082,093679,0,0,19,71,18,100,17,1,0,4,11
22,001,CAPITAL,05082,093680,0,0,20,71,31,79,14,6,1,1,5
22,001,CAPITAL,05082,093681,0,0,19,65,29,82,12,1,1,4,2
22,001,CAPITAL,05082,093682,0,0,21,73,27,83,9,5,0,1,3
22,001,CAPITAL,05082,093683,0,0,33,68,23,75,18,2,1,3,8
22,001,CAPITAL,05082,093684,0,0,21,61,20,77,8,3,1,2,9
22,001,CAPITAL,05082,093685,0,0,25,70,39,76,11,0,1,0,1
22,001,CAPITAL,05082,093686,0,0,13,57,29,123,18,4,1,2,2
22,001,CAPITAL,05083,093687,0,0,15,87,27,95,7,2,0,2,6
22,001,CAPITAL,05083,093688,0,0,15,105,41,60,10,3,1,0,5
22,001,CAPITAL,05083,093689,0,0,22,109,28,74,11,4,1,5,5
22,001,CAPITAL,05083,093690,0,0,13,73,40,103,20,4,0,0,3
22,001,CAPITAL,05083,093691,0,0,29,97,21,88,23,5,0,3,3
22,001,CAPITAL,05083,093692,0,0,19,101,19,83,15,4,0,2,1
22,001,CAPITAL,05084,093693,0,0,11,99,20,80,3,4,1,3,5
22,001,CAPITAL,05084,093694,0,0,11,109,31,62,15,3,0,5,8
22,001,CAPITAL,05084,093695,0,0,17,104,27,77,16,6,2,5,4
22,001,CAPITAL,05084,093696,0,0,0,99,24,92,4,0,2,6,2
22,001,CAPITAL,05084,093697,0,0,25,101,26,74,14,4,0,2,5
22,001,CAPITAL,05084,093698,0,0,10,106,31,76,27,3,1,10,2
22,001,CAPITAL,05084,093699,0,0,0,0,0,0,0,0,0,0,0
22,001,CAPITAL,05084,093700,0,0,0,0,0,0,0,0,0,0,0
22,001,CAPITAL,05084,093701,0,0,0,87,41,83,9,3,1,2,8
22,001,CAPITAL,05084,093702,0,0,67,103,35,13,24,6,0,2,0
22,001,CAPITAL,05084,093703,0,0,1,41,5,75,15,8,116,1,2
22,001,CAPITAL,05084,093704,0,0,2,100,17,68,15,7,0,4,2
22,001,CAPITAL,05084,093705,0,0,16,78,28,79,20,9,2,3,4
22,001,CAPITAL,05084,093706,0,0,22,98,21,67,21,4,3,4,5
22,001,CAPITAL,05084,093707,0,0,3,90,21,100,9,2,0,0,3
22,001,CAPITAL,05084,093708,0,0,31,101,24,68,16,4,3,0,2
22,001,CAPITAL,05084,093709,0,0,18,92,21,79,8,4,0,4,1
22,001,CAPITAL,05084,093710,0,0,22,92,28,79,13,6,0,3,2
22,001,CAPITAL,05084,093711,0,0,26,95,33,66,19,3,1,1,4
22,001,CAPITAL,05084,093712,0,0,14,82,17,83,11,6,0,0,3
22,001,CAPITAL,05084,093713,0,0,33,100,25,73,0,5,1,1,2
22,001,CAPITAL,05084,093714,0,0,10,104,22,71,14,3,2,2,1
22,001,CAPITAL,05084,093715,0,0,17,90,29,67,11,7,1,2,4
22,001,CAPITAL,05084,093716,0,0,20,95,17,66,8,7,2,0,13
22,001,CAPITAL,05085,093717,0,0,14,170,34,27,10,1,0,2,3
22,001,CAPITAL,05085,093718,0,0,27,166,45,14,9,6,0,4,1
22,001,CAPITAL,05085,093719,0,0,9,186,47,25,9,2,5,2,3
