codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0038,0445,0447,0448
20,Deseado                                 ,001,0001 ,0001,579,89,2,6,2,258,86
20,Deseado                                 ,001,0001 ,0002,580,71,0,6,0,288,110
20,Deseado                                 ,001,0001 ,0003,589,81,2,2,2,258,90
20,Deseado                                 ,001,0001 ,0004,579,82,1,4,0,244,112
20,Deseado                                 ,001,0001 ,0005,583,82,4,6,0,240,108
20,Deseado                                 ,001,0001 ,0006,581,90,5,2,2,268,78
20,Deseado                                 ,001,0001 ,0007,581,80,1,2,0,274,82
20,Deseado                                 ,001,0001 ,0008,577,94,0,0,8,244,86
20,Deseado                                 ,001,0001 ,0009,581,61,3,0,4,296,88
20,Deseado                                 ,001,0001 ,0010,583,76,7,8,2,280,94
20,Deseado                                 ,001,0001 ,0011,582,104,4,4,10,220,94
20,Deseado                                 ,001,0001 ,0012,582,77,3,8,2,264,80
20,Deseado                                 ,001,0001 ,0013,516,66,1,2,8,230,70
20,Deseado                                 ,001,0001 ,0014,521,60,5,4,4,220,96
20,Deseado                                 ,001,0001 ,0015,291,40,1,1,0,128,22
20,Deseado                                 ,001,0001 ,0016,207,28,1,3,0,100,18
20,Deseado                                 ,001,0001 ,0017,207,23,1,0,0,95,25
20,Deseado                                 ,001,0001A,0001,33,1,1,0,0,7,0
20,Deseado                                 ,001,0002 ,0001,365,64,1,0,4,282,14
20,Deseado                                 ,001,0002 ,0002,159,24,0,1,0,90,4
20,Deseado                                 ,001,0003 ,0001,581,155,0,2,6,188,138
20,Deseado                                 ,001,0003 ,0002,582,150,2,4,8,204,116
20,Deseado                                 ,001,0003 ,0003,581,129,5,4,10,204,130
20,Deseado                                 ,001,0003 ,0004,584,149,3,8,16,208,134
20,Deseado                                 ,001,0003 ,0005,580,158,2,2,12,204,142
20,Deseado                                 ,001,0003 ,0006,579,70,16,2,10,194,136
20,Deseado                                 ,001,0003 ,0007,584,130,2,2,14,202,136
20,Deseado                                 ,001,0003 ,0008,580,124,2,2,16,228,108
20,Deseado                                 ,001,0003 ,0009,579,47,89,8,16,176,132
20,Deseado                                 ,001,0003 ,0010,582,152,4,0,6,222,130
20,Deseado                                 ,001,0003 ,0011,578,132,9,2,8,224,132
20,Deseado                                 ,001,0003 ,0012,581,118,3,2,10,224,110
20,Deseado                                 ,001,0003 ,0013,582,127,5,4,14,220,114
20,Deseado                                 ,001,0003 ,0014,578,120,9,2,16,200,116
20,Deseado                                 ,001,0003 ,0015,581,158,4,6,8,190,118
20,Deseado                                 ,001,0003 ,0016,581,139,9,12,8,216,122
20,Deseado                                 ,001,0003 ,0017,581,128,0,4,10,186,126
20,Deseado                                 ,001,0003 ,0018,581,125,2,8,4,210,118
20,Deseado                                 ,001,0003 ,0019,581,141,3,2,8,188,116
20,Deseado                                 ,001,0003 ,0020,578,129,13,0,8,188,122
20,Deseado                                 ,001,0003 ,0021,582,149,12,2,8,192,118
20,Deseado                                 ,001,0003 ,0022,579,128,6,4,12,192,134
20,Deseado                                 ,001,0003 ,0023,581,138,5,2,8,214,134
20,Deseado                                 ,001,0003 ,0024,581,139,3,4,4,194,124
20,Deseado                                 ,001,0003 ,0025,581,125,4,2,12,232,120
20,Deseado                                 ,001,0003 ,0026,580,122,2,2,16,210,112
20,Deseado                                 ,001,0003 ,0027,580,154,7,6,14,220,104
20,Deseado                                 ,001,0003 ,0028,582,125,6,2,16,230,108
20,Deseado                                 ,001,0003 ,0029,579,148,1,0,6,200,110
20,Deseado                                 ,001,0003 ,0030,584,117,3,6,6,224,112
20,Deseado                                 ,001,0003 ,0031,582,153,1,2,14,204,108
20,Deseado                                 ,001,0003 ,0032,580,162,6,2,8,214,110
20,Deseado                                 ,001,0003 ,0033,584,153,5,4,8,200,116
20,Deseado                                 ,001,0003 ,0034,581,138,9,0,18,238,114
20,Deseado                                 ,001,0003 ,0035,581,142,3,4,6,236,140
20,Deseado                                 ,001,0003 ,0036,582,130,9,2,8,182,142
20,Deseado                                 ,001,0003 ,0037,581,133,8,2,10,204,130
