codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0002,0014,0038,0501,0538
20,Deseado,001,0001 ,0001,303,1,9,47,9,5,49,87
20,Deseado,001,0001 ,0002,304,0,6,59,15,2,52,88
20,Deseado,001,0001 ,0003,303,1,8,45,4,8,51,89
20,Deseado,001,0001 ,0004,305,1,0,53,16,2,63,84
20,Deseado,001,0001 ,0005,301,1,14,43,7,1,32,91
20,Deseado,001,0001 ,0006,305,1,9,48,6,5,41,105
20,Deseado,001,0001 ,0007,301,0,5,35,9,4,52,90
20,Deseado,001,0001 ,0008,303,2,8,53,12,2,41,82
20,Deseado,001,0001 ,0009,303,0,4,37,16,6,43,99
20,Deseado,001,0001 ,0010,302,1,8,43,8,8,38,92
20,Deseado,001,0001 ,0011,301,0,4,43,14,5,32,102
20,Deseado,001,0001 ,0012,299,0,7,57,13,2,46,90
20,Deseado,001,0001 ,0013,303,4,12,57,12,2,36,83
20,Deseado,001,0001 ,0014,304,0,8,46,10,3,55,88
20,Deseado,001,0001 ,0015,307,2,5,58,15,3,54,83
20,Deseado,001,0001 ,0016,303,2,7,44,9,4,38,93
20,Deseado,001,0001 ,0017,300,3,4,52,14,2,39,83
20,Deseado,001,0001 ,0018,305,1,8,65,7,3,33,94
20,Deseado,001,0001 ,0019,302,1,6,65,6,5,58,65
20,Deseado,001,0001 ,0020,303,1,5,42,9,1,35,106
20,Deseado,001,0001 ,0021,302,2,5,39,16,1,51,103
20,Deseado,001,0001 ,0022,303,2,7,47,9,6,52,99
20,Deseado,001,0001 ,0023,301,1,2,46,13,1,44,97
20,Deseado,001,0001 ,0024,303,3,9,48,11,3,45,84
20,Deseado,001,0001 ,0025,303,3,8,32,14,2,52,101
20,Deseado,001,0001 ,0026,304,1,7,62,20,1,47,95
20,Deseado,001,0001 ,0027,302,1,7,51,12,3,45,86
20,Deseado,001,0001 ,0028,305,1,6,43,7,2,60,80
20,Deseado,001,0001 ,0029,301,1,11,38,11,4,50,95
20,Deseado,001,0001 ,0030,304,4,9,35,14,6,44,94
20,Deseado,001,0001 ,0031,305,0,5,47,12,4,43,101
20,Deseado,001,0001 ,0032,302,1,1,46,15,0,40,105
20,Deseado,001,0001 ,0033,300,0,5,47,18,3,50,93
20,Deseado,001,0001 ,0034,244,3,4,30,4,4,35,86
