codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0131,0137,0701
20,Deseado,001,0001 ,0001,304,48,2,86,4,90
20,Deseado,001,0001 ,0002,300,42,5,106,8,73
20,Deseado,001,0001 ,0003,299,38,0,97,3,73
20,Deseado,001,0001 ,0004,298,44,2,104,5,70
20,Deseado,001,0001 ,0005,301,34,5,99,2,86
20,Deseado,001,0001 ,0006,301,29,2,92,7,85
20,Deseado,001,0001 ,0007,303,46,3,91,9,60
20,Deseado,001,0001 ,0008,302,36,1,100,5,85
20,Deseado,001,0001 ,0009,300,37,2,96,9,88
20,Deseado,001,0001 ,0010,303,32,3,101,8,73
20,Deseado,001,0001 ,0011,301,0,5,89,8,77
20,Deseado,001,0001 ,0012,300,37,3,96,7,86
20,Deseado,001,0001 ,0013,300,41,4,98,8,73
20,Deseado,001,0001 ,0014,301,40,0,102,3,73
20,Deseado,001,0001 ,0015,300,32,5,94,0,89
20,Deseado,001,0001 ,0016,299,40,0,91,2,84
20,Deseado,001,0001 ,0017,300,29,1,97,6,81
20,Deseado,001,0001 ,0018,301,38,1,92,4,78
20,Deseado,001,0001 ,0019,302,39,3,102,5,63
20,Deseado,001,0001 ,0020,301,23,1,98,6,89
20,Deseado,001,0001 ,0021,301,36,1,112,5,74
20,Deseado,001,0001 ,0022,301,35,1,95,6,68
20,Deseado,001,0001 ,0023,302,40,3,100,6,92
20,Deseado,001,0001 ,0024,303,0,37,115,6,77
20,Deseado,001,0001 ,0025,300,0,33,94,5,70
20,Deseado,001,0001 ,0026,301,40,7,101,8,82
20,Deseado,001,0001 ,0027,301,38,4,110,10,74
20,Deseado,001,0001 ,0028,302,44,0,89,5,75
20,Deseado,001,0001 ,0029,300,38,7,102,4,70
20,Deseado,001,0001 ,0030,300,29,8,105,4,85
20,Deseado,001,0001 ,0031,300,1,5,95,9,78
20,Deseado,001,0001 ,0032,300,57,0,76,10,74
20,Deseado,001,0001 ,0033,303,43,4,95,8,75
20,Deseado,001,0001 ,0034,300,58,1,95,6,59
20,Deseado,001,0001 ,0035,249,31,0,68,6,65
20,Deseado,001,0001 ,0036,252,34,0,66,4,78
20,Deseado,001,0001A,0037,59,3,0,12,0,8
20,Deseado,001,0002 ,0038,300,41,0,136,0,59
20,Deseado,001,0002 ,0039,205,33,0,82,0,50
20,Deseado,001,0002 ,0040,203,20,1,128,0,26
20,Deseado,001,0003 ,0041,299,48,2,64,22,109
20,Deseado,001,0003 ,0042,301,44,3,86,20,85
20,Deseado,001,0003 ,0043,299,65,1,67,15,95
20,Deseado,001,0003 ,0044,300,0,9,79,11,94
20,Deseado,001,0003 ,0045,300,45,4,75,10,98
20,Deseado,001,0003 ,0046,301,51,0,66,21,95
20,Deseado,001,0003 ,0047,301,63,4,69,14,96
20,Deseado,001,0003 ,0048,301,51,3,88,20,88
20,Deseado,001,0003 ,0049,304,55,1,77,20,92
20,Deseado,001,0003 ,0050,302,57,6,76,25,72
20,Deseado,001,0003 ,0051,302,77,0,71,18,88
20,Deseado,001,0003 ,0052,302,55,4,97,7,87
20,Deseado,001,0003 ,0053,301,48,3,76,12,106
20,Deseado,001,0003 ,0054,303,64,1,60,13,86
20,Deseado,001,0003 ,0055,300,57,1,75,16,95
20,Deseado,001,0003 ,0056,303,60,1,84,20,93
20,Deseado,001,0003 ,0057,300,61,2,89,17,70
20,Deseado,001,0003 ,0058,298,40,4,67,24,96
20,Deseado,001,0003 ,0059,300,53,1,85,22,80
20,Deseado,001,0003 ,0060,299,60,0,71,18,87
20,Deseado,001,0003 ,0061,301,50,3,84,10,84
20,Deseado,001,0003 ,0062,302,67,8,64,0,89
20,Deseado,001,0003 ,0063,302,3,0,73,17,89
20,Deseado,001,0003 ,0064,301,58,0,77,16,89
20,Deseado,001,0003 ,0065,300,0,1,82,16,83
20,Deseado,001,0003 ,0066,300,36,1,87,15,98
20,Deseado,001,0003 ,0067,301,60,3,82,10,95
20,Deseado,001,0003 ,0068,299,57,1,78,15,99
20,Deseado,001,0003 ,0069,300,47,0,63,15,98
20,Deseado,001,0003 ,0070,300,50,7,79,13,104
20,Deseado,001,0003 ,0071,300,42,5,61,16,108
20,Deseado,001,0003 ,0072,301,62,1,73,11,103
20,Deseado,001,0003 ,0073,302,60,2,82,14,84
20,Deseado,001,0003 ,0074,300,68,1,75,17,79
20,Deseado,001,0003 ,0075,301,43,9,79,21,91
20,Deseado,001,0003 ,0076,302,0,0,80,17,91
20,Deseado,001,0003 ,0077,301,37,4,88,18,86
20,Deseado,001,0003 ,0078,300,61,0,67,30,85
20,Deseado,001,0003 ,0079,302,51,2,66,32,98
20,Deseado,001,0003 ,0080,304,36,7,80,25,95
20,Deseado,001,0003 ,0081,301,67,5,58,17,82
20,Deseado,001,0003 ,0082,299,55,4,87,21,73
20,Deseado,001,0003 ,0083,301,39,3,78,33,92
20,Deseado,001,0003 ,0084,301,59,4,77,10,82
20,Deseado,001,0003 ,0085,301,43,0,90,12,74
20,Deseado,001,0003 ,0086,301,54,1,72,21,83
20,Deseado,001,0003 ,0087,302,47,0,52,27,92
20,Deseado,001,0003 ,0088,300,53,0,84,12,85
20,Deseado,001,0003 ,0089,298,36,1,65,19,118
20,Deseado,001,0003 ,0090,298,49,2,61,17,95
20,Deseado,001,0003 ,0091,300,43,1,72,31,101
20,Deseado,001,0003 ,0092,302,39,1,75,18,103
20,Deseado,001,0003 ,0093,307,56,1,46,20,115
20,Deseado,001,0003 ,0094,301,70,0,68,18,83
20,Deseado,001,0003 ,0095,300,48,5,79,18,75
20,Deseado,001,0003 ,0096,303,42,5,73,12,102
20,Deseado,001,0003 ,0097,302,50,2,78,18,83
20,Deseado,001,0003 ,0098,299,59,0,86,13,92
20,Deseado,001,0003 ,0099,304,71,9,63,10,79
20,Deseado,001,0003 ,0100,304,58,0,92,10,90
20,Deseado,001,0003 ,0101,300,48,2,73,20,107
20,Deseado,001,0003 ,0102,302,42,10,78,17,94
