codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0083,0176,0501,0504,0567,0577
20,Deseado,001,0001 ,0001,300,3,3,27,16,43,8,6,93
20,Deseado,001,0001 ,0002,300,4,8,40,6,43,15,4,91
20,Deseado,001,0001 ,0003,300,7,9,25,9,63,11,4,83
20,Deseado,001,0001 ,0004,300,5,9,42,9,65,11,6,61
20,Deseado,001,0001 ,0005,300,3,8,27,10,55,6,5,93
20,Deseado,001,0001 ,0006,300,3,2,33,11,45,17,5,81
20,Deseado,001,0001 ,0007,300,2,11,39,11,47,10,11,87
20,Deseado,001,0001 ,0008,300,8,5,24,6,51,13,5,96
20,Deseado,001,0001 ,0009,300,2,4,21,10,51,11,11,95
20,Deseado,001,0001 ,0010,300,3,7,29,13,35,15,5,102
20,Deseado,001,0001 ,0011,300,5,4,27,8,45,18,3,92
20,Deseado,001,0001 ,0012,300,2,3,17,8,58,8,8,103
20,Deseado,001,0001 ,0013,300,4,10,25,7,59,10,7,79
20,Deseado,001,0001 ,0014,300,1,10,26,5,42,14,4,95
20,Deseado,001,0001 ,0015,300,5,11,27,14,49,18,2,79
20,Deseado,001,0001 ,0016,300,5,1,16,10,60,10,5,83
20,Deseado,001,0001 ,0017,300,10,8,25,6,41,7,2,89
20,Deseado,001,0001 ,0018,300,4,7,35,8,38,9,5,101
20,Deseado,001,0001 ,0019,300,8,11,29,9,38,13,9,83
20,Deseado,001,0001 ,0020,299,4,4,27,9,65,11,1,76
20,Deseado,001,0001 ,0021,300,2,4,28,8,51,8,7,93
20,Deseado,001,0001 ,0022,300,2,2,35,5,53,13,5,84
20,Deseado,001,0001 ,0023,299,6,4,18,11,60,13,5,79
20,Deseado,001,0001 ,0024,300,5,9,37,11,64,24,6,73
20,Deseado,001,0001 ,0025,300,8,6,24,12,58,12,4,87
20,Deseado,001,0001 ,0026,300,8,7,33,6,51,15,3,77
20,Deseado,001,0001 ,0027,300,5,10,30,10,42,16,4,81
20,Deseado,001,0001 ,0028,300,3,1,35,13,64,15,10,82
20,Deseado,001,0001 ,0029,301,5,11,30,5,45,10,0,86
20,Deseado,001,0001 ,0030,300,1,8,22,7,62,6,6,93
20,Deseado,001,0001 ,0031,300,3,13,19,6,68,14,6,84
20,Deseado,001,0001 ,0032,299,8,5,24,9,56,12,5,81
20,Deseado,001,0001 ,0033,300,4,8,33,9,39,22,7,90
20,Deseado,001,0001 ,0034,300,3,5,26,3,58,14,8,95
20,Deseado,001,0001 ,0035,300,5,4,33,14,52,12,5,92
20,Deseado,001,0001 ,0036,301,0,12,18,5,41,15,12,96
20,Deseado,001,0001 ,0037,158,2,2,12,6,30,3,3,55
20,Deseado,001,0001 ,0038,158,0,6,20,0,27,7,3,48
20,Deseado,001,0001A,0039,58,0,0,1,1,18,2,0,12
20,Deseado,001,0002 ,0040,301,2,1,4,2,113,5,2,53
20,Deseado,001,0002 ,0041,238,6,1,6,2,85,2,1,57
20,Deseado,001,0002 ,0042,239,0,6,8,1,116,4,0,35
20,Deseado,001,0003 ,0043,300,7,6,10,8,46,46,5,89
20,Deseado,001,0003 ,0044,300,4,6,10,11,51,50,7,64
20,Deseado,001,0003 ,0045,300,5,6,10,8,56,47,6,71
20,Deseado,001,0003 ,0046,300,4,12,17,17,54,35,3,71
20,Deseado,001,0003 ,0047,300,14,8,7,17,43,30,9,67
20,Deseado,001,0003 ,0048,300,6,5,13,15,36,44,11,80
20,Deseado,001,0003 ,0049,300,10,7,14,12,45,49,3,65
20,Deseado,001,0003 ,0050,300,24,15,18,8,44,61,10,58
20,Deseado,001,0003 ,0051,300,7,14,16,12,55,46,8,59
20,Deseado,001,0003 ,0052,300,1,10,17,11,52,42,5,69
20,Deseado,001,0003 ,0053,300,7,4,15,14,42,45,11,68
20,Deseado,001,0003 ,0054,300,12,6,9,17,46,37,13,88
20,Deseado,001,0003 ,0055,300,48,15,21,14,54,49,7,51
20,Deseado,001,0003 ,0056,301,5,13,11,4,28,45,4,85
