codprov,coddepto,depto,circuito,mesa,electores,blancos,00041,00036,00037,00050
20,001,Deseado,00001,000001,298,24,4,2,118,73
20,001,Deseado,00001,000010,299,25,7,7,96,68
20,001,Deseado,00001,000011,298,38,7,7,98,66
20,001,Deseado,00001,000012,294,23,8,4,104,64
20,001,Deseado,00001,000013,294,15,12,8,122,54
20,001,Deseado,00001,000014,299,30,7,3,116,59
20,001,Deseado,00001,000015,297,25,7,5,119,58
20,001,Deseado,00001,000016,296,24,8,10,119,67
20,001,Deseado,00001,000017,292,29,6,5,108,57
20,001,Deseado,00001,000018,296,18,13,5,113,58
20,001,Deseado,00001,000019,293,26,3,5,110,61
20,001,Deseado,00001,000002,300,18,5,12,128,58
20,001,Deseado,00001,000020,297,31,9,6,100,74
20,001,Deseado,00001,000021,298,25,7,8,127,55
20,001,Deseado,00001,000022,298,8,6,7,124,85
20,001,Deseado,00001,000023,297,22,9,7,125,51
20,001,Deseado,00001,000024,296,16,14,5,118,61
20,001,Deseado,00001,000025,296,22,7,12,140,48
20,001,Deseado,00001,000026,294,37,9,10,109,56
20,001,Deseado,00001,000027,294,20,6,11,129,53
20,001,Deseado,00001,000028,297,25,10,4,109,73
20,001,Deseado,00001,000029,299,30,10,14,131,44
20,001,Deseado,00001,000003,296,14,8,6,113,69
20,001,Deseado,00001,000030,296,22,10,5,114,63
20,001,Deseado,00001,000031,297,21,7,4,120,63
20,001,Deseado,00001,000032,298,28,7,7,114,63
20,001,Deseado,00001,000033,294,18,17,6,115,51
20,001,Deseado,00001,000034,296,39,5,6,108,50
20,001,Deseado,00001,000035,298,17,9,7,114,67
20,001,Deseado,00001,000036,301,22,9,8,117,57
20,001,Deseado,00001,000037,301,32,9,13,107,67
20,001,Deseado,00001,000038,240,21,8,4,83,56
20,001,Deseado,00001,000039,239,34,11,6,78,50
20,001,Deseado,00001,000004,296,21,9,5,123,49
20,001,Deseado,00001,000005,296,23,6,5,129,49
20,001,Deseado,00001,000006,297,25,0,8,115,66
20,001,Deseado,00001,000007,300,18,14,6,120,52
20,001,Deseado,00001,000008,297,22,13,3,110,62
20,001,Deseado,00001,000009,298,7,11,6,134,51
20,001,Deseado,0001A,000040,54,5,1,0,21,4
20,001,Deseado,00002,000041,296,12,5,1,152,43
20,001,Deseado,00002,000042,259,6,9,1,136,39
20,001,Deseado,00002,000043,266,8,7,1,152,20
20,001,Deseado,00003,000100,301,68,9,9,94,43
20,001,Deseado,00003,000101,304,61,11,9,118,37
20,001,Deseado,00003,000102,297,44,7,12,111,39
20,001,Deseado,00003,000103,298,47,7,15,113,42
20,001,Deseado,00003,000104,299,45,12,8,109,43
20,001,Deseado,00003,000105,299,68,7,6,97,41
20,001,Deseado,00003,000106,300,54,8,16,93,46
20,001,Deseado,00003,000107,297,60,14,5,108,41
20,001,Deseado,00003,000108,299,53,11,6,108,48
20,001,Deseado,00003,000109,302,60,6,6,112,49
20,001,Deseado,00003,000110,301,41,4,12,128,38
20,001,Deseado,00003,000111,301,39,7,3,109,53
20,001,Deseado,00003,000112,299,52,16,5,100,53
20,001,Deseado,00003,000113,301,38,7,11,107,56
20,001,Deseado,00003,000114,302,40,8,10,106,53
20,001,Deseado,00003,000115,299,54,4,8,128,31
20,001,Deseado,00003,000116,298,25,10,8,99,52
20,001,Deseado,00003,000117,302,55,5,9,108,41
20,001,Deseado,00003,000118,299,48,12,9,121,37
20,001,Deseado,00003,000119,305,30,14,7,138,39
20,001,Deseado,00003,000120,301,49,5,16,129,33
20,001,Deseado,00003,000121,300,61,6,10,117,39
20,001,Deseado,00003,000122,299,62,8,4,112,39
20,001,Deseado,00003,000123,299,48,9,15,101,51
20,001,Deseado,00003,000124,302,45,15,6,109,40
20,001,Deseado,00003,000125,300,71,21,5,103,35
20,001,Deseado,00003,000126,306,53,12,12,125,41
20,001,Deseado,00003,000127,300,45,17,9,118,31
20,001,Deseado,00003,000128,301,57,9,6,128,40
20,001,Deseado,00003,000129,299,67,8,12,128,25
20,001,Deseado,00003,000130,300,52,11,13,114,37
20,001,Deseado,00003,000131,299,74,4,13,111,44
20,001,Deseado,00003,000132,298,50,12,7,95,55
20,001,Deseado,00003,000133,303,55,5,5,129,40
20,001,Deseado,00003,000134,299,78,8,6,116,26
20,001,Deseado,00003,000135,298,41,0,30,104,55
20,001,Deseado,00003,000136,300,56,7,3,125,39
20,001,Deseado,00003,000137,303,53,13,9,124,38
20,001,Deseado,00003,000138,300,43,6,10,109,44
20,001,Deseado,00003,000139,298,54,14,6,116,34
20,001,Deseado,00003,000140,304,53,6,6,117,33
20,001,Deseado,00003,000141,301,59,1,15,123,34
20,001,Deseado,00003,000142,298,41,15,10,127,35
20,001,Deseado,00003,000143,300,49,1,11,100,47
20,001,Deseado,00003,000144,300,47,13,11,102,44
20,001,Deseado,00003,000145,299,50,4,8,126,49
20,001,Deseado,00003,000146,302,65,11,6,114,33
20,001,Deseado,00003,000147,300,53,12,9,133,34
20,001,Deseado,00003,000148,300,54,7,6,117,39
20,001,Deseado,00003,000149,299,48,11,10,97,44
20,001,Deseado,00003,000150,299,70,10,6,86,43
20,001,Deseado,00003,000151,301,50,23,7,115,53
20,001,Deseado,00003,000152,302,66,12,8,105,36
20,001,Deseado,00003,000153,301,68,13,6,105,36
20,001,Deseado,00003,000154,299,60,7,5,117,42
20,001,Deseado,00003,000155,307,72,9,12,113,29
20,001,Deseado,00003,000156,302,68,10,5,111,37
20,001,Deseado,00003,000157,300,64,7,9,108,33
20,001,Deseado,00003,000158,298,53,8,9,127,45
20,001,Deseado,00003,000159,299,39,11,11,99,58
20,001,Deseado,00003,000160,300,52,12,8,98,54
20,001,Deseado,00003,000161,302,56,5,9,116,43
20,001,Deseado,00003,000162,303,61,12,9,106,29
20,001,Deseado,00003,000163,300,44,6,9,120,37
20,001,Deseado,00003,000164,296,57,5,9,118,35
20,001,Deseado,00003,000165,300,57,14,11,108,37
20,001,Deseado,00003,000166,301,71,10,10,101,39
20,001,Deseado,00003,000167,298,72,6,5,110,34
20,001,Deseado,00003,000168,302,72,10,8,101,39
20,001,Deseado,00003,000169,299,52,6,19,92,47
20,001,Deseado,00003,000170,299,51,10,11,98,46
20,001,Deseado,00003,000171,303,55,12,11,131,31
20,001,Deseado,00003,000172,300,46,10,10,106,43
20,001,Deseado,00003,000173,300,48,7,4,118,43
20,001,Deseado,00003,000174,302,46,11,10,97,47
20,001,Deseado,00003,000175,300,42,2,14,113,57
20,001,Deseado,00003,000176,300,41,16,15,111,30
20,001,Deseado,00003,000177,299,35,6,9,112,44
20,001,Deseado,00003,000178,299,43,9,6,123,41
20,001,Deseado,00003,000179,302,57,17,14,107,33
20,001,Deseado,00003,000180,298,54,5,7,106,33
