codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0014,0047,0050,0522
20,Deseado,001,0001 ,0001,273,40,0,16,5,10,6,3
20,Deseado,001,0001 ,0002,271,25,5,30,3,15,7,4
20,Deseado,001,0001 ,0003,268,34,2,22,3,5,12,2
20,Deseado,001,0001 ,0004,272,27,1,21,6,1,11,4
20,Deseado,001,0001 ,0005,270,30,0,22,8,3,6,4
20,Deseado,001,0001 ,0006,270,27,0,36,5,7,9,2
20,Deseado,001,0001 ,0007,271,34,4,25,4,8,10,3
20,Deseado,001,0001 ,0008,271,34,4,27,8,3,8,3
20,Deseado,001,0001 ,0009,270,31,0,29,11,11,9,0
20,Deseado,001,0001 ,0010,278,38,4,27,4,11,10,2
20,Deseado,001,0001 ,0011,269,33,7,26,4,4,7,2
20,Deseado,001,0001 ,0012,271,25,3,35,4,8,11,2
20,Deseado,001,0001 ,0013,270,30,0,27,7,5,9,1
20,Deseado,001,0001 ,0014,272,32,2,41,2,7,0,3
20,Deseado,001,0001 ,0015,272,32,9,19,2,4,9,3
20,Deseado,001,0001 ,0016,270,20,6,24,3,6,5,3
20,Deseado,001,0001 ,0017,269,21,5,23,4,6,7,1
20,Deseado,001,0001 ,0018,270,23,1,18,7,7,12,5
20,Deseado,001,0001 ,0019,270,27,5,29,3,7,3,0
20,Deseado,001,0001 ,0020,271,25,4,19,7,4,10,2
20,Deseado,001,0001 ,0021,274,25,2,32,8,9,3,2
20,Deseado,001,0001 ,0022,270,17,0,33,12,9,3,2
20,Deseado,001,0001 ,0023,270,26,8,35,7,4,9,3
20,Deseado,001,0001 ,0024,270,22,4,33,4,6,6,4
20,Deseado,001,0001 ,0025,270,27,1,30,3,8,7,1
20,Deseado,001,0001 ,0026,270,1,5,22,6,4,13,3
20,Deseado,001,0001 ,0027,271,18,6,32,6,9,7,4
20,Deseado,001,0001 ,0028,271,25,1,16,6,9,4,2
20,Deseado,001,0001 ,0029,271,21,2,39,5,9,5,3
20,Deseado,001,0001 ,0030,270,15,8,37,4,7,4,3
20,Deseado,001,0001 ,0031,270,16,13,31,8,8,1,1
20,Deseado,001,0001 ,0032,272,25,1,27,4,8,13,2
20,Deseado,001,0001 ,0033,269,35,5,24,5,8,7,0
20,Deseado,001,0001 ,0034,273,0,0,20,7,6,12,4
20,Deseado,001,0001 ,0035,271,21,4,37,3,6,7,1
20,Deseado,001,0001 ,0036,272,26,6,28,7,6,10,2
20,Deseado,001,0001 ,0037,140,10,0,12,1,5,4,1
20,Deseado,001,0001 ,0038,140,20,2,13,8,2,6,0
20,Deseado,001,0001A,0039,40,6,1,1,0,0,1,0
20,Deseado,001,0002 ,0040,270,24,0,6,2,9,2,0
20,Deseado,001,0002 ,0041,174,9,0,6,1,2,3,0
20,Deseado,001,0002 ,0042,177,9,2,5,1,1,8,0
20,Deseado,001,0003 ,0043,270,27,3,58,9,16,6,19
20,Deseado,001,0003 ,0044,272,34,5,52,10,9,2,14
20,Deseado,001,0003 ,0045,271,19,12,42,11,15,7,17
20,Deseado,001,0003 ,0046,268,35,2,38,10,4,5,16
20,Deseado,001,0003 ,0047,271,33,0,41,4,7,9,19
20,Deseado,001,0003 ,0048,270,35,2,44,8,14,14,24
20,Deseado,001,0003 ,0049,271,25,13,46,10,5,10,19
20,Deseado,001,0003 ,0050,271,22,4,44,15,6,6,10
20,Deseado,001,0003 ,0051,270,36,2,33,9,5,10,24
20,Deseado,001,0003 ,0052,270,19,9,49,14,11,8,31
20,Deseado,001,0003 ,0053,269,34,3,31,8,10,9,26
20,Deseado,001,0003 ,0054,269,44,2,24,6,4,6,16
20,Deseado,001,0003 ,0055,272,21,4,38,5,14,14,19
20,Deseado,001,0003 ,0056,271,45,4,13,15,12,5,22
20,Deseado,001,0003 ,0057,271,38,2,53,7,16,6,16
20,Deseado,001,0003 ,0058,269,44,1,32,6,4,8,19
20,Deseado,001,0003 ,0059,271,36,3,40,11,11,11,14
20,Deseado,001,0003 ,0060,271,30,0,43,8,9,14,7
20,Deseado,001,0003 ,0061,272,25,4,45,7,8,5,25
20,Deseado,001,0003 ,0062,270,1,38,45,8,5,5,14
20,Deseado,001,0003 ,0063,272,29,3,35,5,5,12,22
20,Deseado,001,0003 ,0064,270,21,2,43,7,7,11,23
20,Deseado,001,0003 ,0065,272,32,10,67,14,2,7,18
20,Deseado,001,0003 ,0066,270,39,3,30,9,14,9,17
20,Deseado,001,0003 ,0067,272,30,6,41,10,5,7,1
20,Deseado,001,0003 ,0068,270,39,5,44,8,7,10,17
20,Deseado,001,0003 ,0069,272,34,5,40,9,5,6,14
20,Deseado,001,0003 ,0070,269,43,6,57,4,8,5,21
20,Deseado,001,0003 ,0071,273,41,5,50,12,8,8,19
20,Deseado,001,0003 ,0072,268,0,9,55,3,10,9,19
20,Deseado,001,0003 ,0073,269,26,4,36,11,3,6,21
20,Deseado,001,0003 ,0074,270,34,0,47,9,14,3,19
20,Deseado,001,0003 ,0075,272,27,2,39,11,5,10,20
20,Deseado,001,0003 ,0076,272,19,10,27,10,6,15,22
20,Deseado,001,0003 ,0077,272,29,3,37,6,2,9,22
20,Deseado,001,0003 ,0078,277,39,4,39,20,8,10,11
20,Deseado,001,0003 ,0079,271,42,5,36,10,8,3,21
20,Deseado,001,0003 ,0080,272,22,5,47,15,18,6,23
20,Deseado,001,0003 ,0081,272,48,1,49,0,5,8,17
20,Deseado,001,0003 ,0082,269,35,7,47,7,11,4,22
20,Deseado,001,0003 ,0083,270,29,1,37,14,14,14,22
20,Deseado,001,0003 ,0084,269,25,2,35,11,11,6,18
20,Deseado,001,0003 ,0085,271,30,2,44,6,9,3,17
20,Deseado,001,0003 ,0086,270,26,0,51,15,10,2,21
20,Deseado,001,0003 ,0087,269,22,0,45,8,10,9,19
20,Deseado,001,0003 ,0088,271,30,6,33,5,15,8,20
20,Deseado,001,0003 ,0089,272,25,6,46,4,6,4,19
20,Deseado,001,0003 ,0090,272,28,4,49,12,7,6,23
20,Deseado,001,0003 ,0091,273,38,1,35,11,9,6,18
20,Deseado,001,0003 ,0092,270,27,2,47,2,17,12,19
20,Deseado,001,0003 ,0093,271,33,4,47,6,7,8,7
20,Deseado,001,0003 ,0094,271,31,5,38,10,8,10,21
20,Deseado,001,0003 ,0095,272,37,8,43,7,10,7,13
20,Deseado,001,0003 ,0096,272,24,7,43,10,5,11,22
20,Deseado,001,0003 ,0097,271,27,4,40,5,15,16,19
20,Deseado,001,0003 ,0098,273,50,12,26,6,4,5,22
20,Deseado,001,0003 ,0099,270,35,5,36,9,8,16,16
20,Deseado,001,0003 ,0100,270,31,2,48,16,10,5,25
20,Deseado,001,0003 ,0101,270,36,8,35,12,6,8,24
20,Deseado,001,0003 ,0102,269,25,4,42,8,8,6,10
20,Deseado,001,0003 ,0103,271,25,0,44,11,11,5,18
20,Deseado,001,0003 ,0104,271,25,0,37,7,6,9,22
20,Deseado,001,0003 ,0105,270,27,7,42,10,13,6,19
20,Deseado,001,0003 ,0106,271,26,4,47,7,9,5,19
20,Deseado,001,0003 ,0107,269,29,5,53,12,8,7,22
20,Deseado,001,0003 ,0108,274,25,6,43,7,7,10,16
20,Deseado,001,0003 ,0109,271,26,5,45,10,3,5,20
20,Deseado,001,0003 ,0110,272,28,2,45,6,7,3,21
20,Deseado,001,0003 ,0111,270,37,0,44,8,10,8,19
20,Deseado,001,0003 ,0112,273,30,8,31,11,14,7,18
20,Deseado,001,0003 ,0113,272,32,3,37,11,13,9,17
20,Deseado,001,0003 ,0114,271,26,6,45,13,9,5,13
20,Deseado,001,0003 ,0115,271,30,10,43,4,10,8,12
20,Deseado,001,0003 ,0116,269,40,1,52,6,7,8,23
20,Deseado,001,0003 ,0117,272,27,3,53,4,7,13,16
20,Deseado,001,0003 ,0118,270,28,10,37,9,11,11,12
20,Deseado,001,0003 ,0119,270,41,0,35,12,8,8,24
20,Deseado,001,0003 ,0120,269,25,2,39,15,11,5,28
20,Deseado,001,0003 ,0121,271,31,7,56,11,8,5,21
20,Deseado,001,0003 ,0122,271,40,3,39,7,14,4,11
20,Deseado,001,0003 ,0123,269,23,4,47,4,10,9,13
20,Deseado,001,0003 ,0124,271,42,3,41,9,11,12,16
20,Deseado,001,0003 ,0125,271,33,2,38,7,12,8,19
20,Deseado,001,0003 ,0126,271,36,4,49,8,8,10,16
20,Deseado,001,0003 ,0127,272,37,2,43,7,15,4,12
20,Deseado,001,0003 ,0128,270,33,14,42,7,7,13,27
20,Deseado,001,0003 ,0129,270,28,4,53,7,13,4,20
20,Deseado,001,0003 ,0130,271,30,3,46,5,6,8,14
20,Deseado,001,0003 ,0131,271,30,0,40,7,6,3,24
20,Deseado,001,0003 ,0132,269,36,7,46,9,5,8,18
20,Deseado,001,0003 ,0133,271,40,8,35,18,8,10,27
20,Deseado,001,0003 ,0134,271,28,6,35,12,4,8,20
20,Deseado,001,0003 ,0135,270,36,4,42,9,10,4,17
20,Deseado,001,0003 ,0136,270,31,5,49,12,14,11,19
20,Deseado,001,0003 ,0137,271,34,4,42,14,11,8,19
20,Deseado,001,0003 ,0138,270,23,6,53,9,12,3,15
20,Deseado,001,0003 ,0139,271,28,5,59,13,8,7,22
20,Deseado,001,0003 ,0140,271,38,5,43,10,10,9,21
20,Deseado,001,0003 ,0141,272,46,2,32,7,10,7,21
20,Deseado,001,0003 ,0142,270,34,3,34,7,4,7,21
20,Deseado,001,0003 ,0143,271,37,1,43,4,13,2,20
20,Deseado,001,0003 ,0144,271,32,2,54,10,4,6,13
20,Deseado,001,0003 ,0145,271,48,4,40,8,11,11,7
20,Deseado,001,0003 ,0146,271,34,0,52,8,10,10,21
20,Deseado,001,0003 ,0147,269,30,2,44,7,7,4,19
20,Deseado,001,0003 ,0148,270,33,0,40,15,9,6,16
20,Deseado,001,0003 ,0149,271,24,2,35,3,3,5,20
20,Deseado,001,0003 ,0150,270,33,2,25,6,5,10,13
20,Deseado,001,0003 ,0151,270,27,4,38,14,12,2,19
20,Deseado,001,0003 ,0152,270,33,0,37,12,13,3,13
20,Deseado,001,0003 ,0153,273,33,0,55,3,8,6,15
20,Deseado,001,0003 ,0154,270,28,1,47,11,13,8,16
20,Deseado,001,0003 ,0155,270,34,0,36,12,5,15,23
20,Deseado,001,0003 ,0156,272,47,2,48,5,3,3,20
20,Deseado,001,0003 ,0157,271,23,2,46,15,9,3,19
20,Deseado,001,0003 ,0158,271,46,2,36,4,6,9,16
20,Deseado,001,0003 ,0159,270,44,2,33,10,7,12,6
20,Deseado,001,0003 ,0160,270,25,3,44,9,12,5,21
20,Deseado,001,0003 ,0161,272,40,6,33,8,9,4,16
20,Deseado,001,0003 ,0162,270,33,2,39,11,6,6,17
20,Deseado,001,0003 ,0163,271,32,3,41,11,8,8,31
20,Deseado,001,0003 ,0164,271,33,2,38,9,2,8,12
20,Deseado,001,0003 ,0165,268,50,4,42,4,10,2,19
20,Deseado,001,0003 ,0166,272,43,1,38,11,7,3,21
20,Deseado,001,0003 ,0167,272,50,7,39,6,8,12,7
20,Deseado,001,0003 ,0168,271,37,3,42,10,5,3,19
20,Deseado,001,0003 ,0169,270,21,3,51,15,12,11,20
20,Deseado,001,0003 ,0170,272,37,0,51,10,8,9,18
20,Deseado,001,0003 ,0171,270,36,4,34,8,14,10,14
20,Deseado,001,0003 ,0172,216,24,1,27,7,12,9,18
20,Deseado,001,0003 ,0173,215,35,4,13,6,7,6,20
20,Deseado,001,0004 ,0174,273,15,0,17,3,9,4,5
20,Deseado,001,0004 ,0175,272,25,0,32,4,11,13,13
20,Deseado,001,0004 ,0176,136,14,2,22,4,6,4,5
20,Deseado,001,0004 ,0177,137,32,8,36,7,11,16,12
20,Deseado,001,0004A,0178,49,7,0,0,2,2,2,1
20,Deseado,001,0005 ,0179,270,22,4,27,2,14,8,6
