codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0050,0101,0154
20,Deseado                                 ,001,0001 ,0001,580,7,13,58,92,266,12
20,Deseado                                 ,001,0001 ,0002,580,12,21,66,62,238,18
20,Deseado                                 ,001,0001 ,0003,580,10,16,54,58,254,20
20,Deseado                                 ,001,0001 ,0004,580,10,26,58,92,226,26
20,Deseado                                 ,001,0001 ,0005,580,4,15,58,66,272,22
20,Deseado                                 ,001,0001 ,0006,580,5,29,62,64,274,22
20,Deseado                                 ,001,0001 ,0007,580,13,15,64,50,236,26
20,Deseado                                 ,001,0001 ,0008,580,10,11,58,76,238,16
20,Deseado                                 ,001,0001 ,0009,580,11,19,70,82,286,14
20,Deseado                                 ,001,0001 ,0010,580,10,14,50,78,222,30
20,Deseado                                 ,001,0001 ,0011,580,5,23,54,70,236,18
20,Deseado                                 ,001,0001 ,0012,507,2,20,52,80,202,12
20,Deseado                                 ,001,0001 ,0013,508,7,21,56,62,178,26
20,Deseado                                 ,001,0001 ,0014,290,7,6,24,38,101,8
20,Deseado                                 ,001,0001 ,0015,179,1,5,13,23,80,4
20,Deseado                                 ,001,0001 ,0016,179,1,4,16,24,74,5
20,Deseado                                 ,001,0001A,0001,37,0,1,0,1,9,2
20,Deseado                                 ,001,0002 ,0001,335,3,2,14,16,300,10
20,Deseado                                 ,001,0002 ,0002,150,2,3,6,2,95,4
20,Deseado                                 ,001,0003 ,0001,580,16,11,72,82,244,54
20,Deseado                                 ,001,0003 ,0002,580,25,15,84,80,236,50
20,Deseado                                 ,001,0003 ,0003,580,27,18,90,72,240,50
20,Deseado                                 ,001,0003 ,0004,580,11,17,90,98,230,52
20,Deseado                                 ,001,0003 ,0005,580,20,29,84,78,236,64
20,Deseado                                 ,001,0003 ,0006,580,28,24,90,74,214,48
20,Deseado                                 ,001,0003 ,0007,580,24,24,88,120,248,48
20,Deseado                                 ,001,0003 ,0008,580,23,23,82,86,234,52
20,Deseado                                 ,001,0003 ,0009,580,28,12,82,96,220,38
20,Deseado                                 ,001,0003 ,0010,580,17,27,78,98,240,60
20,Deseado                                 ,001,0003 ,0011,580,17,24,76,80,226,74
20,Deseado                                 ,001,0003 ,0012,580,21,25,62,96,248,62
20,Deseado                                 ,001,0003 ,0013,580,21,16,58,74,238,48
20,Deseado                                 ,001,0003 ,0014,580,12,30,106,68,238,54
20,Deseado                                 ,001,0003 ,0015,580,26,20,92,62,218,72
20,Deseado                                 ,001,0003 ,0016,580,41,13,80,64,224,48
20,Deseado                                 ,001,0003 ,0017,580,19,32,88,74,250,42
20,Deseado                                 ,001,0003 ,0018,580,15,29,76,88,214,52
20,Deseado                                 ,001,0003 ,0019,580,11,31,100,80,200,52
20,Deseado                                 ,001,0003 ,0020,580,27,24,74,84,226,58
20,Deseado                                 ,001,0003 ,0021,580,22,24,100,68,200,38
20,Deseado                                 ,001,0003 ,0022,580,11,23,88,64,234,64
20,Deseado                                 ,001,0003 ,0023,580,34,20,70,68,208,64
20,Deseado                                 ,001,0003 ,0024,580,25,26,72,70,198,52
20,Deseado                                 ,001,0003 ,0025,580,25,25,66,96,216,68
20,Deseado                                 ,001,0003 ,0026,580,16,34,76,82,270,48
20,Deseado                                 ,001,0003 ,0027,580,30,21,66,68,244,46
20,Deseado                                 ,001,0003 ,0028,580,18,10,78,92,234,60
20,Deseado                                 ,001,0003 ,0029,580,23,33,72,82,218,52
20,Deseado                                 ,001,0003 ,0030,580,26,22,84,84,216,50
20,Deseado                                 ,001,0003 ,0031,580,21,24,64,96,232,54
20,Deseado                                 ,001,0003 ,0032,580,31,26,74,74,208,52
20,Deseado                                 ,001,0003 ,0033,580,26,32,86,76,234,58
20,Deseado                                 ,001,0003 ,0034,580,24,19,82,78,242,48
20,Deseado                                 ,001,0003 ,0035,580,21,21,86,98,230,40
20,Deseado                                 ,001,0003 ,0036,580,15,19,72,94,224,48
20,Deseado                                 ,001,0003 ,0037,580,15,23,84,76,240,56
20,Deseado                                 ,001,0003 ,0038,580,26,21,68,104,226,52
20,Deseado                                 ,001,0003 ,0039,580,10,9,78,68,236,62
20,Deseado                                 ,001,0003 ,0040,580,35,22,74,62,224,50
20,Deseado                                 ,001,0003 ,0041,580,20,26,70,78,212,54
20,Deseado                                 ,001,0003 ,0042,580,9,19,68,88,242,50
20,Deseado                                 ,001,0003 ,0043,542,19,31,66,94,186,68
20,Deseado                                 ,001,0003 ,0044,543,6,27,80,88,218,54
20,Deseado                                 ,001,0003 ,0045,290,11,9,43,55,80,28
20,Deseado                                 ,001,0003 ,0046,213,10,10,31,22,82,16
20,Deseado                                 ,001,0003 ,0047,213,6,11,24,15,72,23
20,Deseado                                 ,001,0004 ,0001,341,5,14,44,32,148,24
20,Deseado                                 ,001,0004 ,0002,341,1,12,46,26,132,24
20,Deseado                                 ,001,0004A,0001,18,1,0,3,3,5,1
20,Deseado                                 ,001,0005 ,0001,580,10,22,80,30,302,48
20,Deseado                                 ,001,0005 ,0002,580,6,21,62,32,276,66
20,Deseado                                 ,001,0005 ,0003,580,10,19,80,30,258,52
20,Deseado                                 ,001,0005 ,0004,580,4,27,90,30,280,68
20,Deseado                                 ,001,0005 ,0005,580,6,30,68,36,268,56
20,Deseado                                 ,001,0005 ,0006,580,26,15,68,36,244,64
20,Deseado                                 ,001,0005 ,0007,580,21,23,60,38,264,70
20,Deseado                                 ,001,0005 ,0008,580,4,30,62,20,274,68
20,Deseado                                 ,001,0005 ,0009,580,6,31,72,50,282,46
20,Deseado                                 ,001,0005 ,0010,580,12,26,80,28,262,60
20,Deseado                                 ,001,0005 ,0011,580,7,24,64,34,292,62
20,Deseado                                 ,001,0005 ,0012,580,11,34,64,24,258,62
20,Deseado                                 ,001,0005 ,0013,580,32,19,78,28,234,78
20,Deseado                                 ,001,0005 ,0014,580,17,9,50,26,298,68
20,Deseado                                 ,001,0005 ,0015,580,9,26,70,44,258,76
20,Deseado                                 ,001,0005 ,0016,532,7,15,64,40,238,70
20,Deseado                                 ,001,0005 ,0017,532,7,30,60,54,230,68
