codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0014,0047,0050,0131,0612
20,Deseado,001,0001 ,0001,274,56,0,18,1,1,5,101,1
20,Deseado,001,0001 ,0002,271,38,2,27,4,12,3,114,1
20,Deseado,001,0001 ,0003,268,37,0,17,0,4,9,119,0
20,Deseado,001,0001 ,0004,272,41,1,20,5,3,4,117,0
20,Deseado,001,0001 ,0005,270,46,1,15,3,4,4,118,0
20,Deseado,001,0001 ,0006,270,34,0,41,2,0,5,105,0
20,Deseado,001,0001 ,0007,271,49,0,12,3,6,4,120,0
20,Deseado,001,0001 ,0008,271,33,0,28,5,5,6,116,0
20,Deseado,001,0001 ,0009,271,43,0,24,7,5,7,110,2
20,Deseado,001,0001 ,0010,272,57,1,33,4,2,6,98,0
20,Deseado,001,0001 ,0011,270,36,3,22,3,3,11,89,0
20,Deseado,001,0001 ,0012,271,46,1,28,1,2,6,111,2
20,Deseado,001,0001 ,0013,270,42,3,19,3,6,6,109,0
20,Deseado,001,0001 ,0014,272,36,5,30,4,4,7,105,0
20,Deseado,001,0001 ,0015,272,57,1,23,3,4,9,104,0
20,Deseado,001,0001 ,0016,270,53,0,21,0,4,2,122,0
20,Deseado,001,0001 ,0017,270,51,4,24,0,2,6,103,0
20,Deseado,001,0001 ,0018,270,43,1,24,1,7,6,98,0
20,Deseado,001,0001 ,0019,270,36,1,31,4,4,6,108,0
20,Deseado,001,0001 ,0020,271,38,0,20,3,0,5,119,0
20,Deseado,001,0001 ,0021,274,35,2,34,4,4,2,119,0
20,Deseado,001,0001 ,0022,270,44,0,28,4,0,4,119,0
20,Deseado,001,0001 ,0023,271,33,0,31,4,4,7,115,0
20,Deseado,001,0001 ,0024,270,24,2,23,3,2,9,137,0
20,Deseado,001,0001 ,0025,270,42,0,30,2,2,6,108,0
20,Deseado,001,0001 ,0026,270,32,5,19,4,2,11,124,0
20,Deseado,001,0001 ,0027,271,44,1,27,2,11,4,111,2
20,Deseado,001,0001 ,0028,271,38,1,17,5,2,6,146,0
20,Deseado,001,0001 ,0029,270,33,1,30,1,6,5,119,0
20,Deseado,001,0001 ,0030,270,34,1,32,3,2,4,112,0
20,Deseado,001,0001 ,0031,270,43,2,27,2,4,7,110,1
20,Deseado,001,0001 ,0032,272,3,0,23,4,7,8,102,0
20,Deseado,001,0001 ,0033,269,66,1,21,4,3,6,90,1
20,Deseado,001,0001 ,0034,273,47,1,24,5,2,11,114,0
20,Deseado,001,0001 ,0035,271,37,4,24,0,1,7,121,1
20,Deseado,001,0001 ,0036,272,33,1,21,2,4,9,126,0
20,Deseado,001,0001 ,0037,140,16,0,19,1,2,3,66,0
20,Deseado,001,0001 ,0038,140,32,0,17,3,0,4,48,1
20,Deseado,001,0001A,0039,40,8,0,1,0,0,0,11,0
20,Deseado,001,0002 ,0040,270,21,0,28,0,2,3,163,0
20,Deseado,001,0002 ,0041,174,15,0,11,0,0,0,122,2
20,Deseado,001,0002 ,0042,177,14,2,11,0,0,0,118,1
20,Deseado,001,0003 ,0043,270,56,1,41,7,11,9,81,2
20,Deseado,001,0003 ,0044,272,56,0,25,11,13,14,89,2
20,Deseado,001,0003 ,0045,271,65,2,17,12,24,15,89,1
20,Deseado,001,0003 ,0046,268,56,2,25,5,11,11,111,1
20,Deseado,001,0003 ,0047,271,45,7,27,8,17,12,98,3
20,Deseado,001,0003 ,0048,270,43,2,27,8,29,15,73,4
20,Deseado,001,0003 ,0049,271,61,3,32,7,13,11,81,5
20,Deseado,001,0003 ,0050,271,47,3,28,6,17,15,104,3
20,Deseado,001,0003 ,0051,270,61,0,17,9,21,6,107,5
20,Deseado,001,0003 ,0052,271,46,9,28,6,10,9,94,5
20,Deseado,001,0003 ,0053,270,81,1,22,4,9,15,84,6
20,Deseado,001,0003 ,0054,269,62,3,17,7,12,7,106,5
20,Deseado,001,0003 ,0055,272,53,3,31,6,10,20,88,3
20,Deseado,001,0003 ,0056,271,72,4,25,5,20,16,90,4
20,Deseado,001,0003 ,0057,271,0,66,35,9,15,16,87,4
20,Deseado,001,0003 ,0058,269,56,3,19,2,9,8,119,6
20,Deseado,001,0003 ,0059,271,73,2,24,7,12,15,93,1
20,Deseado,001,0003 ,0060,271,54,1,25,9,11,16,91,1
20,Deseado,001,0003 ,0061,272,71,2,25,4,11,16,96,2
20,Deseado,001,0003 ,0062,270,52,2,22,6,11,7,100,3
20,Deseado,001,0003 ,0063,272,62,2,21,5,18,12,93,1
20,Deseado,001,0003 ,0064,270,60,0,24,6,5,11,101,3
20,Deseado,001,0003 ,0065,272,81,0,28,9,6,7,85,2
20,Deseado,001,0003 ,0066,270,67,0,22,7,18,16,95,4
20,Deseado,001,0003 ,0067,272,0,4,16,5,26,12,108,2
20,Deseado,001,0003 ,0068,270,48,1,26,4,21,12,113,5
20,Deseado,001,0003 ,0069,272,52,1,27,9,21,6,102,1
20,Deseado,001,0003 ,0070,269,68,5,29,6,8,11,82,6
20,Deseado,001,0003 ,0071,273,65,6,30,5,18,13,85,4
20,Deseado,001,0003 ,0072,269,50,7,36,5,20,13,78,10
20,Deseado,001,0003 ,0073,269,54,1,27,10,8,9,97,2
20,Deseado,001,0003 ,0074,270,75,1,22,3,18,9,98,0
20,Deseado,001,0003 ,0075,272,4,0,25,12,23,9,92,3
