codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0083,0176,0501,0504,0567,0577
20,Deseado,001,0001 ,0001,300,2,3,23,17,45,16,3,84
20,Deseado,001,0001 ,0002,300,5,13,28,12,52,17,1,80
20,Deseado,001,0001 ,0003,300,4,12,42,7,69,8,3,76
20,Deseado,001,0001 ,0004,301,5,5,27,15,66,12,5,69
20,Deseado,001,0001 ,0005,300,4,3,21,12,51,6,8,96
20,Deseado,001,0001 ,0006,300,7,13,22,12,51,13,9,80
20,Deseado,001,0001 ,0007,301,1,13,32,8,51,11,8,83
20,Deseado,001,0001 ,0008,301,5,13,20,14,56,12,4,93
20,Deseado,001,0001 ,0009,302,2,8,20,8,49,21,6,90
20,Deseado,001,0001 ,0010,300,9,5,22,12,46,5,5,89
20,Deseado,001,0001 ,0011,301,5,6,16,6,70,16,5,86
20,Deseado,001,0001 ,0012,301,4,11,16,9,61,11,2,86
20,Deseado,001,0001 ,0013,300,4,14,29,10,60,8,8,64
20,Deseado,001,0001 ,0014,300,4,16,28,12,45,12,7,79
20,Deseado,001,0001 ,0015,300,0,13,29,14,51,12,7,80
20,Deseado,001,0001 ,0016,300,8,4,20,13,57,15,9,74
20,Deseado,001,0001 ,0017,302,7,9,23,6,54,8,1,83
20,Deseado,001,0001 ,0018,300,9,11,31,7,37,13,7,82
20,Deseado,001,0001 ,0019,300,5,6,36,10,36,13,4,88
20,Deseado,001,0001 ,0020,299,8,8,27,15,50,7,2,74
20,Deseado,001,0001 ,0021,300,8,6,28,8,58,10,3,83
20,Deseado,001,0001 ,0022,300,7,12,29,7,56,13,4,78
20,Deseado,001,0001 ,0023,300,2,5,22,11,59,15,7,72
20,Deseado,001,0001 ,0024,300,5,11,34,7,62,15,11,74
20,Deseado,001,0001 ,0025,299,4,11,24,20,55,10,4,75
20,Deseado,001,0001 ,0026,301,1,14,40,7,49,11,2,76
20,Deseado,001,0001 ,0027,300,7,10,20,10,61,16,4,78
20,Deseado,001,0001 ,0028,301,10,8,36,7,57,10,7,79
20,Deseado,001,0001 ,0029,300,6,12,21,4,62,8,1,77
20,Deseado,001,0001 ,0030,301,3,13,21,12,67,8,2,82
20,Deseado,001,0001 ,0031,300,4,16,17,7,65,14,3,80
20,Deseado,001,0001 ,0032,300,6,11,26,8,55,18,2,79
20,Deseado,001,0001 ,0033,300,3,12,32,12,43,15,3,84
20,Deseado,001,0001 ,0034,300,3,8,24,12,52,9,1,92
20,Deseado,001,0001 ,0035,301,6,10,34,6,52,10,1,79
20,Deseado,001,0001 ,0036,300,2,13,19,11,47,12,4,95
20,Deseado,001,0001 ,0037,159,1,7,13,7,25,6,2,50
20,Deseado,001,0001 ,0038,158,4,6,22,3,24,10,2,39
20,Deseado,001,0001A,0039,60,1,1,2,2,9,1,0,17
20,Deseado,001,0002 ,0040,301,4,2,7,5,106,8,1,58
20,Deseado,001,0002 ,0041,238,4,7,12,10,93,1,1,34
20,Deseado,001,0002 ,0042,239,2,6,11,7,112,2,0,24
20,Deseado,001,0003 ,0043,301,2,7,7,8,45,14,8,121
20,Deseado,001,0003 ,0044,300,3,12,3,9,43,25,3,87
20,Deseado,001,0003 ,0045,300,7,10,6,4,29,15,5,119
20,Deseado,001,0003 ,0046,300,2,13,9,9,52,13,4,108
20,Deseado,001,0003 ,0047,301,6,8,11,13,38,25,7,98
20,Deseado,001,0003 ,0048,300,5,6,5,5,35,22,6,115
20,Deseado,001,0003 ,0049,301,9,10,9,6,35,22,3,120
20,Deseado,001,0003 ,0050,300,7,13,13,3,40,19,4,120
20,Deseado,001,0003 ,0051,301,2,14,7,4,67,25,1,103
20,Deseado,001,0003 ,0052,303,8,11,16,7,35,19,3,108
20,Deseado,001,0003 ,0053,301,6,8,16,8,34,29,9,100
20,Deseado,001,0003 ,0054,300,4,12,7,11,39,29,6,127
20,Deseado,001,0003 ,0055,301,11,13,9,5,46,24,3,99
20,Deseado,001,0003 ,0056,301,7,12,6,4,25,15,6,124
20,Deseado,001,0003 ,0057,300,10,13,5,7,41,15,3,104
20,Deseado,001,0003 ,0058,303,10,9,12,9,37,22,5,125
20,Deseado,001,0003 ,0059,300,6,5,10,12,47,17,5,116
20,Deseado,001,0003 ,0060,300,6,11,15,11,50,29,4,94
20,Deseado,001,0003 ,0061,300,1,11,10,3,35,23,8,115
20,Deseado,001,0003 ,0062,304,9,11,11,5,45,32,2,104
20,Deseado,001,0003 ,0063,301,6,7,9,7,36,14,6,120
20,Deseado,001,0003 ,0064,301,1,10,4,12,44,21,6,98
20,Deseado,001,0003 ,0065,300,3,14,15,5,41,28,4,96
20,Deseado,001,0003 ,0066,302,8,7,12,7,44,20,9,106
20,Deseado,001,0003 ,0067,301,8,14,11,10,47,28,3,105
20,Deseado,001,0003 ,0068,301,1,6,8,10,40,32,5,115
20,Deseado,001,0003 ,0069,300,5,9,6,4,48,24,2,105
20,Deseado,001,0003 ,0070,303,7,5,9,8,49,25,4,112
20,Deseado,001,0003 ,0071,301,8,7,6,14,46,22,6,113
20,Deseado,001,0003 ,0072,299,4,10,3,9,29,21,5,109
20,Deseado,001,0003 ,0073,300,2,16,8,6,42,18,4,113
20,Deseado,001,0003 ,0074,299,5,5,7,3,43,26,3,122
20,Deseado,001,0003 ,0075,300,7,3,11,5,33,15,6,116
20,Deseado,001,0003 ,0076,300,7,8,13,9,40,25,6,106
20,Deseado,001,0003 ,0077,300,2,3,9,8,35,19,2,123
20,Deseado,001,0003 ,0078,303,5,11,10,14,26,30,6,98
20,Deseado,001,0003 ,0079,302,8,12,11,7,60,28,6,93
20,Deseado,001,0003 ,0080,301,4,4,9,6,55,21,5,88
20,Deseado,001,0003 ,0081,300,5,9,11,8,37,29,4,107
20,Deseado,001,0003 ,0082,300,6,9,12,10,44,20,4,120
20,Deseado,001,0003 ,0083,300,4,12,9,7,25,35,6,104
20,Deseado,001,0003 ,0084,301,7,5,7,9,32,22,3,104
20,Deseado,001,0003 ,0085,300,8,11,8,8,34,24,9,109
20,Deseado,001,0003 ,0086,300,7,13,9,9,32,22,8,104
20,Deseado,001,0003 ,0087,300,0,9,10,6,47,29,4,107
20,Deseado,001,0003 ,0088,300,5,8,12,3,33,28,3,109
20,Deseado,001,0003 ,0089,299,4,5,9,6,39,32,5,93
20,Deseado,001,0003 ,0090,300,12,11,10,11,41,26,9,108
20,Deseado,001,0003 ,0091,301,6,7,10,9,14,28,18,118
20,Deseado,001,0003 ,0092,300,5,9,6,10,37,21,3,112
20,Deseado,001,0003 ,0093,302,2,7,6,7,29,22,3,138
20,Deseado,001,0003 ,0094,302,3,10,7,8,28,24,7,125
20,Deseado,001,0003 ,0095,300,6,10,7,8,29,25,17,101
20,Deseado,001,0003 ,0096,300,3,12,10,3,39,15,4,111
20,Deseado,001,0003 ,0097,301,7,5,4,19,22,18,7,114
20,Deseado,001,0003 ,0098,301,6,8,8,5,29,26,5,128
20,Deseado,001,0003 ,0099,301,8,5,6,7,32,19,4,122
20,Deseado,001,0003 ,0100,304,3,12,7,6,50,18,5,99
20,Deseado,001,0003 ,0101,301,5,12,7,3,37,16,0,120
20,Deseado,001,0003 ,0102,300,4,11,9,8,34,11,5,133
20,Deseado,001,0003 ,0103,300,4,12,13,6,43,26,3,105
20,Deseado,001,0003 ,0104,301,6,17,8,8,41,18,3,111
20,Deseado,001,0003 ,0105,300,3,10,8,13,50,24,4,109
20,Deseado,001,0003 ,0106,300,3,11,16,8,46,25,0,120
20,Deseado,001,0003 ,0107,300,3,18,10,6,30,22,5,111
20,Deseado,001,0003 ,0108,300,4,6,15,6,36,18,4,101
20,Deseado,001,0003 ,0109,300,3,7,10,10,41,21,7,92
20,Deseado,001,0003 ,0110,303,7,10,10,5,29,19,4,109
20,Deseado,001,0003 ,0111,301,6,7,8,5,44,19,3,114
20,Deseado,001,0003 ,0112,301,4,10,11,9,36,24,7,107
20,Deseado,001,0003 ,0113,300,3,16,8,5,51,22,3,92
20,Deseado,001,0003 ,0114,300,3,17,8,8,44,19,6,101
20,Deseado,001,0003 ,0115,302,3,9,18,11,42,23,5,99
20,Deseado,001,0003 ,0116,300,6,10,16,8,50,19,5,96
20,Deseado,001,0003 ,0117,301,6,6,12,4,34,32,2,121
20,Deseado,001,0003 ,0118,302,5,9,10,9,48,21,10,115
20,Deseado,001,0003 ,0119,300,5,14,10,7,36,25,4,105
20,Deseado,001,0003 ,0120,300,5,8,4,8,40,28,5,118
20,Deseado,001,0003 ,0121,301,5,8,8,16,51,18,1,84
20,Deseado,001,0003 ,0122,300,2,12,9,8,43,25,1,124
20,Deseado,001,0003 ,0123,300,0,7,7,15,37,19,4,120
20,Deseado,001,0003 ,0124,301,0,13,8,6,36,22,4,125
20,Deseado,001,0003 ,0125,303,9,6,13,4,42,23,3,101
20,Deseado,001,0003 ,0126,301,8,8,7,11,47,29,7,85
20,Deseado,001,0003 ,0127,300,5,13,13,10,38,40,5,87
20,Deseado,001,0003 ,0128,301,6,16,6,8,33,23,6,130
20,Deseado,001,0003 ,0129,301,11,12,7,3,33,25,4,105
20,Deseado,001,0003 ,0130,300,1,11,11,9,22,25,2,123
20,Deseado,001,0003 ,0131,301,4,14,16,4,36,14,4,110
20,Deseado,001,0003 ,0132,304,9,8,12,10,31,24,4,111
20,Deseado,001,0003 ,0133,301,3,13,12,6,46,33,1,87
20,Deseado,001,0003 ,0134,300,6,20,9,4,23,13,4,109
20,Deseado,001,0003 ,0135,300,20,10,14,4,24,17,7,110
20,Deseado,001,0003 ,0136,300,7,15,9,6,51,11,4,109
20,Deseado,001,0003 ,0137,301,11,8,13,4,34,27,10,98
20,Deseado,001,0003 ,0138,300,12,8,14,6,30,35,1,94
20,Deseado,001,0003 ,0139,302,5,11,9,4,38,21,4,120
20,Deseado,001,0003 ,0140,301,11,6,7,11,33,26,7,93
20,Deseado,001,0003 ,0141,300,1,17,13,6,34,25,3,108
20,Deseado,001,0003 ,0142,300,8,7,16,7,29,26,2,116
20,Deseado,001,0003 ,0143,301,8,4,12,6,48,21,8,104
20,Deseado,001,0003 ,0144,301,5,19,11,6,55,27,8,96
20,Deseado,001,0003 ,0145,300,6,17,8,5,37,20,3,104
20,Deseado,001,0003 ,0146,303,4,4,9,10,35,17,7,104
20,Deseado,001,0003 ,0147,301,2,6,10,1,31,30,2,130
20,Deseado,001,0003 ,0148,300,3,13,10,10,37,23,0,119
20,Deseado,001,0003 ,0149,300,5,7,9,4,26,23,3,127
20,Deseado,001,0003 ,0150,300,7,12,8,11,34,32,6,93
20,Deseado,001,0003 ,0151,300,3,9,5,4,51,17,4,104
20,Deseado,001,0003 ,0152,300,3,7,13,7,35,27,5,127
20,Deseado,001,0003 ,0153,303,8,14,7,4,41,22,4,118
20,Deseado,001,0003 ,0154,301,11,13,11,8,43,19,2,91
20,Deseado,001,0003 ,0155,300,14,3,9,10,43,18,7,111
20,Deseado,001,0003 ,0156,301,5,12,12,8,36,23,2,109
20,Deseado,001,0003 ,0157,300,9,14,3,8,30,25,4,103
20,Deseado,001,0003 ,0158,300,5,9,18,5,36,18,6,117
20,Deseado,001,0003 ,0159,303,9,10,10,4,31,15,5,116
20,Deseado,001,0003 ,0160,301,6,8,9,12,38,12,6,107
20,Deseado,001,0003 ,0161,300,7,11,10,3,27,29,9,108
20,Deseado,001,0003 ,0162,300,9,8,8,6,47,13,4,115
20,Deseado,001,0003 ,0163,300,5,4,11,8,32,20,9,129
20,Deseado,001,0003 ,0164,300,4,14,10,6,46,14,4,103
20,Deseado,001,0003 ,0165,300,4,12,15,10,31,21,7,120
20,Deseado,001,0003 ,0166,299,8,8,11,6,28,28,5,96
20,Deseado,001,0003 ,0167,304,8,7,10,12,29,24,9,112
20,Deseado,001,0003 ,0168,300,3,9,9,12,62,30,3,89
20,Deseado,001,0003 ,0169,300,6,7,16,6,31,17,5,108
20,Deseado,001,0003 ,0170,300,4,8,7,11,31,21,2,126
20,Deseado,001,0003 ,0171,300,6,14,3,8,35,18,5,113
20,Deseado,001,0003 ,0172,300,3,11,11,9,48,26,5,100
20,Deseado,001,0003 ,0173,301,6,11,14,6,38,25,4,85
20,Deseado,001,0003 ,0174,300,8,7,9,6,37,29,2,102
20,Deseado,001,0003 ,0175,302,4,8,4,1,48,24,5,106
20,Deseado,001,0003 ,0176,301,7,10,8,12,39,20,10,101
20,Deseado,001,0003 ,0177,300,8,6,10,4,42,17,4,102
20,Deseado,001,0003 ,0178,300,2,11,11,8,35,29,2,108
20,Deseado,001,0003 ,0179,300,6,7,16,11,53,22,1,87
20,Deseado,001,0003 ,0180,300,8,9,8,9,46,22,4,109
20,Deseado,001,0003 ,0181,300,6,10,9,2,36,20,5,131
20,Deseado,001,0003 ,0182,300,5,10,11,9,38,21,6,107
20,Deseado,001,0003 ,0183,302,12,13,6,6,22,29,8,117
20,Deseado,001,0003 ,0184,301,10,9,8,4,44,16,5,112
20,Deseado,001,0003 ,0185,307,9,8,13,7,48,20,10,86
20,Deseado,001,0003 ,0186,297,5,4,9,8,44,22,16,104
20,Deseado,001,0003 ,0187,301,4,7,9,8,38,31,5,107
20,Deseado,001,0004 ,0188,302,2,3,13,7,35,8,0,44
20,Deseado,001,0004 ,0189,302,3,4,9,5,24,6,4,65
20,Deseado,001,0004 ,0190,166,8,11,8,4,47,9,9,95
20,Deseado,001,0004 ,0191,170,1,2,12,9,56,16,6,96
20,Deseado,001,0004A,0192,33,0,1,0,1,2,3,1,4
20,Deseado,001,0005 ,0193,301,13,8,9,13,53,12,3,95
20,Deseado,001,0005 ,0194,300,15,10,12,12,65,11,4,78
20,Deseado,001,0005 ,0195,300,11,9,16,11,56,17,7,99
20,Deseado,001,0005 ,0196,301,17,16,10,16,51,13,5,99
20,Deseado,001,0005 ,0197,300,10,15,11,12,71,14,3,74
20,Deseado,001,0005 ,0198,300,6,9,12,12,68,10,1,84
20,Deseado,001,0005 ,0199,300,10,9,12,13,54,17,6,81
20,Deseado,001,0005 ,0200,301,5,13,14,16,61,14,0,86
20,Deseado,001,0005 ,0201,301,5,12,13,12,54,13,8,104
20,Deseado,001,0005 ,0202,306,6,9,12,12,65,13,2,79
20,Deseado,001,0005 ,0203,302,13,0,5,10,63,8,7,84
20,Deseado,001,0005 ,0204,301,9,16,13,3,63,15,4,99
20,Deseado,001,0005 ,0205,302,13,13,9,6,57,10,4,89
20,Deseado,001,0005 ,0206,301,8,12,11,8,40,11,4,94
20,Deseado,001,0005 ,0207,301,15,11,12,6,62,12,8,86
20,Deseado,001,0005 ,0208,299,6,7,11,9,50,9,5,84
20,Deseado,001,0005 ,0209,301,5,16,13,11,55,11,4,87
20,Deseado,001,0005 ,0210,300,6,8,9,11,55,13,2,102
20,Deseado,001,0005 ,0211,303,6,6,8,11,59,8,7,104
20,Deseado,001,0005 ,0212,301,2,8,5,8,52,15,3,89
20,Deseado,001,0005 ,0213,300,14,5,7,7,59,9,6,99
20,Deseado,001,0005 ,0214,301,4,17,13,12,45,7,8,107
20,Deseado,001,0005 ,0215,300,12,11,14,14,47,8,4,101
20,Deseado,001,0005 ,0216,301,13,6,15,10,49,17,8,110
20,Deseado,001,0005 ,0217,300,8,7,8,10,59,9,7,91
20,Deseado,001,0005 ,0218,300,6,6,8,14,81,11,3,89
20,Deseado,001,0005 ,0219,300,9,5,17,8,61,13,8,96
20,Deseado,001,0005 ,0220,305,15,16,17,9,38,13,6,97
20,Deseado,001,0005 ,0221,306,8,12,13,12,45,15,6,90
20,Deseado,001,0005 ,0222,306,8,18,10,10,69,10,3,104
