codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0009,0014,0019,0020,0026,0030,0036,0037,0038,0044,0045,0050,0132,0134,0136,0154,0189,0190,0191,0192
21,Belgrano                                ,001,0402 ,0001,900,91,0,86,44,4,0,96,4,10,2,6,2,2,4,166,0,260,8,2,20,0,4,2
21,Belgrano                                ,001,0402 ,0002,900,63,0,106,48,2,0,86,2,8,0,0,0,2,2,180,2,262,14,0,22,4,2,0
21,Belgrano                                ,001,0402 ,0003,900,84,0,108,68,4,2,94,2,20,2,0,2,2,2,188,6,220,4,0,26,0,0,4
21,Belgrano                                ,001,0402 ,0004,900,89,0,98,56,4,0,100,8,16,0,2,4,2,2,170,6,250,12,0,2,0,2,0
21,Belgrano                                ,001,0402 ,0005,900,71,0,100,60,0,2,80,0,4,0,2,4,2,4,144,2,270,8,6,16,2,0,2
21,Belgrano                                ,001,0402 ,0006,900,79,0,160,62,4,0,112,2,14,6,6,2,0,0,156,2,230,4,6,16,2,4,6
21,Belgrano                                ,001,0402 ,0007,900,82,0,108,70,8,2,92,8,16,0,2,4,2,6,176,0,224,16,2,14,0,0,2
21,Belgrano                                ,001,0402 ,0008,900,83,0,124,70,2,4,88,0,12,2,6,4,4,4,162,0,216,12,0,16,2,0,2
21,Belgrano                                ,001,0402 ,0009,900,76,0,98,66,6,2,106,2,18,0,0,6,2,2,162,0,238,12,4,8,0,2,2
21,Belgrano                                ,001,0402 ,0010,622,63,0,68,56,4,0,92,0,8,2,2,4,2,0,160,6,210,8,0,32,2,2,0
21,Belgrano                                ,001,0402 ,0011,63,0,0,5,4,1,0,9,0,1,0,0,0,0,0,6,1,22,0,0,3,0,0,1
21,Belgrano                                ,001,0403 ,0011,450,53,0,10,11,1,0,39,1,8,0,6,0,7,2,69,2,150,5,3,12,0,0,0
21,Belgrano                                ,001,0403 ,0012,900,71,0,42,26,6,2,74,0,16,4,4,4,18,2,170,0,338,4,0,28,0,0,0
21,Belgrano                                ,001,0403 ,0013,900,66,0,34,50,2,2,108,0,16,0,16,2,8,2,158,0,330,4,4,12,0,0,2
21,Belgrano                                ,001,0403 ,0014,900,72,0,36,54,4,0,86,4,10,6,8,2,12,2,172,2,316,6,2,28,4,0,0
21,Belgrano                                ,001,0403 ,0015,900,83,0,18,46,4,2,80,0,4,2,6,2,26,8,124,4,356,8,2,30,0,0,0
21,Belgrano                                ,001,0403 ,0016,900,59,0,28,24,4,2,94,8,8,2,12,2,8,4,110,0,356,8,4,46,4,4,6
21,Belgrano                                ,001,0403 ,0017,900,80,0,28,38,2,6,118,2,16,0,6,2,16,0,74,4,346,10,2,36,2,2,0
21,Belgrano                                ,001,0403 ,0018,900,58,0,38,32,2,0,92,4,10,2,10,2,22,2,120,2,354,6,4,26,4,14,0
21,Belgrano                                ,001,0403 ,0019,900,78,0,14,16,4,0,98,0,12,2,4,6,10,4,120,4,350,8,2,48,4,0,4
21,Belgrano                                ,001,0403 ,0020,871,23,0,22,36,2,0,68,4,8,2,14,4,14,2,166,6,350,6,2,26,2,0,2
21,Belgrano                                ,001,0403 ,0021,393,31,0,15,9,0,0,37,1,2,0,3,3,11,2,60,1,136,1,0,6,1,0,0
21,Belgrano                                ,001,0404A,0021,450,38,0,20,33,1,0,36,0,3,0,2,0,0,2,75,1,132,1,0,14,1,1,1
21,Belgrano                                ,001,0404A,0022,900,35,0,50,58,2,0,72,0,12,0,2,4,4,4,174,4,266,4,4,20,4,2,4
21,Belgrano                                ,001,0404A,0023,900,43,0,44,46,8,0,86,0,14,6,2,0,0,6,204,2,254,14,0,42,8,0,4
21,Belgrano                                ,001,0404A,0024,900,49,0,52,60,6,2,70,2,12,14,4,2,4,2,232,2,224,16,0,28,2,4,4
21,Belgrano                                ,001,0404A,0025,900,93,0,50,44,2,0,88,2,16,2,2,4,4,2,192,2,198,12,2,50,4,2,2
21,Belgrano                                ,001,0404A,0026,900,59,0,56,36,6,6,116,4,14,8,4,2,4,2,170,6,264,12,2,38,4,0,4
21,Belgrano                                ,001,0404A,0027,900,25,8,50,32,0,2,72,2,6,2,6,4,2,6,196,0,282,6,2,38,2,2,0
21,Belgrano                                ,001,0404A,0028,900,53,0,34,40,4,4,102,2,8,2,2,2,2,2,158,4,288,58,4,102,2,0,2
21,Belgrano                                ,001,0404A,0029,900,45,6,66,36,0,2,84,2,6,2,2,4,2,2,188,6,268,6,2,68,4,6,0
21,Belgrano                                ,001,0404A,0030,900,85,0,58,54,2,0,74,2,16,0,10,2,2,4,218,0,248,16,6,20,2,0,0
21,Belgrano                                ,001,0404A,0031,881,75,0,46,50,4,4,74,0,12,0,8,2,2,2,188,4,264,18,0,38,4,0,0
21,Belgrano                                ,001,0404A,0032,450,31,0,19,17,2,0,34,1,5,0,1,0,1,2,102,0,133,3,0,15,4,0,0
21,Belgrano                                ,001,0404A,0033,201,16,0,3,7,0,0,17,0,1,0,0,0,0,2,36,0,66,1,0,14,1,0,0
21,Belgrano                                ,001,0404B,0032,450,28,0,20,27,1,0,42,0,7,0,4,3,1,1,87,3,118,3,0,12,1,0,4
21,Belgrano                                ,001,0404B,0033,158,8,0,6,13,1,0,13,0,1,0,1,0,0,0,42,0,44,2,0,11,1,0,0
21,Belgrano                                ,001,0404B,0034,450,42,0,20,23,2,0,36,1,7,0,1,0,0,0,104,0,136,3,0,8,0,0,0
21,Belgrano                                ,001,0404B,0035,110,7,0,3,11,1,0,6,0,3,0,0,0,0,0,19,0,31,1,0,4,1,0,0
21,Belgrano                                ,001,0405 ,0034,450,52,0,14,23,0,0,44,1,1,1,2,4,3,2,94,0,89,2,5,28,1,2,3
21,Belgrano                                ,001,0405 ,0035,450,27,0,22,42,4,0,49,4,3,0,3,2,2,0,75,1,103,2,1,12,3,0,0
21,Belgrano                                ,001,0405 ,0036,784,96,0,74,44,0,2,82,2,12,2,4,0,4,8,200,0,166,12,8,84,2,2,0
21,Belgrano                                ,001,0405 ,0037,450,38,0,11,41,0,2,49,1,2,1,0,2,1,0,110,3,79,2,4,18,0,2,0
21,Belgrano                                ,001,0405 ,0038,353,33,0,24,21,0,0,25,1,2,0,1,0,1,1,102,0,65,3,1,4,2,1,0
21,Belgrano                                ,001,0406 ,0037,450,57,0,23,21,0,0,28,2,16,0,1,0,0,1,73,2,124,4,0,19,2,0,0
21,Belgrano                                ,001,0406 ,0038,423,51,0,39,23,1,0,26,0,16,0,1,0,2,3,74,1,104,4,0,14,0,0,3
21,Belgrano                                ,001,0406 ,0039,450,50,0,32,17,2,1,19,1,14,0,0,0,1,0,93,123,2,3,0,11,1,0,0
21,Belgrano                                ,001,0406 ,0040,232,15,0,14,7,2,0,15,0,7,1,0,0,1,2,46,0,58,0,0,3,1,0,1
21,Belgrano                                ,001,0406 ,0041,233,23,0,12,5,1,0,16,0,7,1,0,0,0,3,51,0,0,0,0,0,0,0,0
21,Caseros                                 ,002,0364 ,0039,450,44,0,9,22,1,0,22,0,21,5,2,1,1,2,94,0,113,5,0,16,4,0,3
21,Caseros                                 ,002,0364 ,0040,450,34,0,13,20,1,0,31,1,17,1,6,1,1,1,101,0,110,5,1,27,3,0,0
21,Caseros                                 ,002,0364 ,0041,450,44,0,12,33,0,0,32,1,26,0,2,1,0,0,28,0,116,1,0,19,0,0,21
21,Caseros                                 ,002,0364 ,0042,900,75,0,22,46,4,4,58,4,48,2,6,2,0,0,264,4,244,8,2,54,8,0,0
21,Caseros                                 ,002,0364 ,0043,900,66,0,22,66,10,2,32,54,62,2,2,2,2,0,260,0,178,2,4,52,10,0,2
21,Caseros                                 ,002,0364 ,0044,900,75,0,26,38,2,0,54,2,46,0,8,4,4,2,248,2,242,10,4,50,14,2,2
21,Caseros                                 ,002,0364 ,0045,564,42,0,16,36,4,0,50,0,28,0,0,0,0,6,284,0,190,6,0,54,10,0,0
21,Caseros                                 ,002,0364 ,0046,450,27,0,19,18,3,0,31,2,16,0,3,0,0,0,115,0,112,5,0,7,1,0,1
21,Caseros                                 ,002,0364 ,0047,450,7,0,15,10,4,0,27,2,17,0,1,0,1,0,141,0,92,3,1,10,0,0,0
21,Caseros                                 ,002,0364 ,0048,242,21,0,3,10,0,0,17,2,8,0,0,0,0,1,66,0,48,2,0,10,0,0,0
21,Caseros                                 ,002,0365 ,0046,450,55,0,32,19,4,2,48,0,7,1,1,0,0,0,110,0,62,2,1,41,1,0,2
21,Caseros                                 ,002,0365 ,0047,450,56,0,20,27,3,1,37,2,8,1,0,0,0,1,85,0,93,7,1,44,0,1,0
21,Caseros                                 ,002,0365 ,0048,333,53,3,18,16,3,2,21,1,6,0,2,0,1,0,68,0,72,5,3,16,0,0,1
21,Caseros                                 ,002,0365 ,0049,450,60,0,3,18,4,0,27,4,8,0,0,0,0,2,116,3,62,4,1,20,0,0,0
21,Caseros                                 ,002,0365 ,0050,450,0,0,15,51,1,0,47,1,3,1,0,1,0,2,107,1,78,2,0,0,1,1,0
21,Caseros                                 ,002,0365 ,0051,388,41,0,15,30,0,0,35,1,3,0,0,1,0,0,92,0,61,5,0,35,0,1,0
21,Caseros                                 ,002,0365A,0049,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0
21,Caseros                                 ,002,0365A,0052,10,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
21,Caseros                                 ,002,0366 ,0050,450,37,0,16,26,4,0,13,1,6,2,1,7,0,1,119,1,118,0,0,13,2,1,0
21,Caseros                                 ,002,0366 ,0051,253,28,0,2,12,1,0,10,0,4,0,0,1,0,1,57,1,63,0,1,19,2,1,1
21,Caseros                                 ,002,0366 ,0052,253,18,0,14,16,1,0,14,1,3,0,0,3,0,2,58,2,59,3,0,3,1,0,0
21,Caseros                                 ,002,0366 ,0053,450,34,0,7,42,2,0,3,0,8,0,0,0,1,0,141,0,88,4,1,6,3,1,0
21,Caseros                                 ,002,0366 ,0054,450,35,0,10,13,1,0,24,0,4,0,1,6,1,1,114,1,101,1,0,38,2,0,0
21,Caseros                                 ,002,0366 ,0055,108,8,0,3,4,0,0,3,0,2,0,0,0,0,0,34,0,24,0,0,5,0,1,0
21,Caseros                                 ,002,0367 ,0053,450,25,6,7,23,4,1,32,1,8,0,1,10,1,1,124,1,102,5,2,6,4,1,2
21,Caseros                                 ,002,0367 ,0054,450,38,6,23,21,1,2,32,1,14,2,5,3,0,0,122,2,84,4,1,15,4,1,0
21,Caseros                                 ,002,0367 ,0055,450,25,6,12,17,2,0,35,0,10,0,0,3,1,1,114,0,113,8,1,15,2,0,0
21,Caseros                                 ,002,0367 ,0056,900,85,0,32,32,4,8,52,4,16,2,4,14,4,2,298,0,230,10,2,10,8,2,2
21,Caseros                                 ,002,0367 ,0057,776,63,1,24,18,2,2,40,2,32,2,2,4,0,2,314,4,164,6,2,32,6,2,4
21,Caseros                                 ,002,0367 ,0058,450,38,0,24,12,1,0,18,1,12,3,1,4,2,0,144,0,106,4,0,2,2,0,1
21,Caseros                                 ,002,0367 ,0059,450,40,0,19,16,0,0,26,2,12,0,0,2,1,1,130,0,108,1,0,5,2,0,1
21,Caseros                                 ,002,0367 ,0060,389,10,5,9,10,0,0,20,0,12,0,2,2,1,0,150,0,81,4,0,9,5,0,3
21,Caseros                                 ,002,0368A,0058,450,67,0,7,15,2,0,14,1,12,0,4,4,1,2,90,5,122,9,0,15,2,1,1
21,Caseros                                 ,002,0368A,0059,450,47,0,7,22,1,0,19,2,10,0,0,1,0,4,81,2,136,10,0,16,1,0,0
21,Caseros                                 ,002,0368A,0060,450,39,0,11,36,1,0,16,0,8,1,1,0,1,1,109,1,116,10,1,21,1,0,0
21,Caseros                                 ,002,0368A,0061,900,83,0,56,74,8,0,20,10,36,4,0,2,2,0,246,0,332,22,2,30,4,0,2
21,Caseros                                 ,002,0368A,0062,900,82,0,24,56,6,10,30,2,30,2,2,4,2,2,232,2,246,32,4,66,2,2,0
21,Caseros                                 ,002,0368A,0063,900,41,0,56,64,6,0,50,2,26,2,2,0,0,0,264,6,230,22,0,30,4,2,6
21,Caseros                                 ,002,0368A,0064,900,47,8,48,58,2,8,30,4,36,0,2,0,4,6,252,2,236,20,2,56,8,2,2
21,Caseros                                 ,002,0368A,0065,900,80,1,40,58,4,4,36,0,28,4,8,2,4,2,254,4,200,40,4,50,0,0,2
21,Caseros                                 ,002,0368A,0066,900,82,0,22,44,0,0,50,0,28,0,2,2,0,4,214,10,258,22,0,68,6,2,0
21,Caseros                                 ,002,0368A,0067,900,78,0,24,82,6,4,24,0,26,0,4,0,2,0,228,4,252,28,2,70,6,2,4
21,Caseros                                 ,002,0368A,0068,900,76,0,34,46,2,4,32,2,18,30,2,2,4,2,262,2,226,22,4,46,0,2,8
21,Caseros                                 ,002,0368A,0069,900,49,4,58,40,2,0,36,2,30,0,0,2,0,2,224,2,248,34,0,28,4,0,2
21,Caseros                                 ,002,0368A,0070,900,41,0,38,64,8,2,42,0,32,0,2,6,2,0,216,6,296,24,4,38,4,0,0
21,Caseros                                 ,002,0368A,0071,900,52,0,36,44,10,2,48,4,20,2,4,2,0,2,284,2,246,52,4,52,4,6,0
21,Caseros                                 ,002,0368A,0072,900,69,0,64,38,6,0,34,0,20,0,6,6,2,6,260,2,266,26,0,40,4,4,0
21,Caseros                                 ,002,0368A,0073,900,68,4,64,54,2,0,42,6,24,2,2,6,2,6,198,2,236,36,2,20,4,0,0
21,Caseros                                 ,002,0368A,0074,900,35,0,36,42,6,2,26,4,24,6,2,6,2,0,224,0,284,20,0,46,2,2,6
21,Caseros                                 ,002,0368A,0075,900,54,14,42,58,4,0,34,0,22,8,2,2,0,2,274,0,266,26,2,14,4,10,4
21,Caseros                                 ,002,0368A,0076,900,72,8,56,30,4,6,36,2,34,0,6,2,0,232,134,4,294,30,6,32,4,0,0
21,Caseros                                 ,002,0368A,0077,900,29,5,22,46,8,2,34,0,36,2,2,6,4,4,224,2,210,22,2,58,8,2,6
21,Caseros                                 ,002,0368A,0078,900,61,12,66,42,2,0,50,4,26,0,2,4,0,2,238,4,260,40,0,26,2,2,0
