codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0068,0180,0501,0505,0514,0539,0547
21,Belgrano,001,0402 ,0001,352,2,3,6,2,45,7,130,2,90
21,Belgrano,001,0402 ,0002,350,9,0,1,4,46,2,144,0,85
21,Belgrano,001,0402 ,0003,351,5,2,3,2,55,3,136,1,81
21,Belgrano,001,0402 ,0004,350,2,0,3,3,59,2,127,1,89
21,Belgrano,001,0402 ,0005,351,7,0,2,2,39,3,138,1,103
21,Belgrano,001,0402 ,0006,350,6,3,4,0,42,2,130,1,99
21,Belgrano,001,0402 ,0007,351,4,0,2,2,36,1,143,1,96
21,Belgrano,001,0402 ,0008,350,6,0,2,4,37,2,141,0,98
21,Belgrano,001,0402 ,0009,350,2,0,0,2,49,3,113,1,119
21,Belgrano,001,0402 ,0010,350,10,0,4,1,54,1,112,1,10
21,Belgrano,001,0402 ,0011,350,2,0,5,1,59,5,137,0,79
21,Belgrano,001,0402 ,0012,350,6,6,6,4,50,4,126,4,86
21,Belgrano,001,0402 ,0013,353,0,8,2,2,47,3,141,3,87
21,Belgrano,001,0402 ,0014,350,2,1,5,8,45,1,131,0,96
21,Belgrano,001,0402 ,0015,351,3,2,0,3,62,0,126,1,91
21,Belgrano,001,0402 ,0016,350,4,5,3,1,38,4,139,1,103
21,Belgrano,001,0402 ,0017,350,14,0,2,2,39,4,144,0,93
21,Belgrano,001,0402 ,0018,350,4,0,0,5,39,6,141,2,85
21,Belgrano,001,0402 ,0019,351,5,0,6,2,37,4,126,1,100
21,Belgrano,001,0402 ,0020,351,9,0,5,2,35,1,149,3,93
21,Belgrano,001,0402 ,0021,350,1,0,5,5,40,3,132,0,103
21,Belgrano,001,0402 ,0022,350,3,4,5,6,58,0,126,2,94
21,Belgrano,001,0402 ,0023,350,3,3,4,2,44,2,145,0,95
21,Belgrano,001,0402 ,0024,351,0,0,3,2,46,2,100,1,110
21,Belgrano,001,0402 ,0025,350,8,0,3,3,40,1,148,2,80
21,Belgrano,001,0402 ,0026,350,3,4,9,4,46,5,144,1,86
21,Belgrano,001,0402 ,0027,350,8,0,4,5,36,1,137,1,90
21,Belgrano,001,0402 ,0028,347,3,2,5,0,34,2,129,0,111
21,Belgrano,001,0403 ,0029,350,7,0,2,6,98,3,89,0,69
21,Belgrano,001,0403 ,0030,351,9,0,1,7,122,6,83,0,51
21,Belgrano,001,0403 ,0031,351,14,0,1,6,80,1,110,0,69
21,Belgrano,001,0403 ,0032,351,12,0,2,6,94,3,111,1,48
21,Belgrano,001,0403 ,0033,350,4,6,3,7,72,7,114,2,72
21,Belgrano,001,0403 ,0034,351,15,0,5,6,105,3,88,1,61
21,Belgrano,001,0403 ,0035,350,9,0,1,5,85,2,98,1,68
21,Belgrano,001,0403 ,0036,350,8,0,2,8,77,2,104,0,68
21,Belgrano,001,0403 ,0037,350,7,0,3,9,88,2,102,1,58
21,Belgrano,001,0403 ,0038,350,4,6,0,9,115,3,81,1,61
21,Belgrano,001,0403 ,0039,350,8,0,1,4,0,3,102,3,71
21,Belgrano,001,0403 ,0040,352,15,0,10,2,90,5,95,1,62
21,Belgrano,001,0403 ,0041,350,10,0,2,4,108,8,82,1,49
21,Belgrano,001,0403 ,0042,350,10,0,4,7,100,1,89,0,63
21,Belgrano,001,0403 ,0043,350,19,0,2,5,86,6,86,1,67
21,Belgrano,001,0403 ,0044,351,7,0,2,4,96,1,91,0,70
21,Belgrano,001,0403 ,0045,351,9,0,1,4,83,3,111,1,73
21,Belgrano,001,0403 ,0046,350,3,4,3,5,93,5,101,0,71
21,Belgrano,001,0403 ,0047,350,15,0,4,11,95,3,95,2,63
21,Belgrano,001,0403 ,0048,350,1,6,3,6,101,4,76,1,69
21,Belgrano,001,0403 ,0049,351,13,0,3,6,105,5,75,0,59
21,Belgrano,001,0403 ,0050,350,4,0,4,7,83,1,102,2,61
21,Belgrano,001,0403 ,0051,351,12,0,3,6,98,5,92,3,70
21,Belgrano,001,0403 ,0052,350,13,0,3,3,99,5,89,1,65
21,Belgrano,001,0403 ,0053,351,4,0,3,3,88,4,107,1,60
21,Belgrano,001,0403 ,0054,350,11,0,4,3,87,2,105,2,59
21,Belgrano,001,0403 ,0055,350,8,0,2,5,87,2,84,0,71
21,Belgrano,001,0403 ,0056,350,8,0,1,4,99,5,91,0,55
21,Belgrano,001,0403 ,0057,323,12,0,2,4,79,4,93,0,72
21,Belgrano,001,0404A,0058,350,8,0,3,2,78,4,80,2,91
21,Belgrano,001,0404A,0059,350,6,0,5,3,45,4,86,0,110
21,Belgrano,001,0404A,0060,352,7,0,6,5,32,2,115,2,112
21,Belgrano,001,0404A,0061,352,14,0,3,0,49,2,133,0,89
21,Belgrano,001,0404A,0062,350,4,3,4,4,75,2,108,0,82
21,Belgrano,001,0404A,0063,351,5,3,0,0,47,5,135,1,90
21,Belgrano,001,0404A,0064,353,11,0,4,4,60,2,87,0,102
21,Belgrano,001,0404A,0065,351,8,0,0,2,54,0,102,1,97
21,Belgrano,001,0404A,0066,352,8,0,2,2,59,2,102,5,92
21,Belgrano,001,0404A,0067,352,5,2,2,4,53,2,94,2,105
21,Belgrano,001,0404A,0068,350,6,0,6,4,50,3,104,6,102
21,Belgrano,001,0404A,0069,350,6,0,4,3,53,3,123,1,88
21,Belgrano,001,0404A,0070,351,11,0,1,3,29,4,124,2,93
21,Belgrano,001,0404A,0071,350,15,0,2,1,54,7,92,1,92
21,Belgrano,001,0404A,0072,350,7,3,8,2,54,1,84,3,113
21,Belgrano,001,0404A,0073,350,12,0,1,4,65,2,86,1,113
21,Belgrano,001,0404A,0074,350,2,0,1,1,74,0,76,1,127
