codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0131,0133,0135,0137,0138,0525
21,Belgrano,001,0402 ,0001,351,36,0,79,5,83,10,57,30
21,Belgrano,001,0402 ,0002,351,7,0,70,3,133,5,50,22
21,Belgrano,001,0402 ,0003,351,22,0,63,4,115,4,63,31
21,Belgrano,001,0402 ,0004,351,22,3,59,3,125,3,42,26
21,Belgrano,001,0402 ,0005,350,23,0,49,2,106,10,69,35
21,Belgrano,001,0402 ,0006,350,14,0,46,5,123,5,60,31
21,Belgrano,001,0402 ,0007,351,23,0,47,6,122,2,35,35
21,Belgrano,001,0402 ,0008,350,25,2,55,3,127,5,41,43
21,Belgrano,001,0402 ,0009,353,20,0,40,5,131,11,38,45
21,Belgrano,001,0402 ,0010,350,19,3,62,3,88,9,53,40
21,Belgrano,001,0402 ,0011,350,22,0,61,4,113,3,59,29
21,Belgrano,001,0402 ,0012,350,14,0,72,4,113,9,48,30
21,Belgrano,001,0402 ,0013,350,48,0,76,1,88,7,56,25
21,Belgrano,001,0402 ,0014,351,27,1,63,5,114,9,46,30
21,Belgrano,001,0402 ,0015,350,22,0,65,3,108,5,54,18
21,Belgrano,001,0402 ,0016,350,21,0,64,5,105,8,41,50
21,Belgrano,001,0402 ,0017,350,13,6,65,3,121,7,58,16
21,Belgrano,001,0402 ,0018,350,23,0,51,6,124,7,36,31
21,Belgrano,001,0402 ,0019,351,22,0,66,3,89,8,58,32
21,Belgrano,001,0402 ,0020,352,23,4,41,4,109,4,53,41
21,Belgrano,001,0402 ,0021,350,26,0,54,2,135,3,48,38
21,Belgrano,001,0402 ,0022,350,22,0,56,10,127,5,43,26
21,Belgrano,001,0402 ,0023,350,28,0,60,5,114,2,46,32
21,Belgrano,001,0402 ,0024,350,23,0,66,3,108,5,58,29
21,Belgrano,001,0402 ,0025,353,26,0,53,6,121,3,39,23
21,Belgrano,001,0402 ,0026,351,31,0,63,2,113,3,40,42
21,Belgrano,001,0402 ,0027,350,31,0,61,4,90,9,49,31
21,Belgrano,001,0402 ,0028,350,36,0,45,3,92,12,48,37
21,Belgrano,001,0402 ,0029,327,21,0,57,6,103,6,63,15
21,Belgrano,001,0403 ,0030,352,37,0,105,2,68,6,45,16
21,Belgrano,001,0403 ,0031,351,40,0,112,7,52,3,44,21
21,Belgrano,001,0403 ,0032,351,24,7,93,1,87,8,49,18
21,Belgrano,001,0403 ,0033,350,29,6,84,4,71,5,54,26
21,Belgrano,001,0403 ,0034,350,22,3,56,3,134,8,37,25
21,Belgrano,001,0403 ,0035,351,22,10,102,2,78,3,57,12
21,Belgrano,001,0403 ,0036,351,21,0,76,3,90,6,55,20
21,Belgrano,001,0403 ,0037,350,18,0,75,2,88,8,49,38
21,Belgrano,001,0403 ,0038,351,21,0,90,2,74,15,56,22
21,Belgrano,001,0403 ,0039,354,29,7,81,4,78,7,61,12
21,Belgrano,001,0403 ,0040,353,32,0,104,1,72,6,60,14
21,Belgrano,001,0403 ,0041,353,24,3,99,0,74,5,48,24
21,Belgrano,001,0403 ,0042,351,27,2,79,5,89,6,51,19
21,Belgrano,001,0403 ,0043,351,24,2,111,3,64,8,54,11
21,Belgrano,001,0403 ,0044,350,33,4,97,1,73,6,49,20
21,Belgrano,001,0403 ,0045,351,40,0,119,1,62,7,50,17
21,Belgrano,001,0403 ,0046,352,42,2,101,2,71,3,35,26
21,Belgrano,001,0403 ,0047,351,27,0,100,4,68,10,60,18
21,Belgrano,001,0403 ,0048,350,32,0,99,2,72,8,41,28
21,Belgrano,001,0403 ,0049,350,25,0,86,1,73,10,63,20
21,Belgrano,001,0403 ,0050,351,23,0,106,3,77,5,50,19
21,Belgrano,001,0403 ,0051,356,23,1,108,7,53,5,62,11
21,Belgrano,001,0403 ,0052,351,24,0,98,6,87,3,35,22
21,Belgrano,001,0403 ,0053,352,20,1,98,12,68,5,48,18
21,Belgrano,001,0403 ,0054,353,86,0,101,2,7,6,55,18
21,Belgrano,001,0403 ,0055,350,21,0,87,2,107,7,54,22
21,Belgrano,001,0403 ,0056,350,41,0,89,1,64,2,43,28
21,Belgrano,001,0403 ,0057,350,20,1,114,5,67,4,40,20
21,Belgrano,001,0403 ,0058,350,21,0,117,3,72,5,44,20
21,Belgrano,001,0403 ,0059,356,31,0,90,3,76,8,49,25
21,Belgrano,001,0403 ,0060,86,6,0,29,0,20,2,6,6
21,Belgrano,001,0404A,0061,351,26,1,90,1,84,2,44,27
21,Belgrano,001,0404A,0062,351,37,0,50,2,80,5,45,26
21,Belgrano,001,0404A,0063,351,21,0,49,1,130,4,39,29
21,Belgrano,001,0404A,0064,350,21,0,52,2,126,4,44,39
21,Belgrano,001,0404A,0065,350,32,0,63,2,103,4,46,22
21,Belgrano,001,0404A,0066,352,22,0,57,2,106,7,41,42
21,Belgrano,001,0404A,0067,350,35,0,84,0,93,5,43,23
21,Belgrano,001,0404A,0068,350,26,0,65,1,110,3,38,29
21,Belgrano,001,0404A,0069,352,18,0,61,5,125,5,42,26
21,Belgrano,001,0404A,0070,351,27,0,52,4,123,3,47,25
21,Belgrano,001,0404A,0071,351,31,0,44,2,124,5,51,25
21,Belgrano,001,0404A,0072,350,18,2,41,1,162,9,29,35
21,Belgrano,001,0404A,0073,352,37,0,48,2,98,2,62,19
21,Belgrano,001,0404A,0074,350,23,0,241,0,0,0,0,0
21,Belgrano,001,0404A,0075,354,31,4,69,1,111,4,32,17
21,Belgrano,001,0404A,0076,351,23,0,82,3,96,3,40,26
21,Belgrano,001,0404A,0077,355,21,0,76,4,102,3,32,22
21,Belgrano,001,0404A,0078,350,21,0,79,3,115,2,43,16
21,Belgrano,001,0404A,0079,350,18,2,68,2,96,8,54,19
21,Belgrano,001,0404A,0080,352,24,0,78,2,85,3,54,31
21,Belgrano,001,0404A,0081,352,31,5,79,3,100,3,38,17
21,Belgrano,001,0404A,0082,352,39,0,69,5,106,8,33,18
21,Belgrano,001,0404A,0083,350,14,3,72,2,103,8,42,30
21,Belgrano,001,0404A,0084,350,36,0,61,3,125,5,23,26
21,Belgrano,001,0404A,0085,350,17,0,58,0,113,3,53,31
21,Belgrano,001,0404A,0086,353,28,4,74,4,101,4,39,23
21,Belgrano,001,0404A,0087,350,31,0,62,2,111,3,46,16
21,Belgrano,001,0404A,0088,353,24,0,70,2,106,4,50,21
21,Belgrano,001,0404A,0089,354,23,4,52,5,127,6,43,22
21,Belgrano,001,0404A,0090,350,23,4,53,7,120,3,42,26
21,Belgrano,001,0404A,0091,351,28,0,50,8,137,2,48,17
21,Belgrano,001,0404A,0092,351,32,2,66,5,105,3,48,25
21,Belgrano,001,0404A,0093,130,7,0,16,1,48,1,17,11
21,Belgrano,001,0404B,0094,350,24,0,80,4,113,2,41,25
21,Belgrano,001,0404B,0095,350,31,0,82,2,95,8,51,18
21,Belgrano,001,0404B,0096,350,18,0,59,3,120,6,48,31
21,Belgrano,001,0404B,0097,244,15,0,39,4,79,4,31,25
21,Belgrano,001,0405 ,0098,350,37,0,36,4,110,7,59,15
21,Belgrano,001,0405 ,0099,350,26,2,57,6,112,11,64,11
21,Belgrano,001,0405 ,0100,350,42,0,38,4,121,4,47,28
21,Belgrano,001,0405 ,0101,350,31,0,59,2,93,4,70,15
21,Belgrano,001,0405 ,0102,351,32,0,42,2,130,5,63,12
21,Belgrano,001,0405 ,0103,350,37,0,31,2,135,2,61,15
21,Belgrano,001,0405 ,0104,186,15,0,15,2,78,4,22,10
21,Belgrano,001,0405 ,0105,186,20,0,19,4,72,3,34,12
21,Belgrano,001,0406 ,0106,350,13,9,96,2,82,7,36,40
21,Belgrano,001,0406 ,0107,349,10,4,118,6,72,5,43,23
21,Belgrano,001,0406 ,0108,351,23,0,94,2,101,7,40,23
21,Belgrano,001,0406 ,0109,350,23,0,76,4,111,5,37,39
21,Belgrano,001,0406 ,0110,352,12,1,88,6,109,6,36,40
21,Belgrano,001,0406 ,0111,168,17,1,61,3,35,2,11,7
21,Caseros,002,0364 ,0112,351,21,3,80,3,89,13,57,20
21,Caseros,002,0364 ,0113,351,29,0,68,5,101,6,44,29
21,Caseros,002,0364 ,0114,352,18,0,73,6,95,9,56,24
21,Caseros,002,0364 ,0115,350,13,0,83,6,99,2,60,26
21,Caseros,002,0364 ,0116,350,16,2,63,7,97,11,51,30
21,Caseros,002,0364 ,0117,350,18,1,49,3,106,14,52,26
21,Caseros,002,0364 ,0118,350,16,0,92,9,86,9,47,20
21,Caseros,002,0364 ,0119,351,16,2,84,9,96,13,41,26
21,Caseros,002,0364 ,0120,352,9,0,67,5,100,7,51,36
21,Caseros,002,0364 ,0121,350,28,1,83,1,92,13,50,33
21,Caseros,002,0364 ,0122,351,23,1,96,2,91,8,46,25
21,Caseros,002,0364 ,0123,352,11,0,99,1,95,8,41,22
21,Caseros,002,0364 ,0124,352,14,1,91,4,81,11,57,17
21,Caseros,002,0364 ,0125,350,27,0,79,6,96,8,44,23
21,Caseros,002,0364 ,0126,351,26,0,95,5,74,13,51,27
21,Caseros,002,0364 ,0127,351,17,2,87,3,110,6,36,21
21,Caseros,002,0364 ,0128,350,19,0,72,6,109,10,43,28
21,Caseros,002,0364 ,0129,347,30,0,68,3,80,13,62,36
21,Caseros,002,0365 ,0130,351,175,0,51,5,9,2,52,6
21,Caseros,002,0365 ,0131,351,20,5,42,2,145,12,49,9
21,Caseros,002,0365 ,0132,351,10,0,59,5,147,12,63,7
21,Caseros,002,0365 ,0133,351,18,5,50,12,147,6,49,13
21,Caseros,002,0365 ,0134,350,13,3,47,3,154,5,75,9
21,Caseros,002,0365 ,0135,350,21,0,39,9,152,10,54,10
21,Caseros,002,0365 ,0136,351,18,1,48,9,138,7,61,8
21,Caseros,002,0365 ,0137,285,10,0,39,0,130,9,36,10
21,Caseros,002,0365A,0138,1,0,0,1,0,0,0,0,0
21,Caseros,002,0366 ,0139,350,27,0,63,9,99,8,50,30
21,Caseros,002,0366 ,0140,350,29,0,72,7,88,7,55,30
21,Caseros,002,0366 ,0141,350,25,0,94,10,92,8,42,25
21,Caseros,002,0366 ,0142,350,21,0,84,6,89,7,52,14
21,Caseros,002,0366 ,0143,350,22,2,81,6,80,4,48,24
21,Caseros,002,0366 ,0144,144,8,0,26,1,42,4,20,12
21,Caseros,002,0367 ,0145,351,20,4,84,4,72,15,57,32
21,Caseros,002,0367 ,0146,350,25,4,63,4,88,19,65,21
21,Caseros,002,0367 ,0147,350,17,2,67,3,101,11,52,19
21,Caseros,002,0367 ,0148,351,24,4,60,5,85,11,69,27
21,Caseros,002,0367 ,0149,351,30,0,67,2,115,19,45,23
21,Caseros,002,0367 ,0150,352,29,6,70,14,93,7,52,22
21,Caseros,002,0367 ,0151,351,19,1,59,5,96,10,62,26
21,Caseros,002,0367 ,0152,350,17,3,65,2,99,8,67,31
21,Caseros,002,0367 ,0153,351,14,1,69,4,84,13,85,15
21,Caseros,002,0367 ,0154,350,22,2,54,6,97,10,66,21
21,Caseros,002,0367 ,0155,351,36,3,92,3,74,14,51,17
21,Caseros,002,0367 ,0156,350,21,2,81,2,94,6,50,17
21,Caseros,002,0367 ,0157,350,28,2,58,5,78,10,62,32
21,Caseros,002,0367 ,0158,123,6,0,19,3,27,10,22,5
21,Caseros,002,0368A,0159,353,17,6,75,8,73,11,64,23
21,Caseros,002,0368A,0160,351,25,8,61,7,77,14,80,20
21,Caseros,002,0368A,0161,351,18,11,81,6,80,7,62,12
21,Caseros,002,0368A,0162,351,33,3,63,4,88,8,64,19
21,Caseros,002,0368A,0163,351,13,3,73,3,82,11,71,18
21,Caseros,002,0368A,0164,351,30,1,69,1,76,8,84,17
21,Caseros,002,0368A,0165,350,23,2,26,3,142,13,44,20
21,Caseros,002,0368A,0166,350,20,7,53,8,111,7,62,18
21,Caseros,002,0368A,0167,351,24,3,29,4,115,11,74,26
21,Caseros,002,0368A,0168,350,27,8,53,4,86,9,72,22
21,Caseros,002,0368A,0169,349,27,1,48,5,110,8,62,32
21,Caseros,002,0368A,0170,350,19,2,40,3,134,8,57,16
