codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00024,00036,00037,00039,00050,00108
21,001,Belgrano,04588,084003,0,0,7,22,12,93,0,144,8
21,001,Belgrano,04588,084004,0,0,6,12,7,82,0,189,5
21,001,Belgrano,04588,084005,0,0,3,18,3,78,0,185,3
21,001,Belgrano,04588,084006,0,0,4,13,7,69,0,183,3
21,001,Belgrano,04588,084007,0,0,1,25,6,60,0,203,6
21,001,Belgrano,04588,084008,0,0,7,21,4,66,0,193,2
21,001,Belgrano,04588,084009,0,0,5,23,3,60,0,186,2
21,001,Belgrano,04588,084010,0,0,7,11,5,50,0,218,7
21,001,Belgrano,04588,084011,0,0,2,18,7,57,0,192,4
21,001,Belgrano,04588,084012,0,0,10,22,7,70,0,174,5
21,001,Belgrano,04588,084013,0,0,5,20,7,83,0,172,2
21,001,Belgrano,04588,084014,0,0,9,16,2,95,0,153,1
21,001,Belgrano,04588,084015,0,0,7,28,4,87,0,160,3
21,001,Belgrano,04588,084016,0,0,5,19,1,89,0,151,6
21,001,Belgrano,04588,084017,0,0,9,18,0,80,0,168,5
21,001,Belgrano,04588,084018,0,0,10,25,1,80,0,139,3
21,001,Belgrano,04588,084019,0,0,6,23,5,73,0,184,6
21,001,Belgrano,04588,084020,0,0,8,19,2,84,0,171,7
21,001,Belgrano,04588,084021,0,0,5,15,8,73,0,182,2
21,001,Belgrano,04588,084022,0,0,2,21,8,67,0,195,4
21,001,Belgrano,04588,084023,0,0,10,35,7,72,0,158,3
21,001,Belgrano,04588,084024,0,0,5,20,3,58,0,180,14
21,001,Belgrano,04588,084025,0,0,7,25,3,73,0,183,1
21,001,Belgrano,04588,084026,0,0,4,18,2,109,0,159,2
21,001,Belgrano,04588,084027,0,0,6,27,4,72,0,164,10
21,001,Belgrano,04588,084028,0,0,11,16,6,56,0,195,5
21,001,Belgrano,04588,084029,0,0,13,24,8,79,0,170,2
21,001,Belgrano,04588,084030,0,0,5,21,2,80,0,167,8
21,001,Belgrano,04588,084031,0,0,9,25,5,67,0,173,3
21,001,Belgrano,04588,084032,0,0,3,12,5,39,0,116,1
21,001,Belgrano,04589,084033,0,0,16,28,0,120,0,95,3
21,001,Belgrano,04589,084034,0,0,9,39,3,113,0,106,3
21,001,Belgrano,04589,084035,0,0,8,37,6,99,0,116,6
