codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0033,0065,0171,0174,0188,0202,0211,0259,0502,0503,0510,0530,0546,0554,0560,0580
21,Belgrano,001,0402 ,0001,350,27,0,1,2,1,1,30,18,4,4,4,62,5,3,11,59,37,5,6
21,Belgrano,001,0402 ,0002,351,27,0,3,5,3,2,29,19,3,4,9,71,2,3,6,56,35,3,1
21,Belgrano,001,0402 ,0003,350,23,15,0,0,2,2,23,17,8,2,9,72,1,3,4,54,28,3,2
21,Belgrano,001,0402 ,0004,350,22,0,1,0,2,1,37,24,2,5,4,92,2,1,5,51,13,2,3
21,Belgrano,001,0402 ,0005,351,25,17,2,1,2,1,34,26,3,0,6,71,4,2,5,45,25,5,5
21,Belgrano,001,0402 ,0006,351,12,8,1,1,1,3,42,25,1,6,1,95,6,1,2,33,31,1,2
21,Belgrano,001,0402 ,0007,351,11,10,2,1,2,0,21,14,2,1,3,100,2,3,3,42,25,5,4
21,Belgrano,001,0402 ,0008,352,13,10,0,1,1,1,28,18,5,3,2,90,4,4,11,53,23,4,4
21,Belgrano,001,0402 ,0009,350,11,12,0,0,3,0,32,21,0,3,4,84,4,2,7,42,29,2,2
21,Belgrano,001,0402 ,0010,351,13,13,0,1,0,0,14,11,0,1,1,90,6,6,3,65,35,4,1
21,Belgrano,001,0402 ,0011,350,15,11,0,0,1,0,34,18,6,1,3,90,2,10,4,67,23,5,2
21,Belgrano,001,0402 ,0012,351,19,20,0,0,3,0,31,11,7,1,6,74,4,10,4,63,24,1,3
21,Belgrano,001,0402 ,0013,351,31,0,2,0,1,0,35,9,3,1,4,85,2,3,2,64,21,9,5
21,Belgrano,001,0402 ,0014,351,6,9,1,1,0,0,34,25,2,5,5,85,2,7,6,54,29,4,7
21,Belgrano,001,0402 ,0015,351,8,10,0,0,1,0,33,4,4,2,3,76,3,3,6,64,27,6,1
21,Belgrano,001,0402 ,0016,351,9,14,0,1,3,0,39,13,5,3,3,78,2,2,10,55,23,2,1
21,Belgrano,001,0402 ,0017,351,11,16,0,0,3,1,88,28,5,4,6,54,5,6,3,74,28,3,2
21,Belgrano,001,0402 ,0018,350,25,0,2,0,0,0,29,12,5,2,8,92,3,1,6,50,27,5,0
21,Belgrano,001,0402 ,0019,351,8,10,2,1,2,0,35,15,7,5,2,94,1,2,4,51,26,6,0
21,Belgrano,001,0402 ,0020,351,20,0,2,1,1,1,47,13,4,3,11,67,4,5,2,50,38,8,2
21,Belgrano,001,0402 ,0021,351,17,16,0,0,1,5,39,24,1,1,2,94,4,8,2,53,13,3,2
21,Belgrano,001,0402 ,0022,350,12,13,6,6,2,0,35,15,3,2,2,87,3,6,5,54,18,6,6
21,Belgrano,001,0402 ,0023,351,15,9,1,3,5,3,28,7,7,2,4,87,4,7,1,55,25,7,4
