codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0081,0131,0133,0134,0135,0136,0137,0138,0180,0188,0525
21,Belgrano,001,0402 ,0001,351,32,0,0,58,5,1,75,1,8,56,0,1,20
21,Belgrano,001,0402 ,0002,351,24,0,0,58,5,0,94,0,2,59,0,0,21
21,Belgrano,001,0402 ,0003,351,22,0,0,55,10,2,86,0,2,56,0,0,29
21,Belgrano,001,0402 ,0004,351,22,0,0,43,8,1,109,1,3,48,0,0,14
21,Belgrano,001,0402 ,0005,350,15,3,0,49,8,0,94,2,3,59,1,0,25
21,Belgrano,001,0402 ,0006,350,10,0,0,34,5,0,114,0,2,62,0,0,17
21,Belgrano,001,0402 ,0007,351,26,0,0,38,8,1,91,0,2,53,0,0,16
21,Belgrano,001,0402 ,0008,350,25,6,0,41,7,0,104,0,4,56,0,0,25
21,Belgrano,001,0402 ,0009,353,21,0,0,38,10,0,102,2,6,51,0,0,28
21,Belgrano,001,0402 ,0010,350,18,5,0,40,4,1,83,1,3,62,0,0,25
21,Belgrano,001,0402 ,0011,350,27,0,3,58,2,1,107,2,0,41,0,0,15
21,Belgrano,001,0402 ,0012,350,8,0,0,58,16,0,93,0,7,50,2,2,21
21,Belgrano,001,0402 ,0013,350,19,12,0,69,7,2,69,1,1,56,1,1,17
21,Belgrano,001,0402 ,0014,351,25,0,2,55,7,0,81,0,2,59,0,0,29
21,Belgrano,001,0402 ,0015,350,21,4,0,56,4,1,74,0,3,62,0,2,16
21,Belgrano,001,0402 ,0016,350,65,0,0,44,7,0,75,0,4,18,0,0,43
21,Belgrano,001,0402 ,0017,350,16,6,1,58,5,0,79,1,1,54,0,1,12
21,Belgrano,001,0402 ,0018,350,20,2,0,48,7,0,119,1,2,38,0,0,22
21,Belgrano,001,0402 ,0019,351,13,5,0,64,10,1,89,0,3,51,0,0,15
21,Belgrano,001,0402 ,0020,352,35,0,0,36,7,0,87,3,6,41,0,1,25
21,Belgrano,001,0402 ,0021,350,28,0,0,50,6,0,120,2,3,45,0,0,20
21,Belgrano,001,0402 ,0022,350,19,0,0,55,9,0,108,1,3,51,12,0,11
21,Belgrano,001,0402 ,0023,350,44,1,0,49,3,0,85,1,4,44,0,0,28
21,Belgrano,001,0402 ,0024,350,30,0,0,54,8,2,83,1,3,47,0,0,19
21,Belgrano,001,0402 ,0025,353,23,0,0,36,8,0,106,0,1,37,0,0,18
21,Belgrano,001,0402 ,0026,351,27,0,0,50,2,1,93,2,1,51,0,0,24
21,Belgrano,001,0402 ,0027,350,23,0,2,42,10,0,88,0,3,51,0,0,27
21,Belgrano,001,0402 ,0028,350,26,0,0,41,6,2,78,1,1,55,0,0,33
21,Belgrano,001,0402 ,0029,327,2,0,1,42,8,0,91,2,23,50,1,0,14
21,Belgrano,001,0403 ,0030,352,16,2,1,102,7,0,43,0,2,42,1,0,19
21,Belgrano,001,0403 ,0031,351,23,0,2,98,4,2,42,0,4,29,1,0,30
21,Belgrano,001,0403 ,0032,351,25,7,0,70,6,0,74,0,2,31,0,0,26
21,Belgrano,001,0403 ,0033,350,51,0,0,76,0,0,48,0,3,19,0,0,28
21,Belgrano,001,0403 ,0034,350,16,3,1,59,5,1,94,1,4,38,0,0,37
21,Belgrano,001,0403 ,0035,351,31,0,0,112,3,0,56,0,1,30,0,0,30
21,Belgrano,001,0403 ,0036,351,15,0,0,78,6,0,72,0,6,32,1,0,19
21,Belgrano,001,0403 ,0037,350,22,0,0,69,6,1,60,0,2,35,0,0,36
21,Belgrano,001,0403 ,0038,351,40,0,0,84,6,0,55,0,2,38,1,0,34
