codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0047,0052,0101,0161,0169,0170,0171,0172,0173
18,Capital                                 ,001,0001 ,0001,321,6,12,4,7,2,50,6,18,17,35,19,44
18,Capital                                 ,001,0001 ,0002,321,5,5,7,2,3,53,1,24,12,37,15,49
18,Capital                                 ,001,0001 ,0003,321,12,9,2,5,2,53,3,11,13,30,18,25
18,Capital                                 ,001,0001 ,0004,320,9,4,5,5,1,48,6,17,17,27,14,39
18,Capital                                 ,001,0001 ,0005,320,9,8,8,6,1,53,2,14,11,34,23,47
18,Capital                                 ,001,0001 ,0006,320,11,7,6,0,1,38,2,19,13,43,8,49
18,Capital                                 ,001,0001 ,0007,320,9,5,9,6,2,54,2,20,9,35,18,33
18,Capital                                 ,001,0001 ,0008,320,5,6,4,3,0,57,3,16,15,45,12,40
18,Capital                                 ,001,0001 ,0009,320,9,5,10,4,1,46,1,12,12,29,29,46
18,Capital                                 ,001,0001 ,0010,320,0,0,6,5,3,50,3,17,18,36,12,47
18,Capital                                 ,001,0001 ,1001,314,6,2,4,2,1,45,7,15,23,37,21,50
18,Capital                                 ,001,0001 ,1002,314,16,6,7,5,4,44,6,13,27,36,20,47
18,Capital                                 ,001,0001 ,1003,314,8,7,6,3,1,32,4,13,19,44,11,48
18,Capital                                 ,001,0001 ,1004,314,8,4,9,2,3,50,5,4,15,38,23,28
18,Capital                                 ,001,0001 ,1005,314,7,5,8,4,0,60,3,13,18,32,19,41
18,Capital                                 ,001,0001 ,1006,314,13,7,4,2,7,50,2,12,19,33,14,45
18,Capital                                 ,001,0001 ,1007,313,15,4,4,4,1,47,6,13,16,35,18,40
18,Capital                                 ,001,0001 ,1008,313,15,8,7,6,2,41,3,11,27,45,12,37
18,Capital                                 ,001,0002 ,0011,301,9,5,7,5,1,51,7,12,11,42,9,31
18,Capital                                 ,001,0002 ,0012,301,5,5,6,8,1,48,1,12,20,44,13,32
18,Capital                                 ,001,0002 ,0013,301,0,0,10,3,1,48,0,13,21,44,16,18
18,Capital                                 ,001,0002 ,0014,301,3,5,8,8,1,48,2,14,20,40,21,24
18,Capital                                 ,001,0002 ,0015,301,4,4,6,6,3,37,2,10,20,42,22,18
18,Capital                                 ,001,0002 ,1009,275,7,1,9,6,1,54,5,11,23,42,4,35
18,Capital                                 ,001,0002 ,1010,275,7,1,4,2,2,53,2,14,21,37,17,27
18,Capital                                 ,001,0002 ,1011,274,0,0,10,7,2,48,2,9,20,36,12,21
18,Capital                                 ,001,0002 ,1012,274,6,4,3,9,2,49,0,13,16,42,20,22
18,Capital                                 ,001,0002 ,1013,274,7,6,6,8,0,53,2,10,23,27,17,32
18,Capital                                 ,001,0003 ,0016,286,2,2,5,12,1,56,2,12,13,51,21,23
18,Capital                                 ,001,0003 ,0017,286,3,4,7,4,2,51,2,16,15,32,7,32
18,Capital                                 ,001,0003 ,0018,286,5,0,4,6,1,41,2,14,14,42,17,25
18,Capital                                 ,001,0003 ,0019,286,0,0,4,7,0,42,4,14,14,38,25,25
18,Capital                                 ,001,0003 ,0020,286,0,0,4,3,2,37,2,16,14,41,26,29
18,Capital                                 ,001,0003 ,0021,286,6,3,5,8,0,37,2,19,18,41,19,23
18,Capital                                 ,001,0003 ,1014,339,10,12,2,6,0,53,2,13,25,35,19,34
18,Capital                                 ,001,0003 ,1015,339,0,0,5,5,2,51,2,8,20,51,14,29
18,Capital                                 ,001,0003 ,1016,339,9,6,8,4,5,42,7,12,22,34,30,33
18,Capital                                 ,001,0003 ,1017,339,22,6,7,6,1,67,0,21,24,34,16,42
18,Capital                                 ,001,0004 ,0022,298,12,0,2,7,2,57,7,20,23,49,17,25
18,Capital                                 ,001,0004 ,0023,297,11,3,0,3,1,55,0,24,24,41,12,34
18,Capital                                 ,001,0004 ,0024,297,0,0,2,5,1,62,3,11,18,34,9,32
18,Capital                                 ,001,0004 ,0025,297,0,0,3,5,0,67,0,18,19,42,11,36
18,Capital                                 ,001,0004 ,1018,326,7,6,2,4,2,67,6,19,29,48,13,36
18,Capital                                 ,001,0004 ,1019,326,10,7,2,7,1,63,4,18,25,40,7,38
18,Capital                                 ,001,0004 ,1020,326,4,8,1,7,1,65,4,16,25,36,14,33
18,Capital                                 ,001,0005 ,0026,297,8,8,3,6,4,73,4,9,12,44,9,29
18,Capital                                 ,001,0005 ,0027,297,0,0,5,4,1,67,2,22,6,52,6,41
18,Capital                                 ,001,0005 ,0028,297,8,9,4,1,0,78,1,10,11,43,9,39
18,Capital                                 ,001,0005 ,0029,297,2,11,3,3,2,56,5,17,11,33,10,37
18,Capital                                 ,001,0005 ,0030,296,6,10,3,2,0,54,1,18,12,42,10,42
18,Capital                                 ,001,0005 ,0031,296,8,2,4,2,0,86,6,13,6,23,9,32
18,Capital                                 ,001,0005 ,1021,292,6,3,5,4,4,61,6,11,15,54,5,38
18,Capital                                 ,001,0005 ,1022,292,0,0,7,6,5,78,2,15,7,30,8,29
18,Capital                                 ,001,0005 ,1023,292,16,6,4,6,3,61,4,16,18,44,9,26
18,Capital                                 ,001,0005 ,1024,291,0,0,4,4,1,81,5,12,10,39,8,29
18,Capital                                 ,001,0005 ,1025,291,7,3,5,2,0,68,7,12,16,41,8,40
18,Capital                                 ,001,0006 ,0032,295,0,0,0,0,0,95,2,17,15,44,5,27
18,Capital                                 ,001,0006 ,0033,295,0,0,5,1,0,91,4,14,14,45,6,37
18,Capital                                 ,001,0006 ,0034,295,3,1,1,0,1,103,4,26,12,43,5,13
18,Capital                                 ,001,0006 ,0035,295,0,0,2,0,1,85,0,18,19,54,4,23
18,Capital                                 ,001,0006 ,1026,276,9,0,3,0,2,57,6,11,19,48,7,18
18,Capital                                 ,001,0006 ,1027,276,0,0,3,1,1,70,1,14,15,41,4,27
18,Capital                                 ,001,0006 ,1028,276,0,0,0,0,0,69,5,18,11,42,7,25
18,Capital                                 ,001,0006 ,1029,276,7,4,1,2,2,80,2,7,18,44,5,11
18,Capital                                 ,001,0007 ,0036,332,2,2,2,1,1,110,0,19,28,48,2,24
18,Capital                                 ,001,0007 ,0037,332,2,4,0,1,1,102,1,24,21,39,3,25
18,Capital                                 ,001,0007 ,0038,332,13,5,1,0,0,102,0,26,34,45,4,0
18,Capital                                 ,001,0007 ,0039,331,0,0,0,0,1,100,0,26,19,51,4,17
18,Capital                                 ,001,0007 ,0040,331,2,4,5,2,0,100,2,25,21,48,1,27
18,Capital                                 ,001,0007 ,0041,331,0,0,0,0,0,106,1,19,29,47,1,30
18,Capital                                 ,001,0007 ,1030,290,8,5,0,1,3,95,1,26,12,40,1,20
18,Capital                                 ,001,0007 ,1031,290,0,0,0,1,1,84,4,21,22,36,0,26
18,Capital                                 ,001,0007 ,1032,289,4,0,3,0,0,69,1,26,16,42,0,0
18,Capital                                 ,001,0007 ,1033,289,0,1,4,3,1,81,3,21,20,31,1,19
18,Capital                                 ,001,0007 ,1034,289,0,0,1,1,0,70,2,20,32,45,2,25
18,Capital                                 ,001,0007 ,1035,289,0,0,2,1,0,85,3,14,24,39,2,16
18,Capital                                 ,001,0008 ,0042,311,0,0,2,3,1,77,3,21,13,37,7,31
18,Capital                                 ,001,0008 ,0043,311,0,0,2,2,0,96,3,25,13,44,5,17
18,Capital                                 ,001,0008 ,0044,311,0,0,1,2,1,97,4,20,19,34,6,28
18,Capital                                 ,001,0008 ,0045,311,5,9,3,2,1,78,1,21,18,45,7,32
18,Capital                                 ,001,0008 ,0046,311,5,3,2,1,1,73,1,17,23,50,5,31
18,Capital                                 ,001,0008 ,0047,311,0,0,1,0,4,80,2,14,28,57,10,32
18,Capital                                 ,001,0008 ,0048,311,0,0,7,3,1,84,5,20,15,54,5,22
18,Capital                                 ,001,0008 ,1036,304,9,3,8,2,2,86,4,15,17,29,8,34
18,Capital                                 ,001,0008 ,1037,303,9,5,5,3,0,77,4,15,16,28,5,30
18,Capital                                 ,001,0008 ,1038,303,7,0,3,1,0,76,4,15,13,34,8,32
18,Capital                                 ,001,0008 ,1039,303,5,7,3,0,1,73,4,17,22,33,6,25
18,Capital                                 ,001,0008 ,1040,303,7,2,5,3,3,0,2,16,14,45,5,27
18,Capital                                 ,001,0008 ,1041,303,0,0,0,1,1,58,5,18,28,44,10,23
18,Capital                                 ,001,0009 ,0049,325,1,8,1,5,3,71,2,26,14,40,8,40
18,Capital                                 ,001,0009 ,0050,324,0,0,2,3,0,60,0,23,14,52,14,37
18,Capital                                 ,001,0009 ,0051,324,0,0,0,2,4,49,5,27,19,40,11,40
18,Capital                                 ,001,0009 ,0052,324,0,0,10,6,2,71,4,22,18,40,10,25
18,Capital                                 ,001,0009 ,0053,324,6,3,4,3,0,73,4,23,16,45,14,35
18,Capital                                 ,001,0009 ,0054,324,5,2,8,7,3,71,3,15,12,52,7,39
18,Capital                                 ,001,0009 ,0055,324,6,2,4,7,1,63,0,24,27,41,8,0
18,Capital                                 ,001,0009 ,0056,324,9,4,7,0,3,68,0,16,10,55,9,36
18,Capital                                 ,001,0009 ,0057,324,11,9,0,4,2,59,1,23,23,47,15,32
18,Capital                                 ,001,0009 ,1042,312,14,5,1,6,0,49,4,21,18,50,11,42
18,Capital                                 ,001,0009 ,1043,312,2,5,8,0,1,69,7,16,25,38,7,30
18,Capital                                 ,001,0009 ,1044,312,6,7,7,4,3,73,6,21,15,40,11,36
18,Capital                                 ,001,0009 ,1045,312,5,7,2,4,1,62,1,13,18,43,12,25
18,Capital                                 ,001,0009 ,1046,312,0,0,4,40,4,56,9,20,15,41,6,0
18,Capital                                 ,001,0009 ,1047,312,9,4,6,4,5,59,6,24,27,36,4,32
