codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0131,0132,0133,0168
18,Capital,001,0001 ,0001,343,52,2,40,91,10,46,15
18,Capital,001,0001 ,0002,343,48,1,39,69,8,52,20
18,Capital,001,0001 ,0003,343,58,3,38,72,7,60,18
18,Capital,001,0001 ,0004,343,0,0,40,71,15,46,21
18,Capital,001,0001 ,0005,342,39,1,38,73,12,54,16
18,Capital,001,0001 ,0006,342,42,1,42,74,10,56,25
18,Capital,001,0001 ,0007,342,39,2,42,60,12,60,21
18,Capital,001,0001 ,0008,342,55,1,30,88,15,37,18
18,Capital,001,0001 ,0009,342,44,0,44,81,14,51,15
18,Capital,001,0001 ,0010,342,54,0,36,79,20,42,18
18,Capital,001,0001 ,0011,342,54,1,42,76,7,44,18
18,Capital,001,0001 ,0012,342,54,0,32,89,14,49,16
18,Capital,001,0001 ,0013,342,52,2,33,69,13,66,13
18,Capital,001,0001 ,0014,342,51,2,46,60,13,32,22
18,Capital,001,0001 ,0015,342,60,3,41,66,15,49,16
18,Capital,001,0001 ,0016,342,46,9,39,69,14,54,8
18,Capital,001,0002 ,0017,343,57,1,26,80,8,52,21
18,Capital,001,0002 ,0018,343,50,3,32,84,5,57,15
18,Capital,001,0002 ,0019,343,33,8,19,92,16,51,12
18,Capital,001,0002 ,0020,343,41,3,35,83,15,52,13
18,Capital,001,0002 ,0021,343,36,5,34,74,22,40,23
18,Capital,001,0002 ,0022,343,48,1,32,86,6,43,25
18,Capital,001,0002 ,0023,342,37,0,32,67,13,60,22
18,Capital,001,0002 ,0024,342,40,4,29,79,16,44,22
18,Capital,001,0003 ,0025,321,40,0,39,71,14,36,23
18,Capital,001,0003 ,0026,321,53,2,29,72,11,47,15
18,Capital,001,0003 ,0027,321,44,1,25,86,11,46,14
18,Capital,001,0003 ,0028,321,53,0,29,61,11,62,9
18,Capital,001,0003 ,0029,321,40,3,31,73,6,46,30
18,Capital,001,0003 ,0030,321,44,0,20,80,15,43,19
18,Capital,001,0003 ,0031,321,51,3,41,71,9,49,27
18,Capital,001,0003 ,0032,321,42,1,21,82,14,48,20
18,Capital,001,0003 ,0033,320,37,2,33,66,4,57,19
18,Capital,001,0004 ,0034,312,37,0,27,112,13,35,13
18,Capital,001,0004 ,0035,312,43,3,24,94,6,42,14
18,Capital,001,0004 ,0036,312,30,1,25,98,7,54,15
18,Capital,001,0004 ,0037,312,39,3,26,96,9,42,10
18,Capital,001,0004 ,0038,312,36,0,28,105,8,54,6
18,Capital,001,0004 ,0039,312,30,1,28,106,3,54,12
18,Capital,001,0004 ,0040,311,36,2,25,112,11,38,15
18,Capital,001,0005 ,0041,341,51,0,16,113,4,55,18
18,Capital,001,0005 ,0042,341,49,0,29,129,4,49,13
18,Capital,001,0005 ,0043,341,38,3,24,122,5,49,13
