codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0061,0156,0168,0501,0504,0537
18,Capital,001,0001 ,0001,344,2,0,27,4,38,21,84,84,2
18,Capital,001,0001 ,0002,344,2,1,27,7,50,27,54,77,4
18,Capital,001,0001 ,0003,341,0,0,27,4,40,25,58,101,4
18,Capital,001,0001 ,0004,342,3,0,27,5,41,28,52,81,5
18,Capital,001,0001 ,0005,342,2,1,32,2,49,23,45,79,4
18,Capital,001,0001 ,0006,341,2,0,27,4,39,32,55,84,3
18,Capital,001,0001 ,0007,344,4,1,28,0,40,40,55,81,3
18,Capital,001,0001 ,0008,340,1,2,28,2,33,30,56,96,5
18,Capital,001,0001 ,0009,342,0,2,22,4,38,30,68,88,6
18,Capital,001,0001 ,0010,340,2,4,30,4,38,19,60,101,5
18,Capital,001,0001 ,0011,341,4,2,26,8,41,29,61,88,4
18,Capital,001,0001 ,0012,340,2,2,25,2,22,28,55,101,3
18,Capital,001,0001 ,0013,342,2,2,26,0,35,34,62,84,3
18,Capital,001,0001 ,0014,341,2,2,33,7,36,24,45,89,6
18,Capital,001,0001 ,0015,341,2,0,30,2,31,22,67,93,4
18,Capital,001,0002 ,0016,315,3,0,31,11,25,22,51,75,3
18,Capital,001,0002 ,0017,313,0,2,32,4,26,23,63,81,2
18,Capital,001,0002 ,0018,313,1,5,21,5,27,18,64,82,3
18,Capital,001,0002 ,0019,314,0,3,26,5,23,20,61,79,1
18,Capital,001,0002 ,0020,313,0,2,18,4,36,17,51,99,3
18,Capital,001,0002 ,0021,314,0,3,21,6,39,29,59,72,8
18,Capital,001,0002 ,0022,314,1,0,14,1,36,29,53,91,3
18,Capital,001,0002 ,0023,314,2,3,25,3,39,20,59,80,3
18,Capital,001,0003 ,0024,334,0,2,18,2,36,33,62,87,3
18,Capital,001,0003 ,0025,333,0,4,19,3,39,0,63,98,3
18,Capital,001,0003 ,0026,333,2,1,28,1,34,18,75,79,4
18,Capital,001,0003 ,0027,335,1,6,39,3,39,13,64,78,2
18,Capital,001,0003 ,0028,334,5,0,21,1,33,29,61,78,2
18,Capital,001,0003 ,0029,334,3,3,24,6,30,37,70,78,2
18,Capital,001,0003 ,0030,334,0,2,25,2,40,37,72,84,3
18,Capital,001,0003 ,0031,333,1,1,23,3,55,19,52,95,1
18,Capital,001,0004 ,0032,344,2,2,37,4,42,22,105,67,2
18,Capital,001,0004 ,0033,345,1,8,23,7,34,19,89,79,5
18,Capital,001,0004 ,0034,345,2,2,26,6,48,25,83,77,4
18,Capital,001,0004 ,0035,344,1,3,24,5,39,13,101,86,3
18,Capital,001,0004 ,0036,345,0,2,12,6,42,13,104,89,6
18,Capital,001,0004 ,0037,345,1,2,20,7,44,20,105,66,2
18,Capital,001,0005 ,0038,336,2,3,12,3,33,10,104,97,5
18,Capital,001,0005 ,0039,336,2,6,15,1,37,24,105,77,3
18,Capital,001,0005 ,0040,337,2,5,19,3,45,23,103,74,3
18,Capital,001,0005 ,0041,336,0,4,19,8,32,16,107,81,2
18,Capital,001,0005 ,0042,335,0,5,26,8,27,15,112,71,1
18,Capital,001,0005 ,0043,336,1,5,30,5,32,14,105,69,2
18,Capital,001,0005 ,0044,335,5,5,18,6,31,20,103,70,4
18,Capital,001,0005 ,0045,337,8,10,15,3,19,19,118,66,3
18,Capital,001,0005 ,0046,337,1,5,26,10,35,12,113,59,5
18,Capital,001,0006 ,0047,343,2,1,13,5,31,12,155,63,3
18,Capital,001,0006 ,0048,339,1,5,10,10,32,273,147,62,1
18,Capital,001,0006 ,0049,337,1,1,9,4,33,17,157,53,5
18,Capital,001,0006 ,0050,337,0,4,19,5,36,8,140,52,2
18,Capital,001,0006 ,0051,338,2,2,16,6,38,2,140,58,1
18,Capital,001,0006 ,0052,336,3,5,17,8,44,8,128,53,6
18,Capital,001,0006 ,0053,339,2,2,8,3,25,21,145,63,4
18,Capital,001,0006 ,0054,338,4,7,10,4,29,12,152,51,5
18,Capital,001,0006 ,0055,336,4,3,8,4,30,8,169,48,4
18,Capital,001,0007 ,0056,330,2,4,8,6,25,7,172,50,3
18,Capital,001,0007 ,0057,327,3,5,8,2,20,4,185,49,2
18,Capital,001,0007 ,0058,326,1,4,8,5,23,4,166,49,1
18,Capital,001,0007 ,0059,330,1,5,9,6,26,11,176,35,2
18,Capital,001,0007 ,0060,328,1,5,6,5,30,4,162,39,4
18,Capital,001,0007 ,0061,326,4,2,3,1,34,4,166,45,2
18,Capital,001,0007 ,0062,328,8,0,3,3,22,5,167,55,1
18,Capital,001,0007 ,0063,327,4,6,8,4,28,7,169,47,1
18,Capital,001,0007 ,0064,326,4,0,13,4,34,5,152,42,2
18,Capital,001,0007 ,0065,327,2,5,6,5,15,5,186,46,1
18,Capital,001,0007 ,0066,328,0,4,8,8,28,3,158,43,7
18,Capital,001,0007 ,0067,326,10,0,2,2,38,8,167,46,1
18,Capital,001,0007 ,0068,327,11,0,12,1,24,5,177,55,3
18,Capital,001,0008 ,0069,350,2,4,12,3,38,10,130,71,6
18,Capital,001,0008 ,0070,351,1,5,17,9,29,13,130,55,5
18,Capital,001,0008 ,0071,351,1,1,17,11,29,9,140,66,7
18,Capital,001,0008 ,0072,350,1,4,14,3,41,5,142,59,2
18,Capital,001,0008 ,0073,351,2,1,17,3,49,17,138,49,0
18,Capital,001,0008 ,0074,350,1,10,12,5,38,25,121,68,2
18,Capital,001,0008 ,0075,350,0,2,16,5,27,12,149,59,2
18,Capital,001,0008 ,0076,352,2,3,16,7,30,9,148,53,3
18,Capital,001,0008 ,0077,351,2,2,9,6,30,16,144,77,2
18,Capital,001,0008 ,0078,351,1,6,12,4,36,23,130,68,4
18,Capital,001,0008 ,0079,351,3,4,13,4,44,10,123,62,2
18,Capital,001,0009 ,0080,345,2,3,22,4,39,19,100,61,5
18,Capital,001,0009 ,0081,344,3,2,16,5,43,13,93,65,5
18,Capital,001,0009 ,0082,344,1,2,18,8,48,18,92,74,5
18,Capital,001,0009 ,0083,345,1,9,21,8,42,13,89,71,0
18,Capital,001,0009 ,0084,344,2,2,21,4,45,22,94,71,6
18,Capital,001,0009 ,0085,345,1,0,28,8,46,20,75,77,11
18,Capital,001,0009 ,0086,344,0,3,23,3,36,22,77,81,5
18,Capital,001,0009 ,0087,348,2,7,18,5,39,17,101,88,4
18,Capital,001,0009 ,0088,343,5,5,14,7,49,12,110,68,4
18,Capital,001,0009 ,0089,346,0,4,20,4,46,23,110,52,2
18,Capital,001,0009 ,0090,343,3,4,25,7,51,18,92,65,2
18,Capital,001,0009 ,0091,344,2,3,11,6,34,15,109,77,2
18,Capital,001,0009 ,0092,343,0,5,25,1,33,22,95,72,1
18,Capital,001,0009 ,0093,343,3,5,17,2,40,16,90,88,0
18,Capital,001,0009 ,0094,343,3,6,19,6,49,13,87,85,5
18,Capital,001,0010 ,0095,319,0,3,16,3,29,16,121,61,6
18,Capital,001,0010 ,0096,319,0,1,21,3,30,8,99,73,2
18,Capital,001,0010 ,0097,319,1,4,21,4,52,17,75,67,5
18,Capital,001,0010 ,0098,321,2,1,18,2,28,18,103,81,2
18,Capital,001,0010 ,0099,319,2,0,28,4,28,20,101,67,2
18,Capital,001,0010 ,0100,319,3,2,27,4,40,21,98,50,4
18,Capital,001,0010 ,0101,320,2,1,32,3,26,24,78,74,1
18,Capital,001,0010 ,0102,320,1,1,24,6,41,12,102,55,3
18,Capital,001,0011 ,0103,313,1,3,10,7,28,17,148,35,2
18,Capital,001,0011 ,0104,313,1,6,14,3,26,15,120,48,1
18,Capital,001,0011 ,0105,316,0,1,11,0,27,16,117,77,5
18,Capital,001,0011 ,0106,313,1,5,21,4,34,12,120,49,3
18,Capital,001,0011 ,0107,313,1,4,14,7,36,14,106,64,6
18,Capital,001,0011 ,0108,314,2,5,12,6,24,12,134,57,1
18,Capital,001,0011 ,0109,313,2,5,7,11,31,17,118,47,3
18,Capital,001,0011 ,0110,314,2,4,9,10,35,19,114,55,2
18,Capital,001,0011 ,0111,313,1,4,10,10,26,11,141,44,5
18,Capital,001,0012 ,0112,326,1,6,16,8,26,9,129,53,9
18,Capital,001,0012 ,0113,326,1,4,15,4,26,15,121,65,5
18,Capital,001,0012 ,0114,325,5,4,4,5,35,13,136,58,3
18,Capital,001,0012 ,0115,325,1,7,10,7,35,9,129,56,4
18,Capital,001,0012 ,0116,325,3,0,10,8,41,13,133,40,6
18,Capital,001,0012 ,0117,324,3,4,12,7,29,9,140,50,4
18,Capital,001,0012 ,0118,325,2,3,16,3,18,12,136,57,5
18,Capital,001,0012 ,0119,325,0,3,13,3,33,10,129,60,5
18,Capital,001,0012 ,0120,325,5,0,13,7,34,13,146,46,1
18,Capital,001,0012 ,0121,326,3,5,11,2,26,10,133,62,3
18,Capital,001,0012 ,0122,325,5,3,9,3,33,12,127,60,7
18,Capital,001,0012 ,0123,325,0,5,7,3,34,9,137,56,0
18,Capital,001,0012 ,0124,324,4,3,15,9,34,8,138,60,2
18,Capital,001,0013 ,0125,297,1,1,29,10,35,8,104,48,6
18,Capital,001,0013 ,0126,296,3,0,17,5,22,13,121,57,2
18,Capital,001,0013 ,0127,298,1,2,14,2,35,15,120,49,4
18,Capital,001,0013 ,0128,298,2,2,6,2,31,16,121,61,3
18,Capital,001,0013 ,0129,296,3,2,15,6,24,8,124,59,1
18,Capital,001,0014 ,0130,339,0,2,14,7,32,17,132,76,4
18,Capital,001,0014 ,0131,340,2,3,15,3,43,18,112,77,5
18,Capital,001,0014 ,0132,340,3,2,13,6,39,26,129,72,3
18,Capital,001,0014 ,0133,340,2,1,14,3,31,34,116,73,5
