codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0061,0131,0132,0133,0153,0168
18,Capital,001,0001 ,0001,343,48,2,38,0,80,20,34,6,16
18,Capital,001,0001 ,0002,344,0,0,35,5,63,14,38,5,21
18,Capital,001,0001 ,0003,342,1,7,37,6,73,23,49,7,22
18,Capital,001,0001 ,0004,342,0,0,38,5,66,21,33,0,31
18,Capital,001,0001 ,0005,342,0,0,28,0,77,19,32,0,22
18,Capital,001,0001 ,0006,342,0,1,36,5,72,22,49,4,20
18,Capital,001,0001 ,0007,341,33,0,42,3,61,18,51,3,30
18,Capital,001,0001 ,0008,342,4,5,10,3,68,23,39,1,23
18,Capital,001,0001 ,0009,342,50,1,6,0,84,12,44,0,6
18,Capital,001,0001 ,0010,342,51,2,37,0,68,18,31,3,25
18,Capital,001,0001 ,0011,342,44,0,43,0,79,11,52,8,16
18,Capital,001,0001 ,0012,344,48,0,36,0,90,14,41,5,23
18,Capital,001,0001 ,0013,342,40,4,45,0,58,25,44,3,16
18,Capital,001,0001 ,0014,341,63,2,31,0,70,21,33,0,22
18,Capital,001,0001 ,0015,342,0,0,49,0,68,24,33,7,19
18,Capital,001,0001 ,0016,342,48,3,39,0,73,21,42,4,21
18,Capital,001,0002 ,0017,343,0,0,29,7,73,12,56,3,25
18,Capital,001,0002 ,0018,343,50,3,41,3,74,16,37,2,18
18,Capital,001,0002 ,0019,343,32,2,20,4,85,32,48,2,16
18,Capital,001,0002 ,0020,343,34,0,40,1,74,23,34,1,25
18,Capital,001,0002 ,0021,344,30,3,33,1,73,29,40,1,0
18,Capital,001,0002 ,0022,344,34,2,32,6,72,16,32,4,27
18,Capital,001,0002 ,0023,342,41,0,34,3,59,22,44,5,32
18,Capital,001,0002 ,0024,341,36,2,40,2,86,22,40,2,17
18,Capital,001,0003 ,0025,322,26,1,31,4,76,20,35,3,23
18,Capital,001,0003 ,0026,322,0,0,32,3,63,15,51,5,20
18,Capital,001,0003 ,0027,322,36,0,32,2,82,15,42,3,25
18,Capital,001,0003 ,0028,320,26,5,39,6,66,13,44,4,14
18,Capital,001,0003 ,0029,321,34,0,33,1,71,15,37,8,30
18,Capital,001,0003 ,0030,321,0,0,29,3,77,26,34,0,19
18,Capital,001,0003 ,0031,320,40,3,38,3,71,9,35,4,32
18,Capital,001,0003 ,0032,321,44,0,27,3,72,14,44,2,21
18,Capital,001,0003 ,0033,321,3,0,37,3,57,11,46,5,22
18,Capital,001,0004 ,0034,312,25,1,23,2,119,9,34,8,14
18,Capital,001,0004 ,0035,311,32,1,35,3,94,8,44,5,11
18,Capital,001,0004 ,0036,312,33,3,25,2,87,18,41,5,9
18,Capital,001,0004 ,0037,314,44,0,16,3,96,14,40,9,9
18,Capital,001,0004 ,0038,314,21,1,31,0,98,9,52,11,11
18,Capital,001,0004 ,0039,312,5,0,21,5,105,13,43,3,16
18,Capital,001,0004 ,0040,311,0,0,27,8,103,14,35,1,13
18,Capital,001,0005 ,0041,341,35,2,28,6,91,6,59,5,15
18,Capital,001,0005 ,0042,342,4,2,20,9,126,7,48,0,19
18,Capital,001,0005 ,0043,342,48,0,24,5,108,3,48,2,18
18,Capital,001,0005 ,0044,342,0,0,26,1,126,18,46,2,13
18,Capital,001,0005 ,0045,341,32,3,26,7,125,15,48,0,7
18,Capital,001,0005 ,0046,343,80,3,29,7,108,8,0,7,10
18,Capital,001,0005 ,0047,341,31,9,25,4,110,11,45,2,13
18,Capital,001,0005 ,0048,341,2,11,26,4,107,5,43,6,13
18,Capital,001,0005 ,0049,341,0,0,16,0,127,8,45,0,10
18,Capital,001,0006 ,0050,350,0,2,21,4,156,3,40,2,7
18,Capital,001,0006 ,0051,350,0,0,16,9,146,5,38,3,5
18,Capital,001,0006 ,0052,349,2,1,14,3,151,3,37,8,4
18,Capital,001,0006 ,0053,349,0,0,21,8,151,4,48,5,5
18,Capital,001,0006 ,0054,348,33,3,18,3,132,6,39,1,8
18,Capital,001,0006 ,0055,348,33,3,18,7,140,4,38,6,9
18,Capital,001,0006 ,0056,349,3,8,22,2,166,2,30,3,7
18,Capital,001,0006 ,0057,348,0,0,15,9,159,6,31,2,10
18,Capital,001,0007 ,0058,342,0,0,15,3,127,7,33,1,4
18,Capital,001,0007 ,0059,342,0,0,6,3,183,2,23,3,1
18,Capital,001,0007 ,0060,344,2,2,12,0,161,5,38,3,0
18,Capital,001,0007 ,0061,342,0,0,15,2,174,2,24,2,2
18,Capital,001,0007 ,0062,342,35,0,6,3,161,2,29,8,3
18,Capital,001,0007 ,0063,342,25,0,9,3,167,6,36,0,6
18,Capital,001,0007 ,0064,343,0,0,18,2,156,6,32,4,2
18,Capital,001,0007 ,0065,342,0,0,13,2,153,12,31,0,2
18,Capital,001,0007 ,0066,343,0,0,9,0,146,4,41,2,3
18,Capital,001,0007 ,0067,344,27,0,4,3,166,3,34,2,0
18,Capital,001,0007 ,0068,342,0,0,0,0,160,17,33,4,0
18,Capital,001,0007 ,0069,342,0,0,14,2,177,3,37,3,1
18,Capital,001,0008 ,0070,336,0,0,23,3,128,7,40,6,8
18,Capital,001,0008 ,0071,336,0,0,21,2,118,13,31,1,6
18,Capital,001,0008 ,0072,336,0,1,19,4,135,6,29,2,0
18,Capital,001,0008 ,0073,336,19,1,20,9,147,7,39,4,8
18,Capital,001,0008 ,0074,336,28,6,18,5,127,7,44,1,10
18,Capital,001,0008 ,0075,337,0,0,17,7,126,4,43,7,8
18,Capital,001,0008 ,0076,335,0,0,12,3,124,8,38,1,6
18,Capital,001,0008 ,0077,335,19,0,24,3,146,3,38,0,5
18,Capital,001,0008 ,0078,335,49,0,10,8,122,11,29,1,10
18,Capital,001,0008 ,0079,335,26,1,22,1,143,13,41,0,0
18,Capital,001,0008 ,0080,336,44,0,17,0,124,8,36,1,13
18,Capital,001,0008 ,0081,335,41,3,15,5,134,3,32,2,8
18,Capital,001,0009 ,0082,330,0,0,12,1,105,8,40,7,9
18,Capital,001,0009 ,0083,330,29,4,33,7,103,14,32,2,10
18,Capital,001,0009 ,0084,331,0,0,27,7,110,10,45,8,13
18,Capital,001,0009 ,0085,330,33,0,23,8,89,16,41,2,15
18,Capital,001,0009 ,0086,331,44,0,20,5,95,8,33,2,18
18,Capital,001,0009 ,0087,330,0,0,27,0,91,8,46,5,11
18,Capital,001,0009 ,0088,332,37,1,34,8,100,13,32,3,12
18,Capital,001,0009 ,0089,330,0,0,26,7,107,6,46,5,6
18,Capital,001,0009 ,0090,330,39,0,34,2,102,9,53,4,14
18,Capital,001,0009 ,0091,330,37,1,19,7,113,6,42,5,10
18,Capital,001,0009 ,0092,330,36,2,32,4,89,8,39,7,12
18,Capital,001,0009 ,0093,330,0,0,29,0,102,14,39,2,10
18,Capital,001,0009 ,0094,329,93,1,24,6,103,10,0,2,10
18,Capital,001,0009 ,0095,329,0,0,1,1,52,11,34,4,17
18,Capital,001,0009 ,0096,331,46,1,25,7,87,10,40,3,16
18,Capital,001,0009 ,0097,328,0,0,0,7,101,11,0,0,15
18,Capital,001,0010 ,0098,335,35,0,35,5,111,16,31,4,8
18,Capital,001,0010 ,0099,336,42,0,25,2,108,7,38,7,18
18,Capital,001,0010 ,0100,334,0,0,32,5,102,5,40,5,12
18,Capital,001,0010 ,0101,337,26,6,22,4,107,21,42,9,16
18,Capital,001,0010 ,0102,336,36,0,42,4,113,9,32,3,16
18,Capital,001,0010 ,0103,335,0,0,0,0,0,0,0,0,0
18,Capital,001,0010 ,0104,335,38,1,42,7,89,10,37,5,14
18,Capital,001,0010 ,0105,335,32,0,18,8,118,15,38,6,12
18,Capital,001,0011 ,0106,320,0,0,18,4,142,5,20,0,6
18,Capital,001,0011 ,0107,320,0,0,22,1,133,2,1,2,7
18,Capital,001,0011 ,0108,322,28,0,22,3,136,5,30,0,10
18,Capital,001,0011 ,0109,322,0,0,26,3,145,4,38,4,4
18,Capital,001,0011 ,0110,320,39,3,19,4,116,1,32,7,7
18,Capital,001,0011 ,0111,322,0,0,18,3,134,4,38,2,9
18,Capital,001,0011 ,0112,322,0,0,18,8,136,6,28,3,5
18,Capital,001,0011 ,0113,320,0,0,16,7,108,6,48,7,10
18,Capital,001,0011 ,0114,320,0,0,13,8,139,7,26,1,8
18,Capital,001,0012 ,0115,332,0,0,13,5,139,2,26,0,9
18,Capital,001,0012 ,0116,332,3,1,20,4,121,9,44,4,8
18,Capital,001,0012 ,0117,332,25,1,20,3,130,4,41,3,4
18,Capital,001,0012 ,0118,332,48,2,12,0,130,3,26,7,4
18,Capital,001,0012 ,0119,331,49,4,18,6,110,12,27,5,10
18,Capital,001,0012 ,0120,333,25,3,19,2,148,7,23,2,5
18,Capital,001,0012 ,0121,331,0,0,17,0,254,10,33,1,6
18,Capital,001,0012 ,0122,332,0,0,24,6,126,4,37,4,7
18,Capital,001,0012 ,0123,332,2,0,22,4,142,5,28,2,4
18,Capital,001,0012 ,0124,331,49,0,19,0,127,7,36,3,6
18,Capital,001,0012 ,0125,332,0,0,23,4,139,2,38,2,7
18,Capital,001,0012 ,0126,331,26,8,24,4,0,0,0,0,12
18,Capital,001,0012 ,0127,330,39,3,23,3,130,2,36,6,13
18,Capital,001,0013 ,0128,293,31,3,29,11,119,4,21,1,7
18,Capital,001,0013 ,0129,292,24,5,21,5,122,6,25,5,6
18,Capital,001,0013 ,0130,293,0,0,21,5,112,7,35,0,14
18,Capital,001,0013 ,0131,293,14,2,20,7,124,5,34,5,11
18,Capital,001,0013 ,0132,291,35,1,15,3,112,5,29,3,7
18,Capital,001,0014 ,0133,343,0,0,18,6,133,9,42,6,12
18,Capital,001,0014 ,0134,344,0,0,25,4,0,6,45,6,9
18,Capital,001,0014 ,0135,343,0,1,22,9,132,5,40,5,20
18,Capital,001,0014 ,0136,345,0,0,24,4,122,6,38,5,16
18,Capital,001,0014 ,0137,343,32,4,27,8,134,9,31,5,14
18,Capital,001,0014 ,0138,343,0,0,34,3,120,2,31,0,15
18,Capital,001,0014 ,0139,344,4,5,18,2,136,10,37,3,14
18,Capital,001,0014 ,0140,344,0,0,21,5,136,20,33,7,14
18,Capital,001,0014 ,0141,344,0,0,20,6,118,19,48,1,17
18,Capital,001,0014 ,0142,344,25,3,25,8,123,7,45,3,17
18,Capital,001,0014 ,0143,343,40,9,21,4,111,13,41,5,21
18,Capital,001,0015 ,0144,334,48,1,22,5,109,8,28,6,17
18,Capital,001,0015 ,0145,333,28,4,27,7,117,10,34,3,16
18,Capital,001,0015 ,0146,333,0,0,22,4,110,16,40,3,21
18,Capital,001,0015 ,0147,332,38,3,18,3,139,12,28,5,15
18,Capital,001,0015 ,0148,332,24,11,24,5,95,19,43,5,19
18,Capital,001,0015 ,0149,334,52,0,28,0,120,9,17,3,15
18,Capital,001,0015 ,0150,331,35,1,18,8,116,10,30,2,26
18,Capital,001,0015 ,0151,333,23,3,25,4,142,12,26,7,19
18,Capital,001,0016 ,0152,317,46,0,27,4,82,17,32,4,26
18,Capital,001,0016 ,0153,316,69,1,14,4,99,10,31,3,18
18,Capital,001,0016 ,0154,317,32,1,26,3,86,13,36,0,26
18,Capital,001,0016 ,0155,317,2,2,21,0,101,20,42,1,39
18,Capital,001,0016 ,0156,317,46,1,29,0,81,12,42,3,21
18,Capital,001,0016 ,0157,318,41,2,18,5,98,11,33,1,26
18,Capital,001,0016 ,0158,316,0,1,25,2,80,13,38,8,27
18,Capital,001,0017 ,0159,336,36,3,25,5,131,8,47,3,13
18,Capital,001,0017 ,0160,338,33,1,25,3,133,9,33,6,9
18,Capital,001,0017 ,0161,337,33,3,19,3,131,16,48,0,11
18,Capital,001,0017 ,0162,335,0,0,21,4,119,13,49,0,23
18,Capital,001,0017 ,0163,335,0,7,28,6,113,12,36,0,8
18,Capital,001,0017 ,0164,337,35,0,29,3,132,9,32,5,10
18,Capital,001,0017 ,0165,335,24,0,20,10,131,11,47,4,7
18,Capital,001,0017 ,0166,335,0,0,33,5,122,12,41,1,7
18,Capital,001,0017 ,0167,337,40,4,23,4,117,13,0,5,20
18,Capital,001,0017 ,0168,334,31,2,23,9,132,12,28,6,16
18,Capital,001,0018 ,0169,291,25,10,25,5,84,9,28,5,23
18,Capital,001,0018 ,0170,290,31,2,35,4,82,13,28,5,13
18,Capital,001,0018 ,0171,288,31,4,32,2,81,11,25,2,20
18,Capital,001,0019 ,0172,328,6,1,38,0,77,19,34,4,20
18,Capital,001,0019 ,0173,329,38,1,25,6,91,15,29,6,15
18,Capital,001,0019 ,0174,328,1,12,34,3,94,14,32,3,19
18,Capital,001,0019 ,0175,328,41,4,47,9,78,15,22,4,22
18,Capital,001,0019 ,0176,327,30,0,32,8,104,16,36,3,11
18,Capital,001,0019 ,0177,327,34,4,29,6,82,15,32,4,29
18,Capital,001,0019 ,0178,327,44,4,31,0,101,18,21,2,17
18,Capital,001,0019 ,0179,327,39,4,21,6,104,13,42,8,14
18,Capital,001,0019 ,0180,326,28,4,34,3,83,13,39,5,30
18,Capital,001,0020 ,0181,308,30,2,33,0,94,8,36,0,19
18,Capital,001,0020 ,0182,307,32,2,30,2,80,21,43,2,19
18,Capital,001,0020 ,0183,308,46,2,33,1,74,12,28,3,19
18,Capital,001,0020 ,0184,307,28,0,25,6,97,11,49,4,14
18,Capital,001,0020 ,0185,306,34,1,27,3,95,11,49,3,18
18,Capital,001,0020 ,0186,306,25,0,23,2,95,22,39,3,17
18,Capital,001,0020 ,0187,307,48,3,37,1,72,19,30,2,19
18,Capital,001,0021 ,0188,306,0,0,22,6,110,11,31,2,7
18,Capital,001,0021 ,0189,307,42,3,27,3,94,9,29,3,20
18,Capital,001,0021 ,0190,307,36,4,19,6,86,16,45,5,15
18,Capital,001,0021 ,0191,309,32,5,23,0,99,9,48,0,13
18,Capital,001,0021 ,0192,306,0,0,17,3,113,12,33,2,5
18,Capital,001,0021 ,0193,307,35,1,26,7,84,11,32,1,13
18,Capital,001,0021 ,0194,307,0,3,15,5,86,16,32,6,13
18,Capital,001,0022 ,0195,344,0,0,33,2,109,22,41,8,19
18,Capital,001,0022 ,0196,343,37,0,27,7,97,19,49,3,17
18,Capital,001,0022 ,0197,343,31,0,24,6,107,15,44,2,24
18,Capital,001,0022 ,0198,344,42,0,31,7,108,20,45,2,21
18,Capital,001,0022 ,0199,345,48,0,29,2,107,21,44,5,17
18,Capital,001,0022 ,0200,342,63,3,27,5,88,12,33,3,24
18,Capital,001,0022 ,0201,344,46,3,29,3,101,14,53,6,30
18,Capital,001,0022 ,0202,342,0,0,22,5,120,7,47,3,10
18,Capital,001,0022 ,0203,342,34,1,32,4,92,18,48,6,21
18,Capital,001,0022 ,0204,343,48,7,31,4,97,21,36,1,15
18,Capital,001,0022 ,0205,345,43,3,36,6,84,23,54,2,19
18,Capital,001,0022 ,0206,342,47,6,53,6,101,14,53,3,19
18,Capital,001,0023 ,0207,328,0,1,22,5,106,8,29,1,15
18,Capital,001,0023 ,0208,328,0,10,33,3,97,13,42,2,16
18,Capital,001,0023 ,0209,327,3,4,32,7,111,7,37,4,5
18,Capital,001,0023 ,0210,329,38,1,24,9,111,11,35,4,13
18,Capital,001,0023 ,0211,327,0,0,19,8,99,12,33,4,20
18,Capital,001,0024 ,0212,350,0,0,24,8,142,9,37,8,5
18,Capital,001,0024 ,0213,350,4,4,21,9,158,2,31,2,0
18,Capital,001,0024 ,0214,350,30,8,18,3,149,3,38,4,7
18,Capital,001,0024 ,0215,349,24,3,28,3,169,3,25,2,7
18,Capital,001,0024 ,0216,350,43,4,15,4,139,6,38,7,8
18,Capital,001,0024 ,0217,351,0,0,22,3,160,4,40,1,4
