codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0061,0168,0172,0182,0186,0512,0522,0556,0564
18,Capital,001,0001 ,0001,338,9,0,5,1,0,14,4,11,153,9,38
18,Capital,001,0001 ,0002,338,6,11,1,1,0,8,4,9,150,10,38
18,Capital,001,0001 ,0003,338,7,5,3,2,1,20,5,10,125,5,47
18,Capital,001,0001 ,0004,338,3,6,4,1,0,18,2,12,147,9,38
18,Capital,001,0001 ,0005,338,6,5,2,3,0,7,3,6,154,8,29
18,Capital,001,0001 ,0006,338,10,7,1,1,0,13,3,9,153,9,33
18,Capital,001,0001 ,0007,341,6,3,1,1,1,8,2,3,174,11,36
18,Capital,001,0001 ,0008,338,9,8,1,3,1,16,0,12,158,6,38
18,Capital,001,0001 ,0009,338,2,1,3,1,0,13,2,10,160,5,31
18,Capital,001,0001 ,0010,337,7,7,2,2,1,10,3,7,157,12,44
18,Capital,001,0001 ,0011,337,5,11,0,3,1,13,4,11,141,10,40
18,Capital,001,0001 ,0012,338,3,4,0,2,0,11,6,14,146,11,38
18,Capital,001,0001 ,0013,337,11,4,4,2,1,10,5,12,146,8,24
18,Capital,001,0001 ,0014,340,4,6,3,3,2,10,1,12,153,5,48
18,Capital,001,0002 ,0015,311,3,8,2,2,1,10,6,7,142,6,40
18,Capital,001,0002 ,0016,311,6,3,1,2,1,17,3,5,130,10,40
18,Capital,001,0002 ,0017,309,5,6,2,3,0,15,4,10,129,5,38
18,Capital,001,0002 ,0018,311,2,2,1,1,2,6,2,9,143,6,33
18,Capital,001,0002 ,0019,309,6,10,0,2,4,8,3,10,123,5,41
18,Capital,001,0002 ,0020,309,4,4,1,1,2,14,7,12,135,5,28
18,Capital,001,0002 ,0021,312,3,8,1,3,0,21,7,8,141,10,32
18,Capital,001,0003 ,0022,339,3,7,7,1,1,13,3,8,147,11,41
18,Capital,001,0003 ,0023,339,1,6,3,1,1,11,1,11,149,8,49
18,Capital,001,0003 ,0024,339,4,4,3,1,2,11,3,10,157,10,46
