codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0037,0047,0131,0132,0133,0134
18,Capital,001,0001 ,0001,343,40,1,NA,NA,87,12,47,NA
18,Capital,001,0001 ,0002,343,28,1,NA,NA,65,12,54,NA
18,Capital,001,0001 ,0003,343,37,3,NA,NA,68,8,60,NA
18,Capital,001,0001 ,0004,343,0,0,NA,NA,67,15,48,NA
18,Capital,001,0001 ,0005,342,34,2,NA,NA,68,12,55,NA
18,Capital,001,0001 ,0006,342,36,0,NA,NA,71,10,59,NA
18,Capital,001,0001 ,0007,342,21,2,NA,NA,61,11,63,NA
18,Capital,001,0001 ,0008,342,40,1,NA,NA,84,17,39,NA
18,Capital,001,0001 ,0009,342,33,0,NA,NA,73,18,56,NA
18,Capital,001,0001 ,0010,342,39,0,NA,NA,76,19,41,NA
18,Capital,001,0001 ,0011,342,40,0,NA,NA,72,6,50,NA
18,Capital,001,0001 ,0012,342,31,1,NA,NA,87,15,46,NA
18,Capital,001,0001 ,0013,342,36,3,NA,NA,66,16,63,NA
18,Capital,001,0001 ,0014,342,35,1,NA,NA,55,19,34,NA
18,Capital,001,0001 ,0015,342,37,3,NA,NA,61,16,53,NA
18,Capital,001,0001 ,0016,342,37,3,NA,NA,70,12,53,NA
18,Capital,001,0002 ,0017,343,38,2,NA,NA,79,11,50,NA
18,Capital,001,0002 ,0018,343,31,3,NA,NA,82,5,60,NA
18,Capital,001,0002 ,0019,343,33,8,NA,NA,88,18,50,NA
18,Capital,001,0002 ,0020,343,34,3,NA,NA,77,17,54,NA
18,Capital,001,0002 ,0021,343,36,4,NA,NA,62,22,42,NA
18,Capital,001,0002 ,0022,343,31,1,NA,NA,84,8,44,NA
18,Capital,001,0002 ,0023,342,30,1,NA,NA,65,15,57,NA
18,Capital,001,0002 ,0024,342,25,3,NA,NA,76,19,46,NA
18,Capital,001,0003 ,0025,321,28,2,NA,NA,67,15,37,NA
18,Capital,001,0003 ,0026,321,37,4,NA,NA,69,13,47,NA
18,Capital,001,0003 ,0027,321,29,1,NA,NA,82,12,49,NA
18,Capital,001,0003 ,0028,321,34,1,NA,NA,58,15,59,NA
18,Capital,001,0003 ,0029,321,29,2,NA,NA,65,9,48,NA
18,Capital,001,0003 ,0030,321,30,2,NA,NA,79,15,45,NA
18,Capital,001,0003 ,0031,321,40,4,NA,NA,66,9,48,NA
