codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0061,0168,0182,0186,0512,0522,0556,0564
18,Capital,001,0001 ,0001,338,4,4,5,1,18,4,11,154,9,34
18,Capital,001,0001 ,0002,338,4,11,1,1,3,4,8,151,11,39
18,Capital,001,0001 ,0003,338,5,5,4,0,0,5,10,123,7,47
18,Capital,001,0001 ,0004,338,4,6,4,2,15,2,12,149,9,37
18,Capital,001,0001 ,0005,338,4,7,2,3,6,3,4,155,9,32
18,Capital,001,0001 ,0006,338,6,8,1,0,15,3,6,158,10,32
18,Capital,001,0001 ,0007,341,7,3,1,1,13,2,2,170,13,34
18,Capital,001,0001 ,0008,338,6,8,1,3,18,0,9,160,5,42
18,Capital,001,0001 ,0009,338,2,1,3,1,13,2,7,164,5,32
18,Capital,001,0001 ,0010,337,2,7,1,3,11,3,8,155,12,43
18,Capital,001,0001 ,0011,337,6,11,0,3,16,4,8,137,11,43
18,Capital,001,0001 ,0012,338,3,4,0,2,9,6,14,150,11,38
18,Capital,001,0001 ,0013,337,6,4,4,2,13,5,9,149,9,26
18,Capital,001,0001 ,0014,340,9,5,4,4,10,0,10,152,5,48
18,Capital,001,0002 ,0015,311,2,8,2,2,10,6,7,142,6,42
18,Capital,001,0002 ,0016,311,5,3,1,3,18,3,6,128,12,39
18,Capital,001,0002 ,0017,309,3,6,2,3,15,4,10,132,5,37
18,Capital,001,0002 ,0018,311,6,2,1,1,9,2,7,140,6,32
18,Capital,001,0002 ,0019,309,7,10,0,2,9,3,8,127,6,40
18,Capital,001,0002 ,0020,309,6,4,1,1,14,7,12,136,5,27
18,Capital,001,0002 ,0021,312,4,8,1,3,23,7,8,135,12,33
18,Capital,001,0003 ,0022,339,3,6,7,1,10,3,7,146,12,44
18,Capital,001,0003 ,0023,339,1,6,3,1,12,1,5,157,8,49
18,Capital,001,0003 ,0024,339,5,4,3,2,13,2,7,159,10,46
18,Capital,001,0003 ,0025,339,6,8,4,2,12,5,11,138,8,42
18,Capital,001,0003 ,0026,339,4,4,3,5,13,1,15,143,5,37
18,Capital,001,0003 ,0027,338,9,3,2,3,17,2,14,160,7,38
18,Capital,001,0003 ,0028,340,4,1,4,4,14,2,12,145,8,49
18,Capital,001,0004 ,0029,303,8,4,6,3,9,6,11,113,17,51
18,Capital,001,0004 ,0030,303,7,9,3,1,15,7,11,104,7,64
18,Capital,001,0004 ,0031,303,7,4,2,2,8,7,7,132,6,51
18,Capital,001,0004 ,0032,303,0,0,0,0,0,0,0,0,0,0
18,Capital,001,0004 ,0033,303,1,6,4,6,13,7,9,110,13,64
18,Capital,001,0004 ,0034,305,2,6,4,2,6,6,10,113,10,57
18,Capital,001,0005 ,0035,343,8,3,4,3,16,5,16,131,9,67
18,Capital,001,0005 ,0036,342,6,4,2,2,13,5,19,120,7,92
18,Capital,001,0005 ,0037,343,2,6,1,2,14,2,11,125,3,91
18,Capital,001,0005 ,0038,342,2,11,4,1,12,7,14,132,5,72
18,Capital,001,0005 ,0039,342,1,7,6,3,8,8,12,130,8,69
18,Capital,001,0005 ,0040,342,10,13,1,5,10,6,15,123,9,71
18,Capital,001,0005 ,0041,342,8,15,1,1,16,1,12,121,11,73
18,Capital,001,0005 ,0042,344,5,11,2,10,10,5,8,118,13,70
18,Capital,001,0006 ,0043,330,13,0,10,8,10,3,12,88,1,119
18,Capital,001,0006 ,0044,330,0,0,0,0,0,0,0,0,0,0
18,Capital,001,0006 ,0045,330,8,3,7,5,1,7,16,94,5,112
18,Capital,001,0006 ,0046,330,2,4,1,4,7,4,10,109,6,104
18,Capital,001,0006 ,0047,329,5,8,3,5,9,3,15,67,5,124
18,Capital,001,0006 ,0048,329,12,14,6,6,6,5,19,85,5,103
18,Capital,001,0006 ,0049,329,5,5,2,4,10,8,14,98,5,106
18,Capital,001,0006 ,0050,329,2,9,4,5,3,5,18,90,6,129
18,Capital,001,0006 ,0051,329,7,8,2,5,5,10,20,83,8,111
18,Capital,001,0006 ,0052,332,3,13,5,3,9,4,18,74,5,121
18,Capital,001,0007 ,0053,347,7,3,2,5,4,4,16,49,4,176
18,Capital,001,0007 ,0054,348,0,0,0,0,0,0,0,0,0,0
18,Capital,001,0007 ,0055,347,2,10,2,3,6,4,15,57,8,159
18,Capital,001,0007 ,0056,347,6,2,2,8,3,0,9,55,5,177
18,Capital,001,0007 ,0057,346,11,4,6,5,6,9,11,45,5,170
18,Capital,001,0007 ,0058,346,9,3,3,5,6,5,5,61,9,155
18,Capital,001,0007 ,0059,346,19,6,3,9,4,1,13,46,3,149
18,Capital,001,0007 ,0060,347,3,5,2,8,7,7,16,67,3,140
18,Capital,001,0007 ,0061,347,2,7,3,7,8,1,19,72,4,137
18,Capital,001,0007 ,0062,347,5,6,4,6,9,7,9,49,3,171
18,Capital,001,0007 ,0063,346,22,0,10,8,4,3,19,60,7,135
18,Capital,001,0007 ,0064,349,8,7,2,6,3,3,11,71,3,153
18,Capital,001,0008 ,0065,343,2,7,3,3,8,6,14,99,3,103
18,Capital,001,0008 ,0066,343,7,13,5,2,8,7,13,104,5,109
18,Capital,001,0008 ,0067,343,3,3,5,8,3,4,21,100,12,97
18,Capital,001,0008 ,0068,343,0,6,3,7,4,11,18,89,3,114
18,Capital,001,0008 ,0069,343,4,19,5,2,6,8,17,93,7,99
18,Capital,001,0008 ,0070,342,7,6,2,4,7,3,19,101,16,103
18,Capital,001,0008 ,0071,342,6,9,2,7,4,7,11,107,5,97
18,Capital,001,0008 ,0072,342,10,4,7,3,6,6,7,115,6,120
18,Capital,001,0008 ,0073,342,9,4,4,4,12,4,6,111,7,103
18,Capital,001,0008 ,0074,344,6,11,6,3,6,5,18,91,4,120
18,Capital,001,0009 ,0075,337,14,7,6,6,8,2,13,100,8,85
18,Capital,001,0009 ,0076,336,1,11,9,3,7,2,12,125,10,58
18,Capital,001,0009 ,0077,336,0,6,3,3,13,7,10,116,3,71
18,Capital,001,0009 ,0078,336,2,7,7,4,9,5,9,115,6,74
18,Capital,001,0009 ,0079,337,11,3,6,3,5,6,12,146,4,54
18,Capital,001,0009 ,0080,336,7,3,0,1,11,5,6,135,15,76
18,Capital,001,0009 ,0081,340,6,4,1,6,6,6,9,133,5,71
18,Capital,001,0009 ,0082,336,12,4,4,5,9,2,11,105,10,59
18,Capital,001,0009 ,0083,337,8,6,3,5,5,8,11,117,6,86
18,Capital,001,0009 ,0084,336,6,10,2,2,9,2,16,113,11,75
18,Capital,001,0009 ,0085,336,10,5,4,4,10,3,10,125,4,73
18,Capital,001,0009 ,0086,336,3,10,2,7,12,6,13,125,9,69
18,Capital,001,0009 ,0087,337,9,7,2,0,9,3,9,132,13,65
18,Capital,001,0009 ,0088,338,10,9,2,5,7,7,15,118,15,73
18,Capital,001,0010 ,0089,327,17,10,2,4,6,5,10,108,7,94
18,Capital,001,0010 ,0090,328,6,5,4,0,16,7,11,124,10,59
18,Capital,001,0010 ,0091,328,4,4,1,7,18,4,8,113,9,74
18,Capital,001,0010 ,0092,327,0,0,0,0,0,0,0,0,0,0
18,Capital,001,0010 ,0093,327,6,6,5,2,12,5,9,116,5,77
18,Capital,001,0010 ,0094,327,0,0,0,0,0,0,0,0,0,0
18,Capital,001,0010 ,0095,330,12,3,2,2,5,5,15,117,15,66
18,Capital,001,0011 ,0096,321,4,6,0,3,9,5,9,74,7,126
18,Capital,001,0011 ,0097,321,6,4,4,2,4,5,14,93,6,109
18,Capital,001,0011 ,0098,321,2,2,4,4,6,4,13,104,10,87
18,Capital,001,0011 ,0099,321,4,8,10,5,7,3,10,94,10,101
18,Capital,001,0011 ,0100,321,7,9,3,4,13,3,16,84,13,91
18,Capital,001,0011 ,0101,321,5,2,11,5,8,11,7,93,9,97
18,Capital,001,0011 ,0102,321,8,11,10,2,5,3,8,93,10,87
18,Capital,001,0011 ,0103,323,7,5,7,5,9,6,7,79,6,114
18,Capital,001,0012 ,0104,343,3,7,8,13,4,5,14,82,8,109
18,Capital,001,0012 ,0105,344,7,9,4,6,5,6,17,93,10,114
18,Capital,001,0012 ,0106,343,3,7,4,3,5,4,12,91,7,112
18,Capital,001,0012 ,0107,343,4,8,2,4,4,3,6,88,13,110
18,Capital,001,0012 ,0108,343,15,0,5,5,1,8,14,72,8,110
18,Capital,001,0012 ,0109,343,6,2,1,7,10,5,19,73,7,131
18,Capital,001,0012 ,0110,343,14,6,3,5,2,6,14,114,11,84
18,Capital,001,0012 ,0111,344,5,7,5,1,8,1,12,73,2,121
18,Capital,001,0012 ,0112,343,4,6,6,6,10,5,8,94,4,114
18,Capital,001,0012 ,0113,344,20,9,4,2,3,4,15,89,9,103
18,Capital,001,0012 ,0114,343,8,6,6,5,6,0,17,94,8,107
18,Capital,001,0012 ,0115,345,8,4,6,6,5,4,20,78,3,114
18,Capital,001,0013 ,0116,328,5,10,9,0,1,13,11,107,4,98
18,Capital,001,0013 ,0117,328,10,5,6,3,15,6,14,77,3,126
18,Capital,001,0013 ,0118,329,6,8,1,5,7,3,7,106,8,109
18,Capital,001,0013 ,0119,328,3,9,6,3,9,3,11,97,5,120
18,Capital,001,0013 ,0120,331,8,3,4,7,9,3,11,108,2,98
18,Capital,001,0014 ,0121,328,3,7,6,5,6,2,17,109,8,91
18,Capital,001,0014 ,0122,328,0,0,2,2,5,4,14,135,8,74
18,Capital,001,0014 ,0123,328,7,5,8,9,4,8,12,107,14,91
18,Capital,001,0014 ,0124,328,3,12,6,4,8,5,18,111,13,78
18,Capital,001,0014 ,0125,327,10,8,3,5,4,4,7,115,9,87
18,Capital,001,0014 ,0126,329,4,9,11,5,7,11,19,110,15,69
18,Capital,001,0014 ,0127,329,2,4,4,0,0,8,15,112,14,83
18,Capital,001,0014 ,0128,328,11,12,3,4,6,4,16,118,4,70
18,Capital,001,0014 ,0129,328,7,9,3,5,8,3,16,104,7,88
18,Capital,001,0014 ,0130,326,4,5,5,7,7,10,17,101,13,88
18,Capital,001,0014 ,0131,328,7,7,3,2,7,7,11,134,4,78
18,Capital,001,0014 ,0132,328,5,6,8,2,10,5,11,138,10,63
18,Capital,001,0014 ,0133,328,8,7,4,7,10,3,12,124,5,74
18,Capital,001,0014 ,0134,328,8,5,1,4,6,4,13,117,11,81
18,Capital,001,0015 ,0135,314,4,2,4,6,8,2,12,116,10,80
18,Capital,001,0015 ,0136,313,4,11,3,4,11,2,10,104,11,91
18,Capital,001,0015 ,0137,314,4,1,1,7,3,5,6,105,9,89
18,Capital,001,0015 ,0138,314,11,0,2,11,4,4,20,94,18,85
18,Capital,001,0015 ,0139,312,1,11,5,8,9,1,8,116,14,68
18,Capital,001,0015 ,0140,312,3,12,3,6,12,2,10,96,8,84
18,Capital,001,0015 ,0141,312,4,3,2,2,5,2,7,97,20,90
18,Capital,001,0015 ,0142,315,5,6,3,1,4,3,15,92,7,102
18,Capital,001,0016 ,0143,328,6,9,2,1,9,6,12,143,7,49
18,Capital,001,0016 ,0144,327,5,9,2,1,7,3,12,130,13,54
18,Capital,001,0016 ,0145,327,10,2,3,8,17,8,7,146,14,48
18,Capital,001,0016 ,0146,327,5,1,2,1,10,6,15,126,14,71
18,Capital,001,0016 ,0147,328,7,5,3,6,8,11,8,129,12,52
18,Capital,001,0016 ,0148,329,7,15,5,3,9,6,11,124,13,55
18,Capital,001,0017 ,0149,335,4,8,9,3,8,2,18,115,10,85
18,Capital,001,0017 ,0150,335,4,4,2,1,12,4,13,117,10,87
18,Capital,001,0017 ,0151,335,4,17,7,4,9,5,8,113,8,95
18,Capital,001,0017 ,0152,334,7,6,5,1,12,5,16,135,14,71
18,Capital,001,0017 ,0153,334,7,10,4,0,12,8,17,124,6,83
