codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0150,0501,0504,0514
19,Pueyrredon,001,0002 ,0391,351,5,0,7,37,160,68
19,Pueyrredon,001,0002 ,0392,350,29,5,7,35,128,61
19,Pueyrredon,001,0002 ,0393,350,30,4,9,38,102,108
19,Pueyrredon,001,0002 ,0394,351,35,4,11,48,112,91
19,Pueyrredon,001,0002 ,0395,351,28,3,12,39,126,67
19,Pueyrredon,001,0002 ,0396,353,27,8,8,43,132,79
19,Pueyrredon,001,0002 ,0397,349,26,3,11,39,108,85
19,Pueyrredon,001,0002 ,0398,349,27,1,9,51,137,70
19,Pueyrredon,001,0002 ,0399,353,33,4,8,25,133,91
19,Pueyrredon,001,0002 ,0400,350,0,0,15,38,133,62
19,Pueyrredon,001,0002 ,0401,351,35,3,15,43,114,79
19,Pueyrredon,001,0002 ,0402,351,21,3,7,49,135,80
19,Pueyrredon,001,0002 ,0403,350,26,3,15,48,126,66
19,Pueyrredon,001,0002 ,0404,354,21,5,10,41,136,70
19,Pueyrredon,001,0002 ,0405,352,30,2,13,41,145,66
19,Pueyrredon,001,0002 ,0406,348,31,4,19,39,108,76
19,Pueyrredon,001,0002 ,0407,352,25,5,19,36,129,71
19,Pueyrredon,001,0002 ,0408,352,37,5,7,45,131,64
19,Pueyrredon,001,0002 ,0409,353,29,7,8,46,124,78
19,Pueyrredon,001,0002 ,0410,350,29,5,10,28,119,84
19,Pueyrredon,001,0002 ,0411,350,32,4,11,45,110,83
19,Pueyrredon,001,0002 ,0412,350,2,3,14,49,116,78
19,Pueyrredon,001,0002 ,0413,352,32,7,5,50,119,69
19,Pueyrredon,001,0002 ,0414,350,25,5,18,45,111,34
19,Pueyrredon,001,0002 ,0415,352,31,3,14,55,109,85
19,Pueyrredon,001,0002 ,0416,353,46,6,19,41,126,59
19,Pueyrredon,001,0002 ,0417,351,31,2,11,41,121,69
19,Pueyrredon,001,0002 ,0418,238,2,8,8,15,73,35
19,Pueyrredon,001,0003 ,0419,351,28,5,11,37,160,53
19,Pueyrredon,001,0003 ,0420,349,19,13,14,52,160,33
19,Pueyrredon,001,0003 ,0421,350,16,14,12,38,150,51
19,Pueyrredon,001,0003 ,0422,350,21,8,18,41,161,40
19,Pueyrredon,001,0003 ,0423,349,19,3,16,46,147,43
19,Pueyrredon,001,0003 ,0424,351,22,15,17,32,150,41
19,Pueyrredon,001,0003 ,0425,351,24,8,16,44,162,49
19,Pueyrredon,001,0003 ,0426,350,10,11,11,50,149,54
19,Pueyrredon,001,0003 ,0427,350,21,16,16,55,142,44
19,Pueyrredon,001,0003 ,0428,348,9,7,11,43,174,44
19,Pueyrredon,001,0003 ,0429,348,25,9,11,40,145,56
19,Pueyrredon,001,0003 ,0430,351,23,11,18,50,147,44
19,Pueyrredon,001,0003 ,0431,351,17,11,14,39,160,44
19,Pueyrredon,001,0003 ,0432,351,18,11,14,43,153,47
19,Pueyrredon,001,0003 ,0433,349,23,0,17,42,167,42
19,Pueyrredon,001,0003 ,0434,351,15,14,15,47,147,45
19,Pueyrredon,001,0003 ,0435,349,25,0,19,48,144,47
19,Pueyrredon,001,0003 ,0436,350,22,2,17,46,149,52
19,Pueyrredon,001,0003 ,0437,351,38,0,15,45,150,32
19,Pueyrredon,001,0003 ,0438,351,15,9,12,38,169,46
19,Pueyrredon,001,0003 ,0439,353,13,7,18,42,162,53
19,Pueyrredon,001,0003 ,0440,352,21,12,10,38,164,47
19,Pueyrredon,001,0003 ,0441,352,14,11,14,51,157,47
