codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0070,0516,0565
19,Pueyrredon,001,0002 ,0428,349,18,4,4,135,126
19,Pueyrredon,001,0002 ,0429,349,19,4,5,138,129
19,Pueyrredon,001,0002 ,0430,349,0,0,0,0,0
19,Pueyrredon,001,0002 ,0431,349,27,0,9,128,111
19,Pueyrredon,001,0002 ,0432,349,39,3,12,140,93
19,Pueyrredon,001,0002 ,0433,349,22,2,5,139,125
19,Pueyrredon,001,0002 ,0434,349,23,5,8,149,110
19,Pueyrredon,001,0002 ,0435,349,17,9,12,148,103
19,Pueyrredon,001,0002 ,0436,349,24,1,10,159,88
19,Pueyrredon,001,0002 ,0437,349,22,4,7,128,131
19,Pueyrredon,001,0002 ,0438,349,33,1,10,129,131
19,Pueyrredon,001,0002 ,0439,350,30,1,7,145,119
19,Pueyrredon,001,0002 ,0440,349,34,9,8,129,110
19,Pueyrredon,001,0002 ,0441,349,34,0,7,123,127
19,Pueyrredon,001,0002 ,0442,349,38,4,8,103,144
19,Pueyrredon,001,0002 ,0443,349,27,4,9,128,119
19,Pueyrredon,001,0002 ,0444,349,24,1,11,135,124
19,Pueyrredon,001,0002 ,0445,349,29,3,7,131,113
19,Pueyrredon,001,0002 ,0446,349,24,2,6,131,137
19,Pueyrredon,001,0002 ,0447,349,30,2,14,116,115
19,Pueyrredon,001,0002 ,0448,349,32,1,23,138,96
19,Pueyrredon,001,0002 ,0449,349,31,2,7,135,116
19,Pueyrredon,001,0002 ,0450,349,30,0,11,139,96
19,Pueyrredon,001,0002 ,0451,348,37,2,6,111,141
19,Pueyrredon,001,0002 ,0452,348,25,4,5,137,130
19,Pueyrredon,001,0002 ,0453,348,0,0,0,0,0
19,Pueyrredon,001,0002 ,0454,348,30,2,3,130,134
19,Pueyrredon,001,0002 ,0455,348,24,0,10,130,122
19,Pueyrredon,001,0002 ,0456,348,39,7,9,149,89
19,Pueyrredon,001,0002 ,0457,348,25,2,15,144,101
