codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00036,00037,00047,00050
19,001,Pueyrredón,04374,081956,0,0,10,4,99,21,148
19,001,Pueyrredón,04374,081957,0,0,26,16,82,23,145
19,001,Pueyrredón,04374,081958,0,0,23,7,78,16,161
19,001,Pueyrredón,04374,081959,0,0,12,14,76,19,153
19,001,Pueyrredón,04374,081960,0,0,13,8,81,21,152
19,001,Pueyrredón,04374,081961,0,0,20,11,87,17,149
19,001,Pueyrredón,04374,081962,0,0,14,7,93,19,141
19,001,Pueyrredón,04374,081963,0,0,23,8,87,20,139
19,001,Pueyrredón,04374,081964,0,0,14,12,52,15,162
19,001,Pueyrredón,04374,081965,0,0,14,8,71,17,159
19,001,Pueyrredón,04374,081966,0,0,16,11,111,12,125
19,001,Pueyrredón,04374,081967,0,0,25,4,82,28,147
19,001,Pueyrredón,04374,081968,0,0,26,3,90,19,158
19,001,Pueyrredón,04374,081969,0,0,16,8,92,16,144
19,001,Pueyrredón,04374,081970,0,0,20,9,112,13,126
19,001,Pueyrredón,04374,081972,0,0,17,5,88,17,139
19,001,Pueyrredón,04374,081973,0,0,14,16,87,20,146
19,001,Pueyrredón,04374,081975,0,0,22,8,94,19,121
19,001,Pueyrredón,04374,081976,0,0,19,10,92,15,132
19,001,Pueyrredón,04374,081977,0,0,18,13,70,15,151
19,001,Pueyrredón,04374,081978,0,0,11,10,82,16,145
19,001,Pueyrredón,04374,081979,0,0,15,12,93,9,143
19,001,Pueyrredón,04374,081980,0,0,2,16,97,12,120
19,001,Pueyrredón,04374,081981,0,0,25,8,104,16,129
19,001,Pueyrredón,04374,081982,0,0,14,8,62,16,165
19,001,Pueyrredón,04374,081983,0,0,20,11,105,14,139
19,001,Pueyrredón,04374,081984,0,0,1,13,83,15,147
19,001,Pueyrredón,04374,081985,0,0,17,9,68,15,168
19,001,Pueyrredón,04374,081986,0,0,26,9,88,13,150
19,001,Pueyrredón,04374,081987,0,0,19,9,81,18,146
19,001,Pueyrredón,04374,081988,0,0,26,13,91,13,133
19,001,Pueyrredón,04374,081989,0,0,20,6,86,12,158
19,001,Pueyrredón,04374,081990,0,0,19,10,98,10,149
19,001,Pueyrredón,04374,081991,0,0,17,6,107,13,144
19,001,Pueyrredón,04374,081992,0,0,16,10,87,14,149
19,001,Pueyrredón,04374,101216,0,0,0,0,0,0,0
19,001,Pueyrredón,04374,101217,0,0,0,0,0,0,0
19,001,Pueyrredón,04375,081993,0,0,28,15,94,24,121
19,001,Pueyrredón,04375,081994,0,0,22,12,98,17,129
19,001,Pueyrredón,04375,081995,0,0,16,12,105,20,139
19,001,Pueyrredón,04375,081996,0,0,28,13,95,24,126
19,001,Pueyrredón,04375,081997,0,0,32,11,101,8,137
19,001,Pueyrredón,04375,081998,0,0,20,6,85,14,155
19,001,Pueyrredón,04375,081999,0,0,15,7,119,29,122
19,001,Pueyrredón,04375,082000,0,0,27,17,95,19,134
19,001,Pueyrredón,04375,082001,0,0,39,8,94,31,109
19,001,Pueyrredón,04375,082002,0,0,25,11,87,26,144
19,001,Pueyrredón,04375,082003,0,0,32,10,100,8,143
19,001,Pueyrredón,04375,082004,0,0,32,9,91,15,131
19,001,Pueyrredón,04375,082005,0,0,20,14,86,27,144
19,001,Pueyrredón,04375,082006,0,0,16,9,112,20,125
19,001,Pueyrredón,04375,082007,0,0,8,13,95,21,134
19,001,Pueyrredón,04375,082008,0,0,24,8,85,35,132
19,001,Pueyrredón,04375,082009,0,0,24,16,107,23,129
19,001,Pueyrredón,04375,082010,0,0,30,4,104,20,122
19,001,Pueyrredón,04375,082011,0,0,28,11,89,23,125
19,001,Pueyrredón,04375,082012,0,0,20,11,86,20,137
19,001,Pueyrredón,04375,082013,0,0,58,8,104,0,129
19,001,Pueyrredón,04375,082014,0,0,16,10,85,23,143
19,001,Pueyrredón,04375,082015,0,0,16,9,96,27,135
19,001,Pueyrredón,04375,082016,0,0,30,11,79,20,141
19,001,Pueyrredón,04375,082017,0,0,21,8,94,22,145
19,001,Pueyrredón,04375,082018,0,0,37,11,99,22,134
19,001,Pueyrredón,04375,082019,0,0,26,14,110,25,108
19,001,Pueyrredón,04375,082020,0,0,27,8,79,30,136
19,001,Pueyrredón,04375,082021,0,0,17,6,87,20,148
19,001,Pueyrredón,04375,082022,0,0,11,11,119,17,128
19,001,Pueyrredón,04375,082023,0,0,18,7,100,26,137
19,001,Pueyrredón,04375,082024,0,0,25,15,112,16,119
19,001,Pueyrredón,04375,082025,0,0,28,13,88,19,135
19,001,Pueyrredón,04375,082026,0,0,20,12,114,29,116
19,001,Pueyrredón,04375,082027,0,0,29,5,97,30,122
19,001,Pueyrredón,04375,082028,0,0,19,7,95,21,121
19,001,Pueyrredón,04375,082029,0,0,31,10,115,18,114
19,001,Pueyrredón,04375,082030,0,0,36,4,84,19,143
19,001,Pueyrredón,04375,101218,0,0,0,0,0,0,0
19,001,Pueyrredón,04376,082031,0,0,17,11,114,12,111
19,001,Pueyrredón,04376,082032,0,0,27,8,115,12,105
19,001,Pueyrredón,04376,082033,0,0,19,2,124,14,106
19,001,Pueyrredón,04376,082034,0,0,14,8,122,13,106
19,001,Pueyrredón,04376,082035,0,0,1,5,129,19,102
19,001,Pueyrredón,04376,082036,0,0,22,7,113,7,124
19,001,Pueyrredón,04376,101219,0,0,0,0,0,0,0
19,001,Pueyrredón,04378,082038,0,0,9,5,135,10,38
19,001,Pueyrredón,04378,082040,0,0,9,2,118,0,48
19,001,Pueyrredón,04378,082041,0,0,0,3,133,0,40
19,001,Pueyrredón,04380,082043,0,0,13,3,109,4,45
19,001,Pueyrredón,04380,082044,0,0,5,0,128,4,43
19,001,Pueyrredón,04381,082045,0,0,7,0,56,2,59
19,001,Pueyrredón,04382,082046,0,0,0,0,21,0,6
19,001,Pueyrredón,04383,082047,0,0,16,4,107,12,70
19,001,Pueyrredón,04383,082048,0,0,8,5,92,7,76
19,001,Pueyrredón,04384,082049,0,0,24,9,61,22,123
19,001,Pueyrredón,04384,082050,0,0,12,13,67,21,133
19,001,Pueyrredón,04384,082051,0,0,19,7,96,11,120
19,001,Pueyrredón,04384,082052,0,0,13,13,93,27,109
19,001,Pueyrredón,04384,082053,0,0,12,10,77,12,132
19,001,Pueyrredón,04384,082054,0,0,16,7,73,29,115
19,001,Pueyrredón,04384,082055,0,0,13,10,93,21,110
19,001,Pueyrredón,04384,082056,0,0,19,10,83,17,120
19,001,Pueyrredón,04385,082057,0,0,6,6,25,3,13
19,001,Pueyrredón,04386,082058,0,0,0,0,13,0,8
19,001,Pueyrredón,04387,082059,0,0,6,0,99,1,17
19,001,Pueyrredón,04387,082060,0,0,7,0,97,3,29
19,001,Pueyrredón,04388,082061,0,0,0,0,41,1,9
19,001,Pueyrredón,04389,082062,0,0,7,0,127,5,46
19,001,Pueyrredón,04390,082063,0,0,3,0,28,0,8
19,001,Pueyrredón,04391,082064,0,0,24,13,132,15,84
19,001,Pueyrredón,04391,082065,0,0,28,7,104,13,90
19,001,Pueyrredón,04391,082066,0,0,22,10,133,12,98
19,001,Pueyrredón,04391,082067,0,0,43,2,119,0,95
19,001,Pueyrredón,04391,082068,0,0,20,6,121,23,99
19,001,Pueyrredón,04391,082069,0,0,28,11,116,24,103
19,001,Pueyrredón,04391,082070,0,0,24,8,110,21,105
19,001,Pueyrredón,04391,082071,0,0,28,3,128,17,99
19,001,Pueyrredón,04391,082072,0,0,24,0,134,25,87
19,001,Pueyrredón,04391,082073,0,0,14,5,126,18,111
19,001,Pueyrredón,04391,082074,0,0,51,7,118,19,86
19,001,Pueyrredón,04391,082075,0,0,29,6,111,24,88
19,001,Pueyrredón,04391,082076,0,0,28,13,113,13,100
19,001,Pueyrredón,04391,082077,0,0,24,7,124,22,97
19,001,Pueyrredón,04391,082078,0,0,26,13,110,21,98
19,001,Pueyrredón,04391,082079,0,0,31,12,126,12,89
19,001,Pueyrredón,04391,082080,0,0,31,11,124,23,101
19,001,Pueyrredón,04391,082081,0,0,29,9,115,16,94
19,001,Pueyrredón,04391,082082,0,0,26,11,103,15,92
19,001,Pueyrredón,04391,082083,0,0,24,6,106,18,116
19,001,Pueyrredón,04392,082084,0,0,38,8,119,16,91
19,001,Pueyrredón,04392,082085,0,0,27,7,106,20,102
19,001,Pueyrredón,04392,082086,0,0,26,8,122,17,101
19,001,Pueyrredón,04392,082087,0,0,23,11,93,25,110
19,001,Pueyrredón,04392,082088,0,0,25,8,121,13,118
19,001,Pueyrredón,04392,082089,0,0,20,14,100,24,108
19,001,Pueyrredón,04392,082090,0,0,23,9,107,14,95
19,001,Pueyrredón,04392,082091,0,0,19,8,125,17,88
19,001,Pueyrredón,04392,082092,0,0,21,13,116,22,89
19,001,Pueyrredón,04392,082093,0,0,28,6,99,23,105
19,001,Pueyrredón,04392,082094,0,0,0,3,111,15,106
19,001,Pueyrredón,04392,082095,0,0,29,3,117,11,116
19,001,Pueyrredón,04392,082096,0,0,32,11,94,16,102
19,001,Pueyrredón,04392,082097,0,0,0,13,104,22,87
19,001,Pueyrredón,04392,082098,0,0,30,5,102,19,99
19,001,Pueyrredón,04392,082099,0,0,34,8,98,14,104
19,001,Pueyrredón,04392,082100,0,0,23,11,98,27,120
19,001,Pueyrredón,04392,101221,0,0,0,0,0,0,0
19,001,Pueyrredón,04392,101222,0,0,0,0,0,0,0
19,001,Pueyrredón,04393,082101,0,0,22,6,174,16,60
19,001,Pueyrredón,04393,082102,0,0,22,10,142,22,70
19,001,Pueyrredón,04393,082103,0,0,31,4,149,17,68
19,001,Pueyrredón,04393,082104,0,0,0,8,140,13,72
19,001,Pueyrredón,04393,082105,0,0,23,7,165,10,62
19,001,Pueyrredón,04393,082106,0,0,18,9,153,12,81
19,001,Pueyrredón,04393,082107,0,0,23,13,147,15,73
19,001,Pueyrredón,04393,082108,0,0,28,12,159,15,64
19,001,Pueyrredón,04393,082109,0,0,28,2,138,16,80
19,001,Pueyrredón,04393,082110,0,0,31,14,134,14,89
19,001,Pueyrredón,04393,082111,0,0,25,10,158,14,58
19,001,Pueyrredón,04393,082112,0,0,40,8,147,11,55
19,001,Pueyrredón,04393,082113,0,0,22,9,151,30,64
19,001,Pueyrredón,04393,082114,0,0,36,8,155,24,52
19,001,Pueyrredón,04393,082115,0,0,25,6,143,15,81
19,001,Pueyrredón,04393,082116,0,0,28,6,142,19,71
