codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0150,0501,0504,0514
19,Pueyrredon,001,0002 ,0391,350,52,6,0,9,189,35
19,Pueyrredon,001,0002 ,0392,350,9,14,6,28,59,90
19,Pueyrredon,001,0002 ,0393,350,69,3,5,15,151,50
19,Pueyrredon,001,0002 ,0394,350,50,5,1,17,170,38
19,Pueyrredon,001,0002 ,0395,350,6,1,3,13,192,38
19,Pueyrredon,001,0002 ,0396,353,12,0,2,24,154,46
19,Pueyrredon,001,0002 ,0397,350,55,3,8,17,141,55
19,Pueyrredon,001,0002 ,0398,350,48,2,1,5,193,36
19,Pueyrredon,001,0002 ,0399,353,57,2,4,14,170,33
19,Pueyrredon,001,0002 ,0400,350,51,13,5,20,164,34
19,Pueyrredon,001,0002 ,0401,350,56,1,6,17,166,37
19,Pueyrredon,001,0002 ,0402,352,40,2,3,14,184,51
19,Pueyrredon,001,0002 ,0403,350,52,5,6,0,168,47
19,Pueyrredon,001,0002 ,0404,352,51,9,2,24,149,40
19,Pueyrredon,001,0002 ,0405,352,56,3,4,17,185,23
19,Pueyrredon,001,0002 ,0406,349,59,4,8,25,147,40
19,Pueyrredon,001,0002 ,0407,352,28,7,4,18,176,48
19,Pueyrredon,001,0002 ,0408,352,0,228,5,15,176,32
19,Pueyrredon,001,0002 ,0409,353,0,0,0,0,0,0
19,Pueyrredon,001,0002 ,0410,350,42,9,4,18,151,47
19,Pueyrredon,001,0002 ,0411,350,53,7,5,16,156,45
19,Pueyrredon,001,0002 ,0412,350,1,3,6,17,166,35
19,Pueyrredon,001,0002 ,0413,351,44,6,4,16,169,40
19,Pueyrredon,001,0002 ,0414,350,50,1,9,26,148,49
19,Pueyrredon,001,0002 ,0415,352,0,0,7,18,156,59
19,Pueyrredon,001,0002 ,0416,355,51,6,9,14,164,39
19,Pueyrredon,001,0002 ,0417,351,46,0,1,20,162,43
19,Pueyrredon,001,0002 ,0418,238,37,4,7,6,100,24
19,Pueyrredon,001,0003 ,0419,351,29,6,6,36,162,44
19,Pueyrredon,001,0003 ,0420,350,31,17,7,41,151,26
19,Pueyrredon,001,0003 ,0421,350,32,10,2,36,164,30
19,Pueyrredon,001,0003 ,0422,350,39,15,7,28,155,36
19,Pueyrredon,001,0003 ,0423,350,25,5,4,38,161,36
19,Pueyrredon,001,0003 ,0424,349,37,9,11,28,153,30
19,Pueyrredon,001,0003 ,0425,351,38,14,9,31,147,35
19,Pueyrredon,001,0003 ,0426,350,31,8,4,30,173,36
19,Pueyrredon,001,0003 ,0427,350,26,22,4,32,109,35
19,Pueyrredon,001,0003 ,0428,350,28,10,5,33,166,36
19,Pueyrredon,001,0003 ,0429,350,39,11,0,45,150,31
19,Pueyrredon,001,0003 ,0430,351,43,1,3,38,163,36
19,Pueyrredon,001,0003 ,0431,351,33,12,4,28,155,41
19,Pueyrredon,001,0003 ,0432,351,28,11,9,33,155,37
19,Pueyrredon,001,0003 ,0433,349,37,12,2,33,168,34
19,Pueyrredon,001,0003 ,0434,350,47,10,5,51,134,37
19,Pueyrredon,001,0003 ,0435,350,35,12,4,39,151,36
19,Pueyrredon,001,0003 ,0436,349,42,2,4,30,161,38
19,Pueyrredon,001,0003 ,0437,351,24,20,5,46,146,31
19,Pueyrredon,001,0003 ,0438,351,32,9,4,44,165,34
19,Pueyrredon,001,0003 ,0439,353,40,4,1,28,178,33
19,Pueyrredon,001,0003 ,0440,353,0,0,0,0,0,0
19,Pueyrredon,001,0003 ,0441,351,39,14,1,45,151,40
