codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00008,00005,00009,00002
19,001,PUEYRREDÓN,04342,083497,0,0,31,11,4,85,105,1
19,001,PUEYRREDÓN,04342,083498,0,0,23,24,11,90,120,2
19,001,PUEYRREDÓN,04342,083499,0,0,25,21,8,68,127,2
19,001,PUEYRREDÓN,04342,083500,0,0,20,18,13,74,121,2
19,001,PUEYRREDÓN,04342,083501,0,0,22,20,10,74,123,1
19,001,PUEYRREDÓN,04342,083502,0,0,23,26,9,67,115,2
19,001,PUEYRREDÓN,04342,083503,0,0,21,12,8,82,117,3
19,001,PUEYRREDÓN,04342,083504,0,0,20,15,8,83,110,6
19,001,PUEYRREDÓN,04342,083505,0,0,16,29,10,52,114,3
19,001,PUEYRREDÓN,04342,083506,0,0,22,24,7,62,120,2
19,001,PUEYRREDÓN,04342,083507,0,0,19,19,8,100,91,2
19,001,PUEYRREDÓN,04342,083508,0,0,28,15,14,82,108,4
19,001,PUEYRREDÓN,04342,083509,0,0,27,13,1,86,120,3
19,001,PUEYRREDÓN,04342,083510,0,0,27,23,11,75,107,1
19,001,PUEYRREDÓN,04342,083511,0,0,30,15,10,81,101,0
19,001,PUEYRREDÓN,04342,083512,0,0,30,15,3,103,92,1
19,001,PUEYRREDÓN,04342,083513,0,0,15,20,6,76,111,2
19,001,PUEYRREDÓN,04342,083514,0,0,22,17,9,82,118,2
19,001,PUEYRREDÓN,04342,083515,0,0,35,27,3,93,90,1
19,001,PUEYRREDÓN,04342,083516,0,0,2,16,9,76,111,1
19,001,PUEYRREDÓN,04342,083517,0,0,21,17,18,68,102,1
19,001,PUEYRREDÓN,04342,083518,0,0,21,18,13,69,106,2
19,001,PUEYRREDÓN,04342,083519,0,0,28,20,8,77,106,3
19,001,PUEYRREDÓN,04342,083520,0,0,27,19,7,98,92,5
19,001,PUEYRREDÓN,04342,083521,0,0,18,27,13,94,103,1
19,001,PUEYRREDÓN,04342,083522,0,0,23,13,5,62,116,5
19,001,PUEYRREDÓN,04342,083523,0,0,23,18,4,104,103,4
19,001,PUEYRREDÓN,04342,083524,0,0,23,14,5,69,119,5
19,001,PUEYRREDÓN,04342,083525,0,0,21,29,9,60,124,1
19,001,PUEYRREDÓN,04342,083526,0,0,21,15,8,82,128,1
19,001,PUEYRREDÓN,04342,083527,0,0,20,26,0,80,110,1
19,001,PUEYRREDÓN,04342,083528,0,0,26,13,8,87,109,2
19,001,PUEYRREDÓN,04342,083529,0,0,28,21,7,79,109,2
19,001,PUEYRREDÓN,04342,083530,0,0,20,15,8,91,108,2
19,001,PUEYRREDÓN,04342,083531,0,0,22,14,7,66,131,1
19,001,PUEYRREDÓN,04342,083532,0,0,8,16,4,93,108,0
19,001,PUEYRREDÓN,04342,083533,0,0,19,24,5,80,103,1
19,001,PUEYRREDÓN,04343,083534,0,0,25,24,10,98,93,2
19,001,PUEYRREDÓN,04343,083535,0,0,30,15,13,101,83,9
19,001,PUEYRREDÓN,04343,083536,0,0,26,22,15,94,98,7
19,001,PUEYRREDÓN,04343,083537,0,0,35,30,7,90,97,7
19,001,PUEYRREDÓN,04343,083538,0,0,0,0,0,0,0,0
19,001,PUEYRREDÓN,04343,083539,0,0,24,20,8,96,102,1
19,001,PUEYRREDÓN,04343,083540,0,0,31,29,4,126,83,2
19,001,PUEYRREDÓN,04343,083541,0,0,33,25,19,94,96,3
