codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0037,0050,0101,0174,0175,0176,0177,0178,0297
19,Capital                                 ,001,0002 ,0001,870,86,0,10,0,12,106,26,50,22,8,6,376
19,Capital                                 ,001,0002 ,0002,870,44,2,12,4,12,134,34,40,20,4,4,354
19,Capital                                 ,001,0002 ,0003,870,3,4,12,2,14,146,30,50,18,4,10,336
19,Capital                                 ,001,0002 ,0004,870,50,15,18,2,12,110,32,50,20,4,2,358
19,Capital                                 ,001,0002 ,0005,870,90,3,10,0,10,128,34,36,16,8,12,348
19,Capital                                 ,001,0002 ,0006,870,20,9,8,0,12,144,30,48,30,8,16,340
19,Capital                                 ,001,0002 ,0007,618,43,15,6,0,6,72,20,26,18,0,4,274
19,Capital                                 ,001,0002 ,0008,240,1,3,2,0,2,39,5,4,2,1,4,104
19,Capital                                 ,001,0003 ,0001,870,11,24,22,0,4,94,2,14,8,4,14,534
19,Capital                                 ,001,0003 ,0002,637,17,19,6,2,8,64,8,22,6,0,10,490
19,Capital                                 ,001,0003 ,0003,435,4,12,11,0,12,32,0,13,3,4,3,226
19,Capital                                 ,001,0003 ,0004,348,6,11,8,0,4,66,0,9,0,1,2,182
19,Capital                                 ,001,0004 ,0001,705,3,4,2,2,0,104,10,30,4,0,12,346
19,Capital                                 ,001,0004 ,0002,552,6,7,2,0,14,54,12,12,6,10,8,280
19,Capital                                 ,001,0004A,0001,522,4,4,10,0,0,112,18,38,6,4,2,224
19,Capital                                 ,001,0004A,0002,522,15,6,6,4,2,114,14,32,6,0,2,212
19,Capital                                 ,001,0005 ,0001,23,0,0,0,0,0,1,0,0,0,0,0,5
19,Capital                                 ,001,0006 ,0001,621,5,5,2,2,0,44,12,20,6,2,4,392
19,Capital                                 ,001,0007 ,0001,85,2,0,0,0,2,6,1,0,0,0,1,44
19,Capital                                 ,001,0008 ,0001,61,0,0,0,0,1,1,1,2,0,1,0,29
19,Capital                                 ,001,0009 ,0001,715,0,0,2,2,2,22,6,16,4,6,8,330
19,Capital                                 ,001,0009 ,0002,435,7,3,2,0,1,6,4,8,2,1,1,111
19,Capital                                 ,001,0009 ,0003,435,0,0,0,0,1,8,4,10,0,0,0,140
19,Capital                                 ,001,0009 ,0004,136,1,0,0,0,1,3,4,0,0,0,2,28
19,Capital                                 ,001,0010 ,0001,572,24,2,46,4,0,28,2,18,2,40,54,354
19,Capital                                 ,001,0010 ,0002,230,0,0,13,0,0,7,2,9,23,8,23,70
19,Capital                                 ,001,0011 ,0001,77,0,0,3,0,1,7,0,14,1,1,0,25
19,Capital                                 ,001,0012 ,0001,370,9,2,5,1,0,22,1,5,0,1,3,203
19,Capital                                 ,001,0013 ,0001,199,1,0,0,0,0,9,0,5,0,0,0,118
19,Capital                                 ,001,0014 ,0001,44,0,0,0,0,0,2,2,3,0,0,0,15
19,Capital                                 ,001,0015 ,0001,294,4,0,3,1,3,25,8,4,3,1,3,146
19,Capital                                 ,001,1001 ,0001,870,21,6,22,0,10,116,40,30,6,10,10,452
19,Capital                                 ,001,1001 ,0002,870,6,10,8,2,10,176,38,28,4,6,8,352
19,Capital                                 ,001,1001 ,0003,870,21,17,18,0,12,144,40,22,8,2,8,406
19,Capital                                 ,001,1001 ,0004,870,33,16,14,6,12,152,42,20,6,6,12,358
19,Capital                                 ,001,1001 ,0005,870,18,15,14,2,22,152,28,34,6,8,8,396
19,Capital                                 ,001,1001 ,0006,870,10,18,8,14,14,124,64,28,12,8,6,436
19,Capital                                 ,001,1001 ,0007,870,3,9,16,0,6,122,36,20,8,10,4,420
19,Capital                                 ,001,1001 ,0008,870,4,6,16,0,10,138,38,28,8,14,8,404
19,Capital                                 ,001,1001 ,0009,870,20,11,14,0,22,146,32,30,8,10,10,404
19,Capital                                 ,001,1001 ,0010,657,32,15,2,0,2,124,26,18,10,8,6,440
19,Capital                                 ,001,1001 ,0011,435,7,10,6,0,9,56,21,8,2,3,2,207
19,Capital                                 ,001,1001 ,0012,435,8,1,6,0,6,71,10,17,5,3,1,203
19,Capital                                 ,001,1001 ,0013,435,0,0,0,0,0,0,0,0,0,0,0,0
19,Capital                                 ,001,1001 ,0014,435,4,12,4,1,6,72,10,10,3,5,3,224
19,Capital                                 ,001,1001 ,0015,306,12,4,5,0,1,59,8,6,1,3,2,151
19,Capital                                 ,001,1002 ,0001,870,24,12,22,0,20,162,26,30,12,10,10,392
19,Capital                                 ,001,1002 ,0002,870,44,5,16,0,10,180,32,40,12,8,10,348
19,Capital                                 ,001,1002 ,0003,870,34,10,26,0,10,134,52,24,4,10,10,378
19,Capital                                 ,001,1002 ,0004,697,19,6,12,0,16,132,54,36,4,14,12,280
19,Capital                                 ,001,1002 ,0005,437,9,0,8,0,6,126,26,28,2,8,4,206
19,Capital                                 ,001,1003 ,0001,870,14,11,8,0,14,136,60,44,6,6,24,350
19,Capital                                 ,001,1003 ,0002,870,22,18,18,0,10,140,52,38,10,8,20,350
19,Capital                                 ,001,1003 ,0003,870,33,14,16,2,6,166,52,28,8,10,12,332
19,Capital                                 ,001,1003 ,0004,870,42,13,12,0,10,168,40,42,8,6,4,376
19,Capital                                 ,001,1003 ,0005,870,31,10,16,0,8,138,58,60,12,10,12,328
19,Capital                                 ,001,1003 ,0006,788,32,17,20,0,4,124,56,28,4,6,12,336
19,Capital                                 ,001,1004 ,0001,870,5,9,12,10,6,116,34,26,10,8,6,436
19,Capital                                 ,001,1004 ,0002,870,8,13,6,0,4,128,56,34,4,24,14,426
19,Capital                                 ,001,1004 ,0003,870,22,16,10,0,6,116,36,24,10,4,4,434
19,Capital                                 ,001,1004 ,0004,870,9,14,12,0,6,118,26,26,6,8,16,422
