codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0070,0516,0565
19,Pueyrredon,001,0002 ,0428,349,7,4,3,143,130
19,Pueyrredon,001,0002 ,0429,349,8,4,5,150,128
19,Pueyrredon,001,0002 ,0430,349,0,0,0,0,0
19,Pueyrredon,001,0002 ,0431,349,3,0,10,140,122
19,Pueyrredon,001,0002 ,0432,349,20,3,8,158,98
19,Pueyrredon,001,0002 ,0433,349,9,2,4,150,128
19,Pueyrredon,001,0002 ,0434,349,8,5,6,158,118
19,Pueyrredon,001,0002 ,0435,349,6,9,10,156,109
19,Pueyrredon,001,0002 ,0436,349,13,1,8,166,94
19,Pueyrredon,001,0002 ,0437,349,13,5,5,132,137
19,Pueyrredon,001,0002 ,0438,349,13,1,9,142,139
19,Pueyrredon,001,0002 ,0439,350,12,2,8,154,126
19,Pueyrredon,001,0002 ,0440,349,13,8,8,148,113
19,Pueyrredon,001,0002 ,0441,349,14,0,6,137,134
19,Pueyrredon,001,0002 ,0442,349,12,6,7,120,152
19,Pueyrredon,001,0002 ,0443,349,8,4,4,146,125
19,Pueyrredon,001,0002 ,0444,349,6,1,10,144,134
19,Pueyrredon,001,0002 ,0445,349,13,3,6,146,115
19,Pueyrredon,001,0002 ,0446,349,4,3,6,143,144
19,Pueyrredon,001,0002 ,0447,349,3,3,13,134,124
19,Pueyrredon,001,0002 ,0448,349,19,1,13,145,111
19,Pueyrredon,001,0002 ,0449,349,13,2,6,150,120
19,Pueyrredon,001,0002 ,0450,349,12,0,9,149,106
19,Pueyrredon,001,0002 ,0451,348,13,2,3,124,155
19,Pueyrredon,001,0002 ,0452,348,5,4,4,145,143
19,Pueyrredon,001,0002 ,0453,348,0,0,0,0,0
19,Pueyrredon,001,0002 ,0454,348,9,2,3,141,144
19,Pueyrredon,001,0002 ,0455,348,15,0,5,135,130
19,Pueyrredon,001,0002 ,0456,348,8,7,7,167,104
19,Pueyrredon,001,0002 ,0457,348,10,2,8,160,106
19,Pueyrredon,001,0002 ,0458,348,7,3,7,148,121
19,Pueyrredon,001,0002 ,0459,348,7,2,8,158,116
19,Pueyrredon,001,0002 ,0460,348,3,5,5,149,145
19,Pueyrredon,001,0002 ,0461,348,9,2,10,154,117
19,Pueyrredon,001,0002 ,0462,348,8,2,7,144,130
19,Pueyrredon,001,0002 ,0463,348,11,3,6,141,121
19,Pueyrredon,001,0003 ,0464,343,4,0,1,127,164
19,Pueyrredon,001,0003 ,0465,342,6,1,4,121,159
19,Pueyrredon,001,0003 ,0466,343,4,8,5,126,157
19,Pueyrredon,001,0003 ,0467,343,7,2,3,141,157
19,Pueyrredon,001,0003 ,0468,343,4,8,1,124,152
19,Pueyrredon,001,0003 ,0469,343,2,6,4,121,158
19,Pueyrredon,001,0003 ,0470,343,3,7,5,128,159
19,Pueyrredon,001,0003 ,0471,343,3,4,2,128,159
19,Pueyrredon,001,0003 ,0472,343,6,5,8,120,142
19,Pueyrredon,001,0003 ,0473,343,4,5,6,131,151
19,Pueyrredon,001,0003 ,0474,343,7,7,6,120,165
19,Pueyrredon,001,0003 ,0475,343,6,5,2,133,149
19,Pueyrredon,001,0003 ,0476,343,7,0,3,122,171
19,Pueyrredon,001,0003 ,0477,343,3,4,3,128,162
19,Pueyrredon,001,0003 ,0478,343,1,7,1,131,162
19,Pueyrredon,001,0003 ,0479,343,2,1,5,140,154
19,Pueyrredon,001,0003 ,0480,343,10,0,4,107,166
19,Pueyrredon,001,0003 ,0481,343,5,6,6,106,166
19,Pueyrredon,001,0003 ,0482,342,6,2,7,117,156
19,Pueyrredon,001,0003 ,0483,342,4,1,5,131,164
19,Pueyrredon,001,0003 ,0484,342,3,5,5,129,143
19,Pueyrredon,001,0003 ,0485,342,4,5,3,126,147
19,Pueyrredon,001,0003 ,0486,342,1,2,2,137,152
19,Pueyrredon,001,0003 ,0487,342,2,4,8,125,163
19,Pueyrredon,001,0003 ,0488,342,5,10,6,124,159
19,Pueyrredon,001,0003 ,0489,342,3,5,6,131,147
19,Pueyrredon,001,0003 ,0490,342,2,3,6,134,156
19,Pueyrredon,001,0003 ,0491,342,0,3,4,123,156
19,Pueyrredon,001,0003 ,0492,342,2,0,0,111,181
19,Pueyrredon,001,0003 ,0493,342,0,8,4,119,158
19,Pueyrredon,001,0003 ,0494,342,8,1,7,131,139
19,Pueyrredon,001,0003 ,0495,342,4,8,4,128,158
19,Pueyrredon,001,0003 ,0496,342,7,4,3,135,141
19,Pueyrredon,001,0003 ,0497,342,7,3,2,119,159
19,Pueyrredon,001,0003 ,0498,342,3,7,2,119,158
19,Pueyrredon,001,0003 ,0499,342,3,3,1,123,174
19,Pueyrredon,001,0003 ,0500,342,5,0,0,141,141
19,Pueyrredon,001,0004 ,0501,326,2,1,9,111,130
19,Pueyrredon,001,0004 ,0502,326,3,3,8,111,142
19,Pueyrredon,001,0004 ,0503,326,6,0,4,101,151
19,Pueyrredon,001,0004 ,0504,326,6,3,7,116,123
19,Pueyrredon,001,0004 ,0505,325,0,5,6,106,148
19,Pueyrredon,001,0004 ,0506,325,1,3,7,117,135
19,Pueyrredon,001,0004 ,0507,325,2,0,8,110,149
19,Pueyrredon,001,0004A,0508,319,11,0,4,111,123
19,Pueyrredon,001,0004A,0509,319,5,0,5,116,140
19,Pueyrredon,001,0004A,0510,319,9,1,10,104,144
19,Pueyrredon,001,0004A,0511,318,6,4,16,108,123
19,Pueyrredon,001,0004A,0512,318,21,0,1,91,148
19,Pueyrredon,001,0004A,0513,318,12,0,8,106,137
19,Pueyrredon,001,0004A,0514,318,0,0,0,0,0
19,Pueyrredon,001,0005A,0515,47,0,0,0,13,26
19,Pueyrredon,001,0005B,0516,31,0,0,0,8,10
19,Pueyrredon,001,0006 ,0517,281,1,2,1,51,177
19,Pueyrredon,001,0006 ,0518,280,5,1,0,62,172
19,Pueyrredon,001,0007 ,0519,73,0,1,0,26,40
19,Pueyrredon,001,0008 ,0520,52,0,0,0,10,33
19,Pueyrredon,001,0009 ,0521,309,1,0,0,56,166
19,Pueyrredon,001,0009 ,0522,309,6,1,2,63,178
19,Pueyrredon,001,0010 ,0523,319,0,7,0,34,217
19,Pueyrredon,001,0010 ,0524,319,27,0,2,35,204
19,Pueyrredon,001,0010 ,0525,318,1,34,0,32,195
19,Pueyrredon,001,0011 ,0526,45,0,1,0,13,20
19,Pueyrredon,001,0012 ,0527,230,2,0,0,47,140
19,Pueyrredon,001,0012 ,0528,230,2,0,2,45,83
19,Pueyrredon,001,0013 ,0529,140,0,0,0,12,102
19,Pueyrredon,001,0014 ,0530,43,0,0,0,12,18
19,Pueyrredon,001,0015 ,0531,228,1,0,0,60,136
19,Pueyrredon,001,0015 ,0532,228,1,0,2,57,141
19,Pueyrredon,001,1001A,0001,343,4,0,1,89,203
19,Pueyrredon,001,1001A,0002,343,9,0,5,87,191
19,Pueyrredon,001,1001A,0003,343,10,4,1,96,188
19,Pueyrredon,001,1001A,0004,343,2,2,3,107,181
19,Pueyrredon,001,1001A,0005,343,0,4,3,79,198
19,Pueyrredon,001,1001A,0006,343,3,0,6,92,168
19,Pueyrredon,001,1001A,0007,342,9,8,1,97,187
19,Pueyrredon,001,1001A,0008,342,8,1,4,107,171
19,Pueyrredon,001,1001A,0009,342,4,10,2,100,182
19,Pueyrredon,001,1001A,0010,342,3,0,4,79,199
19,Pueyrredon,001,1001A,0011,342,7,2,2,70,204
19,Pueyrredon,001,1001A,0012,342,9,0,1,84,198
19,Pueyrredon,001,1001A,0013,342,4,7,0,81,192
19,Pueyrredon,001,1001A,0014,342,2,1,5,76,203
19,Pueyrredon,001,1001A,0015,342,6,4,8,95,181
19,Pueyrredon,001,1001A,0016,342,9,3,5,85,198
19,Pueyrredon,001,1001A,0017,342,6,0,2,96,189
19,Pueyrredon,001,1001A,0018,342,0,4,0,100,199
19,Pueyrredon,001,1001A,0019,342,7,0,4,79,188
19,Pueyrredon,001,1001A,0020,342,47,3,2,69,153
19,Pueyrredon,001,1001A,0021,343,0,5,3,91,193
19,Pueyrredon,001,1001A,0022,342,8,8,1,90,194
19,Pueyrredon,001,1001A,0023,342,7,4,2,71,200
19,Pueyrredon,001,1001B,0024,318,3,4,7,130,120
19,Pueyrredon,001,1001B,0025,318,4,2,6,139,110
19,Pueyrredon,001,1001B,0026,318,4,3,9,139,110
19,Pueyrredon,001,1001B,0027,318,7,2,4,140,114
19,Pueyrredon,001,1001B,0028,318,6,4,7,136,110
19,Pueyrredon,001,1001B,0029,317,6,3,4,143,125
19,Pueyrredon,001,1001B,0030,317,6,3,3,151,108
19,Pueyrredon,001,1001B,0031,317,7,7,9,134,111
19,Pueyrredon,001,1001B,0032,317,5,2,7,131,133
19,Pueyrredon,001,1001B,0033,317,0,1,4,130,124
19,Pueyrredon,001,1001C,0034,317,8,0,9,142,112
19,Pueyrredon,001,1001C,0035,316,8,1,6,145,109
19,Pueyrredon,001,1001C,0036,316,2,6,5,151,109
19,Pueyrredon,001,1001C,0037,315,3,5,7,119,135
19,Pueyrredon,001,1001C,0038,315,5,3,11,131,118
19,Pueyrredon,001,1001C,0039,315,6,5,3,145,118
19,Pueyrredon,001,1001C,0040,315,8,5,4,133,116
19,Pueyrredon,001,1002 ,0041,335,5,2,1,120,164
19,Pueyrredon,001,1002 ,0042,335,6,1,6,115,146
19,Pueyrredon,001,1002 ,0043,335,5,2,3,120,157
19,Pueyrredon,001,1002 ,0044,336,3,1,1,121,156
19,Pueyrredon,001,1002 ,0045,335,3,3,9,103,158
19,Pueyrredon,001,1002 ,0046,335,4,4,4,125,146
19,Pueyrredon,001,1002 ,0047,335,10,6,3,115,146
19,Pueyrredon,001,1002 ,0048,335,0,1,1,116,153
19,Pueyrredon,001,1002 ,0049,335,7,2,6,119,154
19,Pueyrredon,001,1002 ,0050,335,0,1,5,96,181
19,Pueyrredon,001,1002 ,0051,335,2,2,4,110,147
19,Pueyrredon,001,1002 ,0052,334,7,2,2,96,159
19,Pueyrredon,001,1002 ,0053,334,5,4,6,109,169
19,Pueyrredon,001,1002 ,0054,334,3,5,6,111,153
19,Pueyrredon,001,1002 ,0055,334,1,11,2,107,167
19,Pueyrredon,001,1002 ,0056,334,2,2,4,127,150
19,Pueyrredon,001,1002 ,0057,335,10,0,6,121,152
19,Pueyrredon,001,1002 ,0058,334,1,5,3,120,146
19,Pueyrredon,001,1002 ,0059,334,4,5,4,122,145
19,Pueyrredon,001,1003 ,0060,348,7,2,1,124,161
19,Pueyrredon,001,1003 ,0061,348,4,3,7,135,149
19,Pueyrredon,001,1003 ,0062,348,10,5,4,118,169
19,Pueyrredon,001,1003 ,0063,348,6,0,7,122,153
19,Pueyrredon,001,1003 ,0064,348,7,5,7,133,144
19,Pueyrredon,001,1003 ,0065,348,2,5,2,123,155
19,Pueyrredon,001,1003 ,0066,348,5,2,5,107,155
19,Pueyrredon,001,1003 ,0067,348,6,2,8,108,173
19,Pueyrredon,001,1003 ,0068,348,0,10,5,126,147
19,Pueyrredon,001,1003 ,0069,348,2,3,4,121,159
19,Pueyrredon,001,1003 ,0070,347,5,0,5,127,147
19,Pueyrredon,001,1003 ,0071,347,7,1,2,125,152
19,Pueyrredon,001,1003 ,0072,347,3,3,0,120,160
19,Pueyrredon,001,1003 ,0073,347,3,5,1,130,147
19,Pueyrredon,001,1003 ,0074,347,8,6,8,112,148
19,Pueyrredon,001,1003 ,0075,347,1,5,6,183,135
19,Pueyrredon,001,1003 ,0076,347,2,3,4,132,154
19,Pueyrredon,001,1003 ,0077,347,4,4,4,127,148
19,Pueyrredon,001,1004 ,0078,340,8,4,2,84,176
19,Pueyrredon,001,1004 ,0079,340,3,3,6,85,181
19,Pueyrredon,001,1004 ,0080,340,2,0,3,79,198
19,Pueyrredon,001,1004 ,0081,339,11,0,8,85,178
19,Pueyrredon,001,1004 ,0082,339,2,1,4,87,182
19,Pueyrredon,001,1004 ,0083,339,5,5,3,83,188
19,Pueyrredon,001,1004 ,0084,339,0,0,0,0,0
19,Pueyrredon,001,1004 ,0085,339,6,1,8,88,175
19,Pueyrredon,001,1004 ,0086,339,2,7,3,87,193
19,Pueyrredon,001,1004 ,0087,339,3,1,1,78,190
19,Pueyrredon,001,1004 ,0088,339,4,4,4,84,187
19,Pueyrredon,001,1004 ,0089,339,11,6,3,69,192
19,Pueyrredon,001,1004 ,0090,339,3,6,3,88,179
19,Pueyrredon,001,1004 ,0091,339,5,0,2,94,175
19,Pueyrredon,001,1004 ,0092,339,5,3,4,87,177
19,Pueyrredon,001,1004 ,0093,339,2,5,3,85,190
19,Pueyrredon,001,1004 ,0094,339,4,4,4,82,185
19,Pueyrredon,001,1004 ,0095,339,6,0,3,98,172
19,Pueyrredon,001,1004 ,0096,338,5,4,5,75,193
19,Pueyrredon,001,1004 ,0097,339,14,0,0,82,182
19,Pueyrredon,001,1004 ,0098,339,6,2,2,78,182
19,Pueyrredon,001,1004 ,0099,339,8,5,4,87,182
19,Pueyrredon,001,1004 ,0100,338,9,3,0,86,180
19,Pueyrredon,001,1004 ,0101,340,11,0,1,88,182
19,Pueyrredon,001,1004 ,0102,339,4,1,6,101,165
19,Pueyrredon,001,1005 ,0103,329,2,0,4,127,126
19,Pueyrredon,001,1005 ,0104,329,4,1,13,123,135
19,Pueyrredon,001,1005 ,0105,329,9,2,6,117,136
19,Pueyrredon,001,1005 ,0106,329,3,0,5,98,161
19,Pueyrredon,001,1005 ,0107,329,4,4,4,98,149
