codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0038,0069,0070,0516,0565
19,Pueyrredon,001,0002 ,0428,349,2,7,1,1,6,168,87
19,Pueyrredon,001,0002 ,0429,349,5,7,1,5,5,162,80
19,Pueyrredon,001,0002 ,0430,349,2,10,2,3,8,158,89
19,Pueyrredon,001,0002 ,0431,349,2,5,0,2,8,167,83
19,Pueyrredon,001,0002 ,0432,349,5,6,3,7,6,154,75
19,Pueyrredon,001,0002 ,0433,349,4,4,1,1,5,164,95
19,Pueyrredon,001,0002 ,0434,349,5,4,2,1,2,194,74
19,Pueyrredon,001,0002 ,0435,349,8,12,1,5,5,160,77
19,Pueyrredon,001,0002 ,0436,349,5,2,2,4,7,173,79
19,Pueyrredon,001,0002 ,0437,349,3,11,5,1,5,161,92
19,Pueyrredon,001,0002 ,0438,350,3,1,0,0,9,172,102
19,Pueyrredon,001,0002 ,0439,354,3,5,4,0,5,195,74
19,Pueyrredon,001,0002 ,0440,349,1,15,2,1,5,161,73
19,Pueyrredon,001,0002 ,0441,349,4,5,3,4,3,167,85
19,Pueyrredon,001,0002 ,0442,349,4,10,1,2,8,141,101
19,Pueyrredon,001,0002 ,0443,349,0,0,0,0,0,0,0
19,Pueyrredon,001,0002 ,0444,349,0,0,0,0,0,0,0
19,Pueyrredon,001,0002 ,0445,349,0,0,0,0,0,0,0
19,Pueyrredon,001,0002 ,0446,349,2,3,0,1,8,166,99
19,Pueyrredon,001,0002 ,0447,352,2,10,3,3,12,155,84
19,Pueyrredon,001,0002 ,0448,349,3,7,2,4,16,154,79
19,Pueyrredon,001,0002 ,0449,349,1,8,0,2,3,157,97
19,Pueyrredon,001,0002 ,0450,349,6,1,1,4,6,176,76
19,Pueyrredon,001,0002 ,0451,348,4,5,4,1,8,163,107
19,Pueyrredon,001,0002 ,0452,348,2,6,0,4,4,162,100
19,Pueyrredon,001,0002 ,0453,348,0,5,0,1,11,171,80
19,Pueyrredon,001,0002 ,0454,348,9,3,0,1,3,169,92
19,Pueyrredon,001,0002 ,0455,351,2,7,0,2,3,168,96
19,Pueyrredon,001,0002 ,0456,348,6,7,1,2,5,168,68
19,Pueyrredon,001,0002 ,0457,348,3,8,0,1,8,185,69
19,Pueyrredon,001,0002 ,0458,348,3,3,1,3,3,165,75
19,Pueyrredon,001,0002 ,0459,348,0,4,1,1,5,177,84
19,Pueyrredon,001,0002 ,0460,348,3,6,0,2,6,179,88
19,Pueyrredon,001,0002 ,0461,351,3,1,1,4,6,166,80
19,Pueyrredon,001,0002 ,0462,348,2,9,0,1,5,153,98
19,Pueyrredon,001,0002 ,0463,349,0,4,1,0,5,163,87
19,Pueyrredon,001,0003 ,0464,343,2,3,0,0,2,169,106
19,Pueyrredon,001,0003 ,0465,342,0,9,0,1,5,169,91
19,Pueyrredon,001,0003 ,0466,343,6,4,1,1,4,172,93
19,Pueyrredon,001,0003 ,0467,344,3,7,0,1,4,171,95
19,Pueyrredon,001,0003 ,0468,343,4,11,1,5,7,150,93
19,Pueyrredon,001,0003 ,0469,343,3,8,0,2,3,155,107
19,Pueyrredon,001,0003 ,0470,346,0,1,2,3,0,180,91
19,Pueyrredon,001,0003 ,0471,343,1,8,0,7,3,157,108
19,Pueyrredon,001,0003 ,0472,343,2,14,1,0,7,153,95
19,Pueyrredon,001,0003 ,0473,343,1,8,0,1,8,161,98
19,Pueyrredon,001,0003 ,0474,343,2,6,3,1,8,152,110
19,Pueyrredon,001,0003 ,0475,343,2,4,2,0,3,161,93
19,Pueyrredon,001,0003 ,0476,346,2,2,1,1,2,182,100
19,Pueyrredon,001,0003 ,0477,343,1,4,0,1,5,159,97
19,Pueyrredon,001,0003 ,0478,343,5,7,1,1,2,174,76
19,Pueyrredon,001,0003 ,0479,343,2,2,0,0,7,169,109
19,Pueyrredon,001,0003 ,0480,343,7,0,1,0,6,146,111
19,Pueyrredon,001,0003 ,0481,343,0,8,2,3,3,168,100
19,Pueyrredon,001,0003 ,0482,345,2,5,0,1,6,149,106
