codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0022,0047,0050,0052,0101,0242,0243,0244
24,Ushuaia                                 ,001,0001 ,0001,383,7,13,24,78,7,41,62,3,39,4
24,Ushuaia                                 ,001,0001 ,0002,383,6,26,15,78,3,29,55,0,38,15
24,Ushuaia                                 ,001,0001 ,0003,383,3,20,18,72,6,41,70,5,37,13
24,Ushuaia                                 ,001,0001 ,0004,383,4,15,19,60,4,41,67,3,44,14
24,Ushuaia                                 ,001,0001 ,0005,383,4,11,21,68,4,39,75,3,37,14
24,Ushuaia                                 ,001,0001 ,0006,383,5,8,26,81,7,46,72,1,36,16
24,Ushuaia                                 ,001,0001 ,0105,398,4,13,12,57,4,45,65,2,39,11
24,Ushuaia                                 ,001,0001 ,0106,398,5,11,16,54,5,2,64,2,39,13
24,Ushuaia                                 ,001,0001 ,0107,398,7,17,20,55,10,32,55,3,40,12
24,Ushuaia                                 ,001,0001 ,0108,398,4,9,17,51,6,42,64,5,35,9
24,Ushuaia                                 ,001,0001 ,0109,398,3,12,18,52,5,40,71,4,42,10
24,Ushuaia                                 ,001,0001 ,0110,398,5,9,16,57,5,43,52,1,35,10
24,Ushuaia                                 ,001,0001 ,0111,397,4,17,16,58,6,43,60,4,45,12
24,Ushuaia                                 ,001,0002 ,0007,383,2,19,14,77,2,45,77,2,40,16
24,Ushuaia                                 ,001,0002 ,0008,383,3,9,22,77,5,36,56,6,39,10
24,Ushuaia                                 ,001,0002 ,0009,382,4,17,17,59,5,40,81,5,39,8
24,Ushuaia                                 ,001,0002 ,0010,382,2,20,20,63,5,46,65,3,60,17
24,Ushuaia                                 ,001,0002 ,0112,338,5,12,16,43,7,35,44,3,33,12
24,Ushuaia                                 ,001,0002 ,0113,342,2,11,11,35,4,37,48,4,46,19
24,Ushuaia                                 ,001,0002 ,0114,337,4,8,8,43,7,36,46,3,51,17
24,Ushuaia                                 ,001,0002 ,0115,367,2,9,13,42,4,41,55,2,44,6
24,Ushuaia                                 ,001,0002 ,0116,367,5,16,9,59,3,28,61,0,47,11
24,Ushuaia                                 ,001,0003 ,0011,360,5,23,17,56,3,43,79,4,33,10
24,Ushuaia                                 ,001,0003 ,0012,360,3,16,18,54,5,40,61,2,44,13
24,Ushuaia                                 ,001,0003 ,0013,360,1,20,21,66,7,36,71,3,34,11
24,Ushuaia                                 ,001,0003 ,0014,360,4,18,19,56,2,38,77,4,47,6
24,Ushuaia                                 ,001,0003 ,0015,359,2,14,25,62,7,31,66,8,31,6
24,Ushuaia                                 ,001,0003 ,0016,359,2,10,19,65,5,37,69,4,40,14
24,Ushuaia                                 ,001,0003 ,0017,359,1,17,26,65,5,39,76,3,35,9
24,Ushuaia                                 ,001,0003 ,0117,382,9,11,21,49,4,44,80,3,30,18
24,Ushuaia                                 ,001,0003 ,0118,382,4,13,14,56,8,34,75,5,53,9
24,Ushuaia                                 ,001,0003 ,0119,382,4,13,14,49,8,42,74,1,47,10
24,Ushuaia                                 ,001,0003 ,0120,382,3,15,14,61,6,57,69,2,40,7
24,Ushuaia                                 ,001,0003 ,0121,381,4,10,22,60,12,43,59,2,43,10
24,Ushuaia                                 ,001,0003 ,0122,381,1,14,16,53,7,38,77,0,48,10
24,Ushuaia                                 ,001,0003 ,0123,381,5,13,14,55,12,47,77,3,36,11
24,Ushuaia                                 ,001,0004 ,0018,365,1,19,17,78,3,30,82,7,25,11
24,Ushuaia                                 ,001,0004 ,0019,365,1,14,23,56,4,35,69,3,38,16
24,Ushuaia                                 ,001,0004 ,0020,364,5,17,11,70,5,25,78,6,34,11
24,Ushuaia                                 ,001,0004 ,0021,364,5,10,13,63,5,30,65,6,35,14
24,Ushuaia                                 ,001,0004 ,0022,364,2,18,22,57,2,35,71,2,29,11
24,Ushuaia                                 ,001,0004 ,0023,364,1,11,22,58,2,34,75,2,33,7
24,Ushuaia                                 ,001,0004 ,0024,364,1,21,19,60,4,27,81,3,39,9
24,Ushuaia                                 ,001,0004 ,0025,394,3,18,17,54,4,29,81,0,39,15
24,Ushuaia                                 ,001,0004 ,0026,364,7,13,19,55,4,28,69,3,37,15
24,Ushuaia                                 ,001,0004 ,0027,394,4,11,12,70,5,33,70,2,41,14
24,Ushuaia                                 ,001,0004 ,0028,381,2,16,21,59,7,32,73,3,36,23
24,Ushuaia                                 ,001,0004 ,0124,393,7,22,11,57,0,37,93,8,28,13
24,Ushuaia                                 ,001,0004 ,0125,393,5,12,15,52,6,39,85,0,44,17
24,Ushuaia                                 ,001,0004 ,0126,393,6,22,17,49,4,32,77,3,27,15
24,Ushuaia                                 ,001,0004 ,0127,393,3,18,19,56,5,30,83,7,27,13
24,Ushuaia                                 ,001,0004 ,0128,393,4,13,17,54,3,44,72,2,29,22
24,Ushuaia                                 ,001,0004 ,0129,393,4,21,13,50,5,29,78,4,34,15
24,Ushuaia                                 ,001,0004 ,0130,393,3,18,18,51,9,32,69,5,39,10
24,Ushuaia                                 ,001,0004 ,0131,393,4,14,19,48,3,52,75,6,35,14
24,Ushuaia                                 ,001,0004 ,0132,393,3,14,19,54,7,36,73,8,31,11
24,Ushuaia                                 ,001,0004 ,0133,393,4,13,16,54,5,43,78,0,38,15
24,Ushuaia                                 ,001,0004 ,0134,392,3,11,15,44,3,45,86,2,46,14
24,Ushuaia                                 ,001,0005 ,0029,398,4,17,19,66,8,50,86,3,40,17
24,Ushuaia                                 ,001,0005 ,0030,398,4,18,24,67,3,40,76,2,53,12
24,Ushuaia                                 ,001,0005 ,0031,398,3,18,19,77,6,40,81,3,45,15
24,Ushuaia                                 ,001,0005 ,0032,398,2,21,16,74,6,49,65,7,45,15
24,Ushuaia                                 ,001,0005 ,0033,398,1,13,21,62,4,50,70,5,34,22
24,Ushuaia                                 ,001,0005 ,0034,398,4,19,20,67,4,48,85,8,52,10
24,Ushuaia                                 ,001,0005 ,0035,398,0,17,15,71,5,40,81,2,42,14
24,Ushuaia                                 ,001,0005 ,0036,398,4,21,20,59,8,40,90,4,40,16
24,Ushuaia                                 ,001,0005 ,0037,398,5,19,14,70,8,41,80,6,35,8
24,Ushuaia                                 ,001,0005 ,0038,398,4,17,18,75,2,38,76,2,48,13
24,Ushuaia                                 ,001,0005 ,0039,397,3,19,14,72,3,50,83,5,34,24
24,Ushuaia                                 ,001,0005 ,0135,389,4,23,21,45,10,42,77,0,37,15
24,Ushuaia                                 ,001,0005 ,0136,389,5,21,12,55,8,40,74,2,54,11
24,Ushuaia                                 ,001,0005 ,0137,389,15,2,19,52,7,47,86,2,37,18
24,Ushuaia                                 ,001,0005 ,0138,389,5,10,22,58,3,53,74,4,45,10
24,Ushuaia                                 ,001,0005 ,0139,389,6,13,16,44,7,41,8,3,45,13
24,Ushuaia                                 ,001,0005 ,0140,389,4,17,12,51,3,45,76,2,54,16
24,Ushuaia                                 ,001,0005 ,0141,389,0,14,18,47,7,43,73,1,49,13
24,Ushuaia                                 ,001,0005 ,0142,389,3,19,13,42,5,44,83,6,49,16
24,Ushuaia                                 ,001,0005 ,0143,389,2,18,12,43,10,47,72,5,45,13
24,Ushuaia                                 ,001,0005 ,0144,389,4,15,12,54,4,32,91,3,36,11
24,Ushuaia                                 ,001,0005 ,0145,388,1,13,12,51,4,44,78,1,38,11
24,Ushuaia                                 ,001,0005 ,0146,388,3,12,14,50,5,49,79,5,38,14
24,Ushuaia                                 ,001,0006 ,0040,391,8,19,25,65,2,32,98,4,41,12
24,Ushuaia                                 ,001,0006 ,0041,391,3,15,25,88,3,23,83,7,39,8
