codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0003,0005,0022,0047,0050,0052,0055,0187,0245,0249,0250,0436,0437,0438
24,Ushuaia                                 ,001,0001 ,0001,366,49,6,16,17,17,58,7,9,20,18,3,17,0,5,0,6
24,Ushuaia                                 ,001,0001 ,0002,363,41,15,10,7,3,51,12,2,14,26,6,12,23,10,5,10
24,Ushuaia                                 ,001,0001 ,0003,368,27,5,11,6,13,54,13,8,26,23,2,25,21,5,8,8
24,Ushuaia                                 ,001,0001 ,0004,369,35,13,20,7,5,50,13,7,28,15,4,20,19,4,5,5
24,Ushuaia                                 ,001,0001 ,0005,363,39,4,10,11,10,38,13,7,21,21,6,27,17,2,8,6
24,Ushuaia                                 ,001,0001 ,0006,368,58,9,14,2,8,54,23,8,15,18,1,29,19,3,2,6
24,Ushuaia                                 ,001,0001 ,0007,363,38,9,14,8,10,58,24,3,24,10,6,23,20,10,2,7
24,Ushuaia                                 ,001,0001 ,0119,381,57,7,15,7,5,52,11,9,14,9,7,14,20,4,2,8
24,Ushuaia                                 ,001,0001 ,0120,377,31,7,19,7,5,50,8,6,17,27,8,16,18,5,4,5
24,Ushuaia                                 ,001,0001 ,0121,377,18,52,9,2,3,53,1,9,11,0,9,20,19,8,2,8
24,Ushuaia                                 ,001,0001 ,0122,377,46,4,13,11,6,35,18,6,17,19,4,21,12,4,4,9
24,Ushuaia                                 ,001,0001 ,0123,374,38,16,17,13,7,47,10,5,18,11,7,11,14,8,0,2
24,Ushuaia                                 ,001,0001 ,0124,375,50,5,19,4,5,46,13,3,13,18,8,25,19,6,3,9
24,Ushuaia                                 ,001,0001 ,0125,375,31,8,25,12,1,50,9,4,21,13,5,15,19,3,3,5
24,Ushuaia                                 ,001,0001 ,0126,379,48,7,18,10,7,45,5,7,16,11,5,34,18,7,5,8
24,Ushuaia                                 ,001,0002 ,0008,334,44,5,17,11,8,34,5,5,20,17,8,19,11,9,8,15
24,Ushuaia                                 ,001,0002 ,0009,338,46,4,10,11,12,54,10,3,15,10,3,20,17,7,2,11
24,Ushuaia                                 ,001,0002 ,0010,338,38,10,14,15,1,44,12,9,25,13,7,19,10,6,2,6
24,Ushuaia                                 ,001,0002 ,0011,337,52,10,8,13,6,55,9,7,12,13,3,26,14,6,4,6
24,Ushuaia                                 ,001,0002 ,0012,339,45,13,11,8,6,46,9,7,23,11,4,28,18,5,5,7
24,Ushuaia                                 ,001,0002 ,0127,357,38,8,26,7,3,47,13,5,11,12,6,18,8,1,2,7
24,Ushuaia                                 ,001,0002 ,0128,361,54,6,17,11,3,39,9,2,13,21,4,20,20,9,2,8
24,Ushuaia                                 ,001,0002 ,0129,358,48,8,10,17,5,36,22,8,17,15,7,13,8,5,2,7
24,Ushuaia                                 ,001,0002 ,0130,358,49,5,17,11,5,49,8,4,23,14,4,19,10,9,3,7
24,Ushuaia                                 ,001,0002 ,0131,370,51,4,13,13,5,39,12,9,24,11,6,28,13,2,2,4
24,Ushuaia                                 ,001,0003 ,0013,363,50,9,17,10,5,39,8,8,20,19,9,34,19,6,5,4
24,Ushuaia                                 ,001,0003 ,0014,369,44,8,21,9,5,56,8,10,16,9,4,30,17,9,2,15
24,Ushuaia                                 ,001,0003 ,0015,363,40,17,20,17,10,43,7,3,13,15,7,23,23,2,7,11
24,Ushuaia                                 ,001,0003 ,0016,364,43,6,24,8,10,40,18,6,15,19,6,29,21,6,5,14
24,Ushuaia                                 ,001,0003 ,0017,364,61,6,11,11,6,43,10,6,15,18,10,25,22,4,7,5
24,Ushuaia                                 ,001,0003 ,0018,365,41,7,10,21,6,53,6,5,16,24,5,27,16,4,1,9
24,Ushuaia                                 ,001,0003 ,0019,360,36,12,11,18,2,44,12,10,20,8,4,23,20,11,5,8
24,Ushuaia                                 ,001,0003 ,0020,362,52,13,11,7,5,40,11,7,16,29,7,22,25,6,3,13
24,Ushuaia                                 ,001,0003 ,0132,375,2,12,18,10,4,34,15,9,15,24,5,22,33,4,0,7
24,Ushuaia                                 ,001,0003 ,0133,372,43,13,10,3,2,40,18,6,11,21,5,27,20,3,10,11
24,Ushuaia                                 ,001,0003 ,0134,373,36,8,15,14,5,45,8,8,15,17,10,30,15,3,3,5
24,Ushuaia                                 ,001,0003 ,0135,372,40,7,19,6,7,62,0,10,27,18,5,21,15,5,4,5
24,Ushuaia                                 ,001,0003 ,0136,368,57,5,22,18,4,45,8,4,15,16,11,34,9,3,8,7
24,Ushuaia                                 ,001,0003 ,0137,375,48,7,17,6,5,36,23,8,14,18,9,23,26,4,3,9
24,Ushuaia                                 ,001,0003 ,0138,374,44,11,12,9,6,38,9,9,18,17,7,25,34,7,8,8
