codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0002,0003,0069,0158,0174,0199,0201,0501,0544
24,Ushuaia,001,0001 ,0001,290,9,4,7,8,2,38,12,9,20,44,32
24,Ushuaia,001,0001 ,0002,292,18,12,9,9,6,37,16,3,31,32,28
24,Ushuaia,001,0001 ,0003,293,19,7,13,15,3,39,13,5,29,38,16
24,Ushuaia,001,0001 ,0004,292,15,7,3,12,2,33,15,5,28,33,44
24,Ushuaia,001,0001 ,0005,291,16,13,11,8,0,37,10,6,24,34,29
24,Ushuaia,001,0001 ,0006,291,23,9,5,10,4,42,21,8,18,40,14
24,Ushuaia,001,0001 ,0013,291,19,8,6,7,6,37,16,6,22,35,21
24,Ushuaia,001,0001 ,0014,290,19,13,6,9,5,48,16,1,24,39,15
24,Ushuaia,001,0001 ,0015,293,17,15,6,9,2,47,21,1,26,42,28
24,Ushuaia,001,0001 ,0016,291,12,17,7,10,3,32,14,4,24,42,27
24,Ushuaia,001,0001 ,0017,289,26,10,7,12,6,42,15,4,20,30,23
24,Ushuaia,001,0001 ,0018,290,6,23,7,9,3,30,16,6,20,43,29
24,Ushuaia,001,0001 ,0019,291,10,9,7,23,6,46,8,6,21,26,27
24,Ushuaia,001,0001 ,0020,290,17,9,5,12,4,27,7,6,28,43,33
24,Ushuaia,001,0001 ,0021,290,14,9,6,7,4,35,21,3,19,43,25
24,Ushuaia,001,0001 ,0022,290,25,7,7,11,3,42,19,6,24,38,30
24,Ushuaia,001,0002 ,0007,291,12,10,6,8,5,34,10,8,31,38,24
24,Ushuaia,001,0002 ,0008,293,16,17,13,8,8,32,21,3,20,35,22
24,Ushuaia,001,0002 ,0009,290,12,10,7,5,4,44,18,6,23,32,22
24,Ushuaia,001,0002 ,0010,292,50,22,2,11,1,39,18,6,18,37,24
24,Ushuaia,001,0002 ,0011,290,6,5,13,7,9,40,14,5,23,38,28
24,Ushuaia,001,0002 ,0012,289,20,2,5,8,4,36,15,6,22,38,29
24,Ushuaia,001,0002 ,0023,286,10,16,8,12,7,40,13,4,25,37,33
24,Ushuaia,001,0002 ,0024,287,6,10,10,14,7,30,8,7,22,43,25
24,Ushuaia,001,0002 ,0025,288,18,8,11,10,5,39,25,3,29,37,27
24,Ushuaia,001,0002 ,0026,287,19,9,5,14,4,33,10,8,21,44,21
24,Ushuaia,001,0002 ,0027,286,14,10,11,8,2,40,15,5,23,37,33
24,Ushuaia,001,0002 ,0028,287,17,11,11,18,2,38,18,8,21,34,16
24,Ushuaia,001,0002 ,0029,286,17,12,9,11,5,43,13,4,15,35,26
24,Ushuaia,001,0002 ,0030,288,12,9,14,10,6,31,16,5,25,40,29
24,Ushuaia,001,0002 ,0031,286,10,17,4,16,4,37,18,5,19,35,37
24,Ushuaia,001,0002 ,0032,284,20,12,12,11,7,48,7,1,15,31,17
24,Ushuaia,001,0002 ,0033,285,23,10,9,14,6,41,20,4,18,31,19
24,Ushuaia,001,0002 ,0034,286,19,15,7,6,6,39,15,6,21,26,30
24,Ushuaia,001,0002 ,0035,287,17,15,4,7,2,35,26,2,16,37,32
24,Ushuaia,001,0003 ,0036,299,25,14,12,7,1,30,27,5,23,40,30
24,Ushuaia,001,0003 ,0037,299,16,16,7,6,2,39,32,7,20,52,21
24,Ushuaia,001,0003 ,0038,299,22,9,11,9,9,42,19,7,22,45,18
24,Ushuaia,001,0003 ,0039,298,0,17,7,8,4,45,15,1,21,35,29
24,Ushuaia,001,0003 ,0040,299,15,16,7,17,3,37,17,4,31,29,34
24,Ushuaia,001,0003 ,0041,298,18,11,8,11,8,39,11,8,24,40,38
24,Ushuaia,001,0003 ,0042,300,21,19,13,6,0,43,9,6,25,41,29
24,Ushuaia,001,0003 ,0043,299,18,19,3,8,6,33,27,9,17,44,19
24,Ushuaia,001,0003 ,0044,299,22,5,10,12,7,41,19,5,21,29,27
24,Ushuaia,001,0003 ,0045,300,14,12,6,17,6,40,19,5,18,41,38
24,Ushuaia,001,0003 ,0046,299,18,7,6,10,14,45,17,4,29,32,27
24,Ushuaia,001,0003 ,0047,297,18,5,12,12,5,40,13,4,25,31,29
24,Ushuaia,001,0003 ,0048,299,21,8,8,5,3,33,17,5,28,43,26
24,Ushuaia,001,0003 ,0049,298,21,17,6,5,1,34,17,10,21,44,25
24,Ushuaia,001,0003 ,0050,300,13,10,15,5,2,41,15,5,28,43,32
24,Ushuaia,001,0003 ,0051,298,20,7,9,6,5,43,20,3,32,33,30
24,Ushuaia,001,0003 ,0052,299,25,9,8,11,2,31,22,2,24,42,22
24,Ushuaia,001,0003 ,0053,297,17,13,10,7,8,38,17,3,33,32,23
24,Ushuaia,001,0003 ,0054,299,21,8,14,9,4,48,14,7,20,36,29
24,Ushuaia,001,0003 ,0055,297,23,11,5,14,5,33,20,6,20,38,29
24,Ushuaia,001,0003 ,0056,297,34,16,9,14,7,31,24,6,26,39,10
24,Ushuaia,001,0003 ,0057,300,21,18,2,11,6,38,29,3,28,34,26
24,Ushuaia,001,0003 ,0058,303,15,15,2,9,10,42,19,8,25,36,36
24,Ushuaia,001,0004 ,0059,299,16,17,10,10,1,33,24,2,28,37,34
24,Ushuaia,001,0004 ,0060,297,21,10,7,10,5,29,27,4,34,39,39
24,Ushuaia,001,0004 ,0061,299,13,13,9,9,4,35,27,6,28,34,28
24,Ushuaia,001,0004 ,0062,298,17,10,8,6,1,34,30,4,32,48,38
24,Ushuaia,001,0004 ,0063,300,13,15,11,7,5,34,14,3,22,42,25
24,Ushuaia,001,0004 ,0064,297,21,9,8,12,7,36,11,6,25,30,29
24,Ushuaia,001,0004 ,0065,298,11,10,9,3,4,49,25,3,23,39,27
24,Ushuaia,001,0004 ,0066,298,22,14,8,7,7,36,19,4,28,40,28
24,Ushuaia,001,0004 ,0067,297,14,21,11,9,5,46,27,6,21,31,35
24,Ushuaia,001,0004 ,0068,297,5,11,4,9,3,37,19,5,34,34,42
24,Ushuaia,001,0004 ,0069,297,17,13,7,4,5,40,21,5,29,30,36
24,Ushuaia,001,0004 ,0070,300,11,8,14,8,6,36,29,8,28,39,26
24,Ushuaia,001,0004 ,0071,298,5,14,7,6,3,42,22,7,23,46,23
24,Ushuaia,001,0004 ,0072,296,24,17,12,8,8,32,14,1,29,35,15
24,Ushuaia,001,0004 ,0073,298,20,6,13,10,4,35,17,7,19,36,35
24,Ushuaia,001,0004 ,0074,297,10,7,4,4,6,45,13,8,22,31,48
24,Ushuaia,001,0004 ,0075,298,21,4,5,13,3,33,17,3,28,41,26
24,Ushuaia,001,0004 ,0076,300,13,17,6,8,4,37,27,4,25,33,29
24,Ushuaia,001,0004 ,0077,297,20,13,9,20,6,35,15,3,19,38,25
24,Ushuaia,001,0004 ,0078,297,18,11,7,4,3,37,22,9,28,37,30
24,Ushuaia,001,0004 ,0079,297,7,19,11,8,1,36,20,4,27,32,33
24,Ushuaia,001,0004 ,0080,301,21,11,2,6,4,27,28,10,27,34,25
24,Ushuaia,001,0004 ,0081,299,19,17,7,3,8,43,19,5,20,40,24
24,Ushuaia,001,0004 ,0082,300,12,7,12,13,4,33,23,0,27,43,23
24,Ushuaia,001,0004 ,0083,299,17,5,8,6,0,42,21,6,19,35,32
24,Ushuaia,001,0004 ,0084,300,18,6,6,7,8,50,23,5,14,36,42
24,Ushuaia,001,0004 ,0085,297,5,16,8,10,7,42,23,2,41,35,26
24,Ushuaia,001,0004 ,0086,299,13,11,5,8,8,26,23,4,29,46,28
24,Ushuaia,001,0004 ,0087,297,18,15,11,7,4,38,28,6,30,27,26
24,Ushuaia,001,0004 ,0088,298,21,7,13,6,4,30,27,3,34,42,26
24,Ushuaia,001,0004 ,0089,300,10,8,9,14,3,40,23,3,29,37,29
24,Ushuaia,001,0004 ,0090,298,24,16,9,7,10,33,26,1,21,39,25
24,Ushuaia,001,0004 ,0091,298,18,8,4,9,4,53,26,7,16,43,23
24,Ushuaia,001,0004 ,0092,300,18,9,6,6,4,50,27,3,25,40,33
24,Ushuaia,001,0004 ,0093,298,23,11,10,9,6,27,31,3,38,33,32
24,Ushuaia,001,0004 ,0094,299,28,14,5,9,1,28,26,4,33,38,32
24,Ushuaia,001,0004 ,0095,298,23,6,11,13,6,31,23,4,30,30,29
24,Ushuaia,001,0004 ,0096,296,20,16,5,8,7,38,29,8,22,44,23
24,Ushuaia,001,0005 ,0097,297,16,6,10,10,1,39,26,2,35,47,34
24,Ushuaia,001,0005 ,0098,297,14,9,16,16,3,39,25,5,30,40,26
24,Ushuaia,001,0005 ,0099,298,17,0,9,10,7,28,21,1,26,55,31
24,Ushuaia,001,0005 ,0100,298,24,12,7,10,5,44,20,11,20,33,26
24,Ushuaia,001,0005 ,0101,299,14,14,11,13,7,37,19,4,22,38,32
24,Ushuaia,001,0005 ,0102,298,10,9,8,16,2,44,30,4,23,34,41
24,Ushuaia,001,0005 ,0103,299,27,13,6,14,5,35,16,7,12,48,27
