codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0076,0131,0154,0161,0187,0202,0517
24,Ushuaia,001,0001 ,0001,288,37,6,11,65,12,13,8,27,27
24,Ushuaia,001,0001 ,0002,286,32,8,4,71,22,12,5,15,41
24,Ushuaia,001,0001 ,0003,287,27,2,7,59,27,9,7,14,41
24,Ushuaia,001,0001 ,0004,292,34,0,6,44,22,12,7,22,55
24,Ushuaia,001,0001 ,0005,289,24,10,7,67,19,9,3,31,25
24,Ushuaia,001,0001 ,0006,289,20,3,6,62,23,10,1,14,51
24,Ushuaia,001,0001 ,0007,287,16,10,7,58,12,9,7,19,53
24,Ushuaia,001,0001 ,0008,288,29,6,3,69,29,10,12,14,40
24,Ushuaia,001,0001 ,0009,290,19,7,5,63,21,16,10,22,35
24,Ushuaia,001,0001 ,0010,290,38,8,10,54,27,8,11,23,35
24,Ushuaia,001,0001 ,0011,288,33,6,6,51,19,11,2,24,34
24,Ushuaia,001,0001 ,0012,288,20,7,6,54,19,14,11,26,39
24,Ushuaia,001,0001 ,0013,287,34,7,7,58,15,9,4,29,35
24,Ushuaia,001,0001 ,0014,288,33,3,6,67,23,14,8,22,33
24,Ushuaia,001,0001 ,0015,287,33,5,6,60,23,8,8,27,34
24,Ushuaia,001,0001 ,0016,288,23,5,12,53,15,7,4,27,42
24,Ushuaia,001,0001 ,0017,290,0,33,7,43,17,15,7,22,53
24,Ushuaia,001,0001 ,0018,286,33,8,7,64,17,12,5,19,36
24,Ushuaia,001,0001 ,0019,287,26,8,5,46,13,13,5,25,50
24,Ushuaia,001,0001 ,0020,290,38,5,2,69,20,14,7,19,39
24,Ushuaia,001,0001 ,0021,286,17,10,12,57,11,10,5,24,37
24,Ushuaia,001,0001 ,0022,287,33,10,10,59,23,14,9,21,41
24,Ushuaia,001,0002 ,0023,292,33,4,4,53,22,11,9,29,45
24,Ushuaia,001,0002 ,0024,290,27,7,7,55,19,8,8,17,48
24,Ushuaia,001,0002 ,0025,293,33,10,7,67,18,14,10,33,31
24,Ushuaia,001,0002 ,0026,292,29,7,7,64,12,19,6,22,46
24,Ushuaia,001,0002 ,0027,294,27,3,11,50,81,14,6,28,52
24,Ushuaia,001,0002 ,0028,292,29,8,3,56,25,13,4,26,29
24,Ushuaia,001,0002 ,0029,293,33,8,4,66,20,13,4,31,31
24,Ushuaia,001,0002 ,0030,293,0,0,0,0,0,0,0,0,0
24,Ushuaia,001,0002 ,0031,292,28,11,6,56,19,11,13,22,34
24,Ushuaia,001,0002 ,0032,293,24,4,5,44,26,18,6,31,42
24,Ushuaia,001,0002 ,0033,295,37,8,9,54,20,14,5,28,38
24,Ushuaia,001,0002 ,0034,292,34,6,4,54,17,16,7,32,50
24,Ushuaia,001,0002 ,0035,294,31,8,8,59,21,19,11,28,29
24,Ushuaia,001,0003 ,0036,300,25,9,10,71,25,15,5,19,42
24,Ushuaia,001,0003 ,0037,301,26,19,7,58,22,16,8,34,29
24,Ushuaia,001,0003 ,0038,302,33,4,14,57,30,14,5,32,32
24,Ushuaia,001,0003 ,0039,302,38,9,8,50,25,11,6,35,31
24,Ushuaia,001,0003 ,0040,303,32,7,10,70,19,16,7,17,46
24,Ushuaia,001,0003 ,0041,301,36,12,10,52,12,15,6,36,32
24,Ushuaia,001,0003 ,0042,300,33,9,11,56,17,15,4,33,36
24,Ushuaia,001,0003 ,0043,301,26,13,11,60,22,18,9,30,30
24,Ushuaia,001,0003 ,0044,300,38,12,6,62,15,12,8,28,39
24,Ushuaia,001,0003 ,0045,301,27,6,6,70,18,12,5,32,32
24,Ushuaia,001,0003 ,0046,300,33,4,13,54,23,13,11,34,35
24,Ushuaia,001,0003 ,0047,301,20,5,13,59,26,12,11,34,46
24,Ushuaia,001,0003 ,0048,300,23,5,14,74,13,17,7,27,37
24,Ushuaia,001,0003 ,0049,300,35,7,5,74,19,9,8,32,31
24,Ushuaia,001,0003 ,0050,300,29,10,7,50,22,23,9,22,30
24,Ushuaia,001,0003 ,0051,301,27,11,10,52,22,11,7,29,46
24,Ushuaia,001,0003 ,0052,299,37,9,15,63,13,6,9,24,42
24,Ushuaia,001,0003 ,0053,301,31,10,13,59,16,13,13,29,32
24,Ushuaia,001,0003 ,0054,298,31,4,12,56,26,15,11,39,30
24,Ushuaia,001,0003 ,0055,299,29,12,13,53,18,20,10,29,31
24,Ushuaia,001,0003 ,0056,299,35,9,9,62,24,9,5,35,36
24,Ushuaia,001,0003 ,0057,300,34,8,4,83,16,14,10,31,30
24,Ushuaia,001,0003 ,0058,301,44,12,12,67,18,9,6,34,30
24,Ushuaia,001,0004 ,0059,300,42,17,13,59,18,16,4,31,30
24,Ushuaia,001,0004 ,0060,297,29,5,13,67,27,11,4,39,38
24,Ushuaia,001,0004 ,0061,298,25,5,7,63,18,13,7,36,40
24,Ushuaia,001,0004 ,0062,300,26,12,6,67,26,7,4,40,35
24,Ushuaia,001,0004 ,0063,303,35,5,5,83,26,7,6,22,42
24,Ushuaia,001,0004 ,0064,297,29,6,5,65,22,12,8,23,43
24,Ushuaia,001,0004 ,0065,300,27,7,8,65,21,12,5,32,41
24,Ushuaia,001,0004 ,0066,299,31,4,14,84,16,12,9,24,22
24,Ushuaia,001,0004 ,0067,299,27,8,10,59,22,14,6,24,48
24,Ushuaia,001,0004 ,0068,300,40,7,5,61,25,12,3,27,47
24,Ushuaia,001,0004 ,0069,298,29,1,12,65,21,8,8,32,42
24,Ushuaia,001,0004 ,0070,297,28,10,6,64,19,17,5,29,48
24,Ushuaia,001,0004 ,0071,298,32,4,8,66,13,21,9,26,37
24,Ushuaia,001,0004 ,0072,299,34,5,8,59,20,12,5,34,39
24,Ushuaia,001,0004 ,0073,297,34,5,12,65,21,11,4,25,28
24,Ushuaia,001,0004 ,0074,300,30,5,15,48,17,14,6,32,42
24,Ushuaia,001,0004 ,0075,300,31,10,6,54,13,13,6,32,47
24,Ushuaia,001,0004 ,0076,301,28,17,4,68,21,13,3,29,43
24,Ushuaia,001,0004 ,0077,298,26,13,5,69,17,10,5,37,43
24,Ushuaia,001,0004 ,0078,300,37,6,6,49,25,11,10,29,37
24,Ushuaia,001,0004 ,0079,300,35,2,13,50,19,16,2,24,45
24,Ushuaia,001,0004 ,0080,298,50,11,7,58,19,9,4,35,37
24,Ushuaia,001,0004 ,0081,298,30,11,9,58,16,16,9,28,43
24,Ushuaia,001,0004 ,0082,298,36,12,3,65,21,8,5,33,40
24,Ushuaia,001,0004 ,0083,297,21,7,9,73,21,9,5,29,50
24,Ushuaia,001,0004 ,0084,298,27,9,8,60,23,15,2,28,38
24,Ushuaia,001,0004 ,0085,296,34,11,9,70,20,8,6,29,41
24,Ushuaia,001,0004 ,0086,296,28,10,8,57,24,17,5,22,43
24,Ushuaia,001,0004 ,0087,296,40,2,8,58,16,15,11,26,46
24,Ushuaia,001,0004 ,0088,298,35,5,10,60,18,15,4,34,39
24,Ushuaia,001,0004 ,0089,298,26,9,6,65,25,13,5,28,44
24,Ushuaia,001,0004 ,0090,296,30,2,8,68,16,18,3,35,37
24,Ushuaia,001,0004 ,0091,297,36,3,11,60,19,14,4,33,44
24,Ushuaia,001,0004 ,0092,296,28,7,6,45,17,12,9,27,44
24,Ushuaia,001,0004 ,0093,295,31,8,12,63,19,13,6,30,42
24,Ushuaia,001,0004 ,0094,300,34,4,9,75,29,8,6,24,29
24,Ushuaia,001,0004 ,0095,298,25,1,9,9,24,19,7,25,51
