codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00037,00047,00052,00081,00086,00109
24,001,Ushuaia,05653,098051,0,0,31,66,27,44,10,25,30
24,001,Ushuaia,05653,098052,0,0,21,58,14,60,15,20,32
24,001,Ushuaia,05653,098053,0,0,29,67,18,44,13,29,27
24,001,Ushuaia,05653,098054,0,0,32,63,21,62,10,22,32
24,001,Ushuaia,05653,098055,0,0,34,63,16,62,8,19,30
24,001,Ushuaia,05653,098056,0,0,43,62,7,49,9,22,30
24,001,Ushuaia,05653,098057,0,0,33,59,13,70,11,28,28
24,001,Ushuaia,05653,098058,0,0,38,52,14,47,12,22,31
24,001,Ushuaia,05653,098059,0,0,34,65,10,59,11,20,27
24,001,Ushuaia,05653,098060,0,0,36,62,23,49,7,22,33
24,001,Ushuaia,05653,098061,0,0,29,77,13,72,9,19,27
24,001,Ushuaia,05653,098062,0,0,42,70,18,52,16,16,28
24,001,Ushuaia,05653,098063,0,0,27,64,6,78,11,22,25
24,001,Ushuaia,05653,098064,0,0,26,72,22,50,5,27,28
24,001,Ushuaia,05653,098065,0,0,15,24,4,16,0,7,8
24,001,Ushuaia,05654,098066,0,0,43,76,9,50,9,16,30
24,001,Ushuaia,05654,098067,0,0,21,74,15,50,14,12,28
24,001,Ushuaia,05654,098068,0,0,31,73,11,53,11,19,26
24,001,Ushuaia,05654,098069,0,0,23,79,12,44,8,15,31
24,001,Ushuaia,05654,098070,0,0,28,55,12,55,7,23,22
24,001,Ushuaia,05654,098071,0,0,42,63,14,48,5,12,30
24,001,Ushuaia,05654,098072,0,0,33,68,16,51,9,14,35
24,001,Ushuaia,05654,098073,0,0,37,66,14,50,11,15,23
24,001,Ushuaia,05654,098074,0,0,41,60,8,50,8,18,37
24,001,Ushuaia,05654,098075,0,0,29,62,12,73,10,19,26
24,001,Ushuaia,05654,098076,0,0,24,63,12,53,11,13,32
24,001,Ushuaia,05654,098077,0,0,27,57,14,56,4,16,31
24,001,Ushuaia,05654,098078,0,0,36,57,14,68,11,16,24
24,001,Ushuaia,05654,098079,0,0,37,68,17,55,5,9,27
24,001,Ushuaia,05654,098080,0,0,16,54,6,45,7,9,18
24,001,Ushuaia,05655,098081,0,0,26,80,12,51,13,20,31
24,001,Ushuaia,05655,098082,0,0,21,76,14,50,5,13,44
24,001,Ushuaia,05655,098083,0,0,25,79,19,50,13,16,26
24,001,Ushuaia,05655,098084,0,0,41,76,7,38,12,17,30
24,001,Ushuaia,05655,098085,0,0,26,56,14,59,13,15,36
24,001,Ushuaia,05655,098086,0,0,27,65,9,54,17,12,31
24,001,Ushuaia,05655,098087,0,0,0,67,15,50,13,16,32
24,001,Ushuaia,05655,098088,0,0,36,61,13,48,10,16,32
24,001,Ushuaia,05655,098089,0,0,24,76,11,49,9,14,41
24,001,Ushuaia,05655,098090,0,0,27,70,6,55,16,14,33
24,001,Ushuaia,05655,098091,0,0,43,63,14,62,9,14,16
24,001,Ushuaia,05655,098092,0,0,0,73,11,28,9,23,37
24,001,Ushuaia,05655,098093,0,0,2,78,23,55,10,18,29
24,001,Ushuaia,05655,098094,0,0,45,85,18,37,12,10,28
24,001,Ushuaia,05655,098095,0,0,42,69,17,57,14,11,31
24,001,Ushuaia,05655,098096,0,0,35,74,7,45,8,20,29
24,001,Ushuaia,05655,098097,0,0,25,74,11,40,18,14,38
24,001,Ushuaia,05655,098098,0,0,37,70,15,43,6,18,43
24,001,Ushuaia,05655,098099,0,0,11,27,6,25,3,5,14
24,001,Ushuaia,05655,101397,0,0,0,0,0,0,0,0,0
24,001,Ushuaia,05655,101398,0,0,0,0,0,0,0,0,0
24,001,Ushuaia,05656,098100,0,0,29,63,17,69,7,20,19
24,001,Ushuaia,05656,098101,0,0,32,71,22,49,12,10,26
24,001,Ushuaia,05656,098102,0,0,35,71,14,46,15,14,29
24,001,Ushuaia,05656,098103,0,0,33,57,13,66,6,16,25
24,001,Ushuaia,05656,098104,0,0,27,61,17,67,12,6,30
24,001,Ushuaia,05656,098105,0,0,46,66,11,57,5,13,30
24,001,Ushuaia,05656,098106,0,0,29,60,13,58,14,10,36
24,001,Ushuaia,05656,098107,0,0,31,54,9,65,15,13,31
24,001,Ushuaia,05656,098108,0,0,23,66,16,49,9,23,24
24,001,Ushuaia,05656,098109,0,0,39,62,15,64,6,11,33
24,001,Ushuaia,05656,098110,0,0,32,65,15,57,10,17,20
24,001,Ushuaia,05656,098111,0,0,36,73,15,58,4,15,16
24,001,Ushuaia,05656,098112,0,0,21,56,12,61,17,21,33
24,001,Ushuaia,05656,098113,0,0,39,69,16,46,15,13,29
24,001,Ushuaia,05656,098114,0,0,31,74,10,46,8,13,25
24,001,Ushuaia,05656,098115,0,0,0,57,14,55,17,19,29
24,001,Ushuaia,05656,098116,0,0,33,61,8,49,11,19,34
24,001,Ushuaia,05656,098117,0,0,31,72,9,54,8,17,22
24,001,Ushuaia,05656,098118,0,0,26,53,12,66,7,19,29
24,001,Ushuaia,05656,098119,0,0,30,45,12,70,8,17,18
24,001,Ushuaia,05656,098120,0,0,27,73,16,59,6,13,32
24,001,Ushuaia,05656,098121,0,0,38,55,11,55,10,14,32
24,001,Ushuaia,05656,098122,0,0,33,66,10,46,2,9,31
24,001,Ushuaia,05656,098123,0,0,27,62,11,63,11,14,27
24,001,Ushuaia,05656,098124,0,0,37,67,10,46,11,17,28
24,001,Ushuaia,05656,098125,0,0,29,72,19,49,6,8,32
24,001,Ushuaia,05656,098126,0,0,20,40,11,32,3,11,13
24,001,Ushuaia,05657,098127,0,0,32,54,23,60,5,11,36
24,001,Ushuaia,05657,098128,0,0,34,53,19,57,6,14,28
24,001,Ushuaia,05657,098129,0,0,24,70,11,44,10,6,26
24,001,Ushuaia,05657,098130,0,0,39,58,11,59,9,15,17
24,001,Ushuaia,05657,098131,0,0,30,67,9,55,5,17,23
24,001,Ushuaia,05657,098132,0,0,30,67,11,67,13,8,22
24,001,Ushuaia,05657,098133,0,0,37,53,15,74,5,12,22
24,001,Ushuaia,05657,098134,0,0,30,52,9,71,8,17,26
24,001,Ushuaia,05657,098135,0,0,27,47,11,65,11,25,28
24,001,Ushuaia,05657,098136,0,0,39,55,14,66,14,11,22
24,001,Ushuaia,05657,098137,0,0,22,54,16,63,17,11,23
24,001,Ushuaia,05657,098138,0,0,18,56,14,64,7,16,31
