codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0002,0003,0069,0158,0174,0199,0201,0501,0544
24,Ushuaia,001,0001 ,0001,290,18,9,15,8,1,31,17,2,15,41,34
24,Ushuaia,001,0001 ,0002,292,21,12,16,14,4,36,22,7,15,25,26
24,Ushuaia,001,0001 ,0003,294,12,15,20,19,3,27,17,13,16,35,24
24,Ushuaia,001,0001 ,0004,292,22,11,17,11,3,34,13,8,22,28,28
24,Ushuaia,001,0001 ,0005,291,18,19,23,11,5,22,8,8,14,32,25
24,Ushuaia,001,0001 ,0006,291,27,17,24,15,6,31,14,6,13,26,20
24,Ushuaia,001,0001 ,0007,291,19,17,23,14,0,22,22,5,15,29,24
24,Ushuaia,001,0001 ,0008,293,13,18,24,9,1,39,18,6,14,29,25
24,Ushuaia,001,0001 ,0009,290,15,12,25,12,4,37,19,5,12,22,17
24,Ushuaia,001,0001 ,0010,291,14,22,21,10,5,35,13,6,8,39,29
24,Ushuaia,001,0001 ,0011,290,16,15,23,12,8,31,13,7,12,36,17
24,Ushuaia,001,0001 ,0012,290,15,8,14,11,6,36,23,7,14,31,19
24,Ushuaia,001,0001 ,0013,291,16,20,20,10,4,33,11,5,11,31,23
24,Ushuaia,001,0001 ,0014,290,12,19,14,14,4,36,15,2,20,38,17
24,Ushuaia,001,0001 ,0015,293,21,12,19,16,5,51,19,2,13,35,18
24,Ushuaia,001,0001 ,0016,291,10,13,26,10,3,31,13,7,18,34,28
24,Ushuaia,001,0001 ,0017,289,32,0,15,18,6,34,15,3,20,29,19
24,Ushuaia,001,0001 ,0018,290,21,17,16,10,3,30,17,5,12,43,16
24,Ushuaia,001,0001 ,0019,291,10,16,28,19,0,39,7,4,13,22,25
24,Ushuaia,001,0001 ,0020,290,18,16,16,8,2,23,9,4,21,35,29
24,Ushuaia,001,0001 ,0021,290,19,16,16,13,1,25,21,5,15,35,24
24,Ushuaia,001,0001 ,0022,290,22,10,22,10,7,37,25,4,15,27,26
24,Ushuaia,001,0002 ,0023,286,15,18,15,8,3,25,18,11,16,29,38
24,Ushuaia,001,0002 ,0024,287,12,24,16,12,1,28,12,1,18,31,26
24,Ushuaia,001,0002 ,0025,288,0,0,23,15,2,39,20,3,12,28,30
24,Ushuaia,001,0002 ,0026,287,18,16,9,13,5,26,20,4,18,32,26
24,Ushuaia,001,0002 ,0027,286,9,17,21,13,6,27,18,3,21,37,31
24,Ushuaia,001,0002 ,0028,287,13,17,18,14,5,37,16,4,18,31,24
24,Ushuaia,001,0002 ,0029,286,31,5,18,14,3,34,14,3,14,32,33
24,Ushuaia,001,0002 ,0030,288,15,18,29,15,2,34,15,5,19,25,21
24,Ushuaia,001,0002 ,0031,286,26,23,23,4,0,5,26,2,11,29,29
24,Ushuaia,001,0002 ,0032,285,18,18,18,11,3,46,15,0,10,30,15
24,Ushuaia,001,0002 ,0033,285,10,12,19,24,4,37,20,7,13,23,23
24,Ushuaia,001,0002 ,0034,286,18,23,18,2,2,38,16,5,13,27,30
24,Ushuaia,001,0002 ,0035,287,15,19,18,10,1,35,24,1,12,29,20
24,Ushuaia,001,0003 ,0036,299,21,19,22,12,2,29,24,5,11,34,25
24,Ushuaia,001,0003 ,0037,299,10,21,18,10,2,37,31,4,19,44,19
24,Ushuaia,001,0003 ,0038,299,24,12,22,15,4,35,18,1,15,40,19
24,Ushuaia,001,0003 ,0039,298,20,18,23,15,6,31,15,2,11,26,31
24,Ushuaia,001,0003 ,0040,299,31,12,23,12,2,31,25,6,22,28,20
24,Ushuaia,001,0003 ,0041,298,6,32,20,15,5,26,13,8,18,30,44
24,Ushuaia,001,0003 ,0042,300,22,17,14,13,4,33,24,4,9,33,25
24,Ushuaia,001,0003 ,0043,299,11,21,16,7,0,39,36,4,10,41,22
24,Ushuaia,001,0003 ,0044,299,16,13,23,20,2,36,15,2,11,29,24
24,Ushuaia,001,0003 ,0045,299,11,22,18,15,1,41,15,5,13,33,36
24,Ushuaia,001,0003 ,0046,299,28,10,27,8,9,30,18,3,14,28,20
24,Ushuaia,001,0003 ,0047,298,21,8,16,22,4,43,18,5,17,27,24
24,Ushuaia,001,0003 ,0048,299,24,11,25,12,1,30,15,6,25,35,22
24,Ushuaia,001,0003 ,0049,298,17,11,17,10,2,37,13,7,19,45,23
24,Ushuaia,001,0003 ,0050,300,16,9,21,12,0,40,19,4,14,36,30
24,Ushuaia,001,0003 ,0051,299,12,13,21,12,3,41,16,5,16,41,28
24,Ushuaia,001,0003 ,0052,299,19,17,18,10,3,31,17,4,19,42,21
24,Ushuaia,001,0003 ,0053,298,0,0,24,18,3,31,17,5,21,31,24
24,Ushuaia,001,0003 ,0054,299,22,13,16,16,2,42,15,5,15,27,33
24,Ushuaia,001,0003 ,0055,299,19,26,23,17,6,32,17,3,10,35,19
24,Ushuaia,001,0003 ,0056,298,15,23,24,14,5,32,27,7,15,24,17
24,Ushuaia,001,0003 ,0057,301,24,15,10,9,4,40,22,9,14,36,29
24,Ushuaia,001,0003 ,0058,303,23,17,16,5,2,35,22,7,21,36,28
24,Ushuaia,001,0004 ,0059,300,15,27,30,9,3,35,22,2,13,28,28
24,Ushuaia,001,0004 ,0060,297,19,19,28,5,5,39,19,4,22,31,36
24,Ushuaia,001,0004 ,0061,299,14,12,20,8,0,33,30,5,29,23,24
24,Ushuaia,001,0004 ,0062,298,20,13,22,5,5,29,31,6,21,31,36
24,Ushuaia,001,0004 ,0063,300,17,11,24,8,4,29,18,5,12,36,30
24,Ushuaia,001,0004 ,0064,297,14,11,22,23,4,31,13,8,16,33,23
