codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0002,0003,0158,0174,0199,0501,0544
24,Ushuaia,001,0001 ,0001,290,16,4,7,8,44,18,8,48,34
24,Ushuaia,001,0001 ,0002,292,31,6,9,10,51,23,5,37,29
24,Ushuaia,001,0001 ,0003,293,27,7,11,12,50,23,10,37,20
24,Ushuaia,001,0001 ,0004,292,25,6,3,10,42,21,8,25,56
24,Ushuaia,001,0001 ,0005,291,19,10,8,6,53,15,7,40,36
24,Ushuaia,001,0001 ,0006,291,17,10,4,10,50,23,10,41,29
24,Ushuaia,001,0001 ,0013,291,23,10,5,7,47,22,5,37,27
24,Ushuaia,001,0001 ,0014,290,19,7,4,9,63,25,2,42,24
24,Ushuaia,001,0001 ,0015,293,26,6,6,9,60,29,4,36,38
24,Ushuaia,001,0001 ,0016,291,16,16,5,11,44,19,7,45,30
24,Ushuaia,001,0001 ,0017,289,25,5,7,13,57,22,7,26,33
24,Ushuaia,001,0001 ,0018,290,6,27,7,9,33,21,10,44,35
24,Ushuaia,001,0001 ,0019,291,16,10,6,22,52,15,8,34,26
24,Ushuaia,001,0001 ,0020,290,24,8,5,12,36,9,11,46,40
24,Ushuaia,001,0001 ,0021,290,12,8,2,7,39,30,7,44,39
24,Ushuaia,001,0001 ,0022,290,24,5,5,10,61,25,7,38,37
24,Ushuaia,001,0002 ,0007,291,20,5,5,9,45,14,11,44,33
24,Ushuaia,001,0002 ,0008,293,27,13,11,7,42,28,2,37,27
24,Ushuaia,001,0002 ,0009,290,15,9,6,6,53,27,9,29,29
24,Ushuaia,001,0002 ,0010,292,38,19,2,11,47,23,10,44,31
24,Ushuaia,001,0002 ,0011,290,23,4,8,7,55,15,4,38,34
24,Ushuaia,001,0002 ,0012,289,21,4,3,8,46,27,10,35,31
24,Ushuaia,001,0002 ,0023,286,22,16,6,9,45,18,12,40,33
24,Ushuaia,001,0002 ,0024,287,14,8,9,13,46,12,7,44,29
24,Ushuaia,001,0002 ,0025,288,23,5,10,9,51,32,6,41,30
24,Ushuaia,001,0002 ,0026,287,24,8,3,10,48,17,12,44,24
24,Ushuaia,001,0002 ,0027,286,16,9,6,9,58,16,6,39,39
24,Ushuaia,001,0002 ,0028,287,21,9,8,18,56,19,9,36,18
24,Ushuaia,001,0002 ,0029,286,17,10,7,12,54,19,5,34,32
24,Ushuaia,001,0002 ,0030,288,22,7,13,11,42,18,5,41,38
24,Ushuaia,001,0002 ,0031,286,26,12,4,13,43,19,10,34,41
24,Ushuaia,001,0002 ,0032,284,12,10,13,12,60,12,3,37,21
24,Ushuaia,001,0002 ,0033,285,22,8,7,12,49,31,6,32,28
24,Ushuaia,001,0002 ,0034,286,20,11,3,8,49,22,8,30,39
24,Ushuaia,001,0002 ,0035,287,16,13,3,7,45,31,8,35,35
24,Ushuaia,001,0003 ,0036,299,16,15,11,8,38,33,7,41,45
24,Ushuaia,001,0003 ,0037,299,16,16,4,7,52,38,8,52,25
24,Ushuaia,001,0003 ,0038,299,20,7,11,9,58,25,9,46,28
24,Ushuaia,001,0003 ,0039,298,0,17,5,9,64,18,2,38,29
24,Ushuaia,001,0003 ,0040,299,23,9,8,13,50,25,8,29,45
24,Ushuaia,001,0003 ,0041,298,31,8,8,10,51,20,10,39,39
24,Ushuaia,001,0003 ,0042,300,21,18,10,4,62,18,8,40,31
24,Ushuaia,001,0003 ,0043,299,20,13,3,10,42,39,10,45,21
24,Ushuaia,001,0003 ,0044,299,25,5,12,9,62,22,4,27,32
24,Ushuaia,001,0003 ,0045,300,20,11,5,16,50,21,7,43,43
24,Ushuaia,001,0003 ,0046,299,33,3,6,12,57,24,6,30,36
24,Ushuaia,001,0003 ,0047,297,18,5,10,13,57,27,4,29,31
24,Ushuaia,001,0003 ,0048,299,16,13,8,6,48,24,7,48,27
24,Ushuaia,001,0003 ,0049,298,17,17,4,6,42,24,9,51,31
24,Ushuaia,001,0003 ,0050,300,14,9,13,5,56,26,5,44,37
24,Ushuaia,001,0003 ,0051,298,23,7,9,7,61,24,6,35,36
24,Ushuaia,001,0003 ,0052,299,17,9,6,9,51,31,4,44,27
24,Ushuaia,001,0003 ,0053,297,26,9,8,10,54,26,4,37,27
24,Ushuaia,001,0003 ,0054,299,24,11,8,7,61,23,8,36,32
24,Ushuaia,001,0003 ,0055,297,19,12,4,10,44,30,7,43,35
24,Ushuaia,001,0003 ,0056,297,33,11,9,13,46,33,10,39,22
24,Ushuaia,001,0003 ,0057,300,28,15,1,8,51,40,6,39,28
24,Ushuaia,001,0003 ,0058,303,28,13,2,12,54,23,12,34,39
24,Ushuaia,001,0004 ,0059,299,33,9,7,8,40,27,3,45,40
24,Ushuaia,001,0004 ,0060,297,34,9,5,8,40,33,7,41,48
24,Ushuaia,001,0004 ,0061,299,24,14,8,9,41,30,9,39,32
24,Ushuaia,001,0004 ,0062,298,25,10,4,6,43,39,7,55,39
24,Ushuaia,001,0004 ,0063,300,22,9,8,7,44,20,5,44,32
24,Ushuaia,001,0004 ,0064,297,26,9,7,12,52,13,7,32,36
24,Ushuaia,001,0004 ,0065,298,20,10,7,4,55,33,5,39,30
24,Ushuaia,001,0004 ,0066,298,31,14,8,5,43,20,6,45,41
24,Ushuaia,001,0004 ,0067,297,19,18,7,7,57,35,7,34,41
24,Ushuaia,001,0004 ,0068,297,20,11,3,9,41,27,6,43,43
24,Ushuaia,001,0004 ,0069,297,28,12,6,5,56,26,4,31,39
24,Ushuaia,001,0004 ,0070,300,20,8,11,8,50,37,8,43,28
24,Ushuaia,001,0004 ,0071,298,19,13,3,5,51,30,9,42,27
24,Ushuaia,001,0004 ,0072,296,23,14,7,9,46,29,3,39,25
24,Ushuaia,001,0004 ,0073,298,17,6,13,9,53,23,7,37,38
24,Ushuaia,001,0004 ,0074,297,25,8,3,4,49,16,6,36,51
24,Ushuaia,001,0004 ,0075,298,17,5,5,11,42,26,3,46,39
24,Ushuaia,001,0004 ,0076,300,26,12,5,8,46,32,4,38,32
24,Ushuaia,001,0004 ,0077,297,21,11,9,18,46,23,7,40,28
24,Ushuaia,001,0004 ,0078,297,26,10,4,4,44,30,13,39,36
24,Ushuaia,001,0004 ,0079,297,26,19,10,8,41,24,5,30,35
24,Ushuaia,001,0004 ,0080,301,31,13,1,9,36,35,12,25,33
24,Ushuaia,001,0004 ,0081,299,21,15,5,3,58,24,9,38,32
24,Ushuaia,001,0004 ,0082,300,19,7,12,11,41,29,4,42,32
24,Ushuaia,001,0004 ,0083,299,14,4,8,6,54,28,5,37,35
24,Ushuaia,001,0004 ,0084,300,23,5,1,7,57,31,8,37,46
24,Ushuaia,001,0004 ,0085,297,27,16,8,10,48,37,2,34,33
24,Ushuaia,001,0004 ,0086,299,29,10,3,9,40,30,6,42,32
24,Ushuaia,001,0004 ,0087,297,28,15,10,6,45,39,6,28,33
24,Ushuaia,001,0004 ,0088,298,27,7,13,5,43,36,2,47,33
24,Ushuaia,001,0004 ,0089,300,14,8,10,14,47,30,5,35,34
24,Ushuaia,001,0004 ,0090,298,27,19,8,5,48,31,2,42,29
24,Ushuaia,001,0004 ,0091,298,23,7,5,8,61,31,10,39,29
24,Ushuaia,001,0004 ,0092,300,24,7,2,6,66,32,5,39,40
24,Ushuaia,001,0004 ,0093,298,24,11,8,5,43,47,6,39,40
24,Ushuaia,001,0004 ,0094,299,31,10,5,10,48,32,8,38,36
24,Ushuaia,001,0004 ,0095,298,40,5,9,12,43,31,7,24,36
24,Ushuaia,001,0004 ,0096,296,28,13,4,11,44,31,8,44,36
24,Ushuaia,001,0005 ,0097,297,30,4,8,11,49,35,3,46,40
24,Ushuaia,001,0005 ,0098,297,29,9,13,14,49,31,8,39,32
24,Ushuaia,001,0005 ,0099,298,31,0,6,9,45,25,1,58,34
24,Ushuaia,001,0005 ,0100,298,24,12,4,9,55,31,12,31,34
24,Ushuaia,001,0005 ,0101,299,13,14,7,9,53,27,6,40,52
24,Ushuaia,001,0005 ,0102,298,26,6,5,16,52,33,6,32,46
24,Ushuaia,001,0005 ,0103,299,16,10,3,12,48,20,12,52,37
24,Ushuaia,001,0005 ,0104,298,24,6,1,14,43,34,3,47,41
24,Ushuaia,001,0005 ,0105,296,17,10,6,7,58,35,3,40,51
24,Ushuaia,001,0005 ,0106,296,25,13,12,12,56,23,6,34,26
24,Ushuaia,001,0005 ,0107,297,34,11,5,6,49,21,5,42,45
24,Ushuaia,001,0005 ,0108,296,20,13,3,8,50,20,8,50,40
24,Ushuaia,001,0005 ,0109,297,15,11,6,6,48,31,8,38,33
24,Ushuaia,001,0005 ,0110,297,28,6,5,12,50,16,9,52,36
24,Ushuaia,001,0005 ,0111,296,31,10,13,3,59,24,6,48,32
24,Ushuaia,001,0005 ,0112,297,26,11,11,9,52,26,3,40,38
24,Ushuaia,001,0005 ,0113,297,23,9,7,13,62,33,7,34,41
24,Ushuaia,001,0005 ,0114,297,17,7,13,6,74,22,5,45,32
24,Ushuaia,001,0005 ,0115,298,26,7,6,10,56,31,7,44,30
24,Ushuaia,001,0005 ,0116,298,22,10,8,11,60,27,8,37,33
24,Ushuaia,001,0005 ,0117,298,34,7,11,8,54,38,5,42,25
24,Ushuaia,001,0005 ,0118,296,33,9,5,6,43,36,2,41,39
24,Ushuaia,001,0005 ,0119,297,23,9,7,8,71,26,3,34,29
24,Ushuaia,001,0005 ,0120,296,23,16,3,6,63,31,1,41,32
24,Ushuaia,001,0005 ,0121,296,19,14,6,9,45,25,7,42,41
24,Ushuaia,001,0005 ,0122,295,23,7,8,6,57,23,7,55,28
24,Ushuaia,001,0005 ,0123,298,29,13,11,9,55,29,6,41,29
24,Ushuaia,001,0005 ,0124,296,19,7,10,3,52,34,10,35,38
24,Ushuaia,001,0005 ,0125,296,21,6,5,9,54,21,9,34,36
24,Ushuaia,001,0005 ,0126,297,27,12,7,8,69,27,3,34,41
24,Ushuaia,001,0005 ,0127,299,26,5,5,6,65,24,5,47,42
24,Ushuaia,001,0005 ,0128,296,16,14,3,12,46,28,3,40,35
24,Ushuaia,001,0005 ,0129,297,22,5,4,11,56,26,7,47,39
24,Ushuaia,001,0005 ,0130,297,20,13,8,12,51,30,7,42,31
24,Ushuaia,001,0005 ,0131,295,15,7,4,8,57,33,11,37,43
24,Ushuaia,001,0005 ,0132,299,30,12,6,6,62,25,3,47,33
24,Ushuaia,001,0005 ,0133,296,0,12,5,8,53,36,9,38,30
24,Ushuaia,001,0005 ,0134,297,2,6,8,12,61,28,8,37,23
24,Ushuaia,001,0005 ,0135,297,23,7,8,13,41,35,4,44,32
24,Ushuaia,001,0005 ,0136,298,14,3,6,8,69,26,9,41,38
24,Ushuaia,001,0005 ,0137,296,27,8,6,9,44,22,6,38,39
24,Ushuaia,001,0005 ,0138,297,34,6,8,9,50,30,4,36,32
24,Ushuaia,001,0005 ,0139,296,32,7,4,9,48,30,6,31,31
24,Ushuaia,001,0005 ,0140,297,21,8,10,9,64,36,6,39,30
24,Ushuaia,001,0005 ,0141,297,29,9,6,9,48,27,5,47,33
24,Ushuaia,001,0005 ,0142,295,24,13,7,9,52,26,5,39,35
24,Ushuaia,001,0006 ,0143,294,25,10,8,4,53,36,4,43,35
24,Ushuaia,001,0006 ,0144,295,29,5,10,6,56,44,5,39,27
24,Ushuaia,001,0006 ,0145,292,29,13,10,9,43,30,5,42,26
24,Ushuaia,001,0006 ,0146,294,23,11,3,9,49,37,9,42,25
24,Ushuaia,001,0006 ,0147,295,25,6,5,10,49,31,7,45,30
24,Ushuaia,001,0006 ,0148,294,24,6,2,11,52,27,9,44,42
24,Ushuaia,001,0006 ,0149,295,28,9,5,14,46,31,3,56,35
24,Ushuaia,001,0006 ,0150,296,35,10,8,8,43,36,6,57,30
24,Ushuaia,001,0006 ,0151,293,34,11,9,7,45,32,9,41,40
24,Ushuaia,001,0006 ,0152,296,27,9,12,10,48,32,6,39,32
24,Ushuaia,001,0006 ,0153,296,31,13,4,6,52,29,13,41,30
24,Ushuaia,001,0006 ,0154,294,28,8,3,6,39,29,6,46,41
24,Ushuaia,001,0006 ,0155,295,33,5,9,10,44,26,5,49,34
24,Ushuaia,001,0006 ,0156,293,25,10,19,7,37,34,8,39,34
24,Ushuaia,001,0006 ,0157,294,26,6,8,5,44,54,6,41,32
24,Ushuaia,001,0006 ,0158,294,31,8,8,9,48,28,7,47,23
24,Ushuaia,001,0006 ,0159,294,32,5,5,5,50,32,9,53,31
24,Ushuaia,001,0006 ,0160,294,35,9,9,11,39,35,4,51,21
24,Ushuaia,001,0006 ,0161,296,22,4,8,6,52,40,8,37,29
24,Ushuaia,001,0006 ,0162,293,16,20,3,3,57,29,8,51,30
24,Ushuaia,001,0006 ,0163,294,24,6,13,8,56,31,1,46,26
24,Ushuaia,001,0006 ,0164,294,25,9,14,7,41,35,21,43,32
24,Ushuaia,001,0006 ,0165,296,15,6,6,2,64,55,1,44,38
24,Ushuaia,001,0006 ,0166,294,22,11,9,1,46,44,5,44,40
24,Ushuaia,001,0006 ,0167,295,20,9,6,11,43,36,10,47,30
24,Ushuaia,001,0006 ,0168,292,16,8,7,8,52,44,8,41,39
24,Ushuaia,001,0006 ,0169,294,20,4,5,6,48,35,12,34,40
24,Ushuaia,001,0006 ,0170,295,29,14,7,11,57,26,6,46,30
24,Ushuaia,001,0006 ,0171,293,19,9,4,5,48,51,1,43,37
24,Ushuaia,001,0006 ,0172,291,35,5,14,5,36,37,4,39,31
24,Ushuaia,001,0006 ,0173,293,22,5,8,5,51,31,13,35,31
24,Ushuaia,001,0006 ,0174,293,27,17,7,9,49,30,9,27,39
24,Ushuaia,001,0006 ,0175,293,33,8,6,8,60,26,12,43,21
24,Ushuaia,001,0006 ,0176,295,39,11,9,7,40,34,10,42,28
24,Ushuaia,001,0006 ,0177,295,31,10,11,8,35,41,5,40,41
24,Ushuaia,001,0007 ,0178,90,11,3,3,4,7,2,8,10,7
24,Río Grande,002,0008 ,0179,301,42,10,3,9,30,21,12,93,24
24,Río Grande,002,0008 ,0180,303,26,2,6,8,30,37,13,87,23
24,Río Grande,002,0008 ,0181,300,36,11,2,9,24,26,16,95,20
24,Río Grande,002,0008 ,0182,302,38,5,3,15,34,28,19,84,15
24,Río Grande,002,0008 ,0183,302,4,10,4,20,37,29,8,84,24
24,Río Grande,002,0008 ,0184,301,36,5,7,16,36,20,15,76,17
24,Río Grande,002,0008 ,0185,301,36,4,7,11,28,28,2,82,23
24,Río Grande,002,0008 ,0186,300,58,0,7,7,36,23,8,74,10
24,Río Grande,002,0008 ,0187,304,30,16,4,4,27,32,17,92,16
24,Río Grande,002,0008 ,0188,302,41,8,4,8,36,26,10,89,18
24,Río Grande,002,0008 ,0189,300,22,10,5,13,28,31,14,92,12
24,Río Grande,002,0008 ,0190,301,43,14,5,10,25,16,19,87,17
24,Río Grande,002,0008 ,0191,303,40,4,6,10,23,41,9,70,24
24,Río Grande,002,0008 ,0192,301,44,10,5,21,29,21,10,89,10
24,Río Grande,002,0008 ,0193,301,42,6,8,11,35,20,12,89,13
24,Río Grande,002,0008 ,0194,305,1,12,2,9,31,14,14,93,23
24,Río Grande,002,0008 ,0195,302,38,7,6,11,33,22,14,76,22
24,Río Grande,002,0008 ,0196,301,45,11,6,13,30,20,11,72,17
24,Río Grande,002,0008 ,0197,304,40,11,8,8,24,30,10,76,29
24,Río Grande,002,0008 ,0198,301,38,8,3,11,35,26,19,83,15
24,Río Grande,002,0008 ,0199,302,29,12,9,11,27,21,14,92,15
24,Río Grande,002,0008 ,0200,303,44,6,5,6,38,26,14,84,14
24,Río Grande,002,0008 ,0201,300,40,6,5,11,31,18,12,93,19
24,Río Grande,002,0008 ,0202,304,39,10,6,10,30,24,12,87,25
24,Río Grande,002,0008 ,0203,303,36,8,5,8,36,30,2,92,14
